"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.3630158730159,"Down",239851,-178726,61125,-65309,-61214,-4095,-4184,328,-305,-3856,-3856,1597,-2259,-2259,-2259,-2259,440395024.700754,440395053.443608,128836718.205796,128836718.205796,61881389.3673319,24465241.4690324,37416147.8982995,631113132.273882,143253250.339511,442877468.827987,49217759.4729562,86059860.5641956,316601288.488428,586130719.167498,1217243851.44138,92492486.7195612,35102486.054087,57449429.6245795,99109009.6621651,99109009.6621651,191601496.381724,329885190.590991,329885190.673063,329884829.732695,521486326.114419,2333.54818867106,688804516.853694,6950674.92507779,695757525.326961,695757525.326961,1217243851.44138,-2259,4095,5637,-4015,3458,-777,2315,1538,-92,294,294,-1076,-874,4122,4122,16,4138,-89,0,-6478,0.25485,-0.01744,-0.00942,-3.45350302347624,-1.98206756800678,2.86764,3.17375362228501,0.767983095201764,-5.55102253685101e-07,-5e-05,-5e-05,0.00557,16.0635797462248,-0.00015,-2.34917776847564,25.5479616167892,-68.5231782704482,-166.137661487145
"2","2010_Q3",12.19453125,"Down",524415149,-387521274,136893875,-130432691,-122422786,-8009905,6461184,517672,-730695,6978856,6978856,-1315597,5663259,5663259,5663259,5663259,140927000,140927000,115822000,115822000,12013000,8060000,3953000,268762000,61146000,199551000,21879000,36960000,134083000,260697000,529459000,44853000,17623000,27230000,42154000,42154000,87007000,148261000,148261000,148261000,235268000,1000,292012000,2178000,294191000,294191000,529459000,5663259,8009905,11082363,-14273985,10481542,-2456223,9574685,7118462,-185908,535706,535706,-1297924,-948126,16651878,16651878,-106016,16545862,14471089,0,-943522.000000002,0.26104,0.01232,0.0108,0.01925,0.0107,-0.166599999999999,3.08897,0.79971,0,0.13102,0.12931,12.13278,6.80635,-0.02183,0.0128,-0.00213,-9.73852,-21.81133
"3","2010_Q4",16.42890625,"Up",312769000,-228182000,84587000,-68316000,-64442000,-3874000,16271000,145000,-438000,16416000,16416000,-6197000,10219000,10219000,10219000,10219000,138981000,138981000,133775000,133775000,8736000,8601000,135000,281492000,60664000,202747000,21203000,36960000,137108000,263411000,544903000,45803000,19518000,26285000,42346000,42346000,88149000,150521000,150521000,150521000,238670000,1000,303817000,2415000,306233000,306233000,544903000,10219000,3874000,1997000,-12226000,3864000,-2799000,-3516000,-6315000,-96000,219000,219000,-120000,3000,-2448000,-2448000,502000,-1946000,20145000,0,11317000,0.27045,0.05202,0.03267,0.0333700000000001,0.0187499999999999,1.10745,3.19337,0.77937,0,0.23617,0.23497,7.22848,7.07742,0.26155,0.0223699999999999,0.0247799999999991,-6.89903,-8.54164
"4","2011_Q1",16.9695161290323,"Up",311943000,-230034000,81909000,-76376000,-71796000,-4580000,5533000,238000,-346000,5771000,5771000,-1812000,3959000,3959000,3959000,3959000,163153000,163153000,108692000,108692000,14879000,9981000,4898000,286724000,60734000,199008000,20526000,36960000,139122000,259742000,546466000,43240000,18776000,24464000,42683000,42683000,85923000,147836000,147836000,147836000,233759000,1000,309800000,2906000,312707000,312707000,546466000,3959000,4580000,7352000,11733000,27624000,-1794000,-2414000,-4208000,-1e+05,299000,299000,-19999.9999999999,179000,23595000,23595000,577000,24172000,10113000,-2.8421709430404e-14,21864000,0.26258,0.01774,0.01269,0.01266,0.00724,5.52261,3.33699,0.74753,0,0.09139,0.0904,7.20073,7.21837,0.5047,0.0086,0.04747,-16.133,-29.48726
"5","2011_Q2",14.7212698412698,"Down",274300000,-204300000,7e+07,-6.9e+07,-65100000,-3900000,1e+06,3e+05,-3e+05,1300000,1300000,-5e+05,8e+05,8e+05,8e+05,8e+05,152790,152790,120410,120410,16278.9999999981,9576.00000000186,6703.00000000093,289479,58279,202211,19849.0000000037,36960,142810,260489.99999997,549969,44388,16229,28158.9999999963,41481.0000000075,41481.0000000075,85869,148290,148290,148290,234159.00000003,1,312645,3163.99999999953,315810,315810,549969,766000,3922000,3314000,-12597000,-4595000,-1691000,-3741000,-5432000,-103000,424000,424000,-919000,-598000,-10625000,-10625000,262000,-10363000,4922000,0,-8866000,0.2552,0.00365,0.00292,2.53317,1.45463,-11.0825,3.37117,0.74146,2.11758236813575e-22,0.01841,0.01824,6.31155,0.007270000000001,-0.204,1.72377,-19.10364,-0.0310400000000008,-0.152789999999996
"6","2011_Q3",13.25984375,"Down",320200000,-234900000,85300000,-71500000,-67700000,-3800000,13800000,2e+05,-4e+05,1.4e+07,1.4e+07,-5400000,8600000,8600000,8600000,8600000,142019000,142019000,143016000,143016000,16367000,11974000,4393000,301402000,56269000,202708000,20873000,38039000,141687000,258977000,560379000,58241000,27657000,30584000,40913000,40913000,99154000,148165000,148165000,148165000,247319000,1000,309858000,3201000,313060000,313060000,560379000,8547000,3862000,4414000,-11093000,5730000,-1987000,-1773000,-3760000,-103000,-12679000,192000,-1000,-12783000,-10813000,-10813000,42000,-10771000,17662000,0,9982000,0.2664,0.0431,0.02686,0.02747,0.01535,1.1607,3.03974,0.79001,0,0.19831,0.19673,7.38349,7.21885,0.23018,0.01865,0.02164,-8.04094,-10.29123
"7","2011_Q4",12.7028571428571,"Down",371400000,-271600000,99800000,-77400000,-73200000,-4200000,22400000,3e+05,-4e+05,22700000,22700000,-8800000,13900000,13900000,13900000,13900000,99050000,99050000,174384000,174384000,8254000,8254000,-9.31322574615479e-10,281688000,59411000,227542000,20207000,48139000,155599000,286953000,568641000,76467000,38410000,36502000,49370000,49370000,125837000,152215000,152215000,152215000,278052000,1000,288146000,2442000,290589000,290589000,568641000,13914000,4205000,2707000,-5498000,15328000,-2573000,-17757000,-20330000,-96000,-37014000,258000,-98000,-37208000,-42210000,-42210000,-759000,-42969000,26605000,0,27334000,0.26871,0.06031,0.03743,0.0478299999999999,0.0244400000000003,1.96647,2.23851,0.95686,1.6940658945086e-21,0.33404,0.33127,8.92531,6.9833,0.65688,0.0313899999999998,0.0617299999999993,-3.72298,-4.42188
"8","2012_Q1",16.6706451612903,"Up",350113000,-258167000,91946000,-81312000,-76828000,-4484000,10634000,690000,-107000,11324000,11324000,-3833000,7491000,7491000,7491000,7491000,109311000,109311000,153878000,153878000,11126000,9252000,1874000,274315000,62539000,223915000,19433000,48139000,151525000,286454000,560769000,61133000,25862000,35271000,51156000,51156000,112289000,154901000,154901000,154901000,267190000,1000,290935000,2643000,293579000,293579000,560769000,7564000,4395000,1252000,915000,14126000,-3456000,6040000,2584000,0,-6532000,257000,-94000.0000000001,-6626000,10084000,10084000,177000,10261000,15029000,0,16321000,0.26262,0.03037,0.0214,0.02552,0.01336,2.17875,2.44294,0.91011,0,0.1901,0.18841,8.88499,7.4503,0.41419,0.0167,0.03639,-7.27334,-10.27939
"9","2012_Q2",15.8339682539683,"Down",311187000,-231952000,79235000,-76850000,-72082000,-4768000,2385000,264000,-391000,2649000,2649000,-1119000,1530000,1530000,1530000,1530000,125005000,125005000,144388000,144388000,10402000,8928000,1474000,279795000,61328000,224889000,18659000,48139000,150999000,286217000,566012000,60304000,23578000,36726000,52086000,52086000,112390000,153625000,153625000,153625000,266015000,1000,297092000,2904000,299997000,299997000,566012000,1530000,4768000,2544000,8850000,17692000,-3704000,-226000,-3930000,0,2894000,2894000,-1170000,1724000,15486000,15486000,208000,15694000,7153000,0,13418000,0.25462,0.00766,0.00492,0.00510000000000001,0.0027,8.76993,2.4895,0.88673,2.71050543121376e-20,0.03881,0.03833,7.89314,7.60931,0.34034,0.00337,0.0295799999999998,-17.47588,-52.413
"10","2012_Q3",15.8725396825397,"Up",354261000,-260725000,93536000,-76255000,-71526000,-4729000,17281000,412000,-244000,17693000,17693000,-7356000,10337000,10337000,10337000,10337000,129446000,129446000,163794000,163794000,7135000,7135000,0,300375000,61778000,218642000,17885000,48139000,146009000,280420000,580795000,65491000,22135000,41299000,52458000,52458000,117949000,154977000,154977000,154977000,272926000,1000,305359000,2509000,307869000,307869000,580795000,10337000,4728000,5281000,-10281000,10065000,-5831000,4573000,-1258000,-87999.9999999999,-3742000,248000,-270000,-4100000,4707000,4707000,-266000,4441000,22009000,1.16415321826935e-10,13253000,0.26403,0.04878,0.02918,0.03358,0.0178,1.28209,2.54665,0.8865,0,0.26037,0.25796,8.92323,7.75469,0.33382,0.02233,0.02863,-5.8815,-7.49065
