"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",5.44859375,"Up",25338000,-20297000,5041000,-4046000,-3280000,-766000,995000,16000,16000,1011000,1011000,936000,936000,936000,936000,-697448.362928595,16935340.277604,32167096.2447474,32167096.2447474,-25528.1578696982,325893.764771759,31444119.7239491,1015065.27332913,25939464.4444551,878583.487618481,27281469.8064521,58725589.5304013,33663325.8909948,-429247.20050703,34092573.0915019,-1020679.32218853,-1020679.32218853,32642646.5688063,1835612.26321527,1835612.26321527,34478258.8320216,124049123.905492,-99265738.9157736,-536054.291338359,24247330.6983797,24247330.6983797,58725589.5304013,936000,215000,276000,2896000,4323000,-49000,636000,43000,5002000,5002000,-5000,4997000,1210000,0,0.19895,0.03927,0.03694,0.4662121173297,0.278751728180609,-0.291417003169648,1.3559626582938,3.44558520013822e-20,0.0918,0.08928,2.48509,2.47696016146427,0.461953737206539,847.363507950084,8301.69128429681
"2","2011_Q1",9.63854838709677,"Up",27586000,-21066000,6520000,-4357000,-3453000,-904000,2163000,-27000,-27000,2136000,2136000,4694000,4694000,4694000,4694000,22143000,10814000,14128000,14128000,548000,403000,36819000,653000,4502000,958000,5277000,42096000,15357000,261000,15096000,1417000,1417000,16774000,240000,240000,17014000,124716000,-99189000,-445000,25082000,25082000,42096000,4694000,171000,-2399000,-1e+06,1466000,-97000,-3429000,304000,-1659000,-1659000,-1000,-1660000,2334000,0,0.23635,0.07841,0.17016,0.18715,0.11151,2.195,0.67834,0,0.45626,0.37171,2.68138,2.43799,0.18537,-9.48715,-10.23717
"3","2011_Q2",6.31873015873016,"Down",26008000,-20758000,5250000,-4845000,-3931000,-914000,405000,8000,8000,413000,413000,184000,184000,184000,184000,27120899.4543095,8560803.24079865,9984051.25175086,9984051.25175086,790092.7192899,569035.411742747,37895043.4253503,613978.242223624,-237904.814818378,978222.17079384,457260.064515951,38352303.4898662,10639641.3696684,438749.066835677,10200892.3028327,1970393.10739618,1970393.10739618,12610034.4770646,-114537.421071758,-114537.421071758,12495497.0559928,125379125.364836,-99055837.0280755,-466481.902887214,25856806.4338734,25856806.4338734,38352303.4898662,184000,214000,621000,-2654000,-1635000,-120000,-897000,66000,-2466000,-2466000,-44000,-2510000,619000,0,0.20186,0.01557,0.00707,0.0477392942234334,0.0282744239397971,2.83600816772322,0.488522447235401,-1.14852840004607e-20,0.01764,0.01572,2.49358,2.46109327951191,0.0472495875978203,-241.488461816695,-2494.9111972656
"4","2011_Q3",5.25515625,"Down",23422000,-18315000,5107000,-5093000,-4108000,-985000,14000,34000,34000,48000,47999.9999999998,20999.9999999995,20999.9999999995,20999.9999999995,20999.9999999995,22233000,8510000,13393000,13393000,899000,780000,36525000,759000,4227000,969000,5102000,41627000,13401000,372000,13029000,1516000,1516000,14917000,205000,205000,15122000,126032000,-98984000,-543000,26505000,26505000,41627000,20999.9999999995,188000,612000,1112000,1933000,-219000,-1806000,143000,270000,270000,-64000,206000,202000,0,0.21804,6e-04,0.000900000000000005,0.000790000000000013,0.000500000000000028,2.44855,0.57053,0,0.00199000000000006,0.00199000000000001,2.21736,2.50923,0.000789999999999985,-110.06436,-1588.07143
"5","2011_Q4",4.24412698412698,"Down",24029000,-19225000,4804000,-5282000,-4332000,-950000,-478000,43000,43000,-435000,-435000,-166000,-166000,-166000,-166000,16705000,9053000,16476000,16476000,1182000,1037000,34363000,946000,9514000,966000,10576000,44939000,16485000,373000,16112000,984000,984000,17469000,555000,555000,18024000,126682000,-99150000,-617000,26915000,26915000,44939000,-166000,197000,433000,-2440000,-1976000,-189000,2508000,72000,604000,604000,-61000,543000,-281000,0,0.19993,-0.01989,-0.00691,-0.00617,-0.00369,1.96708,0.66966,0,-0.01565,-0.01565,2.26475,2.53676,-0.00604,59.4484,34.9477
"6","2012_Q1",3.60467741935484,"Down",23384000,-19096000,4288000,-5280000,-4296000,-984000,-992000,337000,337000,-655000,-655000,-502000,-502000,-502000,-502000,18124000,8505000,13403000,13403000,1801000,1281000,33328000,1037000,8427000,997000,9464000,42792000,14130000,695000,13435000,1233000,1233000,15363000,394000,394000,15757000,127318000,-99652000,-631000,27035000,27035000,42792000,-502000,319000,615000,2343000,2775000,-257000,-3449000,143000,-531000,-531000,-17000,-548000,-673000,-8.07793566946316e-28,0.18337,-0.04242,-0.02147,-0.01857,-0.01173,2.16937,0.58284,-1.20370621524202e-35,-0.0466,-0.05266,2.17061,2.50951,-0.0183,26.93016,18.2701599999999
"7","2012_Q2",2.9015873015873,"Down",25548000,-20746000,4802000,-5079000,-4139000,-940000,-277000,-9000,-9000,-286000,-286000,-188000,-188000,-188000,-188000,16828000,7233000,17714000,17714000,1535000,1063000,36077000,985000,8429000,1001000,9414000,45491000,15895000,766000,15129000,1829000,1829000,17724000,393000,393000,18117000,127797000,-99840000,-583000,27374000,27374000,45491000,-188000,241000,447000,-1742000,-1242000,-99000,-55000,68000,-1229000,-1229000,-43000,-1272000,-36000,0,0.18796,-0.01084,-0.00736,-0.00687,-0.00413,2.03549,0.66183,0,-0.01729,-0.01729,2.34924,2.51715,-0.00677,467.44444,60.7509
"8","2012_Q3",2.96714285714286,"Up",24505000,-20115000,4390000,-4660000,-3552000,-1108000,-270000,103000,103000,-167000,-167000,-202000,-202000,-202000,-202000,19917000,10515000,15013000,15013000,1512000,1168000,36442000,895000,8489000,1e+06,9384000,45826000,16116000,338000,15778000,1790000,1790000,17906000,389000,389000,18295000,128203000,-100042000,-630000,27531000,27531000,45826000,-202000,242000,387000,2777000,3204000,-65000,126000,-2000,3328000,3328000,-46000,3282000,-28000,1.29246970711411e-26,0.17915,-0.01102,-0.00824,-0.00734,-0.00441,2.03518,0.66452,-1.92592994438724e-34,-0.01849,-0.01849,2.24364,2.52069,-0.00723,711.32143,73.76667
"9","2012_Q4",2.91951612903226,"Down",25485000,-20643000,4842000,-3727000,-2866000,-861000,1115000,28000,28000,1143000,1143000,610000,610000,610000,610000,18679000,6897000,16586000,16586000,1707000,910000,36972000,879000,7481000,1003000,8360000,45332000,15411000,202000,15209000,1568000,1568000,16979000,382000,382000,17361000,128123000,-99432000,-720000,27971000,27971000,45332000,610000,275000,266000,-2299000,-1148000,-172000,-2542000,127000,-3563000,-3563000,-55000,-3618000,1390000,0,0.18999,0.04375,0.02394,0.02181,0.01346,2.17751,0.62068,0,0.05574,0.05316,2.32889,2.55606,0.02151,-13.43813,-16.75247
"10","2013_Q1",3.1965,"Up",25856000,-20831000,5025000,-4414000,-3724000,-690000,611000,-19000,-19000,592000,592000,696000,696000,696000,696000,19729000,9903000,16095000,16095000,1154000,858000,36978000,759000,8054000,992000,8813000,45791000,15589000,553000,15036000,837000,837000,16426000,360000,360000,16786000,128474000,-98736000,-733000,29005000,29005000,45791000,696000,235000,-16999.9999999999,750000.000000001,1664000,-55000,1260000,12000,2936000,2936000,70000,3006000,846000,1.03397576569128e-25,0.19435,0.02363,0.02692,0.024,0.0152,2.25119,0.57873,-1.54074395550979e-33,0.06304,0.05557,2.34203,2.62726,0.0237,-23.32033,-32.28969
