"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",43.5544444444444,"Up",633533000,-108650000,524883000,-422697000,-284585000,-138112000,102186000,-4547000,-901000,685000,-4331000,97639000,97639000,-19218000,78421000,78421000,78421000,78421000,3322697551.24062,5092845211.67201,1449299021.8915,1449299021.8915,221742891.314634,100871085.9804,4993739464.44676,402693760.713809,1656904225.06739,25327578.055931,1293006101.27898,122688227.768354,215882317.964128,2059597985.7812,7053337450.22796,851919208.259974,40724799.8734168,811194408.386558,1696553082.20536,1703519850.63921,2548472290.46534,1219042409.08876,664290392.441709,726488458.880321,1219042409.08875,3767514699.55409,1095667381.21727,2206816051.02571,-16660681.5431506,3285822750.69984,3285822750.67387,7053337450.22796,78421000,53788000,36975000,185768000,354952000,-31112000,2205597107.71696,-106550000,-176371000,78427000,109775000,-31348000,13012000,91439000,270020000,270020000,270020000,155974000,0,329848000,0.8285,0.1613,0.12378,0.0449950968683563,0.0225431261897558,4.20612,1.67227617281137,1.11010819484759,-1.19413970142426e-16,0.19224,0.18569,1.55304,9.66207483186122,0.80859,0.0334596972075252,0.174044054707184,-12.0313021728287,-1.07571083879978
"2","2010_Q3",54.89140625,"Up",673904000,-118152000,555752000,-454571000,-292815000,-161756000,101181000,-4237000,-957000,995000,-4275000,96944000,96944000,-22406000,74538000,74538000,74538000,74538000,2779821000,2068587000,429884000,429884000,213366000,126987000,3423071000,413483000,1960607000,177322000,1510873000,102822000,169590000,2374090000,5797161000,433022000,59663000,373359000,1011067000,1011067000,1444089000,1047434000,461763000,561882000,1047434000,2491523000,2950565000,348069000,7004000,3305638000,3305638000,5797161000,74538000,58556000,7569000,75460000,216123000,-28996000,-660051000,-60600000,-926903000,-7020000,106132000,-113152000,29906000,22886000,-687894000,-687894000,-687894000,159737000,0,228607000,0.82468,0.15014,0.11061,0.02255,0.01286,3.06699,2.3704,0.75372,0,0.18103,0.17473,1.63666,8.02817,0.5552,0.01712,0.05252,-17.40249,-27.47375
"3","2010_Q4",56.9775,"Up",714245000,-126562000,587683000,-493671000,-318242000,-175429000,94012000,2733000,-1245000,2349000,1629000,96745000,96745000,-12145000,84600000,84600000,84600000,84600000,2904186000,1347080000,378454000,378454000,283522000,199190000,3566162000,418639000,2081052000,223102000,1575102000,128943000,153905000,2499691000,6065853000,421060000,59415000,361645000,1025636000,1025636000,1446696000,1084515000,479972000,564281000,1084515000,2531211000,3246438000,274342000,13862000,3534642000,3534642000,6065853000,84600000,71117000,-8873000,49855000,196699000,-31137000,-809543000,-125820000,-970875000,-1501000,139939000,-141440000,54170000,52669000,-721507000,-721507000,-721507000,165129000,0,195992000,0.8228,0.13162,0.11845,0.02393,0.01395,2.31669,2.46504,0.71612,0,0.20266,0.19709,1.711,8.46734,0.4695,0.01832,0.04243,-17.58738,-30.89165
"4","2011_Q1",60.0479032258065,"Up",835661000,-140351000,695310000,-564696000,-387025000,-177671000,130614000,-5567000,-966000,2604000,-7205000,125047000,125047000,-5167000,119880000,119880000,119880000,119880000,3323640000,1628965000,614726000,614726000,359289000,258600000,4297655000,419065000,2080599000,210928000,1568600000,149126000,151945000,2499664000,6797319000,518726000,58913000,459813000,1270426000,1270426000,1789152000,1199724000,589668000,610056000,1199724000,2988876000,2960138000,828670000,19635000,3808443000,3808443000,6797319000,119880000,77090000,-11302000,220947000,406615000,-40450000,-116008000,0,-187793000,22873000,75460000,-52587000,40190000,63063000,281885000,281885000,281885000,207704000,0,393368000,0.83205,0.1563,0.14346,0.03148,0.01764,3.28135,2.40206,0.7848,0,0.29638,0.28758,2.06601,9.41565,0.97253,0.02394,0.07855,-16.00181,-25.44628
"5","2011_Q2",64.0474603174603,"Up",843721000,-149897000,693824000,-540322000,-371159000,-169163000,153502000,2612000,-959000,3406000,165000,156114000,156114000,-30302000,125812000,125812000,125812000,125812000,3661802000,1708934000,534175000,534175000,371655000,251105000,4567632000,421500000,2059931000,209724000,1580726000,119731000,149750000,2481431000,7049063000,474144000,72738000,401406000,1314497000,1309278000,1788641000,1267943000,669202000,585607000,1267943000,3056584000,3004036000,954482000,33961000,3992479000,3992479000,7049063000,125812000,80949000,19450000,251706000,477917000,-27046000,-244091000,-14950000,-368486000,-57558000,90171000,-147729000,28096000,-29462000,79969000,79969000,79969000,234451000,0,489413000,0.82234,0.18193,0.14912,0.03151,0.01785,3.89003,2.55369,0.76559,2.46519032881566e-32,0.2998,0.29226,2.0105,9.51367,1.16622,0.02392,0.09304,-15.61862,-23.85508
"6","2011_Q3",64.52734375,"Up",921210000,-152475000,768735000,-581843000,-392602000,-189241000,186892000,59382000,-972000,3715000,56639000,246274000,246274000,-26116000,220158000,220158000,220158000,220158000,3703153000,1791044000,592322000,592322000,330173000,205578000,4625648000,485950000,2430959000,429182000,1714984000,116917000,169876000,2916909000,7542557000,603133000,61705000,541428000,1358225000,1358225000,1961358000,1280764000,719931000,555455000,1280764000,3242122000,3123547000,1174640000,2248000,4300435000,4300435000,7542557000,220158000,74709000,-57831000,225760000,462796000,-268312000,-14157000,-189138000,-411159000,-22117000,110543000,-132660000,52590000,30473000,82110000.0000001,82110000.0000001,82110000.0000001,261601000,0,245165000,0.83448,0.20288,0.23899,0.05119,0.02919,1.11359,2.35839,0.75391,0,0.52166,0.50977,2.18281,10.18988,0.58092,0.03945,0.04393,-14.15573,-19.8144
"7","2011_Q4",64.4155555555556,"Down",941863000,-152741000,789122000,-608401000,-408746000,-199655000,180721000,2438000,-915000,4351000,-998000,183159000,183159000,-5621000,177538000,177538000,177538000,177538000,3976699000,1549829000,548027000,548027000,288130000,160390000,4812856000,516661000,2490904000,426584000,1760269000,126631000,177420000,3007565000,7820421000,565961000,57812000,508149000,1468126000,1468126000,2034087000,1332437000,765992000,561546000,1332437000,3366524000,3100959000,1352178000,760000,4453897000,4453897000,7820421000,177538000,73985000,59150000,212838000,523511000,-32905000,-492243000,-99522000,-650969000,-125955000,84572000,-210527000,12198000,-113757000,-241215000,-241215000,-241215000,254706000,0,440260000,0.83783,0.19188,0.1885,0.03986,0.0227,2.47981,2.3661,0.75586,7.88860905221012e-31,0.41775,0.40982,2.21621,10.48003,1.03593,0.03068,0.07609,-15.6129,-22.00463
"8","2012_Q1",67.3717741935484,"Up",1060206000,-166887000,893319000,-679434000,-462493000,-216941000,213885000,-5432000,-1154000,4528000,-8805999.99999999,208453000,208453000,-7961000,200492000,200492000,200492000,200492000,4512206000,1955756000,882857000,882857000,282709000,154238000,5677772000,525490000,2477546000,407375000,1759080000,156855000,154236000,3003036000,8680808000,637397000,49747000,587650000,1764109000,1764109000,2401506000,1509020000,944309000,564711000,1509020000,3910526000,3216500000,1552606000,1176000,4770282000,4770282000,8680808000,200492000,86357000,35231000,239696000,561776000,-52737000,-127509000,-390000,-180386000,17630000,52714000,-35084000,7116000,24746000,406136000,406136000,406136000,300242000,2.71050543121376e-20,495162000,0.84259,0.20174,0.18911,0.04203,0.0231,2.46973,2.36425,0.81977,0,0.48028,0.46708,2.53976,11.42736,1.18618,0.03193,0.07886,-15.02856,-21.09641
"9","2012_Q2",70.1709523809524,"Up",1055182000,-170915000,884267000,-667102000,-444712000,-222390000,217165000,6741000,-1287000,5743000,2285000,223906000,223906000,-32470000,191436000,191436000,191436000,191436000,5222255000,2626109000,657243000,657243000,255148000,115474000,6134646000,523687000,2467197000,388233000,1759036000,179986000,139942000,2990884000,9125530000,551844000,62744000,489100000,1788670000,1788670000,2340514000,1589376000,1019443000,569933000,1589376000,3929890000,3447263000,1744042000,4335000,5195640000,5195640000,9125530000,191436000,85766000,-7759000,307161000,576604000,-33671000,-22169000,0,-57337000,111041000,111041000,0,40045000,151086000,670353000,670353000,670353000,302931000,0,608891000,0.83802,0.20581,0.18142,0.03685,0.02098,3.18065,2.62107,0.75638,-6.3108872417681e-30,0.44809,0.44044,2.46986,12.16142,1.42523,0.02821,0.08974,-17.23909,-24.04741
"10","2012_Q3",64.3477777777778,"Down",1123018000,-179185000,943833000,-731898000,-483288000,-248610000,211935000,2159000,-1113000,6957000,-3685000,214094000,214094000,-22330000,191764000,191764000,191764000,191764000,5346869000,2076900000,748698000,748698000,340886000,189182000,6436453000,553124000,2511215000,402425000,1827068000,172190000,109532000,3064339000,9500792000,667294000,77026000,590268000,1850681000,1850681000,2517975000,1662124000,1091709000,570415000,1662124000,4180099000,3381739000,1935771000,3183000,5320693000,5320693000,9500792000,191764000,89434000,67059000,43039000,391296000,-44329000,-628031000,-102200000,-777263000,-144641000,33559000,-178200000,-18645000,-163286000,-549253000,-549253000,-549253000,301369000,0,322409000,0.84044,0.18872,0.17076,0.03604,0.02018,1.68128,2.5562,0.78563,0,0.44895,0.44258,2.62914,12.4565,0.75481,0.02746,0.04617,-17.74193,-25.22882
"11","2012_Q4",62.8837096774194,"Down",1133800000,-179900000,953900000,-7.64e+08,-5.04e+08,-2.6e+08,189900000,5100000,-1600000,7300000,-6e+05,1.95e+08,1.95e+08,-38200000,156800000,156800000,156800000,156800000,4394619000,1480200000,683695000,683695000,357089000,200342000,5435403000,579998000,3864712000,765590000,2893333000,111087000,94702000,4444710000,9880113000,648505000,72462000,576043000,1876208000,1876208000,2524713000,1790601000,1117058000,673543000,1790601000,4315314000,3464084000,2092539000,8176000,5564799000,5564799000,9880113000,156800000,86800000,60700000,131800000,436100000,-7.5e+07,351200000,-1241800000,-973400000,-59400000,69400000,-128800000,-4e+05,-59800000,-597100000,-597100000,-597100000,276700000,0,371700000,0.84133,0.16749,0.1383,0.02818,0.01587,2.37054,2.15288,0.77547,-1.0097419586829e-28,0.36698,0.36195,2.65362,13.0242,0.86995,0.02132,0.05053,-15.88225,-23.14175
