"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",33.1871428571429,"Down",1.665e+09,-6.25e+08,1.04e+09,-4.28e+08,-1.46e+08,-2.82e+08,6.12e+08,-1.58e+08,-8.5e+07,-7.3e+07,4.54e+08,4.54e+08,-1.34e+08,3.2e+08,3.2e+08,3.2e+08,3.2e+08,-10893091434.3013,-10893091434.3013,-790755619.60817,-790755619.60817,728178150.415132,-560194618.046266,-560194618.046266,-11515863521.5406,22995188005.5993,22995188005.5993,280201268.02526,1673318897.61915,443031795.971139,525960989.14523,704326112.368615,24948708171.2437,13432844649.7031,9634547400.16223,2507406517.08928,12141953917.2515,16166751967.1012,5963612511.21377,868822522.473443,4309093983.47834,785696005.261987,22130364478.315,34272318395.5665,205236275.420559,-19228071543.6214,-1816638478.89196,-20839473745.8634,-20839473745.8634,13432844649.7031,3.2e+08,1.46e+08,8.9e+07,5.55e+08,-2.11e+08,2e+07,-1.91e+08,-5.8e+07,1.59e+08,-5.13e+08,1.6e+07,-4.12e+08,-4.8e+07,-4.8e+07,6e+06,-4.2e+07,7.58e+08,0,0.62462,0.36757,0.19219,-1.53700284894156,-0.506135257467997,-18.219757929629,21.5521124799229,1.10115543577925,0.38811,0.38485,2.01941,-27.538592709907,0.07035,-0.539088594763754,0.18125,90.67458315343,131.503369199163
"2","2015_Q3",28.089375,"Down",1.651e+09,-5.38e+08,1.113e+09,-4.67e+08,-1.45e+08,-3.22e+08,6.46e+08,-7.9e+07,-8.4e+07,5e+06,5.67e+08,5.67e+08,-1.77e+08,3.9e+08,3.9e+08,3.9e+08,3.9e+08,-4192045717.15063,-4192045717.15063,51122190.1959149,51122190.1959149,423589075.207566,-220597309.023133,-220597309.023133,-3937931760.77028,19432094002.7996,19432094002.7996,214100634.01263,1597659448.80958,324515897.98557,928480494.572615,344663056.184307,21243854085.6218,17305922324.8516,5179773700.08112,1108203258.54464,6287976958.62576,12497375983.5506,5119306255.60688,812411261.236722,3764546991.73917,542348002.630993,17616682239.1575,23904659197.7832,1281118137.71028,-6249035771.81072,-1630819239.44598,-6598736872.93168,-6598736872.93168,17305922324.8516,3.9e+08,1.45e+08,5e+07,5.85e+08,-3.47e+08,-7e+06,-3.54e+08,-5.7e+07,3.6e+08,-5.32e+08,1.1e+07,-2.29e+08,2000000.00000012,2000000.00000012,-1e+06,1e+06,7.91e+08,0,0.67414,0.39128,0.23622,-0.648741424470782,-0.217022628733999,-7.32832396481452,11.3853662399614,0.749882717889626,0.47648,0.47273,2.0171,-8.69599135495351,0.06964,-0.228889297381877,0.14615,44.554846576715,63.0658845995813
"3","2015_Q4",26.2153125,"Down",1.709e+09,-5.61e+08,1.148e+09,-4.63e+08,-1.49e+08,-3.14e+08,6.85e+08,-2.71e+08,-1.03e+08,-1.68e+08,4.14e+08,4.82e+08,-1.59e+08,3.23e+08,3.23e+08,3.23e+08,3.23e+08,-641015239.050211,-641015239.050211,491040730.065305,491040730.065305,256196358.402522,-29199103.0077109,-29199103.0077109,77022746.4099054,17302031334.2665,17302031334.2665,172700211.337543,1613219816.26986,250505299.328523,1217160164.85754,145554352.061436,19087951361.8739,19164974108.2839,2601591233.36037,337067752.848213,2938658986.20859,10183458661.1835,4653102085.2023,777137087.078907,3481848997.24639,394116000.876998,14836560746.3858,17775219732.5944,1868372712.57009,1043654742.72976,-1522273079.81533,1389754375.68944,1389754375.68944,19164974108.2839,3.23e+08,1.49e+08,2.24e+08,6.96e+08,-1.55e+08,-8e+06,-1.63e+08,-5.7e+07,1.5e+09,-1.518e+09,5e+06,-7.5e+07,4.58e+08,4.58e+08,1.8e+07,4.76e+08,8.34e+08,0,0.67174,0.40082,0.189,-0.149000474823594,-0.0541508762446662,-1.34805132160484,5.61824874665381,0.547670905963209,0.4099,0.40706,2.16878,1.8304062150155,0.07234,-0.0545364324606256,0.17647,19.6351921922383,26.2951615331938
"4","2016_Q1",22.8022950819672,"Down",1.687e+09,-5.39e+08,1.148e+09,-4.71e+08,-1.55e+08,-3.16e+08,6.77e+08,-2.21e+08,-1.22e+08,-9.9e+07,4.56e+08,4.56e+08,-1.37e+08,3.19e+08,3.19e+08,3.19e+08,3.19e+08,6.5e+08,6.5e+08,6.45e+08,6.45e+08,1.88e+08,5.4e+07,5.4e+07,1.537e+09,1.6273e+10,1.6273e+10,1.52e+08,1.675e+09,2.11e+08,1.401e+09,6.3e+07,1.81e+10,1.9637e+10,1.417e+09,3e+07,1.447e+09,8.927e+09,4.467e+09,7.58e+08,3.391e+09,3.18e+08,1.3394e+10,1.4841e+10,2.101e+09,4.172e+09,-1.477e+09,4.796e+09,4.796e+09,1.9637e+10,3.19e+08,1.55e+08,1.49e+08,6.23e+08,-4.14e+08,-1e+06,-4.15e+08,-5.4e+07,-6e+06,-1.81e+08,1.1e+07,-2.41e+08,-3.3e+07,-3.3e+07,2.2e+07,-1.1e+07,8.32e+08,8.957e+09,0.6805,0.4013,0.18909,0.06651,0.01624,1.0622,3.09445,0.45613,0.41809,0.41429,2.21101,6.28571,0.07077,0.02047,0.16928,9.98438,12.27031
"5","2016_Q2",25.2978125,"Up",1.591e+09,-5.1e+08,1.081e+09,-4.28e+08,-1.62e+08,-2.66e+08,6.53e+08,5.7e+07,-1.24e+08,1.81e+08,7.1e+08,7.1e+08,-1.7e+08,5.4e+08,5.4e+08,5.4e+08,5.4e+08,5.71e+08,5.71e+08,6.29e+08,6.29e+08,1.81e+08,6.9e+07,6.9e+07,1.45e+09,1.6013e+10,1.6013e+10,1.48e+08,1.738e+09,1.96e+08,1.489e+09,5.3e+07,1.7899e+10,1.9349e+10,1.143e+09,2.3e+07,1.166e+09,8.43e+09,4.463e+09,7.5e+08,3.422e+09,2.91e+08,1.2893e+10,1.4059e+10,2.113e+09,4.658e+09,-1.481e+09,5.29e+09,5.29e+09,1.9349e+10,5.4e+08,1.62e+08,-4.84e+08,2.18e+08,-2.18e+08,0,-2.18e+08,-5.4e+07,-1.1e+07,5e+06,5e+06,-6.2e+07,-6.2e+07,-6.2e+07,-1.7e+07,-7.9e+07,8.15e+08,8.453e+09,0.67945,0.41043,0.33941,0.10208,0.02791,1.24357,2.65766,0.43687,0.70588,0.70221,2.07974,6.91503,0.07059,0.03263,0.1,9.67117,12.07044
"6","2016_Q3",27.61578125,"Up",1.45e+09,-4.53e+08,9.97e+08,-4.46e+08,-1.61e+08,-2.85e+08,5.51e+08,-1.06e+08,-1.15e+08,9e+06,4.45e+08,4.45e+08,-1.17e+08,3.28e+08,3.28e+08,3.28e+08,3.28e+08,9.2e+07,9.2e+07,5.77e+08,5.77e+08,1.95e+08,5.9e+07,5.9e+07,9.23e+08,1.616e+10,1.616e+10,1.55e+08,1.83e+09,1.95e+08,1.565e+09,7e+07,1.8145e+10,1.9068e+10,1.247e+09,1.98e+08,1.445e+09,8.383e+09,4.549e+09,7.51e+08,3.512e+09,2.86e+08,1.2932e+10,1.4377e+10,2.049e+09,4.113e+09,-1.471e+09,4.691e+09,4.691e+09,1.9068e+10,3.28e+08,1.61e+08,2.3e+07,5.12e+08,-3.19e+08,-2e+06,-3.21e+08,-5.3e+07,1.69e+08,-7.84e+08,4e+06,-6.69e+08,-4.78e+08,-4.78e+08,-1e+06,-4.79e+08,7.12e+08,8.581e+09,0.68759,0.38,0.22621,0.06992,0.0172,0.63875,3.0648,0.45002,0.43243,0.42988,1.91167,6.18457,0.06987,0.02138,0.16159,11.92275,15.40653
"7","2016_Q4",27.8466666666667,"Up",1.554e+09,-4.71e+08,1.083e+09,-4.26e+08,-1.55e+08,-2.71e+08,6.57e+08,-1.87e+08,-1.16e+08,-7.1e+07,4.7e+08,4.7e+08,-1.23e+08,3.47e+08,3.47e+08,3.47e+08,3.47e+08,1.03e+08,1.03e+08,6.05e+08,6.05e+08,1.92e+08,6.4e+07,6.4e+07,9.64e+08,1.6382e+10,1.6382e+10,1.69e+08,1.906e+09,1.98e+08,1.638e+09,7e+07,1.8457e+10,1.9421e+10,1.246e+09,3.91e+08,1.637e+09,8.488e+09,4.627e+09,7.56e+08,3.591e+09,2.8e+08,1.3115e+10,1.4752e+10,2.043e+09,4.059e+09,-1.433e+09,4.669e+09,4.669e+09,1.9421e+10,3.47e+08,1.55e+08,8.9e+07,5.91e+08,-2.78e+08,0,-2.78e+08,-7.5e+07,1.78e+08,-4.07e+08,5e+06,-3.04e+08,9e+06,9e+06,2e+06,1.1e+07,8.12e+08,8.879e+09,0.69691,0.42278,0.22329,0.07432,0.01787,0.58888,3.15956,0.45719,0.47115,0.46797,2.10998,6.33944,0.10183,0.02322,0.21614,10.80788,13.35769
"8","2017_Q1",28.0637096774194,"Up",1.637e+09,-6.69e+08,9.68e+08,-4.18e+08,-1.62e+08,-2.56e+08,5.5e+08,-1.9e+08,-1.16e+08,-7.4e+07,3.6e+08,5.27e+08,-1.43e+08,3.84e+08,3.84e+08,3.84e+08,3.84e+08,1.64e+08,1.64e+08,5.91e+08,5.91e+08,1.84e+08,7e+07,7e+07,1.009e+09,1.6689e+10,1.6689e+10,1.94e+08,1.329e+09,2.02e+08,1.07e+09,5.7e+07,1.8212e+10,1.9221e+10,1.322e+09,2.5e+07,1.347e+09,8.659e+09,4.589e+09,7.34e+08,3.571e+09,2.84e+08,1.3248e+10,1.4595e+10,2.054e+09,4.371e+09,-1.799e+09,4.626e+09,4.626e+09,1.9221e+10,3.84e+08,1.62e+08,2.22e+08,7.68e+08,-2.51e+08,-1e+06,-2.52e+08,-7.3e+07,-3.82e+08,-3e+06,7e+06,-4.58e+08,57999999.9999999,57999999.9999999,3e+06,60999999.9999999,7.12e+08,8.684e+09,0.59133,0.33598,0.23458,0.08301,0.01998,0.74907,3.15499,0.4518,0.52459,0.52138,2.23634,6.31967,0.09973,0.02553,0.1901,11.96629,15.49091
"9","2017_Q2",29.3807936507937,"Up",1.603e+09,-5.19e+08,1.084e+09,-4.8e+08,-1.66e+08,-3.14e+08,6.04e+08,-9.2e+07,-1.2e+08,2.8e+07,5.12e+08,5.79e+08,-1.48e+08,4.31e+08,4.31e+08,4.31e+08,4.31e+08,2.01e+08,2.01e+08,6.31e+08,6.31e+08,2.01e+08,7.7e+07,7.7e+07,1.11e+09,1.6661e+10,1.6661e+10,1.83e+08,1.443e+09,2e+08,1.165e+09,7.8e+07,1.8287e+10,1.9397e+10,1.148e+09,3.1e+07,1.179e+09,8.583e+09,4.597e+09,7.3e+08,3.64e+09,2.27e+08,1.318e+10,1.4359e+10,2.078e+09,4.729e+09,-1.769e+09,5.038e+09,5.038e+09,1.9397e+10,4.31e+08,1.66e+08,-2.86e+08,3.11e+08,-2.27e+08,5e+06,-2.22e+08,-7.3e+07,-5e+06,2.8e+07,2.8e+07,-5e+07,3.9e+07,3.9e+07,-2e+06,3.7e+07,7.7e+08,8.614e+09,0.67623,0.37679,0.26887,0.08555,0.02222,0.94148,2.85014,0.44409,0.5884,0.586,2.1884,6.87782,0.09966,0.02762,0.16937,10.92597,13.92881
"10","2017_Q3",30.2177777777778,"Up",1.643e+09,-5.53e+08,1.09e+09,-4.79e+08,-1.65e+08,-3.14e+08,6.11e+08,-6.1e+07,-1.22e+08,6.1e+07,5.5e+08,6.18e+08,-1.38e+08,4.8e+08,4.8e+08,4.8e+08,4.8e+08,2.38e+08,2.38e+08,6.04e+08,6.04e+08,1.92e+08,8.5e+07,8.5e+07,1.119e+09,1.6703e+10,1.6703e+10,1.86e+08,1.529e+09,1.95e+08,1.261e+09,7.3e+07,1.8418e+10,1.9537e+10,1.183e+09,7.62e+08,1.945e+09,7.66e+09,4.599e+09,7.29e+08,3.648e+09,2.22e+08,1.2259e+10,1.4204e+10,2.08e+09,4.993e+09,-1.74e+09,5.333e+09,5.333e+09,1.9537e+10,4.8e+08,1.65e+08,-3.4e+07,6.11e+08,-3.33e+08,-9.31322574615479e-10,-3.33e+08,-7.3e+07,-9000000.00000006,-1.33e+08,9e+06,-2.37e+08,4.1e+07,4.1e+07,-4e+06,3.7e+07,7.76e+08,8.422e+09,0.66342,0.37188,0.29215,0.09001,0.02457,0.57532,2.66342,0.43108,0.65529,0.65351,2.243,7.28055,0.09966,0.03013,0.15208,10.54639,13.39444
