"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2014_Q4",38.1634375,"Down",-27151351,-2351991,-24799360,-27151351,-3846,10988,-27155197,-27155197,-27155197,-27155197,-27155197,-27155197,23639558,23639558,583539,583539,24223097,49069399,14869399,49104965,73328062,3179145,942228,2236917,3179145,13433760,0,13433760,16612905,124004225,-67289068,56715157,56715157,73328062,-27155197,906132,-937091,-27160548,50353836,23159549,23159549,23159549,0,-0.4788,-0.37032,7.61937,0.29292,0,-12.23733,-12.23733,25.55835,-0.38711,0.87066
"2","2015_Q1",41.4034426229508,"Up",-7445916.99999999,-4477309,-2968608,-7445917,3754.99999999994,3752,-7442162,-7442162.00000001,-7442162,-7442162,-7442162,-7442162,18545702,18545702,791993,756979,19337695,49069399,14869399,49112845,68450540,3509491,641813,2867678,3509491,13441454,7694,13441454,16950945,126230825,-74731230,51499595,51499595,68450540,-7442162,2246600,174851,-5016721,-30251.0000000149,-5093856,-5093856,-5093856,0,-0.14451,-0.10872,5.51011,0.32915,0,-3.19444,-3.19444,22.10544,-0.1146,2.49072
"3","2015_Q2",42.6674603174603,"Up",-5878498,-1917293,-3961205,-5878498,-214749,15960,-6093247,-6093247,-6093247,-6093247,-6093247,-6093247,52200985,52200985,543317,503317,52744302,49069399,14869399,49103134,101847436,4267553,1034772,3232781,4425816,13438889,5129,22985750,27411566,155260347,-80824477,74435870,74435870,101847436,-6093247,403492,770729,-4909315,38569584,33655283,33655283,33655283,9705124,-0.08186,-0.05983,11.91742,0.36826,0.09529,-2.51053,-2.51053,30.66892,-0.06244,7.22903
"4","2015_Q3",45.9278125,"Up",-6332324,-1847636,-4484688,-6332324,-277810,-29112,-6610134,-6610134,-6610134,-6610134,-6610134,-6610134,35386432,21735546,388976,308976,35775408,49069399,14869399,58548051,94323459,2725039,564289,2160750,3812459,13436325,2565,22133124,25945583,155812487,-87434611,68377876,68377876,94323459,-6610134,692878,-1112307,-7030637,-232225,-30465439,-30465439,-30465439,9784219,-0.09667,-0.07008,9.38381,0.37944,0.10373,-2.1391,-2.1391,22.12774,-0.07216,4.0431
"5","2015_Q4",41.73765625,"Down",-5704655,-1876458,-3828197,-5704655,-234367,-2280,-5939022,-5939022,-5939022,-5939022,-5939022,-5939022,37487536,16836667,1323414,1243414,38810950,49069399,14869399,50507233,89318183,2959429,734798,2224631,3211023,13433760,0,23039844,26250867,156440949,-93373633,63067316,63067316,89318183,-5939022,851100,-643252,-5726854,0,-4898879,-4898879,-4898879,9857678,-0.09417,-0.06649,12.08679,0.41624,0.11037,-1.92192,-1.92192,20.40919,-0.06877,4.84339
"6","2016_Q1",42.6977049180328,"Up",-8194142,-1934869,-6259273,-8194142,-245087,-421,-8439229,-8439229,-8439229,-8439229,-8439229,-8439229,32204686,14284054,1276136,1196136,33480822,49069399,14869399,49095569,82576391,3885207,1360569,2524638,5319963,13433760,-4.54747350886464e-13,21936871,27256834,157132419,-101812862,55319557,55319557,82576391,-8439229,879482,952815,-6602613,0,-2552612.99999999,-2552612.99999999,-2552612.99999999,9937867,-0.15255,-0.1022,6.29343,0.49272,0.12035,-2.72345,-2.72345,17.85235,-0.10724,2.71741
"7","2016_Q2",63.57875,"Up",-7756906,-2382042,-5374864,-7756906,-247504,-9512,-8004410,-8004410,-8004410,-8004410,-8004410,-8004410,44639854,34822042,697780,617780,45337634,49069399,14869399,49091249,94428883,4325835,1223959,3101876,6969461,13433760,0,20809973,27779434,176466721,-109817272,66649449,66649449,94428883,-8004410,944164,1006840,-6049086,18544074,20537988,20537988,20537988,10019839,-0.1201,-0.08477,6.50519,0.4168,0.10611,-2.354,-2.354,19.60083,-0.08884,4.46312
"8","2016_Q3",97.031875,"Up",-4964504,-2250206,-2714298,-4964504,-249105,-15462,-5213609,-5213609,-5213609,-5213609,-5213609,-5213609,97057319,88670421,358157,278157,97415476,49069399,14869399,49086930,146502406,2359861,876507,1483354,6238445,13433760,0,19658936,25897381,235635906,-115030881,120605025,120605025,146502406,-5213609,955706,-1801145,-6054729,58503108,53848379,53848379,53848379,10103760,-0.04323,-0.03559,15.61535,0.21473,0.06897,-1.43219,-1.43219,33.13051,-0.03617,17.51505
"9","2016_Q4",102.074285714286,"Up",-8231930,-2379809,-5852121,-8231930,-191359,-2578,-8423289,-8423289,-8423289,-8423289,-8423289,-8423289,91853081,91853081,782359,702359,92635440,49069399,14869399,49082610,141718050,5347872,833229,4514643,10098507,13433760,0,18482493,28581000,236591220,-123454170,113137050,113137050,141718050,-8423289,1032162,2730507,-4656300,-536040,3182660,3182660,3182660,9799368,-0.07445,-0.05944,9.17318,0.25262,0.06915,-1.93604,-1.93604,26.00384,-0.06177,9.96774
"10","2017_Q1",77.658064516129,"Down",-9237356,-2738645,-6498711,-9237356,-166708,4157,-9404064,-9404064,-9404064,-9404064,-9404064,-9404064,82980609,82980609,883241,803241,83863850,49069399,14869399,49079039,132942889,4832106,1468341,3363765,9685859,13433760,2.91038304567337e-11,17274822,26960681,238840442,-132858234,105982208,105982208,132942889,-9404064,1089582,-616648,-8927559,55087,-8872472,-8872472,-8872472,8694815,-0.08873,-0.07074,8.65838,0.25439,0.0654,-2.1541,-2.1541,24.27636,-0.07341,8.04189
