"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",6.04936507936508,"Up",8.71e+08,-3.78e+08,4.93e+08,-4.5e+08,-2.59e+08,-5.7e+07,-1.34e+08,4.3e+07,-4.4e+07,-4.5e+07,1e+06,-1e+06,-1e+06,132020559.152804,-1e+06,-1e+06,-1e+06,-1e+06,1000002862.66947,205559971.072512,794442891.596955,20235651.3683083,20235651.3683083,199392079.351096,-314655547.662951,1435978508.79976,4575029720.19526,5337409084.6132,-762379364.417934,-245049539.01179,382194661.411868,382194661.411868,4712174842.59534,6148153351.3951,296105428.428309,60474445.9550579,235630982.473251,321874538.654554,481879589.386514,481879589.386514,1099859556.46938,2801716202.16264,836488105.074158,194010900.422165,642477204.651993,3638204307.2368,4738063863.70617,1446466387.27981,-4567954.65888828,1410089487.68893,1410089487.68893,6148153351.3951,-1e+06,5.9e+07,1.3e+07,1.58e+08,2.29e+08,-4e+07,1.43e+08,-2.15e+08,-1.12e+08,-1.87e+08,1e+06,1e+06,2e+06,-1.84e+08,-6.7e+07,-6.7e+07,-6.7e+07,1.02e+08,0,-558536024.58466,0.56602,0.04937,-0.00115,-0.125153125101862,-0.0315313943039466,-57.6077586794333,1.32328587501016,3.35097562317948,0.504489834204026,-0.00384,-0.00301,3.34375,5.17888112708907,-2.01748831252142,-0.0365554840495218,-0.0972308795153869,47.4162779018731,106.685965001491
"2","2010_Q3",5.98828125,"Down",9.4e+08,-4.09e+08,5.31e+08,-4.36e+08,-2.61e+08,-5.4e+07,-1.21e+08,9.5e+07,-4.3e+07,-4.4e+07,1e+06,5.2e+07,5.2e+07,-2.1e+07,3.1e+07,3.1e+07,3.1e+07,3.1e+07,9.9e+08,4.77e+08,5.13e+08,9.5e+07,9.5e+07,2.69e+08,2.6e+08,1.354e+09,4.643e+09,5.453e+09,-8.1e+08,1.69e+08,4.15e+08,4.15e+08,5.227e+09,6.581e+09,3.77e+08,1.15e+08,2.62e+08,2.2e+08,5.79e+08,5.79e+08,1.176e+09,2.896e+09,9.47e+08,2.79e+08,6.68e+08,3.843e+09,5.019e+09,1.437e+09,1.52e+08,1.562e+09,1.562e+09,6.581e+09,3.1e+07,5.7e+07,3e+07,9e+06,1.27e+08,-9.1e+07,-3.2e+07,-3.61e+08,-4.84e+08,-3e+06,4e+06,4e+06,4e+06,4999999.99999997,-3.52e+08,-3.52e+08,-3.52e+08,1.52e+08,3.116e+09,9.1e+07,0.56489,0.10106,0.03298,0.01985,0.00471,2.93548,1.15136,3.21319,0.47348,0.11287,0.08966,3.42261,5.68736,0.33134,0.00551,0.01618,13.98684,22.37895
"3","2010_Q4",6.801875,"Up",1.03e+09,-4.28e+08,6.02e+08,-4.62e+08,-2.74e+08,-5.4e+07,-1.34e+08,1.4e+08,-4.3e+07,-4.4e+07,1e+06,9.7e+07,9.7e+07,-3.8e+07,5.9e+07,5.9e+07,5.9e+07,5.9e+07,9.45e+08,4.98e+08,4.47e+08,9.3e+07,9.3e+07,2.69e+08,2.62e+08,1.307e+09,4.642e+09,5.5e+09,-8.58e+08,2.19e+08,4.41e+08,4.41e+08,5.302e+09,6.609e+09,3.96e+08,1.17e+08,2.79e+08,1.84e+08,5.32e+08,5.32e+08,1.112e+09,2.88e+09,9.88e+08,3.17e+08,6.71e+08,3.868e+09,4.98e+09,1.441e+09,2.11e+08,1.629e+09,1.629e+09,6.609e+09,5.9e+07,5.7e+07,5.6e+07,-3.8e+07,1.34e+08,-6.7e+07,1.66e+08,-1.62e+08,-6.3e+07,-5.2e+07,0,0,2e+06,-5e+07,2.1e+07,2.1e+07,2.1e+07,1.97e+08,3.064e+09,1.3e+08,0.58447,0.13592,0.05728,0.03622,0.00893,2.20339,1.17536,3.05709,0.46361,0.21397,0.17006,3.73534,5.90763,0.47145,0.01039,0.02288,10.75635,15.13571
"4","2011_Q1",6.13096774193548,"Down",9.38e+08,-4.26e+08,5.12e+08,-4.57e+08,-2.76e+08,-5.5e+07,-1.26e+08,5.5e+07,-4.2e+07,-4.3e+07,1e+06,1.3e+07,1.3e+07,-5e+06,7999999.99999999,7999999.99999999,7999999.99999999,7999999.99999999,9.6e+08,4.65e+08,4.95e+08,8.4e+07,8.4e+07,2.67e+08,1.48e+08,1.36e+09,4.641e+09,5.547e+09,-9.06e+08,1.33e+08,4.59e+08,4.59e+08,5.233e+09,6.593e+09,3.96e+08,1.04e+08,2.92e+08,1.83e+08,5.14e+08,5.14e+08,1.093e+09,2.85e+09,9.96e+08,3.27e+08,6.69e+08,3.846e+09,4.939e+09,1.449e+09,2.19e+08,1.654e+09,1.654e+09,6.593e+09,7999999.99999999,5.7e+07,2.1e+07,-5.3e+07,3.3e+07,-5.1e+07,1.2e+08,-1.06e+08,-3.7e+07,2.5e+07,4e+06,4e+06,-5.8e+07,-2.9e+07,-3.3e+07,-3.3e+07,-3.3e+07,1.12e+08,3.033e+09,1.3e+07,0.54584,0.05864,0.00852999999999999,0.00484,0.00121,1.625,1.24428,2.98609,0.46003,0.02894,0.023,3.39335,5.98358,0.04703,0.00141,0.00229,18.50893,37.69091
"5","2011_Q2",5.87444444444444,"Down",1.012e+09,-4.96e+08,5.16e+08,-4.71e+08,-2.8e+08,-5.6e+07,-1.35e+08,4.5e+07,-3.9e+07,-4e+07,1e+06,6e+06,6e+06,-3e+06,3e+06,3e+06,3e+06,3e+06,1.109e+09,5.5e+08,5.59e+08,1.26e+08,1.26e+08,3.14e+08,3.11e+08,1.549e+09,4.699e+09,5.653e+09,-9.54e+08,1.26e+08,4.69e+08,4.69e+08,5.294e+09,6.843e+09,4.15e+08,1.09e+08,3.06e+08,1.88e+08,6.68e+08,6.68e+08,1.271e+09,2.89e+09,1.005e+09,3.29e+08,6.76e+08,3.895e+09,5.166e+09,1.453e+09,2.22e+08,1.677e+09,1.677e+09,6.843e+09,3e+06,5.9e+07,1.7e+07,1.52e+08,2.31e+08,-1.16e+08,2.9e+07,-9.8e+07,-1.85e+08,4.4e+07,0,0,-5e+06,3.9e+07,8.5e+07,8.5e+07,8.5e+07,1.04e+08,3.078e+09,1.43e+08,0.50988,0.04447,0.00296,0.00179,0.00044,47.66667,1.21873,3.0805,0.4498,0.01082,0.01074,3.64999,6.04845,0.51576,0.00052,0.02483,18.93269,43.75556
"6","2011_Q3",4.6403125,"Down",1.151e+09,-5.92e+08,5.59e+08,-4.73e+08,-2.86e+08,-5.8e+07,-1.29e+08,8.6e+07,-4.3e+07,-4.4e+07,1e+06,4.3e+07,4.3e+07,-1.8e+07,2.5e+07,2.5e+07,2.5e+07,2.5e+07,1.173e+09,5.75e+08,5.98e+08,1.14e+08,1.14e+08,2.75e+08,2.75e+08,1.562e+09,4.737e+09,5.742e+09,-1.005e+09,1.33e+08,4.76e+08,4.76e+08,5.346e+09,6.908e+09,4.15e+08,1.02e+08,3.13e+08,1.9e+08,7.05e+08,7.05e+08,1.31e+09,2.893e+09,1.015e+09,3.48e+08,6.67e+08,3.908e+09,5.218e+09,1.463e+09,2.47e+08,1.69e+09,1.69e+09,6.908e+09,2.5e+07,6.2e+07,3.5e+07,5.3e+07,1.75e+08,-8.8e+07,9.7e+07,-1.63e+08,-1.54e+08,5e+06,5e+06,5e+06,-5999999.99999999,4e+06,2.5e+07,2.5e+07,2.5e+07,1.48e+08,3.083e+09,1.31e+08,0.48566,0.07472,0.02172,0.01479,0.00362,5.24,1.19237,3.08757,0.44629,0.08978,0.0746,4.13337,6.06899,0.47044,0.00432,0.02263,12.90541,22.2093
"7","2011_Q4",4.43809523809524,"Down",1.195e+09,-6.1e+08,5.85e+08,-4.77e+08,-2.85e+08,-5.7e+07,-1.35e+08,1.08e+08,-5.2e+07,-5.3e+07,1e+06,5.6e+07,5.6e+07,-2.1e+07,3.5e+07,3.5e+07,3.5e+07,3.5e+07,1.21e+09,6.32e+08,5.78e+08,9.9e+07,9.9e+07,3.03e+08,3.03e+08,1.612e+09,4.799e+09,5.852e+09,-1.053e+09,2.9e+07,4.71e+08,4.71e+08,5.299e+09,6.911e+09,4.26e+08,1.16e+08,3.1e+08,1.93e+08,6.77e+08,6.77e+08,1.296e+09,2.864e+09,1.044e+09,3.68e+08,6.76e+08,3.908e+09,5.204e+09,1.467e+09,2.82e+08,1.707e+09,1.707e+09,6.911e+09,3.5e+07,6e+07,4.8e+07,-4.9e+07,9.4e+07,-1.08e+08,1.85e+08,-8.3e+07,-6e+06,-3.2e+07,0,0,1e+06,-3.1e+07,5.7e+07,5.7e+07,5.7e+07,1.68e+08,3.057e+09,3.2e+07,0.48954,0.09038,0.02929,0.0205,0.00506,0.914289999999999,1.24383,3.04862,0.44234,0.1254,0.08166,4.2814,6.11578,0.11465,0.00603,0.00551,10.99405,17.10185
"8","2012_Q1",5.42096774193548,"Up",1.146e+09,-5.73e+08,5.73e+08,-4.9e+08,-2.95e+08,-6.2e+07,-1.33e+08,8.3e+07,-4.3e+07,-4.5e+07,2e+06,4e+07,4e+07,-1.7e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,1.226e+09,6.73e+08,5.53e+08,1.01e+08,1.01e+08,2.51e+08,1.47e+08,1.628e+09,4.86e+09,5.965e+09,-1.105e+09,3.8e+07,5.45e+08,5.45e+08,5.443e+09,7.071e+09,4.99e+08,1.48e+08,3.51e+08,2.86e+08,6.27e+08,6.27e+08,1.412e+09,2.85e+09,1.052e+09,3.92e+08,6.6e+08,3.902e+09,5.314e+09,1.475e+09,3.05e+08,1.757e+09,1.757e+09,7.071e+09,2.3e+07,6.6e+07,3.8e+07,-1.3e+07,1.14e+08,-1.68e+08,1.63e+08,-1.52e+08,-1.57e+08,7.8e+07,5e+06,5e+06,1e+06,8.4e+07,4.1e+07,4.1e+07,4.1e+07,1.49e+08,3.136e+09,-1.5e+07,0.5,0.07243,0.02007,0.01309,0.00325,-0.65217,1.15297,3.02447,0.4435,0.08217,0.06709,4.09409,6.27688,-0.05359,0.00387,-0.00252,12.81879,23.01205
"9","2012_Q2",4.84857142857143,"Down",1.203e+09,-6.2e+08,5.83e+08,-4.94e+08,-3.02e+08,-6.1e+07,-1.31e+08,8.9e+07,-4e+07,-4.2e+07,2e+06,4.9e+07,4.9e+07,-1.9e+07,3e+07,3e+07,3e+07,3e+07,1.225e+09,6.52e+08,5.73e+08,1.38e+08,1.38e+08,3.01e+08,3.01e+08,1.664e+09,4.933e+09,6.088e+09,-1.155e+09,0,5.46e+08,5.46e+08,5.479e+09,7.143e+09,4.8e+08,1.32e+08,3.48e+08,2.05e+08,7.94e+08,7.94e+08,1.479e+09,2.798e+09,1.065e+09,4.09e+08,6.56e+08,3.863e+09,5.342e+09,1.48e+09,3.35e+08,1.801e+09,1.801e+09,7.143e+09,3e+07,6.4e+07,1.8e+07,1.82e+08,2.94e+08,-1.69e+08,1.67e+08,-1.69e+08,-1.71e+08,-1.35e+08,2e+06,2e+06,-9e+06,-1.42e+08,-1.9e+07,-1.9e+07,-1.9e+07,1.53e+08,3.003e+09,1.85e+08,0.48462,0.07398,0.02494,0.01666,0.0042,6.16667,1.12508,2.96613,0.42041,0.10668,0.08751,4.278,6.40456,0.65788,0.00511,0.03152,11.62092,19.97753
"10","2012_Q3",5.18111111111111,"Up",1.277e+09,-6.4e+08,6.37e+08,-5.07e+08,-3.19e+08,-6.3e+07,-1.25e+08,1.3e+08,-4.4e+07,-4.6e+07,2e+06,8.6e+07,8.6e+07,-3.4e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,1.212e+09,6.52e+08,5.6e+08,1.29e+08,1.29e+08,2.84e+08,2.84e+08,1.625e+09,5.033e+09,6.247e+09,-1.214e+09,0,4.74e+08,4.74e+08,5.507e+09,7.132e+09,5.38e+08,1.74e+08,3.64e+08,2.67e+08,7.73e+08,7.73e+08,1.578e+09,2.626e+09,1.087e+09,4.42e+08,6.45e+08,3.713e+09,5.291e+09,1.488e+09,3.87e+08,1.841e+09,1.841e+09,7.132e+09,5.2e+07,6.6e+07,3e+07,4.8e+07,1.96e+08,-9.9e+07,6.6e+07,-5.9e+07,-9.2e+07,-1.11e+08,4e+06,4e+06,1e+06,-1.06e+08,-2e+06,-2e+06,-2e+06,1.96e+08,2.893e+09,1.79e+08,0.49883,0.1018,0.04072,0.02825,0.00729,3.44231,1.02978,2.87398,0.40564,0.18407,0.15126,4.52045,6.51695,0.63364,0.00893,0.03075,8.57653,12.93077
