"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.2415873015873,"Up",158240000,-92241000,65999000,-43356000,-43060000,22643000,-1404000,-1471000,67000,21239000,21220000,-8009000,13211000,13211000,13211000,13211000,-84982340.5007759,-84982340.5007759,-8051316.07381319,-8051316.07381319,134982008.58317,34612218.5463566,17249857.6550986,76560570.5549379,275016480.829285,477279849.485496,-384532578.389894,-465620402.903003,100059110.623096,-109516097.560609,-32955527.0056709,-283015726.767463,115892410.767943,-51719035.1553897,215880540.819993,-25141363.8366824,-25141363.8366826,-92276549.7841521,-148268033.127256,2485011.34920002,5263995.99033832,-145783021.778056,-238059571.562208,49000.0000000789,445232840.329467,-456654056.611955,219425219.381654,-2948958.54262798,205104044.556538,205104044.556538,-32955527.0056709,13211000,5550000,-164000,-5827000,12770000,-3088000,38000,-3126000,-3126000,-7106000,-10194000,-1849000,-10425000,-10425000,-59943000,989000,989000,-10825000,-8249000,-8249000,-8249000,28193000,0,27287000,0.41708,0.14309,0.08349,-0.432025909167874,-0.24123958843202,2.06548,3.12947303773546,-0.669946274221111,0.257010432474834,0.44047,0.41868,5.2759,6.52533616752667,0.90978,0.06165,-0.305205275969792,-4.11861330574292,0.13996,24.907639603813,40.0806006452196
"2","2010_Q3",23.524375,"Up",162101000,-95735000,66366000,-43434000,-43139000,22932000,-1135000,-1208000,73000,21797000,21566000,-8242000,13324000,13324000,13324000,13324000,-36699170.2503879,-36699170.2503879,-2886158.0369066,-2886158.0369066,109489504.291585,27949109.2731783,15611928.8275493,97853285.277469,234476240.414642,431205424.742748,-120431789.194947,-166934201.451501,48129555.3115481,114044451.219696,211897736.497165,-82066363.3837314,70617205.3839716,1053482.42230517,108758770.409997,-1750681.91834119,-1750681.91834129,24941725.107924,-61547516.5636282,11982005.6746,10840497.9951692,-49565510.8890282,-24623785.7811042,49000.0000000395,245603920.164733,-236133528.305978,229265609.690827,-2263479.27131399,236521522.278269,236521522.278269,211897736.497165,13324000,5503000,260000,-1060000,18027000,-3414000,60000,-3474000,-3474000,0,-3414000,-1855000,-13148000,-13148000,-51951000,1481000,1481000,-13198000,1415000,1415000,1415000,28435000,3.72529029846191e-09,32203000,0.40941,0.14147,0.0822,-0.190117954583937,-0.10564479421601,2.41692,1.91241651886773,0.0179318628894446,0.160975216237417,0.44232,0.41987,5.3813,7.69920308376334,1.06905,0.06158,-0.129282637984896,-1.79845165287146,0.13922,12.7119648019065,20.3217303226098
"3","2010_Q4",28.39265625,"Up",165529000,-100811000,64718000,-46301000,-46892000,18417000,-757000,-1184000,427000,17660000,17910000,-6852000,11058000,11058000,11058000,11058000,-9322723.41679598,-9322723.41679598,245280.654364468,245280.654364468,99292501.4305284,25284036.4243928,15654976.2758498,115499095.09249,211004413.471547,406773474.914249,40165403.6016844,11039932.8494995,20523851.770516,251169817.073232,366668912.165722,31173212.2054229,47999401.7946572,28369494.1407684,44706590.1366655,10932439.3605529,10932439.3605529,86812241.7026413,1233827.81212394,17513668.5582,14182832.6650564,18747496.3703239,105559738.072965,49000.0000000132,139289973.388244,-117471842.768659,241048536.563609,-1806493.090438,261109174.092756,261109174.092756,366668912.165722,11058000,5760000,2101000,4695000,23614000,-3578000,16000,-3594000,-3594000,-3126000,-6704000,-2490000,-19413000,-19413000,-54681000,1606000,1606000,-19215000,-2305000,-2305000,-2305000,24177000,0,32146000,0.39098,0.11126,0.0668,-0.0438359848613124,-0.0233315980720034,2.90704,1.32826550628924,0.423120620963148,0.123231738745806,0.36523,0.34607,5.46715,8.57488769458778,1.06173,0.08224,-0.0229975459949653,-0.505650550957154,0.22518,5.7527116006355,8.9045101075366
"4","2011_Q1",27.983064516129,"Down",150808000,-90379000,60429000,-46036000,-46036000,14393000,-1152000,-1232000,80000,13241000,13241000,-4993000,8248000,8248000,8248000,8248000,2670000,2670000,1821000,1821000,98964000,25328000,16661000,128783000,200596000,398524000,122461000,98535000,10420000,323057000,451840000,80353000,41301000,37920000,13033000,16054000,16054000,109440000,41990000,20161000,15808000,62151000,171591000,49000,100231000,-72317000,253864000,-1578000,280249000,280249000,451840000,8248000,5567000,904000,-3610000,11109000,-7284000,29000,-7313000,-7313000,38999.9999999981,-7245000,-2496000,-1904000,-1904000,-52313000,991000,991000,-3235000,628999.999999999,628999.999999999,628999.999999999,19960000,55023000,14059000,0.4007,0.09544,0.05469,0.02943,0.01825,1.70453,1.17675,0.61228,0.12178,0.27125,0.25785,4.95965,9.21498,0.46236,0.08209,0.03023,0.03955,0.30262,2.6229,3.63739
"5","2011_Q2",27.451746031746,"Down",164817000,-94006000,70811000,-44669000,-44669000,26142000,-1024000,-1124000,1e+05,25118000,25118000,-9676000,15442000,15442000,15442000,15442000,4802000,4802000,2319000,2319000,103077000,26792000,17912000,136990000,199246000,400997000,151657000,125784000,10996000,350903000,487893000,89123000,43784000,37396000,3047000,16760000,16760000,108930000,62635000,21005000,16233000,83640000,192570000,49000,102367000,-72317000,266802000,-1578000,295323000,295323000,487893000,15442000,5640000,983000,6869000,28934000,-3667000,54000,-3721000,-3721000,-32701000,-36368000,-2504000,11157000,11157000,-40392000,887000,887000,9566000,2132000,2132000,2132000,31782000,65682000,44660000,0.42963,0.15861,0.09369,0.05229,0.03165,2.89211,1.2576,0.65207,0.13462,0.50634,0.48277,5.40437,9.68207,1.46441,0.08211,0.04698,0.11691,0.16216,1.91555,2.32882
"6","2011_Q3",31.4984375,"Up",173257000,-101943000,71314000,-46123000,-46123000,25191000,-1208000,-1332000,124000,23983000,23983000,-8866000,15117000,15117000,15117000,15117000,2728000,2728000,2312000,2312000,105698000,27300000,17747000,138038000,202532000,407878000,155757000,126445000,14715000,358289000,496327000,83969000,48641000,35328000,3276000,16890000,16890000,104135000,62427000,21444000,16032000,83871000,188006000,49000,117264000,-86493000,279079000,-1578000,308321000,308321000,496327000,15117000,5862000,1671000,-13369000,9281000,-7492000,23000,-7515000,-7515000,168000.000000007,-7324000,-2840000,-2313000,-2313000,-60393000,950000,950000,-4031000,-2074000,-2074000,-2074000,31053000,65703000,19058000,0.41161,0.1454,0.08725,0.04903,0.03046,1.2607,1.32557,0.60977,0.13238,0.49313,0.46348,5.65183,10.05617,0.62169,0.09264,0.04541,0.04819,0.18787,2.02798,2.4999
"7","2011_Q4",32.4506349206349,"Up",176733000,-108954000,67779000,-45147000,-45147000,22632000,-1174000,-1207000,33000,21458000,21458000,-7907000,13551000,13551000,13551000,13551000,1971000,1971000,2278000,2278000,101400000,25563000,15448000,131212000,206449000,413707000,159963000,130751000,14755000,366412000,497624000,88541000,49134000,39407000,3029000,19590000,19590000,111160000,43280000,22559000,15722000,65839000,176999000,49000,118862000,-86493000,289785000,-1578000,320625000,320625000,497624000,13551000,5914000,26000,13336000,32827000,-5719000,1998000,-7717000,-7717000,-5310000,-11029000,-2845000,-20680000,-20680000,-53960000,923000,923000,-22555000,-757000,-757000,-757000,28546000,46309000,44070000,0.38351,0.12806,0.07667,0.04226,0.02723,3.25216,1.18039,0.55204,0.09306,0.43961,0.42179,5.73343,10.39987,1.42968,0.0923,0.0421,0.11315,0.20995,1.55321,1.95908
"8","2012_Q1",37.331935483871,"Up",171745000,-105252000,66493000,-49042000,-49042000,17451000,-1324000,-1557000,233000,16127000,16127000,-5625000,10502000,10502000,10502000,10502000,3257000,3257000,1828000,1828000,97356000,31859000,20567000,134300000,212994000,424425000,162798000,132656000,14970000,375792000,510092000,86913000,45349000,41564000,3908000,18973000,18973000,109794000,51164000,21635000,15211000,72799000,182593000,49000,120058000,-86493000,297440000,-3555000,327499000,327499000,510092000,10502000,6167000,1636000,-6721000,11584000,-9576000,27000,-9603000,-9603000,-1400000,-10976000,-2847000,3102000,3102000,-43491000,374000,374000,678000,1286000,1286000,1286000,23618000,55072000,12946000,0.38716,0.10161,0.06115,0.03207,0.02059,1.23272,1.2232,0.55754,0.10796,0.34001,0.32596,5.56043,10.60155,0.41914,0.09217,0.03303,0.03203,0.27109,2.19388,2.96917
"9","2012_Q2",32.2860317460317,"Down",169175000,-101063000,68112000,-48423000,-48423000,19689000,-1246000,-1299000,53000,18443000,18443000,-6806000,11637000,11637000,11637000,11637000,1076000,1076000,2514000,2514000,105362000,34255000,23252000,143207000,217206000,432013000,202503000,172256000,13018000,419709000,562916000,92629000,49582000,37708000,3470000,18941000,18941000,115040000,88208000,21613000,15370000,109821000,224861000,49000,122315000,-86660000,305906000,-3555000,338055000,338055000,562916000,11637000,6243000,368000,531000,18779000,-4042000,2943000,-6985000,-6985000,-50919000,-54961000,-3171000,35924000,35924000,-61853000,1022000,1022000,34001000,-2181000,-2181000,-2181000,25932000,91678000,29227000,0.40261,0.11638,0.06879,0.03442,0.02067,2.51156,1.24485,0.66516,0.16286,0.37633,0.3618,5.47102,10.93092,0.94518,0.10255,0.03281,0.06476,0.27249,3.49383,4.60166
"10","2012_Q3",30.7926984126984,"Down",176475000,-106624000,69851000,-50127000,-50127000,19724000,-1230000,-1369000,139000,18494000,18494000,-6946000,11548000,11548000,11548000,11548000,1914000,1914000,2559000,2559000,109672000,37854000,25789000,151999000,216987000,436450000,206525000,177306000,12011000,423512000,575511000,90923000,48733000,42190000,3714000,18497000,18497000,113134000,92187000,21847000,15350000,114034000,227168000,49000,125731000,-88155000,314273000,-3555000,348343000,348343000,575511000,11548000,6380000,1060000,-8138000,10850000,-5105000,30000,-5135000,-5135000,-6568999.99999999,-11674000,-3181000,4223000,4223000,-59848000,590000,590000,1662000.00000001,838000,838000,838000,26104000,95901000,19807000,0.39581,0.11177,0.06544,0.03315,0.02007,1.71519,1.34353,0.65214,0.16664,0.37223,0.3579,5.68834,11.2266,0.63844,0.10253,0.0316,0.0425,0.27546,3.60048,4.76511
