"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",30.597619047619,"Down",3.032e+09,-2.07e+09,9.62e+08,-3.25e+08,-3.25e+08,6.37e+08,-2.1e+07,-1.1e+07,6e+06,-1.6e+07,6.16e+08,6.16e+08,-1.97e+08,4.19e+08,4.19e+08,3e+06,4.22e+08,4.22e+08,2.608e+09,2.608e+09,2.111e+09,2.111e+09,3.423e+09,1.403e+09,2.57e+08,9.18e+08,9.545e+09,1.81e+09,9.721e+09,3.987e+09,5.544e+09,5.9e+07,1.1921e+10,2.1466e+10,2.907e+09,5.38e+08,1.24e+08,2.245e+09,6.81e+08,6.81e+08,3.744e+09,7.24e+08,2.418e+09,2.166e+09,2.52e+08,3.142e+09,6.886e+09,8.232e+09,6.185e+09,5e+07,1.4467e+10,1.13e+08,1.458e+10,2.1466e+10,4.19e+08,1.27e+08,1.32e+08,-5.83e+08,9.5e+07,-3.1e+07,1.2e+07,-6.5e+07,-4.2e+07,-2e+06,3e+06,-3.6e+07,-6e+06,-6e+06,-8e+06,-1.4e+07,7.64e+08,8.8e+08,3.47e+08,0.31728,0.21009,0.13918,0.02894,0.01966,0.82227,2.54941,0.47229,0.041,1.01199,1.00716,7.27098,34.69305,0.83213,0.10072,-18.521632999927,0.02595,0.01941,0.09953,-2.26178,-2.71272
"2","2010_Q3",30.3690625,"Down",2.941e+09,-2.013e+09,9.28e+08,-3.38e+08,-3.38e+08,5.9e+08,-5e+06,-1e+07,8e+06,-3e+06,5.85e+08,5.85e+08,-1.86e+08,3.99e+08,3.99e+08,2e+06,4.01e+08,4.01e+08,2.688e+09,2.688e+09,2.387e+09,2.387e+09,3.443e+09,1.308e+09,2.76e+08,8.02e+08,9.826e+09,1.792e+09,9.672e+09,3.928e+09,5.532e+09,4.3e+07,1.1822e+10,2.1648e+10,3.131e+09,5.98e+08,2.33e+08,2.3e+09,4.54e+08,4.54e+08,3.937e+09,5.19e+08,2.355e+09,2.091e+09,2.64e+08,2.874e+09,6.811e+09,8.251e+09,6.544e+09,-6.7e+07,1.4728e+10,1.09e+08,1.4837e+10,2.1648e+10,3.99e+08,1.24e+08,-2.09e+08,-1.27e+08,1.87e+08,-4.7e+07,2e+07,-4.3e+07,-4.2e+07,-7e+06,3.72529029846191e-09,-4.6e+07,9.8e+07,9.8e+07,-1.8e+07,8e+07,7.14e+08,8.71e+08,7.26e+08,0.31554,0.20061,0.13635,0.02703,0.01852,1.81047,2.49581,0.45906,0.04023,0.96163,0.95704,7.05276,35.31894,1.74101,0.10072,-4.94487093329441,0.02453,0.04019,0.10474,-2.54482,-3.07966
"3","2010_Q4",44.49984375,"Up",3.011e+09,-2.066e+09,9.45e+08,-3.49e+08,-3.49e+08,5.96e+08,-2.3e+07,-8e+06,8e+06,-2.3e+07,5.73e+08,5.73e+08,-1.69e+08,4.04e+08,4.04e+08,0,4.04e+08,4.04e+08,3.07e+09,3.07e+09,2.408e+09,2.408e+09,3.562e+09,1.286e+09,2.85e+08,7.69e+08,1.0326e+10,1.808e+09,9.732e+09,3.877e+09,5.525e+09,6.1e+07,1.1905e+10,2.2231e+10,3.225e+09,5.85e+08,3.51e+08,2.289e+09,2.93e+08,2.93e+08,3.872e+09,5.16e+08,2.439e+09,2.197e+09,2.42e+08,2.955e+09,6.827e+09,8.271e+09,6.906e+09,1.09e+08,1.5286e+10,1.18e+08,1.5404e+10,2.2231e+10,4.04e+08,1.27e+08,1.01e+08,-1.79e+08,4.53e+08,-6.2e+07,7e+06,-6.2e+07,-4.2e+07,-2e+06,1.1e+07,-4.1e+07,3.5e+08,3.5e+08,3.2e+07,3.82e+08,7.23e+08,8.7e+08,6.51e+08,0.31385,0.19794,0.13417,0.02623,0.01817,1.61139,2.66684,0.4432,0.03913,0.96882,0.9642,7.22062,36.65707,1.56115,0.10072,3.1456734000146,0.02383,0.03479,0.10396,-3.04288,-3.69128
"4","2011_Q1",58.4546774193548,"Up",3.172e+09,-2.175e+09,9.97e+08,-3.73e+08,-3.73e+08,6.24e+08,-1e+06,-8e+06,1.4e+07,-7e+06,6.23e+08,6.23e+08,-1.86e+08,4.37e+08,4.37e+08,3e+06,4.4e+08,4.4e+08,3.333e+09,3.333e+09,2.425e+09,2.425e+09,3.388e+09,1.389e+09,2.58e+08,8.15e+08,1.0535e+10,1.84e+09,1.0289e+10,4.103e+09,5.79e+09,5.5e+07,1.2515e+10,2.305e+10,3.201e+09,6.28e+08,4.68e+08,2.105e+09,9.62e+08,5.11e+08,4.536e+09,5.14e+08,2.138e+09,1.885e+09,2.53e+08,2.652e+09,7.188e+09,8.357e+09,7.3e+09,9.1e+07,1.5748e+10,1.14e+08,1.5862e+10,2.305e+10,4.37e+08,1.29e+08,-1.7e+07,2.58e+08,8.07e+08,-9.2e+07,6e+06,-5.73e+08,-4.6e+07,-2e+06,-4e+06,2.1e+07,2.55e+08,2.55e+08,7999999.99999999,2.63e+08,7.53e+08,8.87e+08,1.105e+09,0.31431,0.19672,0.13871,0.02774,0.01909,2.51136,2.32253,0.45316,0.03848,1.05516,1.05012,7.60671,37.76499,2.64988,0.11031,7,0.02573,0.05851,0.10455,-3.24834,-3.91987
"5","2011_Q2",56.9322222222222,"Down",3.146e+09,-2.171e+09,9.75e+08,-3.66e+08,-3.66e+08,6.09e+08,-1.6e+07,-1e+07,1.3e+07,-1.9e+07,5.93e+08,5.93e+08,-1.89e+08,4.04e+08,4.04e+08,3e+06,4.07e+08,4.07e+08,3.06e+09,3.06e+09,2.757e+09,2.757e+09,3.57e+09,1.352e+09,3.11e+08,7.44e+08,1.0739e+10,1.861e+09,1.0154e+10,4.026e+09,5.908e+09,6.2e+07,1.2417e+10,2.3156e+10,2.929e+09,6.56e+08,2.84e+08,1.989e+09,1e+09,5.71e+08,4.132e+09,5.12e+08,2.111e+09,1.832e+09,2.79e+08,2.623e+09,6.755e+09,8.436e+09,7.661e+09,1.92e+08,1.6289e+10,1.12e+08,1.6401e+10,2.3156e+10,4.04e+08,1.35e+08,9.4e+07,-6.58e+08,-2.5e+07,-7.9e+07,7e+06,-1.23e+08,-4.6e+07,-1.7e+08,1.4e+07,-1.44e+08,-2.92e+08,-2.92e+08,1.9e+07,-2.73e+08,7.44e+08,7.15e+08,1.96e+08,0.30992,0.19358,0.12937,0.02482,0.01758,0.48157,2.59898,0.41187,0.03088,0.96905,0.96217,7.49048,38.78333,0.46667,0.10952,7.8681088666618,0.02356,0.01019,0.11302,-3.15188,-3.85057
"6","2011_Q3",53.68828125,"Down",3.513e+09,-2.43e+09,1.083e+09,-3.75e+08,-3.75e+08,7.08e+08,-2e+06,-5e+06,1e+07,-7e+06,7.06e+08,7.06e+08,-2.26e+08,4.8e+08,4.8e+08,1e+06,4.81e+08,4.81e+08,3.44e+09,3.44e+09,2.849e+09,2.849e+09,3.756e+09,1.181e+09,3.81e+08,4.99e+08,1.1226e+10,1.921e+09,1.0248e+10,4.063e+09,5.949e+09,5.7e+07,1.253e+10,2.3756e+10,3.102e+09,7.45e+08,1.78e+08,2.179e+09,1.146e+09,7.78e+08,4.25e+09,5.11e+08,2.09e+09,1.815e+09,2.75e+08,2.601e+09,6.851e+09,8.47e+09,8.095e+09,2.25e+08,1.679e+10,1.15e+08,1.6905e+10,2.3756e+10,4.8e+08,1.38e+08,-4.8e+07,3.42e+08,9.12e+08,-1.13e+08,2e+07,-3.01e+08,-4.7e+07,-2.02e+08,2e+06,-2.34e+08,3.77e+08,3.77e+08,3e+06,3.8e+08,8.46e+08,5.13e+08,1.301e+09,0.30828,0.20154,0.13692,0.02845,0.02025,2.70478,2.64141,0.40526,0.02159,1.13981,1.13176,8.32464,39.78673,3.08294,0.11137,7,0.02707,0.06669,0.09771,-3.45981,-4.13418
"7","2011_Q4",52.5646031746032,"Down",3.74e+09,-2.576e+09,1.164e+09,-3.92e+08,-3.92e+08,7.72e+08,8e+06,-3e+06,1.1e+07,0,7.8e+08,7.8e+08,-2.52e+08,5.28e+08,5.28e+08,4e+06,5.32e+08,5.32e+08,3.87e+09,3.87e+09,3.109e+09,3.109e+09,3.907e+09,1.152e+09,3.39e+08,5.31e+08,1.2038e+10,1.967e+09,1.0168e+10,3.995e+09,5.942e+09,3.7e+07,1.2506e+10,2.4544e+10,3.355e+09,8.02e+08,3.99e+08,2.154e+09,1.387e+09,1.117e+09,4.744e+09,5.1e+08,2.051e+09,1.776e+09,2.75e+08,2.561e+09,7.305e+09,8.517e+09,8.58e+09,3.7e+07,1.7134e+10,1.05e+08,1.7239e+10,2.4544e+10,5.28e+08,1.4e+08,-1.44e+08,1.1e+08,6.34e+08,-1.25e+08,2.9e+07,-1.52e+08,-4.7e+07,-2e+06,6e+06,-2e+07,4.62e+08,4.62e+08,-3.2e+07,4.3e+08,9.12e+08,5.12e+08,1.149e+09,0.31123,0.20642,0.14225,0.03086,0.02168,2.15977,2.53752,0.42375,0.02086,1.26366,1.25472,8.88361,40.69834,2.72922,0.11164,6,0.02924,0.05802,0.08835,-3.68202,-4.34974
"8","2012_Q1",62.0556451612903,"Up",4.259e+09,-2.984e+09,1.275e+09,-4.27e+08,-4.27e+08,8.48e+08,-5e+06,-4e+06,1.2e+07,-1.3e+07,8.43e+08,8.43e+08,-2.7e+08,5.73e+08,5.73e+08,1e+06,5.74e+08,5.74e+08,3.535e+09,3.535e+09,3.291e+09,3.291e+09,4.03e+09,1.254e+09,3.25e+08,5.93e+08,1.211e+10,2.445e+09,1.0569e+10,4.073e+09,6.151e+09,7.8e+07,1.3405e+10,2.5515e+10,3.986e+09,9.01e+08,7.09e+08,2.376e+09,1.079e+09,8.65e+08,5.416e+09,1.59e+08,2.212e+09,1.852e+09,3.6e+08,2.371e+09,7.787e+09,8.539e+09,9.103e+09,-2.3e+07,1.7619e+10,1.09e+08,1.7728e+10,2.5515e+10,5.73e+08,1.42e+08,-1.35e+08,4.2e+07,6.22e+08,-1.66e+08,7e+06,-8.82e+08,-5.1e+07,-1.7e+07,1.86264514923096e-09,-6.6e+07,-3.26e+08,-3.26e+08,-9e+06,-3.35e+08,9.9e+08,5.1e+08,1.136e+09,0.29937,0.19911,0.13477,0.03238,0.0225,1.97909,2.23597,0.43925,0.01999,1.35059,1.35377,10.02118,41.45647,2.67294,0.12,6,0.03056,0.05555,0.08885,-3.05556,-3.56722
"9","2012_Q2",55.1750793650794,"Down",4.303e+09,-3.036e+09,1.267e+09,-3.9e+08,-3.9e+08,8.77e+08,-4e+06,-5e+06,1.7e+07,-1.6e+07,8.73e+08,8.73e+08,-2.69e+08,6.04e+08,6.04e+08,2e+06,6.06e+08,6.06e+08,3.39e+09,3.39e+09,3.33e+09,3.33e+09,4.528e+09,1.588e+09,4.26e+08,8.1e+08,1.2836e+10,2.531e+09,1.0511e+10,4.004e+09,6.206e+09,9.7e+07,1.3451e+10,2.6287e+10,3.83e+09,1.009e+09,6.49e+08,2.172e+09,1.264e+09,9.65e+08,5.445e+09,1.59e+08,2.163e+09,1.847e+09,3.16e+08,2.322e+09,7.767e+09,8.654e+09,9.658e+09,1.04e+08,1.8416e+10,1.04e+08,1.852e+10,2.6287e+10,6.04e+08,1.48e+08,1.02e+08,-9.18e+08,-6.4e+07,-1.13e+08,1.1e+07,-1.6e+08,-5.1e+07,-1e+06,2.2e+07,5.8e+07,-1.66e+08,-1.66e+08,2.1e+07,-1.45e+08,1.025e+09,5.1e+08,2.63e+08,0.29445,0.20381,0.14083,0.03272,0.02305,0.43399,2.35739,0.41938,0.0194,1.43262,1.42254,10.17258,43.53664,0.62175,0.12057,4,0.031,0.01241,0.08416,-2.80976,-3.28392
"10","2012_Q3",59.2920634920635,"Up",4.734e+09,-3.428e+09,1.306e+09,-4.27e+08,-4.27e+08,8.79e+08,8e+06,-6e+06,1.9e+07,-5e+06,8.87e+08,8.87e+08,-2.85e+08,6.02e+08,6.02e+08,3e+06,6.05e+08,6.05e+08,1.917e+09,1.917e+09,3.86e+09,3.86e+09,5.501e+09,1.736e+09,4.99e+08,9.53e+08,1.3014e+10,2.7e+09,1.1754e+10,4.512e+09,6.917e+09,8.7e+07,1.4819e+10,2.7833e+10,3.893e+09,1.265e+09,2.07e+08,2.421e+09,1.299e+09,1.075e+09,6.481e+09,1.59e+08,2.262e+09,1.935e+09,3.27e+08,2.421e+09,8.902e+09,8.677e+09,1.0212e+10,-6.9e+07,1.882e+10,1.11e+08,1.8931e+10,2.7833e+10,6.02e+08,1.57e+08,1.7e+07,-1.029e+09,-2.53e+08,-1.4e+08,6e+06,-2.09e+09,-5.1e+07,9.38e+08,5e+06,8.97e+08,-1.446e+09,-1.446e+09,-2.7e+07,-1.473e+09,1.036e+09,1.448e+09,1.52e+08,0.27588,0.18568,0.1278,0.03196,0.02174,0.25124,2.00802,0.47023,0.05202,1.42353,1.42019,11.13882,44.28235,0.35765,0.12,4,0.02897,0.00671,0.0843,-0.4527,-0.53356
