"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",7.27929824561403,"Up",23069000,-21077000,1992000,-6497000,-6497000,-4505000,-226000,-226000,-4731000,-6351000,257000,-6094000,-6294000,-6294000,-6294000,10718000,10718000,38190000,38190000,29765000,6719000,3854000,2865000,85392000,42131000,17578000,8898000,59709000,145101000,30252000,15072000,977000,14203000,5035000,24057000,23891000,59344000,12424000,4269000,198000,3777000,16693000,76037000,52865000,20671000,-4182000,69064000,69064000,145101000,-6294000,1448000,786000,7838000,3778000,-796000,-5468000,-5631000,1677000,-3898000,-5588000,-5588000,435000,-5153000,-3057000,17459000,3728000,0.08635,-0.19528,-0.27283,-0.09113,-0.04338,-0.59231,1.43893,1.10096,0.12032,-0.8679,-0.8679,3.18105,9.52344,0.51407,-0.06932,0.04106,-2.2051,-1.49634
"2","2016_Q3",7.66290322580645,"Up",22859000,-19879000,2980000,-5265000,-5265000,-2285000,-97000,-97000,-2382000,-2382000,1077000,-1305000,3999.99999999814,3999.99999999814,3999.99999999814,10008000,10008000,43860000,43860000,34952000,5762000,3132000,2630000,94582000,43589000,17975000,9346000,61564000,156146000,35024000,19646000,551000,14827000,4773000,32762000,32596000,72559000,12582000,4498000,434000,3749000,17080000,89639000,52677000,18280000,-4160000,66507000,66507000,156146000,4000,1382000,-1824000,-4241000,-4679000,11732000,11732000,-8192000,-31000,-7970000,-917000.000000001,-917000.000000001,-331000,-1248000,-903000,17355000,5511000,0.13036,-0.09996,0.000169999999999948,6.00000000000184e-05,3.00000000000161e-05,1377.75,1.30352,1.34781,0.11115,0.000550000000000161,0.000550000000000161,3.14127,9.13934,0.75732,5.00000000000084e-05,0.06237,-8.13621,-3.21532
"3","2016_Q4",7.94815789473684,"Up",25302000,-21605000,3697000,-4872000,-4872000,-1175000,-112000,-112000,-1287000,-1287000,-2411000,-3698000,-3901000,-3901000,-3901000,9008000,9008000,30347000,30347000,14305000,6453000,3201000,3206000,60113000,36465000,8679000,6203000,45144000,105257000,16665000,7548000,2880000,6237000,2790000,12899000,12899000,32354000,7164000,5310000,3113000,523000,12474000,44828000,53652000,10585000,-3518000,60429000,60429000,105257000,-3901000,1428000,3218000,-6022000,-5277000,1482000,1482000,1466000,64000,1584000,-2211000,-2211000,-389000,-2600000,253000,9954000,-1876000,0.14611,-0.04644,-0.15418,-0.06456,-0.03706,0.4809,1.85798,0.74183,0.09457,-0.53512,-0.52952,3.47078,8.2893,-0.25734,-0.05154,-0.02478,3.73913,-0.80511
"4","2017_Q1",8.28209677419355,"Up",27615000,-24568000,3047000,-5870000,-5870000,-2823000,-134000,-134000,-2957000,-2957000,1688000,-1269000,-1487000,-1487000,-1487000,7603000,7603000,31271000,31271000,13565000,5385000,2171000,3189000,57824000,36275000,7512000,5086000,43787000,101611000,18181000,10901000,684000,6596000,658000,11209000,11209000,30048000,7258000,4892000,2523000,540000,12150000,42198000,55434000,6873000,-2724000,59413000,59413000,101611000,-2283000,1263000,956000,785000,720999.999999999,-10319000,-713000,-2682000,1272000,-1476000,-1468000,-1468000,215000,-1253000,-1560000,7916000,-12782000,0.11034,-0.10223,-0.05385,-0.02503,-0.01463,8.59582999999984,1.92439,0.71025,0.0779,-0.20367,-0.19597,3.78236,8.13765,-1.75072,-0.02059,-0.17698,-0.20064,-0.11087
"5","2017_Q2",7.86857142857143,"Down",23501000,-21716000,1785000,-5602000,-5602000,-3817000,-157000,-157000,-3974000,-3974000,485000,-3489000,-3489000,-3489000,-3489000,9059000,9059000,23817000,23817000,15255000,8424000,3788000,4636000,56555000,34800000,7730000,5548000,42530000,99085000,17126000,9977000,839000,6310000,496000,13538000,13538000,31160000,6828000,4716000,2404000,553000,11544000,42704000,54109000,5026000,-2597000,56381000,56381000,99085000,-3489000,1215000,-415000,1677000,-1012000,-266000,-266000,1707000,63000,1884000,606000,606000,892000,1498000,-2602000,7324000,-1676000,0.07595,-0.16242,-0.14846,-0.06188,-0.03521,0.48037,1.81499,0.75742,0.07392,-0.47463,-0.47463,3.19698,7.66984,-0.228,-0.05099,-0.0245,0.66679,0.45455
"6","2017_Q3",8.14984126984127,"Up",26852000,-23794000,3058000,-5163000,-5163000,-2105000,-157000,-157000,-2262000,-2262000,564000,-1698000,-1698000,-1698000,-1698000,8546000,8546000,26583000,26583000,16031000,7014000,3434000,3580000,58174000,35995000,7670000,5282000,43665000,101839000,17719000,10695000,330000,6694000,585000,15102000,15102000,33406000,7792000,5e+06,2540000,567000,12792000,46198000,55699000,1686000,-1744000,55641000,55641000,101839000,-1698000,1294000,238000,-1650000,-1816000,-1259000,-1259000,2439000,534000,2603000,-472000,-472000,-288000,-760000,-811000,8377000,-4284000,0.11388,-0.07839,-0.06324,-0.03052,-0.01667,2.52296999999999,1.74142,0.83029,0.08226,-0.22698,-0.22333,3.58936,7.43764,-0.57265,-0.0246,-0.06207,0.208379999999999,0.0802900000000001
"7","2017_Q4",8.67126984126984,"Up",27498000,-24178000,3320000,-5611000,-5611000,-2291000,-193000,-193000,-2484000,-2484000,-808000,-3292000,-3292000,-3292000,-3292000,8373000,8373000,28884000,28884000,14005000,6372000,3052000,3320000,57634000,34882000,8167000,5157000,43049000,100683000,16213000,9462000,1152000,5599000,1218000,18248000,18248000,35679000,7577000,5014000,2575000,575000,12591000,48270000,56013000,-1606000,-1994000,52413000,52413000,100683000,-3292000,1263000,-30000,694000,-1365000,-556000,-556000,1922000,-289000,1673000,-248000,-248000,80000,-168000,-1028000,8795000,-82000,0.12074,-0.08332,-0.11972,-0.06281,-0.0327,0.02491,1.61535,0.92095,0.08735,-0.42676,-0.42676,3.56469,6.79453,-0.01063,-0.04971,-0.00124,-0.41051,-0.1842
"8","2018_Q1",8.90754098360656,"Up",27397000,-23818000,3579000,-4878000,-4878000,-1299000,-190000,-190000,-1489000,-1489000,-8000,-1497000,-1497000,-1497000,-1497000,7084000,7084000,32936000,32936000,16856000,5442000,2703000,2739000,62318000,34509000,7757000,4943000,42266000,104584000,21364000,14186000,1339000,5839000,753000,17063000,17063000,39180000,7728000,5864000,4098000,524000,13592000,52772000,56381000,-3103000,-1466000,51812000,51812000,104584000,-1497000,1259000,622000,1967000,2351000,-450000,-450000,-2602000,38000,-2562000,-661000,-661000,-289000,-950000,-40000,8481000,1485000,0.13063,-0.04741,-0.05464,-0.02889,-0.01431,-0.99198,1.59056,1.01853,0.08109,-0.18314,-0.18592,3.35172,6.33863,0.18167,-0.02263,0.02245,-34.925,-1.07544
"9","2018_Q2",9.35703125,"Up",28889000,-24664000,4225000,-5124000,-5124000,-899000,-266000,-266000,-1165000,-1165000,48000,-1117000,-1117000,-1117000,-1117000,9879000,9879000,29337000,29337000,15804000,5710000,2775000,2935000,60730000,33097000,7702000,5051000,40799000,101529000,16767000,12301000,643000,3823000,3408000,17796000,17796000,37971000,7309000,5945000,4212000,546000,13254000,51225000,56655000,-4220000,-2131000,50304000,50304000,101529000,-1117000,1183000,327000,-396000,-3000,-376000,-376000,3236000,-33000,3228000,2849000,2849000,-190000,2659000,284000,10717000,-536000,0.14625,-0.03112,-0.03867,-0.0222,-0.011,0.47986,1.59938,1.01831,0.10556,-0.14473,-0.14473,3.74307,6.51775,-0.06945,-0.01668,-0.008,2.9507,-0.93215
"10","2018_Q3",9.1984126984127,"Down",32325000,-26432000,5893000,-5245000,-5245000,648000,-284000,-284000,364000,364000,-639000,-275000,-275000,-275000,-275000,5247000,5247000,29703000,29703000,14707000,6883000,3761000,3122000,56540000,31967000,7501000,5025000,39468000,96008000,16124000,10806000,879000,4439000,1720000,14705000,14705000,32549000,7079000,5169000,3460000,542000,12248000,44797000,58159000,-4495000,-2453000,51211000,51211000,96008000,-275000,1161000,569000,-4908000,-3453000,-195000,-195000,-1102000,6000,-869000,-4517000,-4517000,-108000,-4625000,1809000,8799000,-2655000,0.1823,0.02005,-0.00851,-0.00537,-0.00286,9.65455,1.73707,0.87475,0.09165,-0.03517,-0.03517,4.13363,6.54872,-0.33951,-0.00422,-0.04073,1.96352,5.48148
