"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.06825396825397,"Up",140899000,-78332000,62567000,-40703000,-17145000,-23558000,21864000,-19870000,-20041000,171000,1994000,-19290000,-17296000,-17296000,-21091000,-21091000,-21091000,2249889224.84759,2249889224.84759,95109953.0199339,95109953.0199339,-2328867301.3888,-182770831.145188,-76509292.3116464,-5990048.80348873,5286108066.577,1572446177.04325,1728760884.49728,6823862181.79578,6817872132.99229,71891102.2482353,-181109037.032467,253000139.280702,-5725799888.01677,-107656282.30952,-667918503.02208,-5761565068.07805,6452564272.22586,9971587.37447587,9598273.9699393,6462535859.60034,700970791.52229,2957276360.42171,1218844707.29485,280294415.57359,4452044216.17435,-2144800010.21206,6116901341.47,6817872132.99229,-21091000,25375000,-4208000,5328000,-1516000,-8625000,2291000,-10334000,-5137000,-2745000,-4000,-7886000,-19736000,-19736000,-19736000,47239000,0,0.44406,0.15517,-0.14969,-0.13115157033135,-0.0226827828289963,64.6192085938797,-4.34082797833837,-0.612931124911001,-0.21733,-0.21733,1.45186,33.4732865864931,0.05293,-0.0320976943227403,-0.24356,-242.540486148579,-512.266868560263
"2","2010_Q3",6.679375,"Down",154280000,-77462000,76818000,-40672000,-18009000,-22663000,36146000,-16589000,-16688000,99000,19557000,-22920000,-3363000,-3363000,308000,308000,308000,1233769612.4238,1233769612.4238,37150976.509967,37150976.509967,-851056650.694401,-74867415.5725941,-1251146.1558232,411047975.598256,2899800533.2885,648319588.521624,719932942.248639,3538071590.89789,3949119566.49614,53786051.1241176,-73827018.5162335,127613069.640351,-2693440444.00838,-8088141.15475994,-264889251.51104,-2647742534.03903,3339371136.11293,8781293.68723793,8525636.98496965,3348152429.80017,700409895.761145,1182340180.21086,1274063853.64742,86719207.7867948,2539369108.08717,-1198968206.12723,3248709670.735,3949119566.49614,308000,24958000,-27395000,8630000,-462000.000000002,-8498000,-7430000,-11928000,-5137000,-111705000,4.65661287307739e-10,-116842000,-129232000,-129232000,-129232000,61104000,5.96046447753906e-08,0.49791,0.23429,0.002,-0.0546907851656751,-0.00697639141449815,33.3062992969398,-1.46639898916919,-0.0469955624555008,0.00316999999999998,0.00316999999999998,1.58744,21.9735782932466,0.05286,-0.00911384716137013,16.67857,-92.6934380742895,-173.248929280131
"3","2010_Q4",7.1703125,"Up",152475000,-81244000,71231000,-41088000,-18045000,-23043000,30143000,-16786000,-16506000,-280000,13357000,-2.1e+07,-7643000,-7643000,23653000,23653000,23653000,606018537.474599,606018537.474599,15474992.169989,15474992.169989,-77525216.8981338,-15912138.524198,41796617.9480589,542732991.866085,1927084511.09617,177852196.173875,198443980.749546,2109412196.96596,2652145188.83205,41560350.3747059,-10080672.8387445,51641023.2134504,-878646148.002795,42222619.61508,-43449750.5036801,-794863178.013008,1700433712.03764,8422097.89574598,8313878.99498988,1708855809.93339,913992631.920382,225291060.070285,1303468617.88247,17337735.9289316,1542754702.69572,-567728603.063617,1738152556.91167,2652145188.83205,23653000,25499000,-41433000,3772000,4899000,-14320000,765000,-131159000,-5137000,-2708000,0,-7845000,-134105000,-134105000,-134105000,55642000,0,0.46717,0.19769,0.15513,-0.0016402617218917,0.00584453619516728,14.2045130989799,0.224227003610271,0.2943414791815,0.24322,0.24232,1.56787,15.4155994310822,0.05282,0.00742538427954329,0.21718,-11.0614260247632,0.708023573289552
"4","2011_Q1",7.22758064516129,"Up",67946000,-34538000,33408000,-18923000,-8554000,-10369000,14485000,-5574000,-5696000,122000,8911000,-11298000,-2387000,-2387000,35672000,35672000,35672000,276034000,276034000,17285000,17285000,200234000,7808000,61022000,495654000,1902819000,26517000,21598000,1940452000,2436106000,38700000,20889000,17811000,16196000,57853000,46080000,112749000,1115334000,8724000,8724000,1124058000,1236807000,-141825000,1314668000,29593000,1199299000,-188795201.021206,1199299000,2436106000,35672000,25381000,-22013000,-18021000,41416000,-25541000,456000,-49891000,-5137000,25250000,-4784000,215204000,206729000,206729000,206729000,39866000,1131530000,0.49168,0.21318,0.52501,0.02974,0.01464,4.39608,1.03127,0.46448,0.33229,0.33342,0.63293,12.49289,0.04785,0.01744,0.144010000000001,21.45929,59.06082
"5","2011_Q2",6.81603174603175,"Down",159058000,-87475000,71583000,-46242000,-20020000,-26222000,25341000,-17675000,-17784000,109000,7666000,42352000,50018000,50018000,51335000,51335000,51335000,153214000,153214000,29784000,29784000,190728000,10006000,64813000,376400000,2361863000,59787000,46699000,2433759000,2810159000,48691000,29841000,18850000,288699000,53380000,53380000,390770000,1163654000,9517000,9517000,1173171000,1563941000,-146962000,1315271000,80928000,1246100000,118000,1246218000,2810159000,51335000,28852000,-55845000,-301000,23071000,-32606000,-2380000,-137145000,-5137000,-3394000,-344000,-8875000,-122949000,-122949000,-122949000,54193000,1452353000,0.45004,0.15932,0.32274,0.04119,0.01827,0.963229999999999,1.25495,0.51682,0.43848,0.43848,1.35861,11.89899,0.04388,0.02085,0.10007,23.97245,51.26629
"6","2011_Q3",4.96359375,"Down",210867000,-99689000,111178000,-55944000,-24011000,-31933000,55234000,-18458000,-19776000,1318000,36776000,-27709000,9067000,9067000,38929000,38929000,38929000,144728000,144728000,36760000,36760000,85039000,6036000,64017000,268803000,2813937000,137210000,124122000,2962787000,3231590000,52367000,28044000,24323000,292189000,46204000,34575000,390760000,1379356000,10764000,10263000,1390120000,1780880000,-39272000,1312209000,119613000,1389413000,61297000,1450710000,3231590000,38929000,33916000,-23102000,-1569000,51202000,-32094000,35548000,-157651000,-5137000,-7271000,-4500000,98092000,-8357000,-8357000,-8357000,89150000,1671545000,0.52724,0.26194,0.18461,0.02683,0.01205,0.6879,1.22759,0.51725,0.33208,0.33208,1.79878,12.18723,0.04382,0.01407,0.13196,17.12638,27.6427
"7","2011_Q4",4.90238095238095,"Down",181193000,-90531000,90662000,-50650000,-20564000,-30086000,40012000,-16346000,-17889000,1543000,23666000,-39712000,-16046000,-16046000,-16553000,-16553000,-16553000,159974000,159974000,25416000,25416000,91674000,9611000,67022000,279452000,2793900000,124259000,111171000,2930104000,3209556000,53214000,26257000,26957000,324279000,50902000,39345000,428395000,1342022000,12295000,10723000,1354317000,1782712000,-46709000,1313091000,103091000,1366336000,60508000,1426844000,3209556000,-16553000,35211000,9592000,17365000,44737000,-17733000,1248000,-16485000,-7310000,-5586000,-746000,-13642000,14610000,14610000,14610000,75223000,1666301000,0.50036,0.22083,-0.09136,-0.0116,-0.00516,0.65232,1.24941,0.51917,-0.14117,-0.14117,1.5453,12.05115,0.06234,-0.00298,-0.44161,20.02482,37.64688
"8","2012_Q1",6.47612903225806,"Up",170676000,-82503000,88173000,-71618000,39142000,-25467000,16555000,-18601000,-18746000,145000,-2046000,-147000,-2193000,-2193000,7588000.00000001,7588000.00000001,7588000.00000001,149198000,149198000,29677000,29677000,345138000,9834000,55359000,525223000,2532232000,43785000,34380000,2576017000,3101240000,206599000,24848000,181751000,49505000,39834000,28770000,295938000,1367385000,12623000,12623000,1380008000,1675946000,-54146000,1313739000,110580000,1365257000,60037000,1425294000,3101240000,7588000.00000001,35924000,3040000,-9934000,36168000,-17967000,80129000,62162000,-7437000,-96109000,-4801000,-108347000,-10017000,-10017000,-10017000,52479000,1416890000,0.51661,0.097,0.04446,0.00532,0.00245,1.77477,1.17586,0.45688,0.0647100000000001,0.0647100000000001,1.45544,12.10392,0.06342,0.00526,0.9801,24.15618,76.57457
"9","2012_Q2",7.14777777777778,"Up",178234000,-93568000,84666000,-52792000,-21910000,-30882000,31874000,-19296000,-19359000,63000,12578000,-26914000,-14336000,-14336000,-12968000,-12968000,-12968000,126199000,126199000,35275000,35275000,82327000,10336000,71991000,246439000,2761006000,45563000,32475000,2818292000,3064731000,46230000,22370000,23860000,111346000,39600000,39600000,197176000,1449246000,13284000,13284000,1462530000,1659706000,-61583000,1314757000,97052000,1345310000,59715000,1405025000,3064731000,-12968000,35791000,-2419000,-2442000,17703000,-21786000,-1896000,-23682000,-7437000,-10225000,-952000,-18614000,-24593000,-24593000,-24593000,67665000,1560592000,0.47503,0.17883,-0.07276,-0.00923,-0.00423,1.24984,1.18126,0.50921,-0.11044,-0.11044,1.51784,11.9811,0.06333,-0.00186,-0.57349,21.19845,45.00198
"10","2012_Q3",7.42285714285714,"Up",212842000,-96961000,115881000,-54916000,-23611000,-31305000,60965000,-19355000,-19429000,74000,41610000,-32351000,9259000,9259000,11855000,11855000,11855000,204549000,204549000,36259000,36259000,124671000,9382000,115289000,368145000,2810409000,45793000,32705000,2868259000,3236404000,51608000,25509000,26099000,78912000,94109000,46950000,224629000,1412616000,13810000,13810000,1426426000,1651055000,-69020000,1492991000,108600000,1527772000,57577000,1585349000,3236404000,11855000,36323000,4800000,9612000,62165000,-26697000,-6270000,-62661000,-7437000,-38230000,-2445000,78421000,77925000,77925000,77925000,97288000,1491528000,0.54445,0.28643,0.0557,0.00748,0.00366,1.6389,1.04145,0.46086,0.0987700000000001,0.09877,1.77325,13.30339,0.06196,0.00624,0.627330000000001,13.22855,21.11013
