"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.1961904761905,"Down",66811000,-14575000,52236000,-40671000,-30416000,-9778000,-477000,11565000,-440000,-444000,-622000,178000,4000,11125000,11125000,-3980000,7145000,7145000,7145000,7145000,161576000,98063000,63513000,40318000,40318000,9964000,7673000,442000,219531000,12848000,210652000,52101000,128177000,1850000,252915000,472446000,26930000,8521000,18409000,75670000,75670000,115100000,17198000,1689000,15054000,-10401884.3476031,455000,81554000,196654000,210890000,-31870000,98304000,-1532000,275792000,275792000,472446000,7145000,3472000,2370000,10867000,23854000,-2093000,15139000,13046000,143000,198000,-2159000,34741000,34741000,-3864.21797312386,34741000,15037000,76856000,27791000,0.78185,0.1731,0.10694,0.02591,0.01512,3.88957,1.90731,0.71305,0.16268,0.17088,0.16819,1.59789,6.59602,0.66467,7,0.01932,0.07514,-5.6341,-7.32555
"2","2010_Q3",16.37484375,"Up",69413000,-14307000,55106000,-41804000,-31516000,-9811000,-477000,13302000,-462000,-459000,-658000,199000,-3000,12840000,12840000,-4592000,8248000,8248000,8248000,8248000,167304000,114043000,53261000,41448000,41448000,11412000,9653000,2386000,229817000,12774000,207877000,50630000,128177000,1811000,249353000,479170000,28116000,6415000,21701000,71810000,71810000,113676000,17782000,1746000,15219000,-5500491.30422394,817000,78388000,192064000,213394000,-31981000,106552000,-859000,287106000,287106000,479170000,8248000,3403000,2723000,-7644000,6730000,-517000,11375000,10858000,450000,442000,-1608000,15980000,15980000,-1288.07265770795,15980000,16705000,74356000,13136000,0.79389,0.19164,0.11883,0.02873,0.01721,1.59263,2.02168,0.66897,0.15518,0.19675,0.19284,1.65576,6.84856,0.31334,7,0.02175,0.03464,-5.56408,-6.98752
"3","2010_Q4",22.62734375,"Up",76336000,-16092000,60244000,-43999000,-33378000,-10145000,-476000,16245000,-392000,-389000,-599000,210000,-3000,15853000,15853000,-4752000,11101000,11101000,11101000,11101000,185889000,121482000,64407000,56792000,56792000,8948000,7414000,2361860.36911218,259043000,12359000,208665000,49158000,128177000,1660000,245365000,504408000,31472000,5521000,24299000,80384000,80384000,126856000,16949000,1803000,13980000,-2124196.52168958,1166000,73805000,200661000,219298000,-32139000,117653000,-1112000,303747000,303747000,504408000,11101000,3494000,-936000,465000,14124000,-1572000,-6946000,-8518000,1570000,2763000,1833000,7439000,7439000,0,7439000,19739000,71856000,23384000,0.7892,0.21281,0.14542,0.03655,0.02201,2.10648,2.04202,0.66062,0.14246,0.26394,0.25832,1.81497,7.22081,0.55598,7,0.02828,0.05957,-5.77704,-7.01958
"4","2011_Q1",25.1604838709677,"Up",77980000,-16387000,61593000,-44640000,-33269000,-10894000,-477000,16953000,-478000,-488000,-573000,85000,10000,16475000,16475000,-5704000,10771000,10771000,10771000,10771000,200598000,67168000,133430000,62801000,62801000,8925000,11402000,3205000,283726000,13467000,202497000,47686000,128177000,1467000,243844000,527570000,36349000,9709000,26640000,85241000,85241000,136590000,18315000,1859000,14735000,0,1721000,71421000,208011000,227248000,-35437000,128424000,-676000,319559000,319559000,527570000,10771000,3508000,5868000,2334000,22481000,-3309000,-72041000,-75350000,-2530000,4835000,-1445000,-54314000,-54314000,0,-54314000,20461000,68106000,25190000,0.78986,0.2174,0.13813,0.03371,0.02042,2.33869,2.07721,0.65093,0.12909,0.25609,0.25065,1.85406,7.59787,0.59892,7,0.02653,0.06205,-6.47534,-7.81525
"5","2011_Q2",23.1426984126984,"Down",63296000,-13896000,49400000,-45108000,-33306000,-11320000,-482000,4292000,-399000,-401000,-5e+05,99000,2000,3893000,3893000,-1494000,2399000,2399000,2399000,2399000,181792000,39473000,142319000,41361000,41361000,9591000,13520000,5376000,246264000,14629000,218135000,50500000,141356000,1359000,260206000,506470000,24557000,6579000,17978000,78618000,78618000,118175000,15998000,1914000,12197000,1145098.26084479,1887000,65354000,183529000,229563000,-36863000,130823000,-582000,322941000,322941000,506470000,2399000,3781000,2459000,-3884000,4755000,-2143000,-8342000,-27430000,-1280000,10000,-5020000,-27695000,-27695000,0,-27695000,8073000,64356000,3540000,0.78046,0.06781,0.0379,0.00743,0.00474,1.47561,2.08389,0.56831,0.12707,0.0563,0.05535,1.48553,7.57927,0.08308,5,0.00595,0.00878,-14.54676,-27.3616
"6","2011_Q3",13.77875,"Down",72624000,-15577000,57047000,-45545000,-33891000,-11160000,-494000,11502000,-835000,-376000,-477000,101000,-459000,10667000,10667000,-3616000,7051000,7051000,7051000,7051000,172379000,103859000,68520000,49677000,49677000,8963000,11690000,3563000,242709000,15431000,215483000,48939000,141356000,1244000,257442000,500151000,30030000,7845000,22185000,77376000,77376000,122406000,16830000,1969000,12833000,1584098.26084479,2028000,62436000,184842000,231533000,-53234000,137874000,-864000,315309000,315309000,500151000,7051000,4196000,2711000,-784999.999999999,13173000,-3649000,74801000,71152000,-16321000,132000,-19939000,64386000,64386000,0,64386000,15698000,60606000,14880000,0.78551,0.15838,0.09709,0.02236,0.0141,2.11034,1.98282,0.58622,0.12118,0.16686,0.16482,1.7186,7.4616,0.35213,4,0.01795,0.03789,-7.12021,-9.7177
"7","2011_Q4",16.0853968253968,"Up",83297000,-17239000,66058000,-48240000,-34082000,-13593000,-565000,17818000,-518000,-368000,-472000,104000,-150000,17300000,16238000,-6207000,10031000,10031000,10031000,10031000,163929000,102762000,61167000,49593000,49593000,9414000,13729000,4413000,236665000,15213000,250654000,56390000,169952000,2463000,294227000,530892000,34280000,6585000,27695000,85816000,82802000,120096000,23101000,2044000,12311000,1590000,7156000,85101000,205197000,233017000,-53376000,147905000,-1851000,325695000,325695000,530892000,10031000,4214000,4872000,6838000,25955000,-2060000,5537000,-26299000,-74000,-754000,-743000,-1087000,-1087000,-10000,-1097000,22032000,6.2e+07,33017000,0.79304,0.21391,0.12042,0.0308,0.01889,3.2915,1.97063,0.63003,0.11678,0.23863,0.23464,1.98161,7.74819,0.78546,6,0.02442,0.08037,-4.62641,-5.72056
"8","2012_Q1",20.2911290322581,"Up",89462000,-18960000,70502000,-49828000,-35833000,-13405000,-590000,20674000,-323000,-202000,-317000,115000,-121000,20351000,20120000,-7173000,12947000,12947000,12947000,12947000,196872000,117255000,79617000,69795000,69795000,8021000,14999000,4600000,289687000,16457000,244969000,54685000,170384000,2008000,278070000,567757000,36824000,7539000,29285000,97267000,93493000,134091000,29297000,1990000,18722000,1410000,7175000,91297000,225388000,237337000,-56032000,160852000,212000,342369000,342369000,567757000,12947000,4451000,4820000,2206000,24424000,-3436000,-4779000.00000001,-8215000,-2447000,731000,-1716000,14493000,14493000,0,14493000,25125000,6.2e+07,31068000,0.78807,0.23109,0.14472,0.03782,0.0228,2.39963,2.16038,0.65832,0.1092,0.30801,0.30285,2.12827,8.14486,0.7391,7,0.02985,0.07164,-5.36804,-6.52375
"9","2012_Q2",19.9071428571429,"Down",76361000,-16863000,59498000,-51369000,-36706000,-14077000,-586000,8129000,-356000,-180000,-296000,116000,-176000,7773000,7860000,-2852000,5008000,5008000,5008000,5008000,209542000,135025000,74517000,38809000,38809000,7494000,14863000,4939000,270708000,17029000,239199000,52452000,169522000,1840000,285918000,556626000,33024000,8106000,24918000,92534000,88759000,125558000,27086000,1933000,18005000,1330000,5818000,89086000,214644000,239503000,-62445000,165860000,-936000,341982000,341982000,556626000,5008000,4375000,4923000,21818000,36124000,-2721000,-7789000,-10510000,-6399000,-1462000,-7861000,17753000,17753000,17000,17770000,12504000,6.2e+07,34453000,0.77917,0.10645,0.06558,0.01464,0.009,6.87959,2.15604,0.62765,0.11139,0.11998,0.11797,1.82936,8.19276,0.82538,7,0.01162,0.07992,-11.79958,-18.15008
"10","2012_Q3",23.6019047619048,"Up",84545000,-16941000,67604000,-49564000,-33718000,-15201000,-645000,18040000,-116000,-304000,-496000,192000,188000,17924000,16771000,-6861000,9910000,9910000,9910000,9910000,229990000,160386000,69604000,28895000,28895000,8343000,19055000,8282000,286283000,16505000,253368000,56066000,181299000,2095000,275488000,561771000,36486000,8344000,28142000,83525000,79750000,120011000,27439000,1873000,18393000,1961000,5212000,89439000,209450000,245931000,-70173000,175770000,793000,352321000,352321000,561771000,9910000,4694000,4276000,1486000,20366000,-1951000,29026000,11728000,-7387000,685000,-6702000,25392000,25392000,-31000,25361000,22734000,6.2e+07,29130000,0.79962,0.21338,0.11722,0.02813,0.01764,2.93946,2.38547,0.59449,0.11037,0.23768,0.23402,2.02775,8.45016,0.69866,8,0.02243,0.06594,-7.38937,-9.31208
"11","2012_Q4",24.7567741935484,"Up",91567000,-19164000,72403000,-54842000,-38644000,-15352000,-846000,17561000,-104000,-178000,-293000,115000,74000,17457000,17458000,-6320000,11138000,11138000,11138000,11138000,126160000,90836000,35324000,61908000,61908000,7427000,24046000,8917000,219541000,18077000,283962000,65433000,203251000,3523000,312579000,532120000,45571000,9151000,36420000,94791000,90567000,140362000,31416000,1818000,22717000,2467000,4414000,31416000,171778000,248743000,-76759000,186908000,1450000,360342000,360342000,532120000,11138000,4757000,4952000,-10359000,10488000,-3640000,29331000,-11039000,-6425000,-486000,-68911000,-69462000,-69462000,-88000,-69550000,22318000,0,14639000,0.79071,0.19178,0.12164,0.03091,0.02093,1.31433,1.56411,0.47671,0,0.26732,0.26317,2.1977,8.64855,0.35135,6,0.02843,0.03737,-5.65284,-7.1841
"12","2013_Q1",25.8805,"Up",98077000,-21040000,77037000,-55173000,-37457000,-16916000,-8e+05,21864000,-217000,-121000,-206000,85000,-96000,21647000,21647000,-7094000,14553000,14553000,14553000,14553000,137268000,99930000,37338000,73900000,73900000,7563000,18581000,5088740.9918933,237312000,19678000,278363000,63827000,202453000,2872000,314864000,552176000,50116000,10161000,39841000,95055000,95055000,145171000,35102000,1757000,25907000,941000,6497000,35102000,180273000,253251000,-83480000,201461000,671000,371903000,371903000,552176000,14553000,3638000,179000,10064000,28434000,-3636000,-8285000,-11921000,-6662000,-868000,-7530000,8982999.99999999,8982999.99999999,111000,9093999.99999999,25502000,-7.45058059692383e-09,39024000,0.78547,0.22293,0.14838,0.03913,0.02636,2.68151,1.63471,0.48473,0,0.34929,0.34386,2.35394,8.92603,0.93661,7,0.03576,0.09588,-5.38264,-6.27827
"13","2013_Q2",23.23765625,"Down",81805000,-16922000,64883000,-5.6e+07,-39181000,-15965000,-854000,8883000,-73000,-103000,-190000,87000,30000,8810000,8810000,-3557000,5253000,5253000,5253000,5253000,149060000,102727000,46333000,50922000,50922000,10940000,18319000,1523000,229241000,20565000,276089000,62317000,202582000,2439000,310416000,539657000,38933000,12130000,26803000,93749000,93749000,132682000,33522000,1747000,24087000,950000,6738000,33522000,166204000,256811000,-90950000,206714000,878000,373453000,373453000,539657000,5253000,4859000,3219000,5282000,18613000,-2380000,-5969000,-8395000,-7257000,-114000,-7371000,2847000,2847000,-50000,2797000,13742000,0,20201000,0.79314,0.10859,0.06421,0.01407,0.00973,3.84561,1.72775,0.44505,0,0.12687,0.12487,1.97573,9.01951,0.48789,8,0.01291,0.04964,-10.84704,-16.78037
