"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.2761904761905,"Up",159643000,-61585000,98058000,-76283000,-9222000,-67061000,21775000,813000,-3908000,4721000,22588000,22588000,-8328000,14260000,14260000,14260000,14260000,-57984779.4745367,-57984779.4745367,45826845.859733,45826845.859733,37905968.2623925,141638036.614858,74696160.9689111,66930206.0948828,167386071.262447,970835819.80063,52552358.8718903,153777323.430095,153777288.793155,1177165502.10262,1344551573.36506,74650819.899291,63334068.7034841,11316753.7838814,17075578.5244645,9621571.63635521,-5793336.16849126,101347970.060111,432522446.104756,172692376.1761,171386178.657043,88218747.7811468,766982906.082963,868330876.143074,476220697.221988,476220697.221988,1344551573.36506,14260000,9222000,-7047000,13573000,30008000,-11684000,-52000,-12268000,-8515000,-3277000,0,-11792000,5948000,5948000,5948000,30997000,0,41214000,0.61423,0.1364,0.08932,-0.0862331676286153,-0.0361812122462729,2.89018,1.27466303205544,1.79383743033383,0.261963327250467,0.41129,0.41129,4.60451,13.73565269619,1.18872,0.24559,-0.0310749429745163,-0.138935818788673,0.59712,41.0382995562588,71.8024534333076
"2","2010_Q3",18.11390625,"Up",109082000,-20034000,89048000,-68926000,-9481000,-59445000,20122000,-2098000,-4045000,1947000,18024000,18024000,-6472000,11552000,11552000,11552000,11552000,13784000,13784000,29831000,29831000,50034000,49346000,14458000,34888000,142995000,950770000,54756000,128027000,128027000,1133553000,1276548000,31586000,22540000,9046000,56167000,22360000,19494000,110113000,335797000,117612000,141587000,76598000,655938000,766051000,510497000,510497000,1276548000,11552000,9481000,1814000,11562000,34409000,-14155000,-340000,-14495000,-8515000,-7417000,-850000,-16782000,3132000,3132000,3132000,29603000,376308000,33482000,0.81634,0.18447,0.1059,0.02263,0.00905,2.89837,1.29862,1.5006,0.29479,0.33319,0.33322,3.1462,14.72403,0.96571,0.24559,0.01641,0.02739,0.7371,12.24619,18.0163
"3","2010_Q4",20.244375,"Up",127938000,-20922000,107016000,-72664000,-9560000,-63104000,34352000,-1453000,-4099000,2646000,32899000,32899000,-12990000,19909000,19909000,19909000,19909000,17531000,17531000,31846000,31846000,53703000,47263000,11009000,36254000,150343000,956084000,55154000,125679000,125679000,1136917000,1287260000,32783000,21996000,10787000,50167000,19457000,18454000,102407000,343369000,115387000,150083000,77899000,663108000,765515000,521745000,521745000,1287260000,19909000,9560000,7127000,-3633000,32963000,-14063000,143000,-13971000,-8670000,-6417000,-158000,-15245000,3747000,3747000,3747000,43912000,369906000,39206000,0.83647,0.26851,0.15561,0.03816,0.01547,1.96926,1.46809,1.46722,0.28736,0.57423,0.57428,3.69006,15.04846,1.1308,0.25006,0.02314,0.03175,0.43548,8.02457,10.25777
"4","2011_Q1",20.2977419354839,"Up",135928000,-43190000,92738000,-72385000,-9697000,-62688000,20353000,-2326000,-4105000,1779000,18027000,18027000,-6030000,11997000,11997000,11997000,11997000,7110000,7110000,40153000,40153000,47239000,67800000,22496000,45304000,162302000,968007000,55845000,131739000,131739000,1155591000,1317893000,45070000,32555000,12515000,24167000,11975000,9577000,81212000,377250000,123648000,168855000,84747000,711601000,792813000,525080000,525080000,1317893000,11997000,9697000,21406000,-16447000,26653000,-16822000,398000,-16651000,-8670000,-11416000,-337000,-20423000,-10421000,-10421000,-10421000,30050000,358518000,2811000,0.68226,0.14973,0.08826,0.02285,0.0091,0.23431,1.9985,1.50989,0.27204,0.34602,0.34605,3.92051,15.14465,0.08108,0.25006,0.01639,0.00223,0.72268,11.69411,17.26566
"5","2011_Q2",20.2953968253968,"Down",164605000,-61996000,102609000,-71711000,-10016000,-61695000,30898000,-2464000,-4850000,2386000,28434000,28434000,-10651000,17783000,17783000,17783000,17783000,30685000,30685000,43557000,43557000,30730000,50483000,11333000,39150000,155455000,969647000,58593000,133436000,133436000,1161676000,1317131000,38679000,27881000,10798000,2667000,10143000,9590000,51489000,368513000,106558000,172412000,89543000,731377000,782866000,534265000,534265000,1317131000,17783000,10016000,-13371000,23609000,38037000,-9843000,-419000,-12481000,-8670000,7e+06,-311000,-1981000,23575000,23575000,23575000,40914000,365531000,65331000,0.62337,0.18771,0.10803,0.03328,0.0135,3.67379,3.01919,1.46531,0.27752,0.51291,0.51291,4.74763,15.40956,1.88431,0.25006,0.02086,0.05151,0.48754,8.18414,10.83714
"6","2011_Q3",20.56265625,"Up",117259000,-24651000,92608000,-69411000,-10357000,-59054000,23197000,-2902000,-5055000,2153000,20295000,20295000,-7572000,12723000,12723000,12723000,12723000,44943697.0079772,44943697.0079772,41347010.9444105,41347010.9444105,28407125.3149977,48193744.2334038,8419806.42889184,39642979.5092405,162891577.500789,974515681.466335,60055212.5252869,151439037.01181,151438648.308373,1186009931.00343,1348901508.50422,38293978.8698216,27089289.5242847,11204718.3894841,-4155248.41063884,10058044.6598381,6952227.44248702,44196775.1190209,390166080.360778,125247406.716972,177143930.854968,83950132.5069437,763617501.597699,807814276.71672,541087231.787501,541087231.787501,1348901508.50422,12723000,10357000,10318000,-4011999.99999999,29386000,-18748000,329000,-18692000,-8670000,-667000,12000,-9325000,1369000,1369000,1369000,33554000,0,18366000,0.78977,0.19783,0.1085,0.0312348225381324,0.0127397292362712,1.44353,3.42238402639997,1.49190634782036,0.274324005810799,0.36696,0.36696,3.38205,15.6093987757618,0.52972,0.25006,0.0199252695822798,0.0526798854456373,0.68144,8.17167020542327,11.5201092700815
"7","2011_Q4",22.0112698412698,"Up",133572000,-24827000,108745000,-72411000,-10296000,-62115000,36334000,-2801000,-5142000,2341000,33533000,33533000,-12495000,21038000,21038000,21038000,21038000,44642918.7559222,44642918.7559222,37555031.5142446,37555031.5142446,35974255.8901116,62069354.2123292,15631022.6384428,46219203.3372439,180241560.372608,984343245.885913,60221220.2980874,182321332.557715,182320682.152955,1226885798.74172,1407127359.11432,44735618.1089095,31514438.2469054,13221228.4602919,-1420062.52209206,10462771.0974849,2248687.50277532,53778326.6843023,439594969.448562,164917545.232688,187463762.189667,72601967.5941269,807904680.8912,861683007.575502,545444351.538821,545444351.538821,1407127359.11432,21038000,10296000,8745000,-977000,39102000,-16268000,170000,-16716000,-8843000,-667000,-37000,-9547000,12839000,12839000,12839000,46630000,0,41880000,0.81413,0.27202,0.1575,0.0191534819367431,0.00767390337554282,1.99068,3.26401693526332,1.57898322886113,0.261355811703218,0.60679,0.60679,3.85256,15.7384287766047,1.20793,0.25505,0.0144831078488972,0.0142822175608519,0.42033,11.1096031490086,17.720870395813
"8","2012_Q1",22.9341935483871,"Up",130946000,-38810000,92136000,-74697000,-10273000,-64424000,17439000,-2781000,-5115000,2334000,14658000,14658000,-5274000,9384000,9384000,9384000,9384000,41169000,41169000,36744000,36744000,39801000,71417000,22251000,49166000,189131000,995566000,60332000,213853000,213853000,1269751000,1458882000,48604000,34532000,14072000,2667000,11803000,1300000,63074000,483953000,183622000,201630000,63655000,844856000,907930000,550952000,550952000,1458882000,9384000,10273000,20080000,-15490000,24247000,-20317000,1905000,-18462000,-8843000,-666000,0,-9509000,-3724000,-3724000,-3724000,27712000,363570000,-2821000,0.70362,0.13318,0.07166,0.01703,0.00642999999999999,-0.30062,2.99856,1.64793,0.24921,0.27075,0.27075,3.77812,15.89636,-0.0813900000000001,0.25514,0.01303,-0.00202000000000003,0.94235,11.63399,18.48736
"9","2012_Q2",23.3752380952381,"Up",149259000,-43696000,105563000,-77119000,-9624000,-67495000,28444000,-2534000,-5104000,2570000,25910000,25910000,-9862000,16048000,16048000,16048000,16048000,40660000,40660000,38090000,38090000,34670000,65584000,20118000,45466000,179004000,1006923000,61197000,235173000,235173000,1303293000,1482297000,44437000,3.2e+07,12437000,2667000,15107000,6047000,62211000,501673000,165304000,212714000,62775000,861922000,924133000,558164000,558164000,1482297000,16048000,9624000,-5936000,5e+06,24736000,-15467000,106000,-15716000,-8843000,-667000,-19000,-9529000,-509000,-509000,-509000,38068000,362916000,37463000,0.70725,0.19057,0.10752,0.02875,0.01083,2.33443,2.87737,1.65567,0.24483,0.46287,0.46287,4.30501,16.09887,1.08053,0.25505,0.01749,0.02633,0.55103,8.46527,11.32949
"10","2012_Q3",25.9760317460317,"Up",117221000,-19282000,97939000,-72858000,-9712000,-63146000,25081000,-2215000,-4764000,2549000,22866000,22866000,-8596000,14270000,14270000,14270000,14270000,41288000,41288000,30551000,30551000,38519000,68328000,21242000,47086000,178686000,1023141000,62323000,242400000,242400000,1327864000,1506550000,40158000,28238000,11920000,2667000,19295000,6324000,62120000,520645000,167028000,216801000,67246000,880804000,942924000,563626000,563626000,1506550000,14270000,9712000,9541000,2527000,36050000,-24086000,-446000,-25115000,-8844000,-667000,-796000,-10307000,628000,628000,628000,34793000,362826000,21830000,0.83551,0.21396,0.12174,0.02532,0.00947,1.52978,2.87646,1.67296,0.24083,0.41158,0.41158,3.38095,16.25641,0.62963,0.25508,0.01597,0.01509,0.61976,9.24146,12.81998
