"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.9319047619048,"Down",1.777e+09,-1.527e+09,2.5e+08,-7.9e+07,-7.9e+07,1.71e+08,-4.4e+07,-4.6e+07,-4.7e+07,1e+06,2e+06,1.27e+08,-2.1e+07,1.06e+08,-3.9e+07,6.7e+07,6.7e+07,-2.6e+07,4.1e+07,4.1e+07,620214727.945757,620214727.945757,-711377478.225696,-711377478.225696,743067681.384699,339148684.644585,320854192.331547,991053615.749345,1262156175.76191,1671994352.50429,252825964.235785,2934150528.2662,3925204144.01555,1377411224.50501,1377411224.50501,-711851018.580852,665560201.69282,1879289662.09782,1769751740.14136,1422806074.99582,346945665.145537,3649041402.23918,4314601603.932,-865689300.951989,476291841.035534,-389397459.916455,3925204144.01555,6.7e+07,4.4e+07,4.2e+07,-5.69e+08,-4.16e+08,-3.2e+07,1.1e+07,-2.1e+07,3.96e+08,-3e+06,2e+06,-5e+06,-7e+06,3.86e+08,-5.1e+07,-5.1e+07,-9e+06,-6e+07,2.15e+08,0,-3.47e+08,0.14069,0.09623,0.02307,0.12180599364999,-0.0147120402733975,-8.46341,1.3206304277932,66.7466699485227,0.364020125647227,0.25513,0.25138,11.05787,-5.51137021219943,-2.1593,-0.0202735029977505,0.391749349364296,17.7235525618326,25.7651933955911
"2","2010_Q3",27.3003125,"Up",2.01e+09,-1.675e+09,3.35e+08,-9.5e+07,-9.5e+07,2.4e+08,-4.3e+07,-4.3e+07,-4.5e+07,2e+06,0,1.97e+08,4e+06,2.01e+08,-5.7e+07,1.44e+08,1.44e+08,-3.2e+07,1.12e+08,1.12e+08,4.12e+08,4.12e+08,1.095e+09,1.095e+09,1.076e+09,1.22e+08,1.22e+08,2.705e+09,1.418e+09,2.578e+09,6.94e+08,3.996e+09,6.701e+09,1.819e+09,1.819e+09,2.72e+08,2.091e+09,2.707e+09,1.425e+09,1e+09,4.25e+08,4.132e+09,6.223e+09,1.05e+08,3.73e+08,4.78e+08,6.701e+09,1.44e+08,4.4e+07,1.9e+07,15000000.0000001,2.22e+08,-5.6e+07,-8e+06,-6.4e+07,-9.6e+07,2e+06,2e+06,0,-36000000.0000001,-1.3e+08,2.8e+07,2.8e+07,-1.5e+07,1.3e+07,2.84e+08,2.979e+09,3e+08,0.16667,0.1194,0.05572,0.23431,0.01671,2.67857,1.29364,13.01883,0.44456,0.69565,0.68585,12.48447,0.65217,1.86335,0.02294,0.06145,9.03873,10.69583
"3","2010_Q4",31.0790625,"Up",2.205e+09,-1.828e+09,3.77e+08,-8.2e+07,-8.2e+07,2.95e+08,-5e+07,-5.2e+07,-5.5e+07,3e+06,2e+06,2.45e+08,-3.7e+07,2.08e+08,-4.7e+07,1.61e+08,1.61e+08,-3.5e+07,1.26e+08,1.26e+08,4.15e+08,4.15e+08,1.274e+09,1.274e+09,1.068e+09,1.22e+08,1.22e+08,2.879e+09,1.524e+09,2.743e+09,7.45e+08,4.267e+09,7.146e+09,1.974e+09,1.974e+09,4.55e+08,2.429e+09,2.774e+09,1.476e+09,1.011e+09,4.65e+08,4.25e+09,6.679e+09,1.39e+08,3.28e+08,4.67e+08,7.146e+09,1.61e+08,4e+07,1.9e+07,1.3e+07,2.33e+08,-7.9e+07,0,-7.9e+07,1.52e+08,-9.8e+07,2e+06,-1e+08,-2.24e+08,-1.7e+08,-1.6e+07,-1.6e+07,1.9e+07,3e+06,3.35e+08,3.229e+09,3.16e+08,0.17098,0.13379,0.05714,0.26981,0.01763,2.50794,1.18526,14.30193,0.45186,0.79146,0.77922,13.8505,0.87312,1.98492,0.02436,0.0611,8.4,9.53898
"4","2011_Q1",35.8211290322581,"Up",1.949e+09,-1.661e+09,2.88e+08,-1.04e+08,-1.04e+08,1.84e+08,-5.3e+07,-5.3e+07,-5.6e+07,3e+06,0,1.31e+08,-3.2e+07,9.9e+07,-2.2e+07,8e+07,8e+07,-3.5e+07,4.5e+07,4.5e+07,4.63e+08,4.63e+08,9.36e+08,9.36e+08,1.06e+09,1.9e+08,1.9e+08,2.649e+09,1.61e+09,2.64e+09,6.56e+08,4.25e+09,6.899e+09,1.978e+09,1.978e+09,3.99e+08,2.377e+09,2.649e+09,1.644e+09,1.159e+09,4.85e+08,4.293e+09,6.67e+09,-9.6e+07,3.25e+08,2.29e+08,6.899e+09,8e+07,4.4e+07,4.9e+07,3.78e+08,5.51e+08,-1.21e+08,-3e+06,-1.17e+08,-1.63e+08,-1.43e+08,7e+06,-1.5e+08,-7.9e+07,-3.85e+08,4.9e+07,4.9e+07,-999999.999999993,4.8e+07,2.28e+08,3.048e+09,5.07e+08,0.14777,0.09441,0.02309,0.19651,0.00652,11.26667,1.11443,29.12664,0.4418,0.28717,0.27864,12.43778,-0.61264,3.23548,0.00914,0.10303,11.33772,14.04891
"5","2011_Q2",38.1326984126984,"Up",1.882e+09,-1.59e+09,2.92e+08,-1.02e+08,-1.02e+08,1.9e+08,-5.2e+07,-5.2e+07,-5.6e+07,4e+06,0,1.38e+08,-5.5e+07,8.3e+07,-4.1e+07,4.2e+07,4.2e+07,-2.6e+07,1.6e+07,1.6e+07,4.09e+08,4.09e+08,1.104e+09,1.104e+09,1.353e+09,2.04e+08,2.04e+08,3.07e+09,1.702e+09,2.704e+09,6.57e+08,4.406e+09,7.476e+09,1.994e+09,1.994e+09,5.89e+08,2.583e+09,2.884e+09,1.67e+09,1.171e+09,4.99e+08,4.554e+09,7.137e+09,-7e+06,3.46e+08,3.39e+08,7.476e+09,4.2e+07,4e+07,4.1e+07,-4.4e+08,-3.17e+08,-1.03e+08,2e+06,-1.01e+08,3.67e+08,-2e+06,4e+06,-6e+06,-1.2e+07,3.53e+08,-6.5e+07,-6.5e+07,1.1e+07,-5.4e+07,2.3e+08,3.473e+09,-2.72e+08,0.15515,0.10096,0.0085,0.0472,0.00214,-17,1.18854,21.0531,0.46455,0.10349,0.10133,12.17335,-0.0452799999999999,-1.75938,0.00292,-0.04962,13.32174,16.12632
"6","2011_Q3",34.5034375,"Down",2.281e+09,-1.91e+09,3.71e+08,-1e+08,-1e+08,2.71e+08,-5.9e+07,-5.8e+07,-6e+07,2e+06,-1e+06,2.12e+08,-2000000.00000001,2.1e+08,-5.4e+07,1.56e+08,1.56e+08,-2.7e+07,1.29e+08,1.29e+08,4.21e+08,4.21e+08,1.323e+09,1.323e+09,1.537e+09,3.18e+08,1.93e+08,3.599e+09,1.746e+09,2.714e+09,6.45e+08,4.46e+09,8.059e+09,2.258e+09,2.258e+09,4.52e+08,2.71e+09,3.424e+09,1.654e+09,1.171e+09,4.83e+08,5.078e+09,7.788e+09,-7e+07,3.41e+08,2.71e+08,8.059e+09,1.56e+08,4.5e+07,8e+06,-1.39e+08,7e+07,-7.9e+07,-1.27e+08,-2.06e+08,3.75e+08,-2.01e+08,5e+06,-2.06e+08,-3.3e+07,1.41e+08,5e+06,5e+06,7e+06,1.2e+07,3.16e+08,3.876e+09,1.52e+08,0.16265,0.11881,0.05655,0.47601,0.01601,1.17829,1.32804,28.73801,0.48095,0.84701,0.82958,14.97702,-0.45962,0.998030000000001,0.02224,0.0262,10.93354,12.74908
"7","2011_Q4",31.9609523809524,"Down",2.423e+09,-2.027e+09,3.96e+08,-9.6e+07,-9.6e+07,3e+08,-5.5e+07,-5.6e+07,-5.8e+07,2e+06,1e+06,2.45e+08,0,2.45e+08,-8.7e+07,1.57e+08,1.57e+08,-3e+07,1.27e+08,1.27e+08,4.79e+08,4.79e+08,1.317e+09,1.317e+09,1.339e+09,1.7e+08,1.7e+08,3.305e+09,1.71e+09,2.584e+09,6.07e+08,4.294e+09,7.599e+09,2.021e+09,2.021e+09,3.61e+08,2.382e+09,3.396e+09,1.641e+09,1.142e+09,4.99e+08,5.037e+09,7.419e+09,-1e+08,2.8e+08,1.8e+08,7.599e+09,1.59e+08,4.7e+07,9e+06,-1.02e+08,1.13e+08,-6.6e+07,1.25e+08,5.9e+07,-2.6e+07,0,0,0,-6.9e+07,-9.5e+07,7.7e+07,7.7e+07,-1.9e+07,5.8e+07,3.47e+08,3.757e+09,2.66e+08,0.16343,0.12381,0.05241,0.70556,0.01671,2.09449,1.38749,41.21667,0.49441,0.8461,0.8317,16.14257,-0.66622,1.77215,0.02277,0.04769,9.44669,10.92667
"8","2012_Q1",35.5556451612903,"Up",2.058e+09,-1.769e+09,2.89e+08,-9.7e+07,-9.7e+07,1.92e+08,-5.7e+07,-5.5e+07,-5.8e+07,3e+06,-2e+06,1.35e+08,-8.6e+07,4.9e+07,-1.2e+07,4.1e+07,4.1e+07,-3.1e+07,1e+07,1e+07,3.42e+08,3.42e+08,9.48e+08,9.48e+08,1.148e+09,1.65e+08,1.65e+08,2.603e+09,1.751e+09,2.514e+09,5.62e+08,4.265e+09,6.868e+09,2.09e+09,2.09e+09,1.95e+08,2.285e+09,3.337e+09,1.485e+09,9.96e+08,4.89e+08,4.822e+09,7.107e+09,-4.73e+08,2.34e+08,-2.39e+08,6.868e+09,3.9e+07,4.4e+07,-1.79e+08,6.09e+08,5.13e+08,-1.27e+08,-1000000.00000003,-1.24e+08,-2.07e+08,-9.8e+07,2e+06,-1e+08,-2.23e+08,-5.28e+08,-1.39e+08,-1.39e+08,2e+06,-1.37e+08,2.36e+08,3.532e+09,7.3e+08,0.14043,0.09329,0.00486000000000001,-0.04184,0.00146,73,1.13917,-29.7364,0.51427,0.06676,0.06618,13.73832,-3.15754,4.87316,0.00209,0.15278,13.51695,16.61458
"9","2012_Q2",34.8869841269841,"Down",1.947e+09,-1.66e+09,2.87e+08,-1.06e+08,-1.06e+08,1.81e+08,-5.9e+07,-5.6e+07,-5.8e+07,2e+06,-3e+06,1.22e+08,0,1.22e+08,-3.2e+07,9e+07,9e+07,-2.1e+07,6.9e+07,6.9e+07,2.5e+08,2.5e+08,1.066e+09,1.066e+09,1.313e+09,1.95e+08,1.95e+08,2.824e+09,1.796e+09,2.558e+09,5.6e+08,4.354e+09,7.178e+09,1.863e+09,1.863e+09,2.3e+08,2.093e+09,3.685e+09,1.482e+09,9.94e+08,4.88e+08,5.167e+09,7.26e+09,-3.24e+08,2.42e+08,-82000000.0000001,7.178e+09,9e+07,4.2e+07,1.6e+07,-5.37e+08,-3.89e+08,-6.2e+07,1.4e+07,-4.8e+07,3.51e+08,-5e+06,2e+06,-7e+06,-8e+06,3.38e+08,-9.9e+07,-9.9e+07,7e+06,-9.2e+07,2.23e+08,3.915e+09,-3.44e+08,0.14741,0.09296,0.03544,-0.84146,0.00961,-4.98551,1.34926,-88.53659,0.54542,0.46685,0.46,13.17321,-2.19215,-2.32747,0.01298,-0.06472,16.43498,20.24862
"10","2012_Q3",35.3257142857143,"Up",2.184e+09,-1.844e+09,3.4e+08,-9e+07,-9e+07,2.5e+08,-4.9e+07,-5.4e+07,-5.5e+07,1e+06,5e+06,2.01e+08,7e+06,2.08e+08,-5.1e+07,1.57e+08,1.57e+08,-2.3e+07,1.34e+08,1.34e+08,2.3e+08,2.3e+08,1.194e+09,1.194e+09,1.272e+09,2.13e+08,2.13e+08,2.909e+09,1.8e+09,2.515e+09,5.71e+08,4.315e+09,7.224e+09,1.979e+09,1.979e+09,2.98e+08,2.277e+09,3.493e+09,1.443e+09,9.46e+08,4.97e+08,4.936e+09,7.213e+09,-2.27e+08,2.38e+08,1.1e+07,7.224e+09,1.57e+08,4.5e+07,-1.3e+07,-1.6e+07,1.73e+08,-7.5e+07,-5000000.00000001,-8e+07,-67000000.0000001,2e+06,2e+06,1.49011611938477e-08,-3.5e+07,-1e+08,-7e+06,-7e+06,-1.3e+07,-2e+07,2.95e+08,3.791e+09,2.55e+08,0.15568,0.11447,0.06136,12.18182,0.01855,1.90299,1.27756,655.72727,0.52478,0.90541,0.89037,14.75676,-1.53378,1.72297,0.02555,0.04862,12.07119,14.244
