"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",13.0914285714286,"Up",151838000,-136136000,15702000,-10589000,-10589000,5113000,-130000,-157000,27000,4983000,4983000,-1894000,3089000,3089000,3089000,3089000,363480595.068732,363480595.068732,396328030.694616,396328030.694616,7805315.69576401,1756670.93748428,18275635.830697,769370612.396596,48366977.7417808,134928129.347101,-86561151.60532,66247175.0025036,37420901.8305965,7391952.6781209,21434320.0899348,114614152.744284,883984765.140881,57271912.0197232,65029429.5049515,116429085.448819,548432651.355064,548432651.382877,597529360.11794,31516051.9188312,31516051.9192156,-0.000384423393041125,9345865.95304785,606875226.070988,96505937.1115517,-9843092.6551125,168531318.915509,21915213.9095373,277109377.281486,277109539.069893,883984765.140881,3089000,2798000,715000,-11853000,-5251000,-2254000,-2254000,-245000,5462589.9396665,-564718.033990098,-220000,-465000,-7970000,-7970000,341000,-7629000,7911000,0,-4302000,0.10341,0.03367,0.02034,0.813950700170132,0.506160692431716,-1.39268,-2.92495834487299,2.81706754192631,-0.102318935620494,0.11727,0.11635,5.7641,14.4323636626946,-0.16331,0.789106846546772,4.01614308455627,32.7154348547137,74.5381861008769
"2","2011_Q3",11.43375,"Down",175252000,-155484000,19768000,-11136000,-11136000,8632000,-105000,-188000,83000,8527000,8527000,-3240000,5287000,5287000,5287000,5287000,209258797.534366,209258797.534366,226111515.347308,226111515.347308,4526657.847882,20600835.4687421,24432817.9153485,460497806.198298,50753988.8708904,126802064.67355,-76048075.80266,47905087.5012518,32805450.9152983,7228976.33906045,7870660.04496738,98659076.3721422,559156882.57044,55099956.0098616,40167714.7524757,70330542.7244097,264178825.677532,264178825.691439,315631180.05897,17337525.9594156,17337525.9596078,-0.000192211696520562,8449432.97652392,324080613.035494,105899968.555776,-8851546.32755625,126935659.457754,11092106.9547687,235076188.640743,235076269.534947,559156882.57044,5287000,2725000,2774000,-8137000,2649000,-2191000,-2191000,-168000,44000,44000,-240000,-364000,94000.0000000037,94000.0000000037,320000,414000,11357000,-5.82076609134674e-11,4269000,0.1128,0.04925,0.03017,0.370415350085066,0.230965346215858,0.80745,-4.41724364943497e-05,1.52237377096316,-0.0423744678102471,0.20025,0.19862,6.63783,10.5632168313473,0.16169,0.359033423273386,1.79054154227814,10.2385674273569,27.3558530504385
"3","2011_Q4",9.70888888888889,"Down",136333000,-117763000,18570000,-10930000,-10930000,7640000,301000,-184000,485000,7941000,7941000,-3018000,4923000,4923000,4923000,4923000,112049599.178122,112049599.178122,136261505.115769,136261505.115769,2828219.28262733,36950945.1562474,33797605.9717828,288090268.732766,52340996.2902968,123278688.224517,-70937691.93422,39421029.1670839,30199816.9717661,7082658.77968682,2138553.34832246,91762025.4573807,379852294.190147,57361318.6699539,32769238.2508252,41272847.5748032,105518941.892511,105518941.897146,161781726.686323,9296841.98647186,9296841.98653593,-6.40705655068542e-05,7463810.99217464,169245537.678498,111352322.851925,-11431515.4425187,106065886.485918,4620035.65158955,210606729.546914,210606756.511649,379852294.190147,4923000,2727000,793000,14224000,22667000,-3011000,-3011000,-171000,117000,117000,21000,-33000,19623000,19623000,68000,19691000,10367000,0,24598000,0.13621,0.05604,0.03611,0.127308450028355,0.0800284487386193,4.99655,1.56007860918784,0.816927923654386,-0.010008155936749,0.18631,0.18411,5.15963,8.41657561044909,0.93093,0.123344474424462,0.547390514092712,-1.12668085754772,2.66182101681282
"4","2012_Q1",12.4343548387097,"Up",163629000,-142755000,20874000,-11359000,-11359000,9515000,-350000,-195000,-155000,9165000,9165000,-3482000,5683000,5683000,5683000,5683000,59357000,59357000,103483000,103483000,2249000,50461000,44455000,215550000,53311000,123156000,-69845000,37575000,29058000,6953000,1564000,90886000,306436000,61990000,36377000,25613000,38186000,38186000,100176000,5789000,5789000,0,6589000,106765000,113965000,-15961000,100231000,1436000,199671000,199671000,306436000,5683000,2817000,2488000,-8304000,2684000,-2810000,-6610000,-147000,15000,15000,-26000,-158000,-4084000,-4084000,65999.9999999999,-4018000,12332000,8e+05,4700000,0.12757,0.05815,0.03473,0.02846,0.01855,0.82703,2.15171,0.5347,0.00261,0.2148,0.21177,6.18471,7.547,0.17765,0.02755,0.02279,-4.74838,-6.15418
"5","2012_Q2",11.694126984127,"Down",169321000,-151228000,18093000,-11483000,-11483000,6610000,-950000,-274000,-676000,5660000,5660000,-2151000,3509000,3509000,3509000,3509000,38685000,38685000,104481000,104481000,2328000,60785000,54490000,206279000,53847000,125232000,-71385000,39147000,28834000,6840000,3473000,92994000,299273000,66920000,44534000,19708000,27913000,27913000,95009000,5209000,5209000,0,6025000,101034000,114840000,-20818000,103740000,477000,198239000,198239000,299273000,3509000,2826000,-49000,-18407000,-12121000,-2822000,-2822000,-108000,-4809000,63000,-108000,-5025000,-19968000,-19968000,-704000,-20672000,9436000,992000,-9642000,0.10686,0.03904,0.02072,0.0177,0.01173,-2.74779,2.17115,0.50966,0.00331,0.13292,0.13132,6.41367,7.50905,-0.36523,0.01716,-0.04716,-3.9946,-5.70242
"6","2012_Q3",11.0642857142857,"Down",200964000,-177866000,23098000,-11898000,-11898000,11200000,138000,-163000,301000,11338000,11338000,-4307000,7031000,7031000,7031000,7031000,37442000,37442000,115695000,115695000,2581000,65565000,59893000,221283000,54095000,128233000,-74138000,40220000,28905000,6727000,4588000,94315000,315598000,69399000,48814000,20585000,36905000,36905000,106304000,5877000,5877000,0,6677000,112981000,115192000,-24061000,110771000,715000,202617000,202617000,315598000,7031000,2912000,1714000,-5364000,6293000,-3760000,-3760000,-73999.9999999999,-3210000,44000,-904000,-4188000,-1655000,-1655000,412000,-1243000,14112000,8e+05,9295000,0.11494,0.05573,0.03499,0.0347,0.02228,1.322,2.08161,0.55761,0.00253,0.27231,0.2692,7.78327,7.84729,0.35999,0.03359,0.04441,-2.59651,-3.27161
"7","2012_Q4",10.8332258064516,"Down",183899000,-164128000,19771000,-12356000,-12356000,7415000,-217000,-162000,-55000,7198000,7198000,-2336000,4862000,4862000,4862000,4862000,43132000,43132000,113830000,113830000,2547000,64455000,58749000,223964000,54238000,130957000,-76719000,37574000,28725000,6614000,2235000,91812000,315776000,67361000,42760000,24601000,30895000,30895000,98256000,6188000,6188000,0,8745000,107001000,116123000,-24068000,115633000,1087000,208775000,208775000,315776000,4862000,2930000,1043000,-2532000,6303000,-2841000,-2600000,1711000,45000.0000000005,45000,-118000,1638000,5341000,5341000,349000,5690000,10345000,2557000,7308000,0.10751,0.04032,0.02644,0.02329,0.0154,1.50309,2.27939,0.51252,0.0081,0.18901,0.18586,7.1492,8.11628,0.2841,0.02235,0.0336,-3.92218,-5.47202
"8","2013_Q1",14.7621666666667,"Up",184862000,-166206000,18656000,-12246000,-12246000,6410000,-116000,-189000,73000.0000000001,6294000,6294000,-4508000,1786000,1786000,1786000,1786000,39726000,39726000,108034000,108034000,2482000,80274000,74250000,230516000,54875000,133689000,-78814000,37744000,28675000,6504000,2565000,92619000,323135000,72256000,48931000,22210000,33707000,33707000,105963000,6075000,6075000,0,6075000,112038000,116972000,-24065000,117419000,771000,211097000,211097000,323135000,1786000,2817000,810000,-2947000,2466000,-3513000,-3513000,-1787000,62000,62000,-50000.0000000001,-1775000,-2822000,-2822000,-584000,-3406000,9227000,-4.65661287307739e-10,7275000,0.10092,0.03467,0.00966,0.00846,0.00553,4.07335,2.17544,0.53074,0,0.06938,0.06819,7.18162,8.20081,0.28262,0.00822,0.0335,-4.30541,-6.1975
"9","2013_Q2",15.7196875,"Up",209608000,-187364000,22244000,-14320000,-14320000,7924000,-118000,-175000,57000,7806000,7806000,-3122000,4684000,4684000,4684000,4684000,17170000,17170000,156844000,156844000,3267000,88918000,83158000,266199000,57559000,138966000,-81407000,39092000,28763000,6392000,3937000,96651000,362850000,87238000,61664000,22336000,49371000,49371000,136609000,6063000,6063000,0,9418000,146027000,117576000,-24094000,122103000,1238000,216823000,216823000,362850000,4684000,2826000,1644000,-30152000,-20998000,-5055000,-5055000,3333000,69000,69000,-320000,3082000,-22971000,-22971000,415000,-22556000,10750000,3355000,-21335000,0.10612,0.0378,0.02235,0.0216,0.01291,-4.55487,1.94862,0.67348,0.00925,0.18163,0.17913,8.12812,8.4079,-0.82732,0.0207,-0.0943,-1.28512,-1.74344
"10","2013_Q3",16.77046875,"Up",221436000,-199103000,22333000,-13561000,-13561000,8772000,-212000,-205000,-7000,8560000,8560000,-3124000,5436000,5436000,5436000,5436000,33209000,33209000,152754000,152754000,3683000,77672000,71125000,267318000,65474000,149574000,-84100000,43282000,30975000,8134000,4173000,108756000,376074000,82878000,59709000,23169000,61577000,61577000,144455000,5814000,5814000,0,9239000,153694000,117338000,-23583000,127539000,1086000,222380000,222380000,376074000,5436000,2970000,575000,24115000,33096000,-6913000,-16307000,56000,59000,59000,-716000,-601000,16188000,16188000,-149000,16039000,11742000,3425000,32068000,0.10086,0.03961,0.02455,0.02444,0.01445,5.89919,1.85053,0.69113,0.00911,0.20958,0.20745,8.53713,8.57352,1.23633,0.02347,0.13845,-2.53654,-3.39535
