"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",4.30206349206349,"Down",13355000,-10680000,2675000,-1740000,-1740000,935000,48000,-9000,56000,1000,983000,983000,-71000,912000,912000,912000,912000,-11822831.8943634,-11822831.8943634,-109786976.940141,-109786976.940141,45888536.9394332,1875768.12126989,585956.812767267,-73845503.7738016,12237439.5168327,11049055.415748,9422537.29698902,23286494.9325807,-50559008.841221,-71019141.1590566,-13061348.6389384,-40899839.3559076,-17057953.1642106,-71019141.1590563,874639.063994482,874028.178019882,874639.063994482,-70144502.0950619,19309720.9996501,-6253776.52689996,-2003302.85291878,8532851.63400959,19585493.2538409,19585493.2538409,-50559008.841221,912000,831000,80000,-1760000,63000,-277000,-277000,0,0,0,-214000,-214000,-214000,1766000,0,-2e+05,0.2003,0.07001,0.06829,0.372747181255755,0.386921002083819,-0.2193,47.3317241585917,-1.8151160771581,-1.07460798944484e-19,0.12827,0.12807,1.87841,2.31253166209955,-0.02813,0.362492761655961,-0.993282769060991,-354.227055497011,-17474.9131339339
"2","2011_Q3",4.76125,"Up",14754000,-11905000,2849000,-1735000,-1735000,1114000,-46000,-12000,-35000,1000,1068000,1068000,-214000,854000,854000,854000,854000,5697084.0528183,5697084.0528183,-47799488.4700707,-47799488.4700707,20721268.4697166,1638384.06063495,173978.406383634,-19742751.8869008,12115219.7584163,5829027.70787398,4285268.64849451,17944247.4662903,-1798504.42061049,-29654070.5795283,-5541674.31946921,-18082919.6779538,-6029476.58210528,-29654070.5795282,823819.531997241,823514.089009941,823819.531997241,-28830251.0475309,19334360.499825,-3532888.26344998,8229848.57354061,3000425.8170048,27031746.6269205,27031746.6269205,-1798504.42061049,854000,797000,46000,1447000,3144000,-730000,-730000,0,2.91038304567337e-11,0,2414000,2414000,2414000,1911000,0,2842000,0.1931,0.0755,0.05788,0.254523590627877,0.24887050104191,3.32787,24.5238820792959,-0.73329303857905,-5.37303994722418e-20,0.12012,0.11994,2.07518,3.55135083104977,0.39973,0.248176380827981,-0.371946384530495,-175.648007748506,-8731.40210196694
"3","2011_Q4",6.99285714285714,"Up",13375000,-10991000,2384000,-2126000,-2126000,258000,-7000,-8000,1000,0,251000,251000,-70000,181000,181000,181000,181000,13803694.6842728,13803694.6842728,-12485829.4900236,-12485829.4900236,8986422.82323887,1963128.02021165,382326.135461211,12267416.0376997,11805073.2528054,3005342.56929133,1519089.54949817,14810415.8220968,27077831.8597965,-5863690.1931761,-614224.773156404,-5166639.89265127,-82825.5273684282,-5863690.19317606,771939.84399908,771838.02966998,771939.84399908,-5091750.34917698,19376453.4999417,-2072296.08781666,14535282.8578469,330141.939001598,32169582.2089735,32169582.2089735,27077831.8597965,181000,801000,93000,303000,1378000,-261000,-261000,28000,0,28000,1145000,1145000,1145000,1059000,0,1171000,0.17824,0.01929,0.01353,0.159741196875959,0.146686833680637,6.46961,11.4742706930986,-0.115661012859683,-1.79101331574139e-20,0.02543,0.02541,1.87908,4.42107694368326,0.16452,0.156165460275994,-0.0673687948434985,-70.0155859161685,-3480.11072398898
"4","2012_Q1",7.81612903225806,"Up",14398000,-11677000,2721000,-2703000,-2703000,18000.0000000001,30000,-12000,-31000,73000,48000,48000,3091000,3139000,3139000,3139000,3139000,15461000,15461000,3287000,3287000,6499000,2581000,942000,27828000,11411000,1905000,453000,13316000,41144000,4947000,2232000,472000,2243000,4947000,719000,719000,719000,5666000,19429000,-1525000,17939000,-365000,35478000,35478000,41144000,3139000,795000,-2883000,3451000,4502000,-404000,-404000,-426000,-426000,-529000,3569000,3569000,3569000,813000,0,769000,0.18898,0.00124999999999999,0.21802,0.08848,0.07629,0.244979999999999,5.62523,0.1597,0,0.44176,0.44167,2.02625,4.99287,0.10822,0.08672,0.02124,-19.01722,-858.94444
"5","2012_Q2",7.04571428571429,"Down",18341000,-13658000,4683000,-2336000,-2336000,2347000,83000,-30000,111000,2000,2430000,2430000,-902000,1528000,1528000,1528000,1528000,13633000,13633000,6652000,6652000,9074000,3223000,1584000,32582000,11037000,1855000,416000,12892000,45474000,7373000,3508000,1456000,2409000,7373000,665000,665000,665000,8038000,19485000,-1544000,19467000,27999.9999999999,37436000,37436000,45474000,1528000,794000,115000,-3826000,-1389000,-420000,-420000,-19000,-19000,-19000,-1828000,-1828000,-1828000,3141000,0,-203000,0.25533,0.12796,0.08331,0.04082,0.0336,-0.13285,4.4191,0.21471,0,0.21787,0.21785,2.61519,5.33789,-0.02895,0.0401,-0.00533,-4.34034,-5.80868999999996
"6","2012_Q3",6.31888888888889,"Down",16161000,-12808000,3353000,-2127000,-2127000,1226000,-27000,-26000,-5000,4000,1199000,1199000,-414000,785000,785000,785000,785000,11193000,11193000,4888000,4888000,12693000,3574000,1935000,32348000,10826000,2088000,661000,12914000,45262000,6118000,3331000,679000,2108000,6118000,611000,611000,611000,6729000,19543000,-1727000,20252000,465000,38533000,38533000,45262000,785000,749000,86000,-3334000,-1714000,-543000,-543000,-183000,-183000,-183000,-2440000,-2440000,-2440000,1975000,-2.01948391736579e-28,-1488000,0.20747,0.07586,0.04857,0.02037,0.01734,-1.89554,5.28735,0.17463,0,0.1126,0.11238,2.31816,5.52723,-0.21344,0.02005,-0.03801,-5.66734,-9.12969
"7","2012_Q4",5.84790322580645,"Down",17422000,-13299000,4123000,-2493000,-2493000,1630000,-19000,-22000,-5000,8000,1611000,1611000,-543000,1068000,1068000,1068000,1068000,11105000,11105000,5128000,5128000,13171000,3365000,1726000,32769000,10882000,1931000,517000,12813000,45582000,5777000,2212000,764000,2801000,5777000,557000,557000,557000,6334000,19596000,-1727000,21320000,59000,39248000,39248000,45582000,1068000,740000,62000,-1162000,708000,-796000,-796000,0,0,0,-88000,-88000,-88000,2370000,0,955000,0.23665,0.09356,0.0613,0.02721,0.02343,0.89419,5.67232,0.16138,0,0.15326,0.15302,2.50004,5.63205,0.13704,0.02683,0.02399,-4.68565,-6.81288
"8","2013_Q1",4.97366666666667,"Down",20898000,-17606000,3292000,-2295000,-2295000,997000,5000.00000000001,-8000,6000,7000,1002000,1002000,-225000,777000,777000,777000,777000,14478000,14478000,8751000,8751000,8355000,2935000,1880000,34519000,10647000,2031000,471000,12678000,47197000,6836000,3918000,328000,2590000,6836000,493000,493000,493000,7329000,19602000,-1930000,22097000,99000,39868000,39868000,47197000,777000,735000,569000,2020000,4101000,-525000,-525000,-203000,-203000,-203000,3373000,3373000,3373000,1732000,-1.61558713389263e-27,3452000,0.15753,0.04771,0.03718,0.01949,0.01646,4.44273,5.04959,0.18383,0,0.11163,0.1114,3.00239,5.72779,0.49595,0.01925,0.08553,-8.35912,-14.52156
"9","2013_Q2",4.65265625,"Down",16460000,-12758000,3702000,-2673000,-2673000,1029000,-12000,3000,-15000,828.12698382557,1017000,1017000,-320000,697000,697000,697000,697000,14419000,14419000,7298000,7298000,9295000,2329000,1345000,33341000,10125000,1942000,384000,12067000,45408000,4714000,2120000,420000,2174000,4714000,446000,446000,446000,5160000,19679000,-2080000,22794000,-145000,40248000,40248000,45408000,697000,756000,49000,-1189000,313000,-258000,-258000,-114000,-151000,-114000,-59000,-59000,-59000,1785000,0,658000,0.22491,0.06252,0.04235,0.01732,0.01535,0.94405,7.07276,0.12821,-9.62964972193618e-35,0.10075,0.10059,2.37937,5.81803,0.09512,0.01713,0.01617,-8.07787,-14.01263
"10","2013_Q3",4.95734375,"Up",13686000,-11627000,2059000,-2332000,-2332000,-273000,7000.00000000001,7000,-3.63797880709171e-12,-8231.61852097911,-266000,-266000,368000,102000,102000,102000,102000,16996000,16996000,3313000,3313000,9433000,2663000,873000,32405000,10271000,1905000,350000,12176000,44581000,4515000,2165000,505000,1845000,4515000,407000,407000,407000,4922000,19722000,-2522000,22896000,-437000,39659000,39659000,44581000,102000,752000,18000,3008000,3880000,-862000,-862000,-441000,-441000,-441000,2577000,2577000,2577000,479000,-2.58493941422821e-26,2257000,0.15045,-0.01995,0.00745,0.00257,0.00229,22.12745,7.17719,0.12411,0,0.0148,0.01478,1.98609,5.75524,0.32753,0.00255,0.05633,-35.48225,62.25641
"11","2013_Q4",5.67796875,"Up",15835000,-12972000,2863000,-2294000,-2294000,569000,-48000,9000,-57000,-14305.4275176966,521000,521000,-343000,178000,178000,178000,178000,14638000,14638000,6115000,6115000,10080000,2589000,1145000,33422000,9717000,1964000,411000,11681000,45103000,4794000,2328000,503000,1963000,4794000,3e+05,3e+05,3e+05,5094000,19774000,-2526000,23074000,-313000,40009000,40009000,45103000,178000,767000,-48000,-3023000,-2126000,-228000,-228000,-4000,-4000,-4000,-2358000,-2358000,-2358000,1336000,0,-1572000,0.1808,0.03593,0.01124,0.00445,0.00395,-8.83146,6.97163,0.12732,7.70371977754894e-34,0.02602,0.02601,2.31466,5.84827,-0.22979,0.00442,-0.039,-10.95659,-25.72583
"12","2014_Q1",5.38655737704918,"Down",16816000,-13304000,3512000,-2684000,-2684000,828000,-7000,7000,-14000,-11519.4910096094,821000,821000,-228000,593000,593000,593000,593000,16697000,16697000,6605000,6605000,10035000,1986000,1217000,35323000,9205000,2112000,585000,11317000,46640000,5942000,3539000,466000,1937000,5942000,359000,225000,359000,6301000,19735000,-2633000,23667000,-430000,40339000,40339000,46640000,593000,761000,387000,662000,2403000,-237000,-237000,-107000,-107000,-107000,2059000,2059000,2059000,1589000,-4.13590306276514e-25,2242000,0.20885,0.04924,0.03526,0.0147,0.01271,3.78078,5.94463,0.1562,0,0.08686,0.08636,2.46317,5.90876,0.3284,0.01457,0.05509,-10.50787,-20.16546
"13","2014_Q2",5.6631746031746,"Up",17155000,-14421000,2734000,-2644000,-2644000,90000,32000,9000,17000,6000,122000,122000,-34000,88000,88000,88000,88000,14782000,14782000,8185000,8185000,11510000,2009000,1052000,36486000,8877000,2191000,664000,11068000,47554000,7002000,3917000,467000,2618000,7002000,296000,296000,296000,7298000,19783000,-2644000,23755000,-638000,40256000,40256000,47554000,88000,765000,-9000,-2416000,-1572000,-332000,-332000,-11000,-11000,-11000,-1915000,-1915000,-1915000,855000,0,-1859000,0.15937,0.00525,0.00513,0.00219,0.00185,-21.125,5.2108,0.18129,0,0.01291,0.01286,2.51669,5.90568,-0.27272,0.00217,-0.04584,-17.28889,-164.24444
