"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","accounts_notes_receivable","other_assets","total_assets","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.2584126984127,"Up",210570000,21489000,36649000,-15160000,189081000,91733000,16774000,210570000,-145657000,-69688000,-75969000,64913000,64913000,64913000,-5226000,59687000,59687000,-55796000,3891000,3891000,1001171464.55742,5371546002.14364,3222751075.69533,5141168232.08141,455435341.098708,15192072115.5765,1785318153.88944,11556941635.7541,13959432783.0868,-1814294086.93828,377491408.459083,-9557411906.50178,-15258247.8500693,-11009472832.831,12242112165.3196,1232639332.48856,15192072115.5754,59687000,4732000,56035000,-144694000,-24240000,-4137000,-4137000,-34118000,102861000,68743000,40366000,40366000,3295000,43661000,69645000,0,-73960000,0.30827,0.01848,-0.0440928078213619,-0.00680018230163482,-19.00797,6.77707729661924,0.240775048323689,0.0944,0.09272,5.10883,-260.069327658935,-1.79441,0.82777,0.141864120536705,0.165844450527678,8.76844,783.280969373728,894.145556135036
"2","2010_Q3",12.20421875,"Down",226136000,23254000,40968000,-17714000,202882000,107519000,17723000,226136000,-154060000,-75482000,-78578000,72076000,72076000,72076000,-7308000,64768000,64768000,-60928000,3840000,3840000,1111044000,1669776000,19132664000,5067443000,500751000,27481678000,9472984000,12934344000,22638182000,529064000,-118940000,185140000,5860000,601124000,4242372000,4843496000,27481678000,64768000,4320000,129553000,392382000,591023000,-6748000,-33953000,-47042000,-229763000,-276805000,280265000,280265000,-19442000,260823000,76396000,9703838000,469338000,0.31873,0.01698,0.00079,0.00014,122.22344,4.67393,0.3531,0.09186,0.09048,5.40962,14.38008,11.2275,1.12534,0.00185,0.01708,12.25052,112.47701,119.21852
"3","2010_Q4",13.41546875,"Up",299138000,26391000,42350000,-15959000,272747000,90144000,13928000,299138000,-137218000,-61905000,-75313000,161920000,161920000,161920000,-13201000,148719000,148719000,-137683000,11036000,11036000,1291717000,397170000,21504144000,5974637000,492759000,29660427000,10099011000,14226887000,24545530000,529064000,-118940000,196176000,16891000,623191000,4491706000,5114897000,29660427000,148719000,4483000,25706000,27639000,206547000,-3625000,-3625000,-33050000,-40895000,-73945000,128977000,128977000,51696000,180673000,166403000,10318643000,203618000,0.54129,0.03689,0.00216,0.00037,18.45034,4.79883,0.34789,0.26138,0.25794,7.08481,14.75971,4.82251,0.78276,0.00148999999999999,0.00686,2.99474,54.24738,55.7493
"4","2011_Q1",13.0925806451613,"Down",186264000,35161000,52537000,-17376000,151103000,97369000,11989000,186264000,-147758000,-65533000,-82225000,38506000,38506000,38506000,-34546000,3959999.99999997,3959999.99999997,-32277000,-28317000,-28317000,1354219000,336299000,18602855000,7725589000,481077000,28500039000,7972215000,15940136000,24206954000,429000,-19132000,-2031656000,21137000,-2029222000,6322307000,4293085000,28500039000,3959999.99999997,5167000,96839000,814048000,920014000,-3598000,-4006000,-960550000,96178000,-864372000,51636000,51636000,10866000,62502000,43673000,8266818000,888669000,0.20673,-0.15203,-0.0066,-0.00099,-31.38288,5.63859,0.29006,-0.67035,-0.66158,4.40947,-48.03821,21.03765,22.73931,0.03271,0.03118,-33.92132,158.28084,179.52005
"5","2011_Q2",13.2377777777778,"Up",367888000,40916000,58663000,-17747000,326972000,109199000,17435000,367888000,-145916000,-66237000,-79679000,221972000,221972000,221972000,-18732000,203240000,203240000,-186989000,16251000,16251000,1176160000,325004000,18001986000,10046126000,505323000,30054599000,7023604000,18389309000,25613802000,536045000,-161947000,108755000,22405000,505258000,3935539000,4440797000,30054599000,203240000,4946000,1329000,-246252000,-36737000,-3167000,-35804000,0,-112491000,-112491000,-185032000,-185032000,6973000,-178059000,226918000,7224493000,-3769000,0.60337,0.04417,0.00366,0.00054,-0.23192,5.76784,0.24038,0.38481,0.37977,8.71119,11.96397,-0.08925,0,0.000540000000000006,-0.000129999999999998,0,26.65427,27.24818
"6","2011_Q3",12.025,"Down",296940000,54963000,79400000,-24437000,241977000,106432000,14976000,296940000,-147796000,-66074000,-81722000,149144000,149144000,149144000,-12496000,136648000,136648000,-127087000,9561000,9561000,1422935000,304278000,18126889000,10290748000,495405000,30640255000,6740407000,19136005000,26054712000,522937000,-132542000,113958000,26242000,530595000,4054948000,4585543000,30640255000,136648000,4414000,48339000,263542000,452943000,-3824000,11291000,-75288000,-159012000,-234300000,229934000,229934000,16841000,246775000,153558000,6918707000,425772000,0.50227,0.0322,0.00209,0.00031,44.53216,5.68193,0.2258,0.22226,0.21994,6.90268,12.33423,9.89751000000001,1.75015,0.00277,0.0139,7.87449,35.78955,36.84876
"7","2011_Q4",11.9268253968254,"Down",385526000,50357000,73694000,-23337000,335169000,130665000,10726000,385526000,-167769000,-82080000,-85689000,217757000,217757000,217757000,-15270000,202487000,202487000,-179993000,22494000,22494000,1555735000,463427000,22573021000,8007115000,551823000,33151121000,10085045000,18306937000,28517855000,546396000,-132449000,131895000,19837000,565679000,4067587000,4633266000,33151121000,202487000,4269000,41996000,9430000,258182000,-2682000,-83017000,-72175000,80198000,8023000,183188000,183188000,-50388000,132800000,222026000,10210918000,244044000,0.56483,0.05835,0.00485,0.00068,10.84929,6.15502,0.30801,0.50173,0.49756,8.59924,12.6176,5.44346,1.60988,0.00286,0.00736,3.20863,38.98275,39.74698
"8","2012_Q1",13.0488709677419,"Up",307958000,47698000,68433000,-20735000,260260000,109916000,-151000.000000002,307958000,-155763000,-66957000,-88806000,152195000,152195000,152195000,-7391000,144804000,144804000,-131252000,13552000,13552000,1695495000,375366000,19346687000,8443699000,543118000,30404365000,7548745000,17942254000,25592410000,460000,-13310000,-465138000,18487000,-459501000,5271456000,4811955000,30404365000,144804000,5071000,28449000,138836000,317160000,-3873000,-31092000,-40252000,-182729000,-222981000,63087000,63087000,-3877000.00000001,59210000,157266000,7650156000,299620000,0.49421,0.04401,0.00282,0.00045,22.10891,5.31851,0.25161,0.29709,0.29468,6.75111,-10.07326,6.56832,0.88241,0.00177,0.00985,2.97019,37.86363,39.12521
"9","2012_Q2",12.3860317460317,"Down",303922000,47433000,66576000,-19143000,256489000,100885000,18324000,303922000,-154245000,-64624000,-89621000,149677000,149677000,149677000,-8734000,140943000,140943000,-129859000,11084000,11084000,1551399000,365229000,20555895000,9673533000,550342000,32696398000,7457051000,20243914000,27731203000,460000.00000006,-13278000,-1041240000,21113000,-1032945000,5998140000,4965195000,32696398000,140943000,5193000,12285000,-212351000,-53930000,-5176000,-10486000,-39550000,-63558000,-103108000,-167524000,-167524000,23428000,-144096000,154870000,7487289000,-53923000,0.49248,0.03647,0.00223,0.00034,-4.86494,5.58512,0.22899,0.24319,0.24121,6.66833,-22.66377,-1.18312,0.86776,0.00155,-0.00165,3.56821,38.32821,39.658
"10","2012_Q3",11.6238095238095,"Down",260888000,52488000,68621000,-16133000,208400000,108071000,15322000,260888000,-152381000,-66171000,-86210000,108507000,108507000,108507000,-10977000,97530000,97530000,-89546000,7984000,7984000,2003505000,377861000,19831420000,9604914000,566011000,32383711000,7231359000,20155687000,27387046000,490502000,-7784000,117464000,17407000,617589000,4379076000,4996665000,32383711000,97530000,4557000,45559000,425842000,573488000,-4553000,-19722000,-39885000,-31266000,-71151000,482615000,482615000,-30509000,452106000,113064000,7231359000,545330000,0.41591,0.0306,0.0016,0.00025,68.30286,5.48107,0.2233,0.17101,0.17003,5.58811,13.22849,11.68074,0.85432,0.00148,0.01684,4.99562,46.23801,48.17988
