"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",9.95444444444444,"Down",-5106623,-1224903,-3881720,-5106623,4773,-5101850,-5101850,-5101850,-5101850,-5101850,-5101850,56966028,56966028,719019,719019,57685047,379099,379099,58064146,2534497,1797042,737455,2642183,2709968,123731437,-68377259,55354178,55354178,58064146,-5101850,34620,292216,2187966,-2587048,-13920,-13920,-13920,-13920,57256393,57256393,57256393,54655425,54655425,54655425,-5072003,0,-0.09217,-0.08787,21.83234,0.04896,0,-0.29606,-0.29606,3.21218,-0.09205,11.23147,11.15532
"2","2014_Q3",8.0896875,"Down",-6962789,-1605092,-5357697,8064215,4263,8068478,8068478,7991720,7991720,7991720,7991720,66217242,66217242,881714,881714,67098956,420640,420640,67519596,3485508,472161,3013347,3596905,3635742,124269393,-60385539,63883854,63883854,67519596,7991720,38852,419851,763079,9213502,-81817,-81817,-81817,-81817,119528.999999993,119528.999999993,119528.999999993,9251214.00000001,9251214.00000001,9251214.00000001,8103067,0,0.1251,0.11836,18.65464,0.05691,0,0.42492,0.36805,3.39669,0.12502,-8.17187,-8.21124000000001
"3","2014_Q4",7.8259375,"Down",-6699162,-1648496,-5050666,-6699162,4827,-6694335,-6694335,-6617577,-6617577,-6617577,-6617577,61362103,61362103,587821,587821,61949924,481853,481853,62431777,4598538,583719,4014819,4713588,4723297,124711596,-67003116,57708480,57708480,62431777,-6617577,40789,441777,1381449,-4753562,-102001,-102001,-102001,-102001,424,424,424,-4855139,-4855139,-4855139,-6658373,0,-0.11467,-0.106,13.14284,0.08185,0,-0.35025,-0.41391,3.05436,-0.11465,9.21578,9.15967
"4","2015_Q1",7.76344262295082,"Down",-7398237,-2117247,-5280990,-7398237,4378,-7393859,-7393859,-7393859,-7393859,-7393859,-7393859,55198923,55198923,916249,916249,56115172,452270,1148801,57263973,6363533,874028,5489505,6460545,6460545,125200403,-74396975,50803428,50803428,57263973,-7393859,44447,482645,712288,-6154479,-14865,-14865,-14865,-14865,6164,6164,6164,-6163180,-6163180,-6163180,-7353790,0,-0.14554,-0.12912,8.68583,0.12717,0,-0.39173,-0.39173,2.69158,-0.14554,7.50619,7.46109
"5","2015_Q2",8.2715873015873,"Up",-7112693,-1904963,-5207730,-7112693,3564,-7109129,-7109129,-7109129,-7109129,-7109129,-7109129,46566894,46566894,777079,777079,47343973,420365,1116896,48460869,4035714,1183492,2852222,4103679,4103679,125863294,-81506104,44357190,44357190,48460869,-7109129,44245,587514,-2227697,-8705067,-2339,-2339,-2339,-2339,75377,75377,75377,-8632029,-8632029,-8632029,-7068448,0,-0.16027,-0.1467,11.53696,0.09251,0,-0.37492,-0.37492,2.33933,-0.16027,6.58799,6.54701
"6","2015_Q3",7.220625,"Down",-9648608,-1805724,-7842884,10386767,2638,10389405,10389405,10389405,10389405,10389405,10389405,40234157,40234157,534851,534851,60769008,579174,1275705,62044713,6758246,1106952,5651294,6796573,6824728,126336684,-71116699,55219985,55219985,62044713,10389405,46290,458230,-17037186,-6143261,-204636,-204636,-204636,-204636,15160,15160,15160,-6332737,-6332737,-6332737,10433057,0,0.18815,0.16745,8.94112,0.12359,0,0.54647,0.48337,2.90449,0.18805,-3.85641,-3.8736
"7","2015_Q4",6.62796875,"Down",-7171373,-2132993,-5038380,-7171373,3302,-7168071,-7168071,-7168071,-7168071,-7168071,-7168071,53759839,53759839,718234,718234,54478073,567219,1263750,55741823,6850299,633093,6217206,6850299,7036825,126989768,-78284770,48704998,48704998,55741823,-7168071,51882,640925,20039178,13563914,-58392,-58392,-58392,-58392,20160,20160,20160,13525682,13525682,13525682,-7119491,0,-0.14717,-0.12859,7.95266,0.14448,0,-0.37676,-0.43328,2.55997,-0.14661,7.55108,7.49645
"8","2016_Q1",5.12688524590164,"Down",-8922901,-1961716,-6961185,-8887526,5823,-8881703,-8881703,-8881703,-8881703,-8881703,-8881703,46802560,46802560,441810,441810,47244370,521378,1217909,48462279,7746978,564235,7182743,7746978,7990625,127638127,-87166473,40471654,40471654,48462279,-8881703,49067,644935,1230225,-6957476,-3226.99999999999,-3227,-3227,-3226.99999999999,3424,3424,3424,-6957279,-6957279,-6957279,-8838459,0,-0.21945,-0.18327,6.09843,0.19744,0,-0.4664,-0.4664,2.12525,-0.21814,5.29533,5.2661
"9","2016_Q2",6.8896875,"Up",-7575075,-2056353,-5518722,-7575075,20097,-7554978,-7554978,-7554978,-7554978,-7554978,-7554978,38830110,38830110,683365,683365,39513475,491414,1187945,40701420,5683311,1622594,4060717,5683311,5933454,129489417,-94721451,34767966,34767966,40701420,-7554978,47234,727547,-2449493,-9229690,-17270,-17270,-17270,-17270,1274510,1274510,1274510,-7972450,-7972450,-7972450,-7527841,0,-0.2173,-0.18562,6.95254,0.17066,0,-0.39613,-0.39613,1.823,-0.21574,5.1582,5.12604
"10","2016_Q3",7.6515625,"Up",-8093383,-2312207,-5781176,-8093383,21813,-8071570,-8071570,-8071570,-8071570,-8071570,-8071570,53085190,53085190,1449019,1449019,54534209,487984,1236835,55771044,6013331,1397431,4615900,6094729,6894207,151669858,-102793021,48876837,48876837,55771044,-8071570,46707,771686,178222,-7074955,-22980,-22980,-22980,-22980,21353015,21353015,21353015,14255080,14255080,14255080,-8046676,0,-0.16514,-0.14473,8.94777,0.14105,0,-0.4078,-0.4078,2.46937,-0.16248,6.59716,6.55909
"11","2016_Q4",6.23984126984127,"Down",-7905257,-1983795,-5921462,-7886757,32064,-7854693,-7854693,-7854693,-7854693,-7854693,-7854693,45282550,45282550,1239716,1239716,46522266,676593,1488444,48010710,5336553,1246739,4089814,5417951,6259377,152399047,-110647714,41751333,41751333,48010710,-7854693,45808,739414,-402532,-7472003,-225385,-225385,-225385,-225385,-105252,-105252,-105252,-7802640,-7802640,-7802640,-7840949,0,-0.18813,-0.1636,8.58669,0.14992,0,-0.34078,-0.34078,1.81139,-0.18441,5.77514,5.74159
"12","2017_Q1",6.13725806451613,"Down",-8358270,-2297810,-6060460,-8358270,29673,-8328597,-8328597,-8328597,-8328597,-8328597,-8328597,40041641,40041641,478503,478503,40520144,1056332,1868183,42388327,6265066,1565210,4699856,6333617,7087196,154277442,-118976311,35301131,35301131,42388327,-8328597,50791,726120,1597069,-5954617,-438567,-438567,-438567,-438567,1152275,1152275,1152275,-5240909,-5240909,-5240909,-8307479,0,-0.23593,-0.19648,6.39763,0.20076,0,-0.36038,-0.36038,1.52747,-0.231,4.81995,4.79066
"13","2017_Q2",8.26111111111111,"Up",-7970808,-2092300,-5878508,-7970808,39495,-7931313,-7931313,-7931313,-7931313,-7931313,-7931313,34590578,34590578,697063,697063,35287641,1074515,1886366,37174007,4463168,511714,3951454,4533766,5287821,158813537,-126927351,31886186,31886186,37174007,-7931313,54339,842847,-2027488,-9061615,-62969,-62969,-62969,-62969,3673521,3673521,3673521,-5451063,-5451063,-5451063,-7916469,0,-0.24874,-0.21336,7.7833,0.16583,0,-0.33778,-0.33778,1.35799,-0.24299,4.36945,4.33966
"14","2017_Q3",11.7395238095238,"Up",-8243875,-2521805,-5722070,-8243875,102079,-8141796,-8141796,-8141796,-8141796,-8141796,-8141796,119147928,119147928,502155,502155,119650083,1159589,1971440,121621523,5376480,575111,4801369,5447078,6189662,250501008,-135069147,115431861,115431861,121621523,-8141796,69577,991108,973117,-6107994,-164204,-164204,-164204,-164204,90829548,90829548,90829548,84557350,84557350,84557350,-8174298,0,-0.07053,-0.06694,21.96592,0.05362,0,-0.29889,-0.29889,4.2376,-0.07008,14.57592,14.4529
"15","2017_Q4",13.2234920634921,"Up",-8181735,-2401976,-5779759,-8181735,231634,-7950101,-7950101,-7950101,-7950101,-7950101,-7950101,112872534,112872534,1015747,1015747,113888281,1122216,1934067,115822348,6456828,1631722,4825106,6530900,7257886,251583710,-143019248,108564462,108564462,115822348,-7950101,70060,962346,687817,-6229878,-32687,-32687,-32687,-32687,-12829,-12829,-12829,-6275394,-6275394,-6275394,-8111675,0,-0.07323,-0.06864,17.43837,0.06685,0,-0.24294,-0.24294,3.31758,-0.07274,13.91482,13.79567
"16","2018_Q1",20.7968852459016,"Up",-9535862,-2816107,-6719755,-9535862,278004,-9257858,-9257858,-9257858,-9257858,-9257858,-9257858,123924738,123924738,3294884,3294884,127219622,1106899,1363583,128583205,8096749,2647091,5449658,8174777,8881780,271978531,-152277106,119701425,119701425,128583205,-9257858,69565,964501,-145082,-8368874,-34247,-34247,-34247,-34247,19455325,19455325,19455325,11052204,11052204,11052204,-9466297,0,-0.07734,-0.072,15.56246,0.0742,0,-0.27118,-0.27118,3.50633,-0.07689,13.09115,12.99565
"17","2018_Q2",17.19515625,"Down",-11876548,-2855125,-9021423,-11876548,363704,-11512844,-11512844,-11512844,-11512844,-11512844,-11512844,242632085,242632085,3477285,3477285,246109370,1054760,1311444,247420814,8613908,3853987,4759921,8695925,9381614,401829150,-163789950,238039200,238039200,247420814,-11512844,68757,1115830,119433,-10208824,-16618,-16618,-16618,-16618,128932789,128932789,128932789,118707347,118707347,118707347,-11807791,0,-0.04837,-0.04653,28.30169,0.03941,0,-0.32748,-0.32748,6.77092,-0.04823,20.54847,20.42951
