"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",31.924126984127,"Down",85970000,-60166000,25804000,-14643000,-12859000,-1784000,11161000,-233000,-378000,145000,10928000,10928000,-4251000,6677000,6677000,6677000,6677000,91750000,91750000,51552000,51552000,44327000,13537000,6660000,201166000,59949000,59221000,-10138587.2536921,24530000,45820991.9904365,5646000,119170000,320336000,26291000,26291000,6171000,31958000,31958000,64420000,21515000,6407000,6407000,10510000,4598000,39427000,103847000,47414000,-91998000,255273000,5800000,216489000,216489000,320336000,6677000,2681000,222000,-57000,9523000,-1344000,9292520.42118402,-1476000,-992000,-1543000,-507000,-507000,310000,-2732000,5315000,5315000,506000,5821000,13842000,24083000,16692000,0.30015,0.12982,0.07767,0.03084,0.02084,2.49993,3.12273,0.47969,0.07518,0.53934,0.53241,6.94426,17.487,1.3483,0.08013,7,0.02926,0.06369,0.14857,-4.88853,-6.06281
"2","2010_Q3",32.2884375,"Up",85196000,-63067000,22129000,-15215000,-13530000,-1685000,6914000,-358000,-273000,-85000,6556000,6556000,-578000,5978000,5978000,5978000,5978000,91635000,91635000,53297000,53297000,47197000,14274000,7629000,206403000,57414000,57349000,8694647.64778474,23867000,27628395.1942619,5640000,114763000,321166000,30514000,30514000,6171000,29631000,29631000,66316000,18424000,6407000,6407000,8916000,3101000,34793000,101109000,48157000,-90961000,260126000,2735000,220057000,220057000,321166000,5978000,2669000,-1146000,-5961000,1540000,-94000,565000,471000,-998000,-1543000,1051000,1051000,58000,-1432000,579000,579000,-694000,-114999.999999998,9583000,22540000,4106000,0.25974,0.08115,0.07017,0.02717,0.01861,0.68685,3.11242,0.45947,0.07018,0.48008,0.47524,6.84195,17.67242,0.32975,0.08015,7,0.02673,0.01573,0.16695,-7.21016,-9.99349
"3","2010_Q4",51.22609375,"Up",100073000,-74818000,25255000,-15206000,-13257000,-1949000,10049000,-413000,-425000,12000,9636000,9636000,-3388000,6248000,6248000,6248000,6248000,83509000,83509000,56804000,56804000,47070000,15045000,9071000,202428000,56379000,55672000,20213823.8238924,23292000,15660697.5971309,5652000,112051000,314479000,29547000,29547000,4286000,29981000,29981000,63814000,17676000,6192000,6192000,9431000,2053000,27319000,91133000,48700000,-90961000,265373000,234000,223346000,223346000,314479000,6248000,2677000,1841000,-7041000,3725000,-1947000,0,-1947000,-1001000,-8266000,0,0,0,-9267000,-7489000,-7489000,-637000,-8126000,12726000,13929000,7126000,0.25237,0.10042,0.06243,0.02797,0.01987,1.14052,3.17216,0.40804,0.04429,0.5004,0.49548,8.01482,17.88771,0.57072,0.08017,6,0.02843,0.02795,0.16021,-5.46755,-6.92407
"4","2011_Q1",61.1408064516129,"Up",87201000,-61489000,25712000,-15994000,-12945000,-3049000,9718000,-56000,-129000,73000,9662000,9662000,-3703000,5959000,5959000,5959000,5959000,83418000,83418000,63629000,63629000,45296000,15668000,8946000,208011000,57646000,59824000,26110941.2746308,27395000,8752899.19904365,4714000,117470000,325481000,26501000,26501000,4286000,36295000,36295000,67082000,20221000,6400000,6400000,10816000,3005000,28792000,95874000,48941000,-90961000,270272000,1355000,229607000,229607000,325481000,5959000,2683000,122000,281000.000000001,9045000,-1793000,1362000,-6735000,-1060000,-1417000,669000,669000,-956000,-2764000,-454000,-454000,363000,-91000,12401000,12857000,14592000,0.29486,0.11144,0.06834,0.02595,0.01831,2.44873,3.10085,0.41756,0.0395,0.47725,0.47256,6.9839,18.38916,1.16867,0.0849,7,0.02672,0.05555,0.17788,-5.68994,-7.26086
"5","2011_Q2",58.4063492063492,"Down",89166000,-64943000,24223000,-17613000,-14336000,-3277000,6610000,-33000,-144000,111000,6577000,6577000,-2291000,4286000,4286000,4286000,4286000,80535000,80535000,6e+07,6e+07,53147000,8540000,8540000,202222000,56794000,66750000,28078000,28123000,5740000,4809000,123544000,325766000,33316000,33316000,4286000,25922000,25922000,63524000,19799000,6344000,6344000,11461000,1994000,27299000,90823000,50184000,-90961000,273494000,2226000,234943000,234943000,325766000,4286000,2926000,762000,-5801000,2173000,-1441000,-734000,-3454000,-1064000,-1071000,-187000,-187000,609000,-1713000,-2994000,-2994000,111000,-2883000,9536000,11786000,4585000,0.27166,0.07413,0.04807,0.01824,0.01316,1.06976,3.1834,0.38657,0.03618,0.34283,0.33898,7.13214,18.79243,0.36674,0.08511,5,0.02007,0.0172,0.24825,-7.20942,-10.40076
"6","2011_Q3",53.42828125,"Down",120168000,-86159000,34009000,-16948000,-14176000,-2772000,17061000,-60000,-176000,116000,17001000,17001000,-5676000,11325000,11325000,11325000,11325000,78448000,78448000,75096000,75096000,54876000,10035000,10035000,218455000,58141000,66661000,27807000,28528000,5457000,4869000,124802000,343257000,38261000,38261000,4286000,27049000,27049000,69596000,18833000,6289000,6289000,10746000,1798000,25261000,94857000,51211000,-90961000,283751000,4399000,248400000,248400000,343257000,11325000,2954000,63999.9999999998,-12601000,1742000,-2908000,0,-2908000,-1069000,-1072000,996000,996000,-186000,-1331000,-2497000,-2497000,410000,-2087000,20015000,10714000,10182000,0.28301,0.14198,0.09424,0.04559,0.03299,0.89907,3.1389,0.38187,0.03121,0.90253,0.89286,9.57667,19.79598,0.81144,0.08519,7,0.04459,0.03663,0.09439,-3.38416,-3.97011
"7","2011_Q4",48.7595238095238,"Down",153446000,-111947000,41499000,-18358000,-15107000,-3251000,23141000,18000,-121000,139000,23159000,23159000,-7870000,15289000,15289000,15289000,15289000,100568000,100568000,87588000,87588000,52833000,12177000,12177000,253166000,57279000,67361000,27430000,28815000,6798000,4318000,124640000,377806000,42966000,42966000,4286000,40445000,40445000,87697000,18970000,6233000,6233000,10947000,1790000,24327000,112024000,52431000,-90961000,297971000,6341000,265782000,265782000,377806000,15289000,2940000,-545000,6676000,24360000,-909000,-527000,-1436000,-1068000,-1071000,277000,277000,1014000,-848000,22076000,22076000,44000,22120000,26081000,9643000,39718000,0.27045,0.15081,0.09964,0.05752,0.04047,2.59782,2.88683,0.42149,0.02552,1.21689,1.20357,12.21315,21.15425,3.16125,0.085,7,0.05556,0.13491,0.06985,-3.48625,-3.92917
"8","2012_Q1",54.7451612903226,"Up",116110000,-86056000,30054000,-20280000,-17882000,-2398000,9774000,3000,-5999.99999999999,8999.99999999997,9777000,9777000,-3875000,5902000,5902000,5902000,5902000,108167000,108167000,79006000,79006000,49524000,12398000,12398000,249095000,58465000,73584000,28639000,30943000,8598000,5404000,132049000,381144000,32153000,32153000,4286000,42880000,42880000,79319000,21875000,6231000,6231000,12550000,3094000,26160000,105479000,57432000,-90961000,302732000,6462000,275665000,275665000,381144000,5902000,2914000,961000,5003000,14780000,-3067000,142000,-7826000,-1141000,-1072000,2493000,2493000,207000,487000,7441000,7441000,158000,7599000,12688000,8571000,18499000,0.25884,0.08418,0.05083,0.02141,0.01548,3.13436,3.14042,0.38263,0.02249,0.46745,0.46337,9.1961,21.83312,1.46515,0.09037,6,0.02301,0.06043,0.19332,-7.84962,-10.18989
"9","2012_Q2",53.8069841269841,"Down",119205000,-88957000,30248000,-25165000,-15884000,-9281000,5083000,-642000,-47000,-595000,4441000,4441000,-1520000,2921000,2921000,2921000,2921000,108731000,108731000,76671000,76671000,57646000,11787000,11787000,254835000,56975000,72272000,27494000,30390000,8980000,5408000,129247000,384082000,39955000,39955000,4286000,38072000,38072000,82313000,24734000,6173000,6173000,10433000,8128000,27948000,110261000,57843000,-90961000,304510000,2429000,273821000,273821000,384082000,2921000,3125000,-637000,798000,6207000,-2632000,476000,-2156000,-1143000,-1071000,2030434.19146453,2030258.44571217,-444000,-2658000,1393000,1393000,-829000,564000,8208000,7500000,7894000,0.25375,0.04264,0.0245,0.01067,0.00761,2.7025,3.09593,0.40268,0.01953,0.23033,0.22885,9.39954,21.59131,0.62246,0.09013,5,0.01328,0.02579,0.3913,-12.33321,-19.9156
"10","2012_Q3",61.7080952380952,"Up",132134000,-95640000,36494000,-17546000,-15302000,-2244000,18948000,479000,-36000,515000,19427000,19427000,-6653000,12774000,12774000,12774000,12774000,104953000,104953000,77536000,77536000,68578000,14193000,14193000,265260000,57236000,71104000,26839000,30443000,8336000,5486000,128340000,393600000,39417000,39417000,4286000,33428000,33428000,77131000,26155000,6115000,6115000,11678000,8362000,28298000,105429000,59145000,-90961000,316141000,3846000,288171000,288171000,393600000,12774000,3110000,1883000,-19109000,-1342000,-1984000,1072000,-912000,-1143000,-1071000,275999.999999999,276000,140000,-1798000,-4052000,-4052000,274000,-3778000,22058000,6429000,7618000,0.27619,0.1434,0.09667,0.04433,0.03245,0.59637,3.43908,0.36586,0.01633,1.00567,0.99641,10.40261,22.68706,0.59975,0.08999,3,0.04339,0.02375,0.08948,-4.46659,-5.1997
