"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",1.58,"Up",28370000,-20358000,8012000,-11746000,-10191000,-362000,-1193000,-3734000,-4972000,-4218000,-754000,-8706000,-11514000,2001000,-9513000,-9513000,-9513000,-12141000,6458000,6458000,17942000,17942000,27183000,11959000,2325000,63542000,57933000,68068000,126001000,189543000,20223000,11012000,8685000,6610000,27177000,138678000,165855000,93153000,-545000,-75483000,111000,23688000,23688000,189543000,-9513000,3498000,5530000,-5070000,-5555000,-395000,580000,580000,-975000,-975000,-399000,8049000,17659794.3540595,18632769.046908,-2115000,5934000,-20000,-20000,-7000,-27000,-236000,135542000,-7702000,0.28241,-0.13162,-0.42795,-0.51254,-0.06405,0.63438,2.33808,7.00165,0.7151,-0.6196,-0.6196,1.44782,0.87961,-0.39306,-0.07185,-0.04558,-546.9661,-34.5699
"2","2010_Q3",1.34765625,"Down",31174000,-19823000,11351000,-14764000,-13217000,-364000,-1183000,-3413000,-4955000,-4945000,-9999.99999999988,-8368000,-7871000,1709000,-6162000,-6162000,-6162000,-7435000,5265000,5265000,19976000,19976000,26812000,11532000,1391000,63585000,55579000,66584000,122163000,185748000,20251000,8243000,10027000,7626000,27877000,138678000,166555000,95577000,-631000,-82918000,109000,19193000,19193000,185748000,-6162000,3512000,4974000,-1679000,645000,-443000,763000,763000,-1206000,-1208000,-439000,-71000,-14000,72000,-1312000,-1397000,-1191000,-1191000,-2000,-1193000,99000,136711000,-3732000,0.36412,-0.10948,-0.2385,-0.38738,-0.04003,0.501950000000001,2.28091,8.6779,0.736,-0.31878,-0.31878,1.33662,0.52039,-0.16001,-0.04493,-0.02255,1327.73737,-38.51333
"3","2010_Q4",2.940625,"Up",39982000,-23916000,16066000,-10062000,-8539000,-295000,-1228000,6004000,-5303000,-5383000,80000,701000,-405000,-758000,-1163000,-1163000,-1163000,-2354000,7059000,7059000,25101000,25101000,27183000,4437000,1216000,63780000,53935000,64359000,118294000,182074000,19784000,9508000,9548000,4364000,24148000,139496000,163644000,96577000,-742000,-85272000,109000,18430000,18430000,182074000,-1163000,3573000,2326000,2188000,6924000,347000,1296000,1296000,-949000,-945000,347000,-5184000,0,9.31322574615479e-10,-293000,-5477000,1794000,1794000,0,1794000,9577000,133069000,12870000,0.40183,0.15017,-0.05888,-0.12773,-0.01293,-5.46729,2.64121,8.87922,0.73085,-0.08807,-0.08807,1.49588,0.39928,0.48152,-0.0145,0.0793,13.15756,20.98767
"4","2011_Q1",6.55467741935484,"Up",47456000,-29915000,17541000,-11273000,-9914000,-420000,-939000,6268000,-5054000,-4853000,-201000,1214000,-29220000,2593000,-26627000,-26627000,-26627000,-28078000,19863000,19863000,27310000,27310000,27845000,4739000,1191000,79757000,42524000,62526000,105050000,184807000,27661000,13520000,11956000,6454000,34232000,154028000,188260000,110688000,3999.99999999988,-113350000,-795000,-3453000,-3453000,184807000,-26627000,3185000,30198000,3329000,10085000,-109000,2821000,2821000,-2930000,-2932000,-109000,-1366000,4234000,4384000,-28000,2840000,12816000,12816000,-12000,12804000,9453000,133136000,10080000,0.36963,0.13208,-0.59166,8.13148,-0.15193,-0.359,2.3299,-54.52071,0.72041,-0.95019,-0.95019,1.60596,-0.11685,0.34112,-0.17881,0.06419,11.9827600000001,18.07163
"5","2011_Q2",8.51349206349206,"Up",52905000,-31760000,21145000,-11861000,-10341000,-499000,-1021000,9284000,-4840000,-4857000,17000,4444000,11998000,-1624000,10374000,10374000,10374000,5506000,19003000,19003000,31024000,31024000,30650000,3964000,1126000,84641000,41651000,61328000,102979000,187620000,19847000,12690000,6429000,9276000,29190000,143342000,172532000,123776000,-940000,-107844000,96000,15088000,15088000,187620000,10374000,2468000,-5405000,-10248000,-2811000,-198000,1043000,1043000,-1241000,-1241000,-198000,-886000,3979000,4027000,-943000,2150000,-859000,-859000,-1000,-860000,11752000,132724000,2930000,0.39968,0.17548,0.10407,0.36493,0.02935,0.53215,2.89966,11.43505,0.70741,0.14655,0.12644,1.40813,0.40159,0.07799,0.03283,0.01747,9.67674,12.24914
"6","2011_Q3",7.3359375,"Down",55918000,-33674000,22244000,-14338000,-12728000,-594000,-1016000,7906000,-4486000,-4489000,3000,3420000,3448000,-1322000,2126000.00000001,2126000,2126000,2126000,15137000,15137000,38358000,38358000,36274000,4299000,2997000,94068000,41757000,57858000,99615000,193683000,24449000,14774000,7578000,510000,25024000,113907000,138931000,161489000,-1091000,-105718000,72000.0000000002,54752000,54752000,193683000,2126000.00000001,2496000,3348000,-8549000,-579000.000000002,-1400000,1236000,1236000,-2636000,-2416000,-1400000,-31985000,29950000,30101000,172000,-1863000,-3842000,-3842000,-24000,-3866000,10402000,98175000,1775000,0.3978,0.14139,0.0380199999999999,0.0388299999999997,0.01098,0.8349,3.75911,2.53746,0.50688,0.0474699999999998,0.04476,1.24848,1.22244,0.03963,0.01257,0.01049,7.98289000000001,10.50316
"7","2011_Q4",7.97984126984127,"Up",75058000,-44341000,30717000,-14612000,-13097000,-523000,-992000,16105000,-3264000,-3287000,23000,12841000,20643000,-2726000,17917000,17917000,17917000,17917000,25495000,25495000,46456000,46456000,36315000,3012000,2368000,111278000,42624000,57126000,99750000,211028000,26919000,16360000,8646000,723000,27684000,108310000,135994000,163955000,-1097000,-87801000,-23000,75034000,75034000,211028000,17917000,2568000,-4572000,-4401000,11512000,-851000,1486000,1486000,-2337000,-2314000,-851000,-210000,21000,26999.9999999963,-19000,-208000,10453000,10453000,-95000,10358000,18673000,100056000,16147000,0.40924,0.21457,0.23871,0.23879,0.0849,0.90121,4.01958,1.81243,0.47414,0.37925,0.36055,1.58876,1.58826,0.34179,0.09734,0.08772,3.99298,4.62968
"8","2012_Q1",11.8327419354839,"Up",74904000,-43190000,31714000,-16121000,-14446000,-721000,-954000,15593000,-3374000,-3327000,-47000,12219000,3181000,-2190000,991000,991000.000000004,991000.000000004,991000,46682000,46682000,44567000,44567000,37888000,2924000,2083000,132061000,43914000,56037000,99951000,232012000,32932000,18562000,8397000,767000.000000002,33699000,120015000,153714000,166819000,-1667000,-86810000,-44000,78298000,78298000,232012000,990999.999999996,2573000,15083000,5654000,24301000,-2493000,1521000,1521000,-4014000,-4013000,-2493000,-192000,-347000,223000,-61000.0000000001,-599999.999999998,21208000,21208000,-21000,21187000,18166000,101380000,23517000,0.4234,0.20817,0.01323,0.01266,0.00427000000000001,23.73058,3.91884,1.96319,0.43696,0.02095,0.01989,1.58316,1.65489,0.49705,0.00498,0.11813,3.01101,3.50786
"9","2012_Q2",11.342380952381,"Down",79195000,-45744000,33451000,-16703000,-14913000,-832000,-958000,16748000,-2258000,-2251000,-7000,14490000,5224000,-1618000,3606000,3606000,3606000,3606000,13342000,13342000,47736000,47736000,40222000,3605000,2788000,104905000,45790000,53497000,99287000,204192000,27849000,19762000,6897000,67541000,95390000,24595000,119985000,169325000,-1883000,-83204000,-31000,84207000,84207000,204192000,3606000,2648000,10139000,-10678000,5715000,-2904000,1230000,1230000,-4134000,-4119000,-2904000,-36276000,-182999.999999999,32999.9999999991,295000,-36164000,-33353000,-33353000,13000,-33340000,19396000,68648000,7432000,0.42239,0.21148,0.04553,0.04282,0.01766,2.06101,1.09975,1.42488,0.33619,0.07565,0.07163,1.66135,1.76649,0.15591,0.02045,0.04215,2.85141,3.30225
"10","2012_Q3",11.1509523809524,"Down",78303000,-45278000,33025000,-17436000,-15776000,-622000,-1038000,15589000,-2507000,-2164000,-343000,13082000,18611000,-5433000,13178000,13178000,13178000,13178000,10725000,10725000,42392000,42392000,40977000,5989000,5162000,100083000,48918000,52677000,101595000,201678000,28137000,16570000,8995000,54199000,82336000,4016000.00000001,86352000,187581000,-2157000,-70026000,-72000,115326000,115326000,201678000,13178000,2853000,-2327000,2654000,16358000,-3985000,1388000,1388000,-5373000,-5359000,-3985000,-15259000,87000,361000,223000,-14949000,-2576000,-2576000,-41000,-2616999.99999999,18442000,55221000,22544000,0.42176,0.19909,0.16829,0.11427,0.06534,1.71073,1.21554,0.74876,0.27381,0.27391,0.25925,1.62755,2.39708,0.46858,0.07594,0.12991,2.41275,2.85432
