"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2011_Q1",7.70193548387097,"Up",110036000,-84760000,25276000,-14250000,-10301000,-3949000,11026000,-1052000,-1668000,616000,9974000,10143000,-1681000,8462000,8462000,-318000,8144000,8144000,98945000,98945000,82951000,82951000,15502000,8404000,7231000,205802000,369814000,128263000,10132000,9256000,498077000,703879000,107762000,77630000,30132000,11467000,119229000,78852000,9855000,9356000,88707000,207936000,437363000,-2624000,7062000,441801000,54142000,495943000,703879000,8462000,-56809000,-11285000,21742000,-33341000,1000,-33340000,2356000,6000,6000,-60000,2302000,-9296000,-9296000,4214000,-5082000,90319000,0.22971,0.1002,0.07401,0.01642,0.01157,1.72611,0.41927,0.12832,0.15242,0.12376,2.05933,8.26832,0.01366,-0.78233
"2","2011_Q2",8.70746031746032,"Up",120823000,-90229000,30594000,-14484000,-10713000,-3771000,16110000,957000.000000001,-1711000,2668000,17067000,17067000,-3483000,13584000,13584000,-1473000,12111000,12111000,188978752.74354,188978752.74354,108105818.704893,108105818.704893,37305130.2177286,13523322.0285981,11237783.9164293,347913023.69476,421614508.351071,124895515.619624,11023416.8261912,33800556.0795325,546510023.970695,894423047.665455,184388970.409834,135864754.114358,48524216.2954764,7665386.52567584,192054356.93551,123234800.324186,8214597.16662358,8031144.23323247,131449397.49081,323503754.42632,466192625.23117,-9335181.71479088,43087127.3127203,499944570.8291,70974722.4100347,570919293.239134,894423047.665455,13584000,23189000,4882000,41655000,-19120000,0,-23119000,-7346000,159000,159000,0,-7187000,11349000,11349000,2429000,13778000,0,0.25321,0.13334,0.10024,0.0160762337606469,0.0100755563481683,1.22056559786679,0.563237443690338,0.140163843014932,0.22504,0.18236,2.24507,8.90401495187296,0.0130008212695445,-3.1986968447457
"3","2011_Q3",6.7746875,"Down",133103000,-96616000,36487000,-15389000,-11449000,-3940000,21098000,-2586000,-1881000,-705000,18512000,-11774000,-3259000,-15033000,-15033000,-1405000,-16438000,-16438000,213899252.74354,213899252.74354,109172118.704893,109172118.704893,39379330.2177286,13194222.0285981,11080483.9164293,375644923.69476,423047508.351071,129555715.619624,11355622.4349216,33889156.0795325,552603223.970695,928248147.665455,179291770.409834,129133754.114358,50158016.2954764,5910986.52567584,185202756.93551,145616300.324186,8303897.16662358,8048844.23323247,153920197.49081,339122954.42632,480764425.23117,-5320081.71479088,44299427.3127203,519743770.8291,69381422.4100347,589125193.239134,928248147.665455,-15033000,46782000,-9414000,22335000,-20134000,-250000,-24883000,79043000,197000,197000,-7439000,71801000,69253000,69253000,4136000,73389000,0,0.27413,0.15851,-0.1235,0.0179382337606469,0.0112425563481683,1.63062259786679,0.577561443690338,0.160103843014932,-0.2952,-0.2952,2.39028,8.98360495187296,0.0141178212695445,-3.0676548447457
"4","2011_Q4",5.94079365079365,"Down",135935000,-97695000,38240000,-15360000,-11833000,-3527000,22880000,-390000,-1907000,1517000,22490000,17517000,-4895000,12622000,12622000,-1357000,11265000,11265000,202845000,202845000,97654000,97654000,30873000,10191000,8878000,341563000,397703000,137658000,11352766.8261912,21494000,535361000,876924000,132619000,89922000,42697000,5538000,138157000,153527000,9161000,8646000,162688000,300845000,486034000,4314000.00000001,27294000,517642000,58437000,576079000,876924000,12622000,27518000,320999.999999998,40461000,-19835000,0,-22110000,-3142000.00000001,338000,338000,-173000.000000001,-2977000.00000001,15374000,15374000,1359000,16733000,159065000,0.28131,0.16832,0.08287,0.01955,0.01285,2.47228,0.52223,0.18139,0.19097,0.14679,2.30449,8.77553,0.01513,-1.91346
"5","2012_Q1",6.88951612903226,"Up",122159000,-91266000,30893000,-15514000,-11245000,-4269000,15379000,-2290000,-1759000,-531000,13089000,13089000,-4054000,9035000,9035000,256000,9291000,9291000,189928000,189928000,85540000,85540000,22100000,7639000,7030000,305207000,368680000,143967000,11239000,10282000,512647000,817854000,90318000,54772000,35546000,5583000,95901000,152577000,9620000,8883000,162197000,258098000,487271000,13605000,10171000,511047000,48709000,559756000,817854000,9035000,-61057000,-2537000,32102000,-23127000,0,-30625000,-662000,134000,134000,-6584000,-7112000,-5635000,-5635000,-7282000,-12917000,158160000,0.25289,0.12589,0.07606,0.0166,0.01136,3.18252,0.46109,0.19338,0.15581,0.26552,2.04858,8.57016,0.01277,-2.06567
"6","2012_Q2",5.94412698412698,"Down",112154000,-86696000,25458000,-15769000,-11325000,-4444000,9689000,-409000,-1781000,1372000,9280000,8162000,-3321000,4841000,4841000,-573000,4268000,4268000,201800000,201800000,84092000,84092000,21626000,8137000,7515000,315655000,359814000,144222000,11285000,11378000,504036000,819691000,89638000,54140000,35498000,5529000,95167000,151257000,8821000,8085000,160078000,255245000,489274000,17873000,8773000,515920000,48526000,564446000,819691000,4841000,22899000,6295000,34035000,-18127000,-1602000,-20129000,-999000.000000004,233000,233000,-885000.000000002,-1651000,12255000,12255000,-382999.999999999,11872000,156786000,0.22699,0.08639,0.03805,0.00756,0.00521,3.31685,0.4522,0.19127,0.07135,0.07005,1.87495,8.62497,0.00585,-4.64589
"7","2012_Q3",5.9684126984127,"Up",117451000,-87590000,29861000,-16642000,-12201000,-4441000,13219000,-968000,-1794000,826000,12251000,12193000,-2663000,9530000,9530000,-712000,8818000,8818000,191960000,191960000,89123000,89123000,20453000,8359000,7721000,309895000,382800000,146552000,11687000,9116000,529352000,839247000,81394000,55485000,25909000,7874000,89268000,172312000,8789000,8047000,181101000,270369000,490951000,26691000,8431000,526073000,42805000,568878000,839247000,9530000,21498000,-2664000,28364000,-49499000,2000,-54996000,23656000,198000,198000,-6890000,16964000,-9668000,-9668000,-172000,-9840000,180186000,0.25424,0.11255,0.07508,0.0155,0.01051,3.47151,0.47527,0.2147,0.14676,0.11513,1.95471,8.75533,0.01164,-0.89069
"8","2012_Q4",5.15241935483871,"Down",116615000,-84312000,32303000,-17006000,-11785000,-5221000,15297000,-766000,-2012000,1246000,14531000,14525000,-3258000,11267000,11267000,-318000,10949000,10949000,197295000,197295000,82522000,82522000,22743000,8194000,7578000,310754000,384792000,152144000,11749000,8463000,536936000,847690000,90968000,64169000,26799000,7470000,98438000,170989000,8296000,7612000,179285000,277723000,492332000,37640000,2408000,532380000,37587000,569967000,847690000,11267000,20875000,12983000,45125000,-24383000,-17999.9999999998,-31899000,-1303000,86000,86000,-4076000,-5293000,7933000,7933000,-2598000,5335000,178459000,0.27701,0.13118,0.09389,0.01921,0.01292,3.15685,0.48726,0.21052,0.18212,0.11919,1.93967,8.85514,0.01447,-1.23135
"9","2013_Q1",6.243,"Up",104219000,-79921000,24298000,-16660000,-11395000,-5265000,7638000,-1624000,-1901000,277000,6014000,5768000,-1551000,4217000,4217000,-384000,3833000,3833000,218043000,218043000,75685000,75685000,17702000,8364000,7165000,319794000,380808000,148632000,11395000,6601000,529440000,849234000,77732000,42235000,35497000,7781000,85513000,168956000,8764000,8103000,177720000,263233000,494013000,41473000,15900000,551386000,34615000,586001000,849234000,4217000,-55879000,-1936000,25025000,-4996000,77000,-4919000,-1647000,136000,136000,-3945000,-5456000,14650000,14650000,6098000,20748000,176737000,0.23314,0.07329,0.03678,0.00654,0.00451,3.73971,0.4492,0.20811,0.06368,0.05012,1.73133,9.15984,0.00497,-5.40796
"10","2013_Q2",7.48078125,"Up",99839000,-78741000,21098000,-15906000,-11067000,-4839000,5192000,-591000,-1887000,1296000,4601000,4601000,-1742000,2859000,2859000,-536000,2323000,2323000,217771000,217771000,74291000,74291000,18964000,11414000,11414000,322440000,395895000,149163000,11628000,8296000,545058000,867498000,89215000,65568000,23647000,7645000,96860000,167265000,9532000,9532000,176797000,273657000,495588000,43796000,23812000,563196000,30645000,593841000,867498000,2859000,19157000,-3351000,18665000,-15539000,-1043000,-16582000,-1655000,203000,203000,-4190000,-5642000,-3559000,-3559000,3287000,-272000.000000004,174910000,0.21132,0.052,0.02327,0.00391,0.00268,3.32893,0.46083,0.20163,0.03854,0.03802,1.65634,9.34346,0.00298,-8.2552
"11","2013_Q3",7.82375,"Up",106680000,-81891000,24789000,-16707000,-12151000,-4556000,8082000,-916000,-1909000,993000,7166000,7166000,-1724000,5442000,5442000,-578000,4864000,4864000,210552000,210552000,82715000,82715000,18585000,9525000,9525000,321377000,410757000,148725000,11169000,7730000,559482000,880859000,103925000,79432000,24493000,10473000,114398000,169348000,9665000,9665000,179013000,293411000,496810000,48660000,11416000,556886000,30562000,587448000,880859000,5442000,18333000,-6506000,17269000,-16327000,-1779000,-18106000,-1664000,385000,385000,-40000,-1319000,-2156000,-2156000,-5063000,-7219000,179821000,0.23237,0.07576,0.04559,0.00828,0.00552,2.80929,0.49947,0.20414,0.08041,0.07909,1.76351,9.20579,0.00626,-3.8024
