"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2020_Q2",17.7828571428571,"Up",462478000,-253410000,209068000,-495432000,-256819000,-238613000,-286364000,-18913000,-6524000,-12389000,-305277000,-305277000,-659000,-305936000,-305936000,-305936000,-305936000,2081875000,901342000,1180533000,394053000,394053000,51943000,51943000,2527871000,173751000,1196888000,83900000,756389000,356599000,1370639000,3898510000,483002000,54068000,428934000,523191000,347073000,347073000,1250412000,1773603000,9380449000,-7252646000,-2896000,2124907000,2124907000,3898510000,-305936000,21204000,193642000,97373000,6283000,-10891000,417968000,-49953778.2393754,-35500000,371577000,3130000,3130000,-41716262.2262725,3130000,380990000,380990000,380990000,-265160000,903339000,-178019000,0.45206,-0.61919,-0.66151,-0.14398,-0.07848,0.58188,4.83164,0.83467,0.23171,-0.2145,-0.2145,0.32425,1.4898,-0.12481,-0.09064,-0.05274,4.44462,4.11552
"14","2020_Q3",23.260625,"Up",454158000,-250454000,203704000,-514312000,-253449000,-260863000,-310608000,-16384000,-19959000,3575000,-326992000,-326992000,1041000,-325951000,-325951000,-325951000,-325951000,2829569000,1251721000,1577848000,379046000,379046000,49734000,49734000,3258349000,175125000,1270555000,87285000,775185000,408085000,1445680000,4704029000,500857000,58618000,442239000,543612000,340009000,340009000,1965752000,2509364000,9773871000,-7578597000,-609000,2194665000,2194665000,4704029000,-325951000,20925000,202158000,36314000,-66554000,-15767000,-399312000,-20204000,-56841000,-492124000,20477000,20477000,-1e+08,909059000,350381000,350381000,350381000,-289683000,1625743000,-270177000,0.44853,-0.68392,-0.7177,-0.14852,-0.06929,0.82889,5.99389,1.14339,0.34561,-0.22544,-0.22544,0.31411,1.51789,-0.18686,-0.07835,-0.06494,4.15567,3.87571
"15","2020_Q4",41.54140625,"Up",678668000,-293095000,385573000,-553437000,-269798000,-283639000,-167864000,-31080000,-25411000,-5669000,-198944000,-198944000,-909000,-199853000,-199853000,-199853000,-199853000,2725005000,824070000,1900935000,529872000,529872000,60837000,60837000,3315714000,175199000,1326861000,91796000,816113000,418952000,1502060000,4817774000,569112000,61978000,507134000,610106000,358651000,358651000,2008897000,2619003000,9968721000,-7778449000,8499000,2198771000,2198771000,4817774000,-199853000,21804000,222649000,-99428000,-54828000,-14727000,-323515000,-33508000,-3500000,-375250000,2434000,2434000,0,2434000,-427644000,-427644000,-427644000,-146060000,1650246000,-259306000,0.56813,-0.24734,-0.29448,-0.09089,-0.04148,1.29748,5.43465,1.19112,0.34253,-0.13633,-0.13633,0.46295,1.49989,-0.17689,-0.0475,-0.06163,7.35834,6.40256
"16","2021_Q1",57.4685245901639,"Up",911322000,-385546000,525776000,-623012000,-304566000,-318446000,-97236000,2264000,-27207000,29471000,-94972000,-94972000,-18127000,-113099000,-113099000,-113099000,-113099000,2537540000,545618000,1991922000,744288000,744288000,56147000,56147000,3337975000,178709000,1507554000,105929000,939259000,462366000,1686263000,5024238000,626250000,71908000,554342000,667327000,351766000,351766000,2026935000,2694262000,10200155000,-7891542000,21363000,2329976000,2329976000,5024238000,-113099000,22811000,225847000,-188104000,-52545000,-16447000,-203829000,-115138000,101347000,-234067000,8168000,8168000,0,8168000,-278444000,-278444000,-278444000,-74425000,1675169000,-260849000,0.57694,-0.1067,-0.1241,-0.04854,-0.02251,2.30638,5.00201,1.15635,0.33342,-0.07618,-0.07618,0.61383,1.56938,-0.1757,-0.02596,-0.05987,11.58711,8.86884
"17","2021_Q2",60.0214285714286,"Up",769584000,-412601000,356983000,-660589000,-312009000,-348580000,-303606000,18164000,-3894000,22058000,-285442000,-285442000,-1440000,-286882000,-286882000,-286882000,-286882000,2556697000,967519000,1589178000,612757000,612757000,69245000,69245000,3238699000,177071000,1643010000,132483000,1025710000,484817000,1820081000,5058780000,707056000,126132000,580924000,751928000,355471000,355471000,2600674000,3352602000,9777661000,-8083393000,11910000,1706178000,1706178000,5058780000,-286882000,23498000,222435000,177835000,136886000,-10851000,400418000,-108912000,-1e+05,280555000,4453000,4453000,-69142527.997472,4453000,421894000,421894000,421894000,-280108000,2245203000,-111684000,0.46386,-0.39451,-0.37278,-0.16814,-0.05671,0.3893,4.30719,1.96498,0.44382,-0.19105,-0.19105,0.5125,1.13621,-0.07437,-0.06661,-0.02593,1.11205,1.02598
"18","2021_Q3",72.24890625,"Up",982108000,-445021000,537087000,-729599000,-358928000,-370671000,-192512000,38969000,-3313000,42282000,-153543000,-153543000,1879000,-151664000,-151664000,-151664000,-151664000,3467345000,2051961000,1415384000,797146000,797146000,72468000,72468000,4336959000,183229000,2300627000,264161000,1453766000,582700000,2483856000,6820815000,694026000,79089000,614937000,748147000,613838000,613838000,3164667000,3912814000,11129211000,-8235057000,13847000,2908001000,2908001000,6820815000,-151664000,28270000,212664000,-190356000,-101086000,-14623000,140596000,-30304000,36200000,131869000,3257000,3257000,-86825000,1053659000,1084442000,1084442000,1084442000,-164242000,2550829000,-371100000,0.54687,-0.19602,-0.15443,-0.05215,-0.02224,2.44686,5.79693,1.34553,0.37398,-0.101,-0.101,0.65403,1.93656,-0.24713,-0.02497,-0.06111,5.58028,4.76083
"19","2021_Q4",56.27625,"Down",1067471000,-443473000,623998000,-804822000,-392801000,-412021000,-180824000,109857000,-2774000,112631000,-70967000,-70967000,-992000,-71959000,-71959000,-71959000,-71959000,3481821000,1972358000,1509463000,913539000,913539000,76669000,76669000,4472029000,189946000,2449190000,261131000,1484108000,703951000,2639136000,7111165000,752305000,91769000,660536000,808496000,610474000,610474000,2862553000,3671049000,11737353000,-8307016000,9779000,3440116000,3440116000,7111165000,-71959000,32510000,180268000,-69267000,71552000,-19836000,-96991000,-37375000,-1e+06,-155202000,4045000,4045000,1055784.50586972,4045000,-79605000,-79605000,-79605000,-148314000,2252079000,-236425000,0.58456,-0.16939,-0.06741,-0.02092,-0.01012,3.28555,5.53129,1.06713,0.3167,-0.04662,-0.04662,0.69156,2.22868,-0.15317,-0.01142,-0.03751,8.29148,6.80077
"20","2022_Q1",36.1658064516129,"Down",1297885000,-449151000,848734000,-873861000,-439666000,-434195000,-25127000,60708000,-2496000,63204000,35581000,35581000,-13031000,22550000,22550000,22550000,22550000,3692885000,1993809000,1699076000,1068873000,1068873000,92244000,92244000,4854002000,202644000,2479660000,277654000,1588452000,613554000,2682304000,7536306000,799390000,125282000,674108000,851786000,641265000,641265000,2894352000,3746138000,12069113000,-8284466000,5521000,3790168000,3790168000,7536306000,22550000,34863000,200670000,-72555000,185528000,-24565000,-7886000,-134324000,-220000,-166995000,2916000,2916000,0,2916000,21449000.0000001,21449000.0000001,21449000.0000001,9736000,2253087000,-74353000,0.65394,-0.01936,0.01737,0.00595000000000001,0.00299,-3.29725,5.69862,0.98838,0.29896,0.01332,0.01332,0.76655,2.23852,-0.04391,0.00337,-0.01112,-147.88394,57.30083
"21","2022_Q2",22.805,"Down",1062727000,-420897000,641830000,-913357000,-457794000,-455563000,-271527000,-79587000,-2050000,-77537000,-351114000,-351114000,-8510000,-359624000,-359624000,-359624000,-359624000,5000991000,2412372000,2588619000,941715000,941715000,117102000,117102000,6059808000,214441000,2670688000,292310000,1645284000,733094000,2885129000,8944937000,791115000,180387000,610728000,842799000,802259000,802259000,4539102000,5381901000,12211139000,-8644090000,-4013000,3563036000,3563036000,8944937000,-359624000,38100000,357109000,91874000,127459000,-21175000,-990209000,-788000,-5493000,-1017665000,2266000,2266000,-1.77e+08,1308766000,418560000,418560000,418560000,-233427000,3736843000,-154218000,0.60395,-0.2555,-0.3384,-0.10093,-0.0402,0.42883,7.1901,1.51048,0.41776,-0.2241,-0.21549,0.66223,2.22027,-0.0961,-0.04439,-0.01903,5.4156,4.6557
"22","2022_Q3",11.63625,"Down",1110909000,-446377000,664532000,-1065472000,-560435000,-505037000,-400940000,-14128000,2782000,-16910000,-415068000,-415068000,-6999000,-422067000,-422067000,-422067000,-422067000,4872476000,2298122000,2574354000,1015607000,1015607000,127151000,127151000,6015234000,232476000,2543081000,234261000,1634085000,674735000,2775557000,8790791000,1014989000,184146000,830843000,1063967000,543973000,543973000,4283065000,5347032000,12529759000,-9066157000,-19843000,3443759000,3443759000,8790791000,-422067000,79291000,335879000,-117184000,-124081000,-23370000,-17247000,-11220000,63276000,11439000.0000002,1388000,1388000,-3006000,-1618000,-114260000,-114260000,-114260000,-321649000,3739092000,-455204000,0.59819,-0.36091,-0.37993,-0.12256,-0.04801,1.07851,5.65359,1.55267,0.42534,-0.2586,-0.2586,0.68065,2.10997,-0.2789,-0.05462,-0.05891,3.52367,2.82682
