"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",92.9634920634921,"Down",376315000,-279561000,96754000,-9821000,-9821000,86933000,4499000,-7456000,11955000,91432000,92319000,-28957000,63362000,63362000,63362000,63362000,31056000,31056000,169125000,239189000,7440000,7440000,446810000,1568403000,305828000,240947000,52960000,11921000,1874231000,2321041000,140193000,79194000,59788000,221407000,575588000,211373000,167335000,44038000,786961000,1008368000,150515000,1169160000,-7002000,1312673000,1312673000,2321041000,72900000,36390000,2094000,-12719000,98665000,-35873000,-72634000,-4881000,-2.1e+07,24026000,9794000,-3470000,-5325000.00000001,20706000,20706000,20706000,123323000,656802000,103688000,0.25711,0.23101,0.16837,0.04827,0.0273,1.63644,2.01805,0.76818,0.28298,1.3253,1.31376,7.87114,27.45634,2.16878,0.10209,0.03129,0.04754,0.07703,5.07404,7.19803
"31","2017_Q4",105.547142857143,"Up",359371000,-264805000,94566000,-9883000,-9883000,84683000,4719000,-6653000,11372000,89402000,51388000,49992000,101380000,101380000,101380000,101380000,21676000,21676000,143662000,239628000,20378000,20378000,425344000,1574724000,307975000,240145000,55337000,12493000,1882699000,2308043000,174635000,73203000,101432000,174635000,565755000,151464000,116352000,35112000,717219000,891854000,157321000,1265673000,-6805000,1416189000,1416189000,2308043000,101380000,28650000,-49817000,42179000,122392000,-38847000,-38847000,-4862000,-91214000,3303000,3303000,-152000,-92925000,-9380000,-9380000,-9380000,113333000,565755000,66673000,0.26314,0.23564,0.2821,0.07159,0.04392,0.65765,2.43562,0.62976,0.24512,2.1173,2.09906,7.5054,29.57686,1.39245,0.10154,0.0498,0.03125,0.04796,4.80071,6.42489
"32","2018_Q1",105.240163934426,"Down",284713000,-223336000,61377000,-11822000,-11822000,49555000,4170000,-6046000,10216000,53725000,48725000,-11717000,37008000,37008000,37008000,37008000,9315000,9315000,141685000,258159000,49576000,5073000,458735000,1595299000,313969000,239342000,60558000,14069000,1909268000,2368003000,179329000,73459000,105870000,179329000,620922000,150062000,118966000,31096000,770984000,950313000,122862000,1298840000,-4012000,1417690000,1417690000,2368003000,37008000,26112000,-1357999.99999999,762999.999999985,62525000,-48259000,-48259000,-4867000,5.5e+07,-35640000,535000,-2367000,12126000,26392000,26392000,26392000,75667000,620922000,39888000,0.21557,0.17405,0.12998,0.0261,0.01563,1.07782,2.55806,0.67032,0.26221,0.77067,0.7647,5.92896,29.52245,0.83064,0.10135,0.01913,0.01822,0.13151,8.08288,12.34198
"33","2018_Q2",102.8771875,"Down",393756000,-302122000,91634000,-8003000,-8003000,83631000,2619000,-6632000,9251000,86250000,85021000,-18682000,66339000,66339000,66339000,66339000,14334000,14334000,184083000,2.41e+08,54372000,8304000,493789000,1617535000,315651000,238541000,60309000,16801000,1933186000,2426975000,189092000,93182000,95910000,189092000,651090000,155314000,125156000,30158000,806404000,995496000,75047000,1360388000,-3956000,1431479000,1431479000,2426975000,66339000,29850000,9915000,-24195000,81909000,-50792000,-50792000,-4790000,3e+07,-50352000,1992000,-956000,-26098000,5019000,5019000,5019000,113481000,651090000,57176000,0.23272,0.21239,0.16848,0.04634,0.02733,0.86188,2.61137,0.69543,0.26827,1.39104,1.37792,8.25651,30.01611,1.1989,0.10044,0.03178,0.02555,0.0722,5.61112,7.61388
"34","2018_Q3",94.9655555555556,"Down",381499000,-283568000,97931000,-9922000,-9922000,88009000,3356000,-6817000,10173000,91365000,91793000,-19190000,72603000,72603000,72603000,72603000,10002000,10002000,174550000,238869000,13675000,7751000,437096000,1624738000,317678000,237738000,60482000,19458000,1942416000,2379512000,154702000,92479000,62223000,154702000,631257000,160950000,129851000,31099000,792207000,946909000,8224000,1428279000,-3900000,1432603000,1432603000,2379512000,72603000,32326000,8571000,-20533000,92967000,-40371000,-40371000,-4792000,-2e+07,-70060000,0,-829000,-95681000,-43085000,-43085000,-43085000,120335000,631257000,78621000,0.2567,0.23069,0.19031,0.05068,0.03051,1.08289,2.82541,0.66097,0.26529,1.53756,1.52643,8.07926,30.3392,1.66501,0.10148,0.03479,0.03534,0.066,5.16271,7.05899
"35","2018_Q4",70.1974603174603,"Down",333285000,-252864000,80421000,-9408000,-9408000,71013000,2213000,-7294000,9507000,73226000,74518000,-16803000,57715000,57715000,57715000,57715000,17060000,17060000,133873000,251260000,7280000,6966000,409473000,1627152000,318791000,236936000,61988000,19867000,1945943000,2355416000,144532000,77611000,66921000,181032000,589924000,164123000,133569000,30554000,754047000,935079000,462000,1423719000,-3844000,1420337000,1420337000,2355416000,57715000,29785000,6244000,25480000,119224000,-33002000,-33002000,-4711000,-5e+06,-69396000,0,-57000,-79164000,7058000,7058000,7058000,100798000,626424000,110079000,0.2413,0.21307,0.17317,0.04063,0.0245,1.90729,2.26188,0.65835,0.26595,1.24721,1.24129,7.20224,30.69327,2.37879,0.1018,0.02824,0.04979,0.08163,6.0454,8.58102
"36","2019_Q1",70.8588524590164,"Up",201714000,-123598000,78116000,-10038000,-10038000,68078000,3838000,-7631000,9634000,71916000,32446000,-5597000,26849000,-127797000,-127797000,-127797000,8601000,8601000,128722000,275194000,15104000,9624000,427621000,1426939000,314603000,229115000,64873000,20615000,1741542000,2169163000,142833000,80884000,61949000,179333000,655092000,125251000,90759000,34492000,780343000,959676000,451000,1212352000,-3316000,1209487000,1209487000,2169163000,-127797000,30574000,177958000,-24551000,56184000,-42427000,-42427000,-4634000,6.5e+07,-80077000,111000,-2505000,-22216000,-8458999.99999999,-8458999.99999999,-8458999.99999999,98652000,691592000,37271000,0.38726,0.3375,-0.63356,-0.10566,-0.05892,-0.29164,2.38451,0.79346,0.31883,-2.82122,-2.80716,4.453,26.70038,0.82279,0.1023,-0.06078,0.01839,-0.03626,6.92324,10.03248
"37","2019_Q2",86.5942857142857,"Up",370597000,-295268000,75329000,-21254000,-21254000,54075000,786000,-8846000,9432000,54861000,54861000,-13557000,41304000,41304000,41304000,41304000,19162000,19162000,174279000,263612000,9464000,9464000,466517000,1424703000,377858000,228316000,71305000,78237000,1802561000,2269078000,144466000,83916000,56636000,192956000,840259000,180597000,94456000,86141000,1020856000,1213812000,429000,1058120000,-3283000,1055266000,1055266000,2269078000,41304000,27960000,5474000,-24040000,50698000,-21813000,-21813000,-4499000,1.85e+08,-197959000,396000,-866000,-18324000,10561000,10561000,10561000,82035000,876759000,49739000,0.20326,0.14591,0.11145,0.03914,0.0182,1.20422,2.41774,1.15024,0.38639,0.9415,0.93553,8.44758,24.05427,1.13378,0.10255,0.02168,0.02354,0.10892,10.45404,15.8594
"38","2019_Q3",84.3603125,"Down",385337000,-273552000,111785000,-13458000,-13458000,98327000,2020000,-10137000,12357000,100347000,101070000,-23977000,77093000,71793000,71793000,71793000,53684000,53684000,182689000,241599000,9083000,9083000,487055000,1456059000,383097000,230770000,71662000,80665000,1839156000,2326211000,146960000,77656000,66373000,194775000,930426000,190255000,98298000,91957000,1120681000,1315456000,3406000,1010597000,-3248000,1010755000,1010755000,2326211000,71793000,28373000,7394000,26438000,133998000,-38194000,-69066000,-4316000,9e+07,-114161000,1371000,-1933000,-30410000,34522000,34522000,34522000,126700000,966926000,138921000,0.2901,0.25517,0.18631,0.07103,0.03086,1.93502,2.5006,1.30146,0.41567,1.72747,1.71666,9.27192,24.32063,3.3427,0.10385,0.03511,0.06408,0.06012,7.20791,9.2878
"39","2019_Q4",90.18265625,"Up",342904000,-249701000,93203000,-13794000,-13794000,79409000,2602000,-9543000,10700000,82011000,56157000,-12683000,43474000,-114632000,-114632000,-114632000,126255000,126255000,140283000,234264000,6997000,6997000,507799000,1269733000,352693000,230099000,71862000,50732000,1622426000,2130225000,152725000,65035000,67670000,163326000,930594000,138978000,50391000,88587000,1069572000,1232898000,8741000,891801000,-3215000,897327000,897327000,2130225000,-114632000,28611000,180421000,41523000,135923000,-24049000,-23601000,-4316000,-36500000,1229000,1229000,-164000,-39751000,72571000,72571000,72571000,108020000,930594000,138177000,0.2718,0.23158,-0.3343,-0.12775,-0.05381,-1.2054,3.10911,1.37397,0.43685,-2.77498,-2.81184,8.30091,21.72221,3.34495,0.10448,-0.05609,0.07025,-0.03765,7.4462,10.12907
