"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.7330158730159,"Up",1.0299e+10,-3.77e+09,6.529e+09,-3.078e+09,-1.514e+09,-1.564e+09,3.451e+09,2.9e+07,2.9e+07,3.48e+09,-3.1e+07,3.449e+09,-1.004e+09,2.445e+09,2.445e+09,2.445e+09,2.445e+09,1.0915e+10,4.988e+09,5.927e+09,2.192e+09,2.192e+09,2.986e+09,7.631e+09,6.208e+09,2.3724e+10,1.7028e+10,5.252e+09,9.769e+09,-117280703905.69,4.452e+09,5.317e+09,3.2049e+10,5.5773e+10,5.048e+09,1.912e+09,2.22e+09,3.3e+08,8.912e+09,2.226e+09,1.735e+09,7.07e+08,1.028e+09,3.961e+09,1.2873e+10,1.5466e+10,2.702e+10,4.14e+08,4.29e+10,4.29e+10,5.5773e+10,2.442e+09,1.141e+09,3.04e+08,1.92e+08,4.079e+09,-9.28e+08,-6.2e+08,-1.018e+09,-2.672e+09,-8.7e+08,2.37e+08,2.25e+08,2e+06,-4.06e+08,1.001e+09,1.001e+09,1.001e+09,4.592e+09,2.556e+09,4.86e+09,0.63395,0.33508,0.2374,0.05699,0.04384,1.98773,2.66203,0.30007,0.04583,0.44221,0.43038,1.86272,7.75909,0.879,0.15735,18.6841058944866,0.07025,0.10299,0.35583,-1.82034,-2.4222
"2","2010_Q3",13.31375,"Down",1.0765e+10,-3.53e+09,7.235e+09,-3.257e+09,-1.584e+09,-1.666e+09,3.978e+09,1.1e+07,1.1e+07,3.989e+09,1.93e+08,4.182e+09,-1.298e+09,2.884e+09,2.884e+09,2.884e+09,2.884e+09,1.2229e+10,5.514e+09,6.715e+09,2.43e+09,2.43e+09,3.345e+09,8.46e+09,7.254e+09,2.6464e+10,1.6946e+10,4.863e+09,9.418e+09,-55115351952.845,4.481e+09,4.937e+09,3.1227e+10,5.7691e+10,5.046e+09,2.126e+09,2.92e+09,2.15e+08,7.937e+09,2.232e+09,1.681e+09,5.86e+08,1.095e+09,3.913e+09,1.185e+10,1.5741e+10,2.9869e+10,2.31e+08,4.5841e+10,4.5841e+10,5.7691e+10,2.887e+09,1.149e+09,-3e+07,-5.2e+08,3.486e+09,-1.048e+09,-2.81e+08,-5.08e+08,-1.97e+09,-8.77e+08,-1.15e+08,-58000000.0000001,6e+07,-9.9e+08,5.26e+08,5.26e+08,5.26e+08,5.127e+09,2.447e+09,4.857e+09,0.67209,0.36953,0.26791,0.06291,0.04999,1.68412,3.33426,0.2585,0.04242,0.51843,0.50499,1.93511,8.24034,0.87309,0.15765,11.7648564770595,0.07527,0.0972,0.30409,-1.90794,-2.45902
"3","2010_Q4",14.11546875,"Up",1.1102e+10,-3.781e+09,7.321e+09,-3.185e+09,-1.506e+09,-1.675e+09,4.136e+09,3.8e+07,3.8e+07,4.174e+09,7.7e+07,4.251e+09,-1.296e+09,2.955e+09,2.955e+09,2.955e+09,2.955e+09,1.4987e+10,5.517e+09,9.47e+09,2.911e+09,2.911e+09,3.423e+09,8.178e+09,6.945e+09,2.9499e+10,1.7189e+10,4.536e+09,9.364e+09,-17768783984.2817,4.481e+09,4.883e+09,3.1089e+10,6.0588e+10,5.19e+09,1.903e+09,3.287e+09,2.59e+08,8.837e+09,2.247e+09,1.808e+09,6.81e+08,1.127e+09,4.055e+09,1.2892e+10,1.6096e+10,3.1069e+10,5.31e+08,4.7696e+10,4.7696e+10,6.0588e+10,2.955e+09,1.142e+09,1.18e+08,-6.38e+08,3.577e+09,-1.362e+09,-2.141e+09,6.51e+08,-2.925e+09,-8.77e+08,4.4e+07,1.46e+08,3.8e+07,-6.49e+08,3e+06,3e+06,3e+06,5.278e+09,2.506e+09,4.574e+09,0.65943,0.37255,0.26617,0.06195,0.04877,1.54788,3.33812,0.2703,0.04136,0.53004,0.51897,1.99139,8.55534,0.82045,0.15731,7.78682117889732,0.07368,0.08794,0.29679,-2.36472,-3.01765
"4","2011_Q1",14.5248387096774,"Up",1.1457e+10,-4.051e+09,7.406e+09,-3.383e+09,-1.705e+09,-1.671e+09,4.023e+09,3.1e+07,3.1e+07,4.054e+09,1.09e+08,4.163e+09,-9.83e+08,3.18e+09,3.18e+09,3.18e+09,3.18e+09,1.6792e+10,5.498e+09,1.1294e+10,2.867e+09,2.867e+09,3.757e+09,8.195e+09,6.707e+09,3.1611e+10,1.7899e+10,4.034e+09,9.642e+09,8.6e+08,4.531e+09,4.251e+09,3.1575e+10,6.3186e+10,6.185e+09,2.29e+09,3.895e+09,3.8e+07,9.327e+09,2.077e+09,2.352e+09,9.26e+08,1.426e+09,4.429e+09,1.3756e+10,1.6178e+10,3.2919e+10,3.33e+08,4.943e+10,4.943e+10,6.3186e+10,3.18e+09,1.206e+09,6.6e+07,1.098e+09,5.55e+09,-1.883e+09,-1.5e+09,7.1e+08,-2.972e+09,-8.79e+08,-2.21e+08,-1.462e+09,-3.5e+07,-2.597e+09,-18999999.9999999,-18999999.9999999,-1.9e+07,5.229e+09,2.115e+09,5.427e+09,0.64642,0.35114,0.27756,0.06433,0.05033,1.7066,3.38919,0.27829,0.03347,0.57266,0.55809,2.06321,8.90149,0.97731,0.15829,6,0.07531,0.10069,0.27642,-2.80685,-3.64827
"5","2011_Q2",15.1387301587302,"Up",1.2847e+10,-4.962e+09,7.885e+09,-3.727e+09,-1.775e+09,-1.916e+09,4.158e+09,1.85e+08,1.85e+08,4.343e+09,2.8e+07,4.371e+09,-1.211e+09,3.16e+09,3.16e+09,3.16e+09,3.16e+09,7.724e+09,4.188e+09,3.536e+09,3.542e+09,3.542e+09,4.099e+09,7.43e+09,5.524e+09,2.2795e+10,1.9559e+10,2.843e+09,2.0355e+10,6.872e+09,9.069e+09,4.414e+09,4.2757e+10,6.5552e+10,6.077e+09,2.757e+09,2.591e+09,5.4e+07,1.1565e+10,2.35e+09,4.288e+09,1.783e+09,2.505e+09,6.638e+09,1.8203e+10,1.6271e+10,3.0597e+10,4.81e+08,4.7349e+10,4.7349e+10,6.5552e+10,3.16e+09,1.442e+09,-2e+06,-5.87e+08,4.013e+09,-2.723e+09,9.197e+09,1.195e+09,-6.44e+08,-9.94e+08,7.2e+07,-3.767e+09,1e+06,-4.688e+09,-1.319e+09,-1.319e+09,-1.31e+09,5.6e+09,2.404e+09,3.501e+09,0.61376,0.32366,0.24597,0.06674,0.04821,1.10791,1.97103,0.38444,0.03667,0.5796,0.56368,2.35638,8.6847,0.64215,0.18232,5.65439294036756,0.07687,0.06478,0.31456,-0.95,-1.27946
"6","2011_Q3",14.9634375,"Down",1.3032e+10,-5.13e+09,7.902e+09,-3.967e+09,-1.905e+09,-1.986e+09,3.935e+09,2.1e+07,2.1e+07,3.956e+09,-2.5e+07,3.931e+09,-9.77e+08,2.954e+09,2.954e+09,2.954e+09,2.954e+09,7.741e+09,4.635e+09,3.106e+09,3.359e+09,3.359e+09,4.03e+09,7.972e+09,5.999e+09,2.3102e+10,2.0778e+10,1.884e+09,2.0325e+10,6.7e+09,9.141e+09,4.484e+09,4.2987e+10,6.6089e+10,5.939e+09,2.742e+09,3.197e+09,7.1e+07,1.0354e+10,2.278e+09,4.734e+09,2.215e+09,2.519e+09,7.012e+09,1.7366e+10,1.6245e+10,3.2012e+10,4.66e+08,4.8723e+10,4.8723e+10,6.6089e+10,2.954e+09,1.504e+09,4.02e+08,-8.89e+08,3.971e+09,-2.484e+09,1.431e+09,4.93e+08,-7.83e+08,-9.61e+08,1.7e+07,-1.826e+09,2.5e+07,-2.745e+09,4.43e+08,4.43e+08,4.47e+08,5.439e+09,2.349e+09,3.043e+09,0.60635,0.30195,0.22667,0.06063,0.0447,1.03013,2.23121,0.35642,0.03554,0.55799,0.54291,2.46165,9.20344,0.5748,0.18153,6,0.07015,0.05453,0.32532,-0.99136,-1.37027
"7","2011_Q4",16.8734920634921,"Up",1.4233e+10,-5.215e+09,9.018e+09,-4.233e+09,-2.017e+09,-2.14e+09,4.785e+09,1.5e+07,1.5e+07,4.8e+09,9.2e+07,4.892e+09,-1.424e+09,3.468e+09,3.468e+09,3.468e+09,3.468e+09,1.0933e+10,7.057e+09,3.876e+09,3.821e+09,3.821e+09,3.959e+09,7.985e+09,5.974e+09,2.6698e+10,2.2157e+10,1.374e+09,2.0322e+10,6.445e+09,9.138e+09,4.739e+09,4.3853e+10,7.0551e+10,6.484e+09,2.999e+09,3.485e+09,6.6e+07,1.1909e+10,7.268e+09,5.257e+09,2.762e+09,2.495e+09,1.2525e+10,2.4434e+10,1.6247e+10,2.9902e+10,-3.2e+07,4.6117e+10,4.6117e+10,7.0551e+10,3.468e+09,1.529e+09,7.14e+08,6.38e+08,6.349e+09,-2.758e+09,-3.57e+08,-5.32e+08,-4.107e+09,-1.102e+09,4.957e+09,-3.669e+09,-3e+06,1.83e+08,2.425e+09,2.425e+09,2.422e+09,6.314e+09,7.334e+09,5.618e+09,0.6336,0.33619,0.24366,0.0752,0.04916,1.61995,2.24183,0.52983,0.10395,0.66769,0.64944,2.74028,8.8789,1.08163,0.21217,6,0.07784,0.09569,0.31776,-0.57,-0.75214
"8","2012_Q1",19.0412903225806,"Up",1.3887e+10,-4.935e+09,8.952e+09,-4.353e+09,-1.973e+09,-2.308e+09,4.599e+09,-2.9e+07,-2.9e+07,4.57e+09,1.7e+07,4.587e+09,-1.227e+09,3.36e+09,3.36e+09,3.36e+09,3.36e+09,1.0246e+10,5.065e+09,5.181e+09,3.65e+09,3.65e+09,4.096e+09,7.88e+09,6.18e+09,2.5872e+10,2.3627e+10,1.451e+09,2.0169e+10,6.267e+09,9.254e+09,4.648e+09,4.5247e+10,7.1119e+10,7.038e+09,2.956e+09,4.082e+09,2.47e+08,1.2028e+10,7.084e+09,6.096e+09,2.617e+09,3.479e+09,1.318e+10,2.5208e+10,1.7036e+10,2.9656e+10,-7.81e+08,4.5911e+10,4.5911e+10,7.1119e+10,3.36e+09,1.589e+09,4.16e+08,1.265e+09,6.63e+09,-2.865e+09,-1.396e+09,-1.38e+08,-4.767e+09,-1.07e+09,2.49e+08,-3.033e+09,4000000.00000001,-3.85e+09,-1.987e+09,-1.987e+09,-1.992e+09,6.188e+09,7.331e+09,5.815e+09,0.64463,0.33117,0.24195,0.07319,0.04724,1.73065,2.15098,0.54906,0.10308,0.6609,0.63915,2.73151,9.03049,1.14378,0.21046,5,0.07466,0.098,0.31845,-0.47107,-0.63383
"9","2012_Q2",19.417619047619,"Up",1.2906e+10,-4.641e+09,8.265e+09,-4.455e+09,-1.973e+09,-2.401e+09,3.81e+09,2.3e+07,2.3e+07,3.833e+09,-1.9e+07,3.814e+09,-1.076e+09,2.738e+09,2.738e+09,2.738e+09,2.738e+09,9.441e+09,4.429e+09,5.012e+09,4.037e+09,4.037e+09,4.489e+09,7.454e+09,5.66e+09,2.5421e+10,2.5027e+10,1.317e+09,2.0052e+10,6.064e+09,9.388e+09,4.6e+09,4.6396e+10,7.1817e+10,5.586e+09,2.993e+09,2.593e+09,3.62e+08,1.1941e+10,7.088e+09,6.028e+09,2.793e+09,3.235e+09,1.3116e+10,2.5057e+10,1.8381e+10,2.8983e+10,-6.04e+08,4.676e+10,4.676e+10,7.1817e+10,2.738e+09,1.785e+09,2.29e+08,-1.78e+09,2.972e+09,-2.974e+09,6.31e+08,5.27e+08,-2.108e+09,-1.049e+09,1.15e+08,-2.75e+08,-2.86e+08,-1.495e+09,-6.31e+08,-6.31e+08,-6.33e+08,5.595e+09,7.45e+09,1.917e+09,0.6404,0.29521,0.21215,0.05855,0.03812,0.70015,2.12888,0.53586,0.10374,0.54771,0.52735,2.58172,9.35387,0.38348,0.20984,6,0.06287,0.03182,0.38313,-0.35585,-0.52257
"10","2012_Q3",18.1250793650794,"Down",1.3501e+10,-4.947e+09,8.554e+09,-4.722e+09,-2.131e+09,-2.513e+09,3.832e+09,5.5e+07,5.5e+07,3.887e+09,4.7e+07,3.934e+09,-1.107e+09,2.827e+09,2.827e+09,2.827e+09,2.827e+09,9.204e+09,5.223e+09,3.981e+09,3.544e+09,3.544e+09,4.904e+09,8.133e+09,6.616e+09,2.5785e+10,2.5976e+10,1.167e+09,1.9424e+10,5.974e+09,9.442e+09,4.008e+09,4.6567e+10,7.2352e+10,6.349e+09,3.269e+09,3.08e+09,9.2e+07,1.0538e+10,7.093e+09,5.942e+09,2.775e+09,3.167e+09,1.3035e+10,2.3573e+10,1.8883e+10,3.0753e+10,-8.57e+08,4.8779e+10,4.8779e+10,7.2352e+10,2.827e+09,1.839e+09,2.18e+08,-1.45e+08,4.739e+09,-2.75e+09,7.92e+08,-5.4e+07,-1.768e+09,-1.057e+09,-2.7e+08,-9.59e+08,1.1e+08,-2.176e+09,7.95e+08,7.95e+08,7.91e+08,5.671e+09,7.185e+09,3.883e+09,0.63358,0.28383,0.20939,0.05796,0.03907,1.37354,2.44686,0.48326,0.09931,0.56304,0.54365,2.68891,9.715,0.77335,0.21052,6,0.06274,0.06272,0.37389,-0.35602,-0.52688
