"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",10.00171875,"Down",54282000,-41395000,12887000,-11799000,-11799000,1088000,-1752000,-1752000,-664000,-147000,252000,105000,105000,105000,105000,-4057479.18534234,-4057479.18534234,-12382548.8576564,-12382548.8576564,2972626.59156797,8225071.47427879,6222741.00232855,-5242329.97715193,13942743.7089015,53164498.0130778,29594595.9920369,731758.258766168,67107241.7219794,61864911.7448274,17022721.1209289,3216195.95154981,23632194.8513117,128711747.027246,8482018.26242612,2637593.1148969,258999952.152842,387711699.180088,-269811693.136431,-56035094.2988289,-325846787.43526,-325846787.43526,61864911.7448274,105000,767000,249000,4402000,5523000,-972000,-972000,34597000,-453000,-9856000,-5305000,-5305000,-5305000,1855000,0,5033000,0.23741,0.02004,0.00193,0.0434959486349155,0.226221073342841,47.93333,-0.558063290242731,-14.8751897140584,3.63777501538612,0.00943,0.00875,4.87315,-25.8805177652023,0.45184,0.653956176519271,0.537195174022455,35.8111838087419,38.4377988090075
"2","2016_Q1",9.18622950819672,"Down",54853000,-42051000,12802000,-6010000,-6010000,6792000,-1021000,-1021000,5771000,4398000,-1861000,2537000,2537000,2537000,2537000,1167000,1167000,2653000,2653000,11541000,7235000,7235000,22596000,13233000,53847000,29593000,550000,67080000,89676000,36345000,14808000,21313000,63767000,7675000,519000,68162000,131929000,8952000,-51205000,-42253000,-42253000,89676000,2537000,975000,2773000,-2991000,3294000,-838000,-848000,-5561999.99999999,0,-5562000,-3116000,-3116000,-3116000,7767000,78762000,5799000,0.23339,0.12382,0.04625,-0.06004,0.02829,2.28577,0.35435,-3.12236,0.8783,0.22776,0.20596,4.92441,-3.79325,0.5206,0.05742,0.13125,9.99034,11.42447
"3","2016_Q2",10.17984375,"Up",55981000,-40142000,15839000,-11819000,-11819000,4020000,-964000,-964000,3056000,-290000,-1033000,-1323000,-1323000,-1323000,-1323000,7838000,7838000,4060000,4060000,12701000,6487000,6487000,31086000,13090000,54345000,29593000,496000,67435000,98521000,34829000,13250000,20048000,35054000,7588000,543000,7588000,42642000,108407000,-52528000,55879000,55879000,98521000,-1323000,825000,8993000,-5627000,2868000,-627000,-627000,11632000,-7202000,4430000,6671000,6671000,6671000,4845000,0,-376000,0.28294,0.07181,-0.02363,-0.02368,-0.01343,0.2842,0.8868,0.763109999999999,-1.11022302462516e-16,-0.08135,-0.08135,3.44206,3.43579,-0.02312,-0.02085,-0.00592000000000001,-1.61775,-1.94975
"4","2016_Q3",11.4984375,"Up",55203000,-39838000,15365000,-12585000,-12585000,2780000,-44000,-44000,2736000,2681000,-811000,1870000,1870000,1870000,1870000,15641000,15641000,1753000,1753000,11286000,5954000,5480000,34634000,13188000,55280000,29593000,496000,68468000,103102000,30089000,9509000,20580000,30347000,8180000,1519000,8180000,38527000,115233000,-50658000,64575000,64575000,103102000,1870000,842000,6409000,-434000,8687000,-884000,-884000,0,-1.86264514923096e-09,0,7803000,7803000,7803000,3622000,-7.45058059692383e-09,3115000,0.27834,0.05036,0.03387,0.02896,0.01814,1.66578,1.14127,0.59662,0,0.1039,0.1005,3.06704,3.58774,0.17307,0.0257,0.04281,-4.31833,-5.62626
"5","2016_Q4",12.7480952380952,"Up",57030000,-41188000,15842000,-8329000,-8329000,7513000,-82000,-82000,7431000,7458000,-2564000,4894000,4894000,4894000,4894000,21571000,21571000,4325000,4325000,11851000,5262000,5203000,43009000,13280000,56507000,29593000,508000,69787000,112796000,37284000,13135000,23150000,37501000,8668000,2262000,8668000,46169000,112391000,-45764000,66627000,66627000,112796000,4894000,878000,763000,4476000,11011000,-915000,-915000,0,0,-4166000,5930000,5930000,5930000,8391000,0,14516000,0.27778,0.13174,0.08581,0.07345,0.04339,2.96608,1.14688,0.69295,0,0.26347,0.2606,3.07027,3.58694,0.78149,0.065,0.19279,-2.57073,-2.87116
"6","2017_Q1",14.9053225806452,"Up",53386000,-39353000,14033000,-6335000,-6335000,7698000,-190000,-190000,7508000,8669000,-3900000,4769000,4769000,4769000,4769000,73000,73000,2966000,2966000,13268000,1785000,1780000,18092000,13826000,50615000,29593000,771000,64441000,82533000,36496000,13112000,22276000,44381000,2189000,2189000,46531000,90912000,112561000,-120940000,-8379000,-8379000,82533000,4769000,899000,-148000,2661000,8181000,-1391000,-1391000,52293000,-3e+05,-28288000,-21498000,-21498000,-21498000,8597000,52227000,13767000,0.26286,0.1442,0.08933,-0.56916,0.05778,2.88677,0.40765,-10.84998,0.6328,0.25695,0.24611,2.87643,-0.45146,0.74176,1.84013,0.29904,6.06653,6.77501
"7","2017_Q2",17.9146031746032,"Up",60689000,-42880000,17809000,-6174000,-6174000,11635000,-611000,-611000,11024000,11024000,-4041000,6983000,6983000,6983000,6983000,212000,212000,4943000,4943000,12596000,2931000,2678000,20682000,13511000,49328000,29593000,741000,62839000,83521000,34833000,12993000,21592000,39599000,2304000,2304000,45453000,85052000,112426000,-113957000,-1530999.99999999,-1530999.99999999,83521000,6983000,797000,1795000,-4533000,5042000,-455000,-455000,-4376000,-72000,-4448000,139000,139000,139000,12432000,47915000,11485000,0.29345,0.19172,0.11506,-4.56107,0.08361,1.64471,0.52229,-55.55323,0.57369,0.3756,0.37558,3.26429,-0.0823499999999999,0.61775,0.14342,0.23589,3.83711,4.09996
"8","2017_Q3",18.594126984127,"Up",51134000,-36848000,14286000,-7247000,-7247000,7039000,-512000,-512000,6527000,6527000,-2496000,4031000,4031000,4031000,4031000,6366000,6366000,2464000,2464000,11365000,2603000,2022000,22798000,13318000,48400000,29593000,712000,61718000,84516000,32477000,11685000,20433000,37249000,2496000,2496000,44450000,81699000,112743000,-109926000,2817000,2817000,84516000,4031000,825000,1355000,1668000,7879000,-605000,-605000,-1250000.00000001,130000,-1120000,6154000,6154000,6154000,7864000,46726000,11423000,0.27938,0.13766,0.07883,1.43095,0.0477,2.83379,0.61204,29.00213,0.55287,0.2168,0.21666,2.75018,0.15151,0.61437,0.07746,0.21951,5.13225,5.73377
"9","2017_Q4",22.5263492063492,"Up",58486000,-43561000,14925000,-10643000,-10643000,4282000,-561000,-561000,3721000,3721000,-1480000,2241000,2241000,2241000,2241000,12567000,12567000,6666000,6666000,11886000,3631000,2367000,34750000,13179000,47078000,29593000,591000,60257000,95007000,41561000,13771000,27378000,46339000,2653000,2653000,43410000,89749000,112943000,-107685000,5258000,5258000,95007000,2241000,820000,4796000,444000,8301000,-655000,-655000,-1250000,-195000,-1445000,6201000,6201000,6201000,5102000,45535000,6371000,0.25519,0.07321,0.03832,0.42621,0.02359,2.84293,0.74991,17.06904,0.47928,0.12053,0.12032,3.14554,0.28279,0.34265,0.04193,0.1192,6.46178,7.69921
"10","2018_Q1",24.14,"Up",58325000,-41869000,16456000,-5897000,-5897000,10559000,-538000,-538000,10021000,10021000,-3706000,6315000,6315000,6315000,6315000,4038000,4038000,3500000,3500000,11676000,2438000,2438000,21652000,14827000,46842000,29593000,606000,61669000,83321000,33198000,11008000,21410000,36885000,3885000,2932000,34675000,71560000,113131000,-101370000,11761000,11761000,83321000,6315000,789000,-1251000,-843000,5010000,-2420000,-2420000,-11115000,-4000.00000000006,-11119000,-8529000,-8529000,-8529000,11348000,34477000,11791000,0.28214,0.18104,0.10827,0.53694,0.07579,1.86714,0.58701,6.08452,0.41379,0.33963,0.33844,3.13685,0.63253,0.63415,0.12599,0.23524,2.68232,2.88275
