"","YQ","p","d","revenue","sales_services_revenue","other_revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","provision_for_doubtful_accounts","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",4.2259375,"Down",170388000,135650000,34738000,-101188000,-101188000,69200000,-66101000,-55288000,-10813000,3099000,-7706000,-7722000,-4607000,-7503000,2608000,-4895000,-4895000,-4895000,-4895000,9131517.43466169,9131517.43466169,337913701.819311,337913701.819311,219972209.368494,88251160.1692391,12507806.7240849,5332846.02962064,655268588.791706,51945536.6047719,282823939.547102,17878809.7357018,8703314.6995413,352648285.887575,1007916874.67928,161467545.108021,128419453.304098,5471287.10044979,27576804.7034736,11709964.4265577,26799087.9631567,26799087.9631567,199976597.497736,495156163.618383,46375598.6748683,46375598.6748683,541531762.293252,741508359.790987,128588869.654027,231286644.984708,266408514.888294,266408514.888294,1007916874.67928,-4895000,2983000,20709000,543000,402000,19764000,-136000,14063000,15377000,-22118000,-7458000,18661000,-674000,-687000,-687000,-7206000,-2141000,-2141000,36000,36000,-5394000,-7499000,3956000,3956000,3956000,6082000,0,2664000,0.40613,0.01819,-0.02873,-0.213771896350755,-0.0921003262933915,-0.54423,2.7962732627818,2.4009337041828,0.525158877995554,-0.19618,-0.19618,6.8289,14.4505228921018,0.10677,-0.107681306528141,-0.417032588669465,-145.442674188129,-72.3171359010695
"2","2011_Q1",4.47774193548387,"Up",227362000,188031000,39331000,-132362000,-132362000,9.5e+07,-90156000,-65217000,-22618000,4844000,-8019000,-7847000,-3175000,-4562000,985000,-3577000,-3577000,-3577000,-3577000,10977000,10977000,337673000,337673000,82354000,60372000,6476000,30476000,491376000,46890000,285667000,18127000,10118000,350684000,842060000,81365000,57740000,2103000,21522000,167000,20822000,20822000,102354000,373569000,13240000,13240000,386809000,489163000,131925000,258114000,352897000,352897000,842060000,-3577000,5647000,26788000,489000,-1999000,28298000,-8400000,-17993000,1375000,17743000,-9525000,20458000,-580000,-688000,-688000,5952000,-53712000,-53712000,23416000,36999.9999999999,2441000,-27855000,-1445000,-1445000,-1445000,10491000,373736000,526000.000000015,0.41784,0.02131,-0.01573,-0.01014,-0.00425,-0.147050000000001,4.80075,1.38614,0.44384,-0.1371,-0.1371,8.71419,13.52562,0.0201600000000002,-0.00483,0.00071,34.57811,74.88832
"3","2011_Q2",6.19460317460317,"Up",191982000,157070000,34912000,-108183000,-108183000,83799000,-69009000,-59445000,-9564000,14790000,-7608000,-7556000,7182000,7182000,-2781000,4401000,4401000,4401000,4401000,10241660.8551128,10241660.8551128,325939932.726896,325939932.726896,51879763.5438354,51683113.2769203,4426064.42530503,36464467.9901265,439744470.402765,43906154.465076,274032770.150966,18754146.7547661,10590061.7668196,336693071.370808,776437541.773573,66209734.963993,39823598.8986341,930320.966516736,25455815.0988421,-3535904.80885257,19640804.0122811,19640804.0122811,82314634.1674215,316289528.793872,3473883.7750439,3473883.7750439,319763412.568916,402078046.736338,133290210.115324,250156201.671764,374359495.037235,374359495.037235,776437541.773573,4401000,3781000,11571000,474000,426000,10671000,31277000,32912000,-2768000,-5057000,6190000,51030000,-275000,-275000,-275000,-275000,-53063000,-53063000,25000,25000,-73000,-53111000,-2356000,-2356000,-2356000,18571000,0,52354000,0.43649,0.07704,0.02292,0.0315981321169182,0.0135284420977972,11.89593,5.00102057907273,1.06580709860573,0.401678707334815,0.13854,0.13852,6.04325,12.3766498692994,1.64801,0.0159571021760469,0.101908362889822,64.1753447293762,82.6448544670231
"4","2011_Q3",7.53203125,"Up",187026000,151987000,35039000,-107073000,-107073000,79953000,-66983000,-56174000,-7151000,12970000,-7038000,-7004000,5932000,-5124000,2022000,-3102000,-3102000,-3102000,-3102000,8280000,8280000,311322000,311322000,77080000,54869000,5069000,32629000,451551000,42207000,258968000,19466000,10490000,320641000,772192000,84666000,50383000,1127000,33156000,508000,20571000,20571000,105745000,298670000,7268999.99999999,7268999.99999999,305939000,411684000,133739000,226769000,360508000,360508000,772192000,-3102000,4614000,27083000,582000,3443000,23058000,6151000.00000001,13066000,8042000,-2300000,-12657000,34746000,-1063000,-1063000,-1063000,-1063000,-35315000,64685000,750000,750000,541000,-34024000,-341000,-341000,-341000,17584000,299178000,20650000,0.4275,0.06935,-0.01659,-0.00860000000000001,-0.00402000000000002,-6.657,4.27019,1.14196,0.38744,-0.09752,-0.0975199999999999,5.87984,11.33388,0.64921,-0.00464999999999999,0.03096,16.54333,22.42853
"5","2011_Q4",9.89603174603175,"Up",186623000,154956000,31667000,-114491000,-114491000,72132000,-86576000,-59801000,-26400000,-14444000,-3914000,-3919000,-18358000,-18358000,5635000,-12723000,-12723000,-12723000,-12723000,6510000,6510000,305623000,305623000,96703000,62526000,5994000,30515000,471362000,40619000,255346000,19725000,10004000,315690000,787052000,98240000,59480000,1756000,37004000,679000,20155000,20155000,119074000,309997000,14054000,14054000,324051000,443125000,134409000,209636000,343927000,343927000,787052000,-12723000,965000,21954000,635000,-7493000,28812000,-21102000,-19596000,-19623000,9097000,9020000,-10906000,-975000,-975000,-975000,-975000,10860000,10860000,105000,105000,-854000,10111000,-1770000,-1770000,-1770000,-13479000,310676000,-41191000,0.38651,-0.0774,-0.06817,-0.03699,-0.01617,3.23752,3.95856,1.28843,0.39473,-0.39908,-0.39908,5.85374,10.78784,-1.29202,-0.01903,-0.0616,-22.56592,-21.05829
"6","2012_Q1",13.2091935483871,"Up",226671000,189671000,3.7e+07,-132273000,-132273000,94398000,-78013000,-61678000,-10440000,16385000,-3967000,-3978000,12418000,12418000,-4717000,7701000,7701000,7701000,7701000,6265000,6265000,316385000,316385000,62540000,67368000,6286000,38715000,452558000,38484000,272938000,19318000,9564000,330740000,783298000,77982000,44711000,2028000,31243000,726000.000000004,15966000,15966000,94674000,320978000,14275000,14275000,335253000,429927000,136327000,217337000,353371000,353371000,783298000,7701000,3509000,24012000,613000,4365000,19034000,-45575000,-61196000,34163000,-14769000,-3773000,-10353000,-2073000,-2073000,-2073000,-2073000,19293000,19293000,1185000,1255000,-8297000,12181000,-245000,-245000,-245000,19894000,321704000,-23037000,0.41645,0.07229,0.03397,0.02179,0.00983,-2.99143,4.78017,1.21664,0.4107,0.24078,0.24081,7.08723,11.04871,-0.72029,0.01117,-0.03342,15.85599,19.25169
"7","2012_Q2",17.0461904761905,"Up",200851000,166937000,33914000,-109993000,-109993000,90858000,-69004000,-59656000,-9185000,21854000,-3663000,-3759000,18191000,18191000,-6635000,11556000,11556000,11556000,11556000,6730000,6730000,313139000,313139000,68890000,67206000,15785000,35414000,455965000,40257000,271984000,20426000,10856000,332667000,788632000,93014000,60812000,2394000,29808000,103690000,16153000,16153000,212857000,194396000,12894000,12894000,207290000,420147000,139857000,228893000,368485000,368485000,788632000,11556000,3141000,13030000,482000,1272000,11276000,9340000,-3673000,-6350000,16100000,3263000,37067000,-4108000,-4404000,-4404000,-4108000,-23428000,-126453000,2932000,2932000,-11998000,-32494000,465000,465000,465000,24995000,298086000,36862000,0.45237,0.10881,0.05754,0.03136,0.01465,3.18986,2.14212,1.1402,0.37798,0.35894,0.3512,6.23858,11.44541,1.14496,0.01701,0.05425,11.65657,13.33193
"8","2012_Q3",20.3744444444444,"Up",207436000,171655000,35781000,-112351000,-112351000,95085000,-71931000,-59381000,-12204000,23154000,-4868000,-4874000,18286000,18286000,-6680000,11606000,11606000,11606000,11606000,5195000,5195000,329989000,329989000,70165000,67782000,14364000,35159000,473131000,44859000,281767000,19575000,9951000,346201000,819332000,93460000,65309000,1374000,26777000,76408000,15443000,15443000,185311000,238895000,12859000,12859000,251754000,437065000,142053000,240499000,382267000,382267000,819332000,11606000,3784000,16279000,331000,1420000,14528000,-46270000,-40938000,-1274000,4497000,-8555000,-14601000,-6759000,-6813000,-6813000,-6759000,17259000,17259000,1036000,1036000,1530000,19825000,-1535000,-1535000,-1535000,26938000,315303000,-19411000,0.45838,0.11162,0.05595,0.03036,0.01417,-1.6725,2.55317,1.14335,0.38483,0.35817,0.35043,6.40156,11.79691,-0.59903,0.01634,-0.02732,11.51192,13.39328
"9","2012_Q4",26.8651612903226,"Up",206401000,167323000,39078000,-107210000,-107210000,99191000,-75300000,-61210000,-13449000,23891000,-4523000,-4526000,19368000,18550000,-6765000,11785000,11785000,11785000,11785000,4269000,4269000,345546000,345546000,77150000,64640000,13246000,34573000,491605000,52794000,287494000,20971000,10767000,361259000,852864000,97438000,66173000,1658000,29607000,51589000,14735000,14735000,163762000,279396000,13095000,13095000,292491000,456253000,144589000,252284000,396611000,396611000,852864000,11785000,3598000,16647000,614000,-115000,16148000,-39250000,-36026000,-6986000,866000,2896000,-7220000,-10114000,-10114000,-10114000,-10114000,15679000,15679000,1590000,1590000,-861000,16408000,-926000,-926000,-926000,27489000,330985000,-15110000,0.48057,0.11575,0.0571,0.02971,0.01382,-1.28214,3.00195,1.15038,0.38809,0.36203,0.35138,6.34046,12.18355,-0.46417,0.01591,-0.0204,11.88534,13.67528
"10","2013_Q1",31.3735,"Up",250344000,208352000,41992000,-153771000,-153771000,96573000,-64960000,-50264000,-12821000,31613000,-4737000,-3888000,26876000,27694000,-10029000,17665000,17665000,17665000,17665000,3849000,3849000,378050000,378050000,73685000,72660000,11599000,45759000,528244000,46994000,313011000,21608000,10029000,381613000,909857000,103722000,69608000,4618000,29496000,32526000,14915000,14915000,151163000,262531000,21713000,21713000,284244000,435407000,204724000,269949000,474450000,474450000,909857000,17665000,3368000,15098000,159000,-2593000,17532000,-74180000,-83719000,3465000,3434000,2640000,-38049000,11510000,-11022000,-11022000,11510000,-36500000,-36500000,59894000,3899000,2725000,26119000,-420000,-420000,-420000,34981000,295057000,-17660000,0.38576,0.12628,0.07056,0.03723,0.01942,-0.99972,3.49453,0.91771,0.32429,0.51507,0.49747,7.29951,13.83397,-0.51493,0.02233,-0.02232,8.32475,9.21165
"11","2013_Q2",46.5840625,"Up",251063000,209448000,41615000,-124863000,-124863000,126200000,-87192000,-73255000,-13937000,39008000,-3865000,-3871000,35143000,35143000,-12967000,22176000,22176000,22176000,22176000,4310000,4310000,395085000,395085000,88862000,73013000,6121000,51565000,561270000,51731000,324213000,20060000,9122000,396004000,957274000,116438000,74748000,8612000,33078000,222000,15839000,15839000,132499000,293773000,22572000,22572000,316345000,448844000,216509000,292125000,508430000,508430000,957274000,22176000,3964000,14647000,-1751000,617000,15781000,-47300000,-44024000,-15177000,5141000,6760000,-6513000,-7222000,-7228000,-7228000,-7222000,-1214000,-1214000,10944000,10944000,4466000,14196000,461000,461000,461000,42972000,293995000,1417000,0.50266,0.15537,0.08833,0.04362,0.02317,0.0639,4.23603,0.8828,0.30712,0.62798,0.60836,7.10965,14.39781,0.04013,0.02688,0.00172,6.74125,7.4263
"12","2013_Q3",59.17765625,"Up",270689000,223712000,46977000,-137358000,-137358000,133331000,-100139000,-78757000,-21382000,33192000,-3103000,-3135000,30089000,30089000,-10927000,19162000,19162000,19162000,19162000,3799000,3799000,428083000,428083000,90561000,68584000,13101000,38573000,591027000,60685000,352134000,19614000,8638000,432433000,1023460000,117382000,81249000,2187000,33946000,385000,15663000,15663000,133430000,334298000,23512000,23512000,357810000,491240000,221098000,311287000,532220000,532220000,1023460000,19162000,3948000,21490000,-925000,-1622000,24037000,-77275000,-84988000,-1699000,6499000,2913000,-32675000,-12041000,-12082000,-12082000,-12041000,40270000,40270000,3558000.00000001,3558000,377000,44205000,-511000,-511000,-511000,37140000,334683000,-41249000,0.49256,0.12262,0.07079,0.036,0.01872,-2.15265,4.42949,0.923,0.32701,0.5356,0.52001,7.56601,14.87604,-1.15295,0.02152,-0.04633,8.9091,9.96879
"13","2013_Q4",64.096875,"Up",310876000,257046000,53830000,-153273000,-153273000,157603000,-115905000,-90341000,-22730000,41698000,-3714000,-3714000,37984000,37984000,-13608000,24376000,24376000,24376000,24376000,3701000,3701000,473795000,473795000,131732000,69814000,7209000,44648000,679042000,75435000,400606000,19281000,7983000,495322000,1174364000,151065000,106422000,2242000,42401000,527000,15793000,15793000,167385000,422161000,26083000,26083000,448244000,615629000,223170000,335663000,558735000,558735000,1174364000,24376000,4276000,34253000,822000,-1369000,34800000,-133416000,-119632000,-41171000,25174000,2213000,-70511000,-17815000,-17812000,-17812000,-17815000,87358000,87358000,1054000,1054000,-184000,88228000,-98000,-98000,-98000,45974000,422688000,-91649000,0.50696,0.13413,0.07841,0.04363,0.02076,-3.7598,4.05677,1.10183,0.35993,0.67796,0.65943,8.64625,15.53984,-2.54899,0.02419,-0.09097,9.11356,10.04813
"14","2014_Q1",50.7460655737705,"Down",361141000,301634000,59507000,-214731000,-214731000,146410000,-98456000,-60998000,-38175000,47954000,-4651000,-4603000,43303000,43303000,-15568000,27735000,27735000,27735000,27735000,5727000,5727000,527267000,527267000,120530000,82071000,8120000,51480000,735595000,86842000,457413000,18136000,10415000,562391000,1297986000,115019000,82861000,2924000,29234000,420000,13488000,13488000,128927000,535631000,44138000,44138000,579769000,708696000,225992000,363398000,589290000,589290000,1297986000,27735000,4629000,49142000,97000,1187000,47858000,-182069000,-161007000,11201000,-23562000,-8701000,-100563000,-15005000,-15005000,-15005000,-15005000,113628000,113628000,1762000,1762000,2204000,117594000,2026000,2026000,2026000,52583000,536051000,-128923000,0.40541,0.13278,0.0768,0.04707,0.02137,-4.64839,5.70552,1.20263,0.41299,0.7689,0.74601,10.01195,16.33695,-3.57415,0.02372,-0.11024,10.08546,11.05901
"15","2014_Q2",44.1992063492063,"Down",335448000,277629000,57819000,-174364000,-174364000,161084000,-112053000,-88041000,-22258000,49031000,-4724000,-4724000,44307000,44307000,-15838000,28469000,28469000,28469000,28469000,4193000,4193000,548482000,548482000,137864000,84417000,9256000,52679000,774956000,96335000,470233000,18859000,9980000,585427000,1360383000,174379000,118080000,17371000,38928000,347000,16868000,16868000,191594000,517358000,32058000,32058000,549416000,741010000,227568000,391867000,619373000,619373000,1360383000,28469000,5037000,27805000,984000,-3422000,30243000,-30633000,-62415000,-17333000,35219000,13896000,30678000,-14268000,-14272000,-14272000,-14268000,-18204000,-18204000,486000,486000,-226000,-17944000,-1534000,-1534000,-1534000,54068000,517705000,25005000,0.48021,0.14617,0.08487,0.04596,0.02093,0.87832,4.04478,1.19639,0.38056,0.78787,0.771,9.28344,17.141,0.69201,0.02435,0.02139,9.49752,10.47321
"16","2014_Q3",38.9115625,"Down",352964000,288281000,64683000,-183752000,-183752000,169212000,-135216000,-94139000,-39585000,33996000,-6247000,-6247000,27749000,27749000,-10099000,17650000,17650000,17650000,17650000,4021000,4021000,583687000,583687000,137624000,91622000,15257000,49993000,816954000,112149000,495904000,24188000,10576000,632241000,1449195000,138557000,95963000,2380000,40214000,401000,19626000,19626000,158584000,606980000,45299000,45299000,652279000,810863000,228840000,409517000,638332000,638332000,1449195000,17650000,5618000,43550000,305000,-8597000,51842000,-150172000,-104547000,239000,-22117000,-23747000,-83354000,-4573000,-23848000,-23848000,-4573000,87837000,-155563000,121000,121000,-203000,87755000,-172000,-172000,-172000,39614000,607381000,-105032000,0.4794,0.09632,0.05001,0.02765,0.01218,-5.95082,5.15155,1.27028,0.41912,0.48745,0.47739,9.74796,17.6291,-2.90072,0.01367,-0.08136,15.23098,17.74797
"17","2014_Q4",28.219375,"Down",370058000,304609000,65449000,-193717000,-193717000,176341000,-171720000,-99346000,-72019000,4621000,-8950000,-8950000,-4329000,-4329000,1265000,-3064000,-3064000,-3064000,-3064000,5760000,5760000,598241000,598241000,168603000,138042000,9389000,75245000,910646000,116585000,507399000,21376000,10306000,645360000,1556006000,140494000,92100000,2685000,45709000,391000,22452000,22452000,163337000,696310000,59681000,59681000,755991000,919328000,230225000,406453000,636678000,636678000,1556006000,-3064000,4926000,78351000,1008000,-11662000,89005000,-154331000,-117329000,-30979000,-3863000,-2160000,-74118000,-14873000,-14996000,-14996000,-14873000,89273000,89273000,368000,368000,1089000,90730000,1739000,1739000,1739000,9547000,696701000,-160922000,0.47652,0.01249,-0.00828,-0.00481,-0.00197,52.52023,5.57526,1.44394,0.44775,-0.08449,-0.08449,10.20427,17.55627,-4.43739,-0.0022,-0.11552,72.37258,149.52196
"18","2015_Q1",22.8708196721311,"Down",426748000,350457000,76291000,-225213000,-225213000,201535000,-169316000,-108650000,-58577000,32219000,-9444000,-9444000,22775000,22775000,-7317000,15458000,15458000,15458000,15458000,12223000,12223000,643094000,643094000,159068000,91290000,12529000,67703000,905675000,120218000,558257000,61654000,8109000,740129000,1645804000,128435000,85355000,3450000,39630000,395000,16179000,16179000,145009000,772497000,74628000,74628000,847125000,992134000,231759000,421911000,653670000,653670000,1645804000,15458000,6023000,74168000,507000,-1859000,75520000,-158756000,-159814000,9536000,-12613000,4135000,-63107000,-8699000,-8580000,-8580000,-8699000,77649000,77649000,694000,694000,-74000.0000000005,78269000,6463000,6463000,6463000,38242000,772892000,-121896000,0.47226,0.0755,0.03622,0.02365,0.00939,-7.88563000000001,6.24565,1.51779,0.46961,0.42561,0.4129,11.74967,17.99752,-3.35617,0.0103,-0.0812,19.89093,23.6093300000001
"19","2015_Q2",35.9012698412698,"Up",365076000,298479000,66597000,-187133000,-187133000,177943000,-143837000,-95675000,-47543000,34106000,-9428000,-9428000,24678000,24678000,-9001000,15677000,15677000,15677000,15677000,4959000,4959000,653141000,653141000,129389000,100389000,11613000,65445000,887878000,122189000,558762000,43843000,8979000,724794000,1612672000,129964000,89976000,5651000,34337000,4e+05,15833000,15833000,146197000,719710000,76788000,76788000,796498000,942695000,232389000,437588000,669977000,669977000,1612672000,15677000,5608000,53711000,772000,-4651000,57590000,-18645000,-63202000,29679000,7450000,7428000,56351000,-9567000,-9602000,-9602000,-9567000,-54359000,-54359000,342000,342000,-31000,-54048000,-7264000,-7264000,-7264000,39714000,720110000,20503000,0.48741,0.09342,0.04294,0.0234,0.00972,1.30784,6.07316,1.40706,0.44653,0.4311,0.42508,10.03921,18.42368,0.56381,0.01069,0.01398,18.00753,20.96848
"20","2015_Q3",32.67578125,"Down",396050000,324946000,71104000,-202461000,-202461000,193589000,-157491000,-104832000,-51646000,36098000,-10055000,-10055000,26043000,26043000,-9505000,16538000,16538000,16538000,16538000,6868000,6868000,685933000,685933000,173577000,119256000,17198000,78939000,985634000,133674000,583082000,49682000,8296000,766438000,1752072000,150079000,105311000,3093000,41675000,789000,16215000,16215000,167083000,811240000,85128000,85128000,896368000,1063451000,234495000,454126000,688621000,688621000,1752072000,16538000,6637000,60611000,559000,-5695000,65747000,-153583000,-128259000,-44188000,16208000,2656000,-69797000,-20054000,-20054000,-20054000,-20054000,90155000,90154999.9999999,1346000,1346000,259000,91760000,1908999.99999999,1908999.99999999,1908999.99999999,42735000,812029000,-121397000,0.4888,0.09115,0.04176,0.02402,0.00944,-7.34048999999999,5.89907,1.54432,0.46347,0.45352,0.44647,10.8608,18.88392,-3.32905,0.01043,-0.07655,18.84079,22.30486
