"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.3512698412698,"Up",317795000,-301420000,-278355000,-21551000,-1514000,16375000,-3539000,-3466000,-73000,12836000,12836000,-5135000,7701000,7701000,7701000,7701000,-102627979.697527,-102627979.697527,81264473.5706277,81264473.5706277,53590294.8517211,5715648.21775088,31763748.7497631,32226788.7248214,943018959.405647,69946183.6105607,50483183.6105607,1012965143.01621,1045191931.74103,-42661095.7774121,-2486378.04900692,-40174717.7284052,30308677.2588814,41386715.4220788,-353966016.317304,695096959.894475,167809822.429182,92959539.725947,74850282.7032346,862906782.323657,508940766.006353,35605455.1251287,500645710.609547,536251165.734676,536251165.734676,1045191931.74103,7701000,21551000,-5194000,10984000,35042000,-27099000,-33549000,3805000,5298000,5298000,5298000,37926000,0,26946000,0.05153,0.02423,0.0171503503358373,0.00854361831015592,3.49903,3.10798679915023,0.949658236260163,0.320960004979562,0.0612,0.0612,2.52547,4.28869110101574,0.21414,0.007163989743378,-0.0932361901358854,9.46366402675469,15.5041346852877
"2","2010_Q3",10.7740625,"Up",368250000,-328239000,-306631000,-19553000,-2055000,40011000,-4157000,-3128000,-1029000,35854000,35854000,-14341000,21513000,21513000,21513000,21513000,4783000,4783000,162703000,162703000,39346000,18179000,2992000,206832000,942540000,53509000,34046000,996049000,1202881000,109039000,30639000,78400000,34342000,29532000,179662000,252142000,148863000,78575000,70288000,401005000,580667000,94621000,527593000,622214000,622214000,1202881000,21513000,19553000,1243000,-8171000,34138000,-17910000,-17910000,-20914000,-4686000,-4686000,-4686000,59564000,288423000,47824000,0.10865,0.05842,0.03457,0.01788,2.22303,1.15123,0.93323,0.23978,0.17096,0.17096,2.92643,4.94465,0.38005,0.0203,0.04514,4.76194,7.08905
"3","2010_Q4",12.3578125,"Up",395981000,-352597000,-331391000,-19396000,-1810000,43384000,-2749000,-2927000,178000,40635000,40635000,-16254000,24381000,24381000,24381000,24381000,5057000,5057000,176595000,176595000,39411000,19143000,2056000,221063000,947315000,50703000,31240000,998018000,1219081000,119995000,31166000,88829000,31414000,29811000,248768000,167979000,155741000,83148000,72593000,323720000,572488000,94619000,551974000,646593000,646593000,1219081000,24381000,19396000,4667000,-7459000,40985000,-23352000,-16902000,-23809000,274000,274000,274000,62780000,265338000,48223000,0.10956,0.06157,0.03771,0.02,1.97789,0.88863,0.88539,0.21765,0.19375,0.19375,3.14681,5.13839,0.38322,0.02284,0.04517,4.14592,5.99947
"4","2011_Q1",14.0243548387097,"Up",398972000,-361003000,-340013000,-19862000,-1128000,37969000,-2868000,-2944000,76000.0000000001,35101000,35101000,-13045000,22056000,22056000,22056000,22056000,5450000,5450000,172989000,172989000,44143000,17766000,7711000,222582000,964216000,53083000,33620000,1017299000,1239881000,98989000,29221000,69768000,33927000,33927000,170046000,234087000,167099000,90768000,76331000,401186000,571232000,94619000,574030000,668649000,668649000,1239881000,22056000,19862000,7666000,-19227000,30357000,-35382000,-35382000,5418000,393000,393000,393000,57831000,271217000,16267000,0.09517,0.05528,0.03299,0.01779,0.73753,1.30895,0.85431,0.21874,0.17528,0.17528,3.17058,5.31367,0.12927,0.01992,0.0147,4.59558,6.99958
"5","2011_Q2",15.5401587301587,"Up",422679000,-384758000,-360645000,-21121000,-2992000,37921000,-2439000,-3857000,1418000,35482000,35482000,-13909000,21573000,21573000,21573000,21573000,88143000,88143000,196694000,196694000,45500000,21966000,1907000,330337000,1000574000,52991000,33528000,1053565000,1383902000,140509000,48929000,91580000,49756000,34335000,227038000,252143000,166099000,89083000,77016000,418242000,645280000,143019000,595603000,738622000,738622000,1383902000,21573000,21121000,-4129000,35242000,73807000,-57213000,-57213000,66099000,82693000,82693000,82693000,59042000,288916000,50980000,0.08972,0.05104,0.02921,0.01559,2.36314,1.45499,0.87363,0.20877,0.17044,0.17044,3.33933,5.83541,0.40276,0.01807,0.04271,3.40051,5.29451
"6","2011_Q3",14.3940625,"Down",480255000,-415610000,-391404000,-22013000,-2193000,64645000,-3812000,-3450000,-362000,60833000,60833000,-21450000,39383000,39383000,39383000,39383000,28664000,28664000,212535000,212535000,54937000,21312000,10363000,296136000,1059702000,53666000,34203000,1113368000,1409504000,138495000,41157000,97338000,35789000,35789000,212383000,227143000,191973000,110490000,81483000,419116000,631499000,143019000,634986000,778005000,778005000,1409504000,39383000,22013000,20037000,-36060000,45373000,-81178000,-81178000,-23674000,-59479000,-59479000,-59479000,86658000,265242000,-9130000.00000001,0.13461,0.082,0.05062,0.02794,-0.23183,1.39435,0.81169,0.18818,0.30471,0.30471,3.71578,6.0195,-0.07064,0.03188,-0.00739,2.73002,3.65965
"7","2011_Q4",15.9619047619048,"Up",494475000,-426281000,-400066000,-23396000,-2819000,68194000,-5072000,-3394000,-1678000,63122000,63122000,-24491000,38631000,38631000,38631000,38631000,42262000,42262000,222525000,222525000,53802000,18807000,13162000,318589000,1103220000,51389000,31926000,1154609000,1473198000,145223000,50707000,94516000,37563000,37563000,220117000,227143000,209302000,127614000,81688000,436445000,656562000,143019000,673617000,816636000,816636000,1473198000,38631000,23396000,18671000,471000,81169000,-66299000,-66299000,-1272000,13598000,13598000,13598000,91590000,264474000,50253000,0.13791,0.07813,0.04731,0.02622,1.30085,1.44736,0.80398,0.17952,0.29889,0.29889,3.8258,6.31839,0.38881,0.02994,0.03894,2.42616,3.25853
"8","2012_Q1",19.1143548387097,"Up",506391000,-443079000,-416336000,-24290000,-2453000,63312000,-2665000,-3186000,521000,60647000,60647000,-20764000,39883000,39883000,39883000,39883000,75850000,75850000,213481000,213481000,42521000,18614000,4441000,331852000,1126950000,54272000,34809000,1181222000,1513074000,129490000,42096000,87394000,35966000,35934000,204810000,229831000,221914000,134916000,86998000,451745000,656555000,143019000,713500000,856519000,856519000,1513074000,39883000,24290000,10032000,3380000,77585000,-40642000,-40642000,-3355000,33588000,33588000,33588000,87602000,269185000,71104000,0.12503,0.07876,0.04656,0.02636,1.78281,1.62029,0.76654,0.17791,0.30858,0.30858,3.918,6.62697,0.55014,0.0296,0.05276,2.20697,3.05369
"9","2012_Q2",19.3592063492063,"Up",497140000,-442922000,-414749000,-25544000,-2629000,54218000,-2821000,-3167000,346000,51397000,51397000,-20302000,31095000,31095000,31095000,31095000,54219000,54219000,228398000,228398000,45283000,23381000,2252000,327900000,1190137000,56155000,36692000,1246292000,1574192000,174142000,54677000,119465000,38040000,38040000,251268000,219117000,216193000,121357000,94836000,435310000,686578000,143019000,744595000,887614000,887614000,1574192000,31095000,25544000,-13269000,34957000,78327000,-88765000,-88765000,-11193000,-21631000,-21631000,-21631000,79762000,258203000,46256000,0.10906,0.06255,0.03503,0.01975,1.48757,1.30498,0.77351,0.16402,0.24058,0.24058,3.84642,6.86755,0.35789,0.02283,0.03396,2.55741,3.76229
"10","2012_Q3",19.1739682539683,"Down",553131000,-470543000,-441354000,-26524000,-2665000,82588000,-3527000,-2652000,-875000,79061000,79061000,-31229000,47832000,47832000,47832000,47832000,11015000,11015000,241433000,241433000,48710000,25369000,2573000,301158000,1282509000,55977000,36514000,1338486000,1639644000,164854000,62540000,102314000,39804000,39804000,244454000,228147000,231597000,133880000,97717000,459744000,704198000,143019000,792427000,935446000,935446000,1639644000,47832000,26524000,11775000,-20036000,66095000,-118156000,-118156000,8857000,-43204000,-43204000,-43204000,109112000,267943000,2149000,0.14931,0.08647,0.05113,0.02917,0.0449299999999999,1.23196,0.75279,0.16342,0.37008,0.37008,4.27963,7.23763,0.01663,0.03333,0.0015,2.35472,3.11096
