"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q1",32.9108333333333,"Up",2587768000,-675455000,1912313000,-805505000,-365791000,-439714000,1106808000,-84325000,-85990000,1665000,1022483000,1022483000,-263123000,759360000,759360000,3615000,762975000,762975000,1862250000,1803694000,58556000,1751388000,1751388000,1744982000,797727000,450784000,6156347000,1100259000,719836000,13263396000,11736393000,334977000,15083491000,21239838000,2965245000,1327339000,1624503000,1169490000,4237897000,7054555000,403664000,372942000,7458219000,11696116000,5643463000,3704744000,-45615000,9302592000,241130000,9543722000,21239838000,759360000,73425000,67619000,-194392000,706012000,-269825000,320313000,50124000.0000005,-787566000,-84264000,361633000,-510197000,245939000,245939000,7128000,253067000,1180233000,8224045000,979139000,0.73898,0.42771,0.29484,0.07995,0.03592,1.28332,1.45269,1.22553,0.3872,0.50237,0.46835,1.70388,6.12515,0.6447,4,0.04199,0.05388,5.39029,5.74788
"13","2013_Q2",41.0059375,"Up",2531635000,-634448000,1897187000,-871928000,-374296000,-497632000,1025259000,-85111000,-81787000,-3324000,940148000,940148000,-222438000,717710000,717710000,4476000,722186000,722186000,1942776000,1863972000,78804000,1945189000,1945189000,1799618000,975514000,545828000,6663097000,1125794000,688254000,13734523000,12077548000,329155000,15548571000,22211668000,3223035000,1356372000,1847423000,942811000,4290215000,7054796000,474184000,323577000,7528980000,11819195000,5829886000,4301539000,20806000,10152231000,240242000,10392473000,22211668000,717710000,74326000,113513000,-233448000,672101000,-38854000,10243000,-407256000,-347916000,3810000,145105000,-199001000,65844000,65844000,-5566000,60278000,1099585000,7997607000,1049721000,0.74939,0.40498,0.28526,0.06949,0.03251,1.45353,1.55309,1.13728,0.36006,0.47469,0.43373,1.66405,6.67308,0.68998,6,0.03828,0.05565,5.50647,5.90566
"14","2013_Q3",47.01765625,"Up",2767394000,-684663000,2082731000,-928893000,-404991000,-523902000,1153838000,-78239000,-78008000,-231000,1075599000,1075599000,-307981000,767618000,767618000,4987000,772605000,772605000,2287370000,2202176000,85194000,1895913000,1895913000,1935147000,954099000,553315000,7072529000,1135993000,688428000,13727424000,12056002000,327598000,15551845000,22624374000,3336794000,1390641000,1908179000,1488225000,4937138000,5849552000,494300000,347217000,6343852000,11280990000,5995790000,5065839000,30371000,1.1092e+10,251384000,11343384000,22624374000,767618000,73177000,58152000,54057000,953004000,-45276000,-10201000,-55477000,-1787659000,60293000,1169718000,-557648000,339879000,339879000,-1675000,338204000,1227015000,7337777000,1543777000,0.7526,0.41694,0.27918,0.06811,0.03415,1.99815,1.43252,0.9945,0.32433,0.50597,0.45408,1.81234,7.26403,1.011,6,0.04029,0.08051,4.11601,4.37705
"15","2013_Q4",54.77859375,"Up",2782833000,-681868000,2100965000,-953104000,-406860000,-546244000,1147861000,-68172000,-73949000,5777000,1079689000,1079689000,-294473000,785216000,785216000,3390000,788606000,788606000,2090494000,2010736000,79758000,1971926000,1971926000,1946048000,959593000,611111000,6968061000,1133032000,665063000,13702272000,12034457000,316920000,15500367000,22468428000,3310467000,1350402000,1949414000,1457379000,4895124000,5856093000,524738000,380680000,6380831000,11275955000,5190345000,5735335000,-42070000,10883610000,308863000,11192473000,22468428000,785216000,69242000,89974000,-191336000,753096000,-37180000,29148000,-8032000,-89207000,-5691000,-847335000,-942233000,-197169000,-197169000,5729000,-191440000,1217103000,7313472000,1283060000,0.75497,0.41248,0.28338,0.07046,0.0351,1.627,1.42347,1.00746,0.3255,0.51469,0.46323,1.81624,7.10329,0.8374,6,0.04144,0.06742,4.29132,4.55018
"16","2014_Q1",61.6995081967213,"Up",3120138000,-858021000,2262117000,-1065075000,-512853000,-552222000,1197042000,-84478000,-73256000,-11222000,1112564000,1112564000,-326108000,786456000,786456000,5147000,791603000,791603000,2.132e+09,2.113e+09,1.9e+07,2.182e+09,2.182e+09,1.697e+09,9.86e+08,5.64e+08,6.997e+09,1.166e+09,4.39e+08,1.3977e+10,1.19e+10,7.18e+08,1.5582e+10,2.2579e+10,3.599e+09,1.256e+09,2.332e+09,2.697e+09,6.407e+09,3.939e+09,4.88e+08,4.05e+08,4.427e+09,1.0834e+10,5.388e+09,6.106e+09,-1.24e+08,1.137e+10,3.75e+08,1.1745e+10,2.2579e+10,786456000,128255000,3360999.99999999,-191273000,726799000,-68690000,285810000,216765000,-2215218000,-327412000,1697512000,-845118000,98446000,98446000,3512000,101958000,1325297000,6.636e+09,1391442000,0.72501,0.38365,0.25371,0.0674,0.03506,1.75775,1.09209,0.92244,0.2939,0.51555,0.46264,2.03206,7.40495,0.90621,4,0.04195,0.07374,3.39848,3.76261
"17","2014_Q2",61.2352380952381,"Down",4.999e+09,-8.13e+08,4.186e+09,-1.143e+09,-5.48e+08,-5.95e+08,3.043e+09,-9.4e+07,-7.6e+07,-1.8e+07,2.949e+09,2.949e+09,-7.26e+08,2.223e+09,2.223e+09,4e+06,2.227e+09,2.227e+09,6469030000,6404153000,64877000,3236195000,3236195000,2140228000,1125176000,575223000,12970629000,1303029000,389871000,13414163000,11707830000,395806000,15107063000,28077692000,3931173000,1234507000,2543713000,1871811000,5914776000,7932032000,528690000,446730000,8460722000,14375498000,5748112000,7734979000,-95769000,13387322000,314872000,13702194000,28077692000,2.223e+09,2.41e+08,8.6e+07,-9.82e+08,1.568e+09,-1.64e+08,3e+06,-1.61e+08,2.549e+09,-3.41e+08,6.76e+08,2.884e+09,4.291e+09,4.291e+09,0,4.291e+09,3.284e+09,9803843000,2.864e+09,0.83737,0.60872,0.44549,0.16253,0.07932,1.28604,2.19292,1.04914,0.34917,1.44893,1.3256,3.25244,8.71003,1.86337,7,0.09266,0.11916,1.01547,1.0959
"18","2014_Q3",77.03296875,"Up",6.535e+09,-9.25e+08,5.61e+09,-1.198e+09,-6.14e+08,-5.84e+08,4.412e+09,-1.06e+08,-1.02e+08,-4e+06,4.306e+09,4.306e+09,-6.56e+08,3.65e+09,3.65e+09,6e+06,3.656e+09,3.656e+09,8799068000,8730522000,68546000,3436711000,3436711000,2068753000,1194807000,608867000,15499339000,1380776000,782315000,13543734000,11508319000,710302000,15706825000,31206164000,4529634000,1162307000,3270025000,1572079000,6227997000,7932536000,616289000,548309000,8548825000,14776822000,5932513000,10199576000,-41460000,16090629000,338713000,16429342000,31206164000,3.65e+09,2.66e+08,5.7e+07,2.12e+08,4.185e+09,-9.1e+07,-3.96e+08,-4.87e+08,-1.022e+09,-1.146e+09,7.97e+08,-1.371e+09,2.327e+09,2.327e+09,-9.31322574615479e-10,2.327e+09,4.678e+09,9504615000,5.455e+09,0.85845,0.67513,0.55945,0.22253,0.11716,1.49207,2.48866,0.89942,0.30457,2.38487,2.19712,4.26288,10.49617,3.55838,9,0.1377,0.20546,0.15082,0.15992
"19","2014_Q4",81.36390625,"Up",6.042e+09,-9.87e+08,5.055e+09,-1.575e+09,-9.45e+08,-6.3e+08,3.48e+09,-1.09e+08,-1.04e+08,-5e+06,3.371e+09,3.371e+09,-6.47e+08,2.724e+09,2.724e+09,7e+06,2.731e+09,2.731e+09,6316326000,6209060000,107266000,2850367000,2850367000,1909584000,1485754000,833919000,12562031000,1509796000,1375400000,13397166000,11306547000,755338000,16282362000,28844393000,4460990000,1182917000,3234292000,1477082000,6054952000,7933040000,992791000,927358000,8925831000,14980783000,2144606000,11247655000,173962000,13566223000,297387000,13863610000,28844393000,2.724e+09,2.68e+08,1.08e+08,9.44e+08,4.044e+09,-1.35e+08,-6.35e+08,-7.7e+08,-4.22e+08,-1.586e+09,-3.764e+09,-5.772e+09,-2.498e+09,-2.498e+09,-2.4e+07,-2.522e+09,3.748e+09,9410122000,5.204e+09,0.83664,0.57597,0.452,0.19699,0.09468,1.90553,2.07467,1.08058,0.32624,1.80383,1.6683,3.99075,8.96052,3.43725,8,0.11254,0.21445,0.82545,0.88902
"20","2015_Q1",79.8844262295082,"Down",7.314e+09,-1.063e+09,6.251e+09,-1.921e+09,-8.76e+08,-1.045e+09,4.33e+09,-1e+08,-1.3e+08,3e+07,4.23e+09,4.23e+09,-7.68e+08,3.462e+09,3.462e+09,2.5e+07,3.487e+09,3.487e+09,1.0128e+10,1.0027e+10,1.01e+08,4.635e+09,4.635e+09,1.386e+09,1.565e+09,1.057e+09,1.7714e+10,1.674e+09,1.598e+09,1.3678e+10,1.1073e+10,1.197e+09,1.695e+10,3.4664e+10,5.144e+09,9.55e+08,4.189e+09,4.83e+08,5.761e+09,1.1921e+10,1.163e+09,1.163e+09,1.3084e+10,1.8845e+10,2.393e+09,1.2732e+10,3.01e+08,1.5426e+10,3.93e+08,1.5819e+10,3.4664e+10,3.462e+09,2.75e+08,-2.4e+07,-6.92e+08,3.021e+09,-1.67e+08,-2.38e+08,-4.05e+08,2.048e+09,-1.945e+09,1.131e+09,1.234e+09,3.85e+09,3.85e+09,-3.2e+07,3.818e+09,4.605e+09,1.2404e+10,4.514e+09,0.85466,0.59202,0.47676,0.22043,0.10059,1.29452,3.07481,1.19129,0.35784,2.31848,2.16988,4.86303,10.25665,3.00133,7,0.11866,0.15361,0.49425,0.52564
"21","2015_Q2",86.0336507936508,"Up",7.594e+09,-8.82e+08,6.712e+09,-1.341e+09,-6.45e+08,-6.96e+08,5.371e+09,-1.32e+08,-1.53e+08,2.1e+07,5.239e+09,5.239e+09,-9.07e+08,4.332e+09,4.332e+09,1e+06,4.333e+09,4.333e+09,1.1294e+10,1.0635e+10,6.59e+08,4.835e+09,4.835e+09,1.908e+09,2.025e+09,6.09e+08,2.0062e+10,1.765e+09,3.22e+09,1.3274e+10,1.0867e+10,1.03e+09,1.8259e+10,3.8321e+10,6.795e+09,1.011e+09,5.686e+09,4.42e+08,7.428e+09,1.1921e+10,1.384e+09,1.343e+09,1.3305e+10,2.0733e+10,2.725e+09,1.3916e+10,5.39e+08,1.718e+10,4.08e+08,1.7588e+10,3.8321e+10,4.332e+09,2.69e+08,-3.2e+07,1.132e+09,5.701e+09,-1.24e+08,-2.175e+09,-2.299e+09,-1.99e+08,-2.883e+09,3.6e+08,-2.722e+09,6.8e+08,6.8e+08,-7.2e+07,6.08e+08,5.64e+09,1.2363e+10,7.555e+09,0.88386,0.70727,0.57058,0.24636,0.11307,1.7436,2.70086,1.17882,0.32262,2.91196,2.76163,5.10349,11.5457,5.07728,8,0.13828,0.2411,0.18954,0.19903
