"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2015_Q3",87.75578125,"Up",8.244e+09,-9.98e+08,7.246e+09,-1.63e+09,-8.12e+08,-8.18e+08,5.616e+09,-1.05e+08,-1.4e+08,3.5e+07,5.511e+09,5.511e+09,-1.014e+09,4.497e+09,4.497e+09,-5e+06,4.492e+09,4.492e+09,8.611e+09,7.417e+09,1.194e+09,5.331e+09,5.331e+09,2.039e+09,2.112e+09,7.26e+08,1.8093e+10,1.899e+09,6.056e+09,1.3119e+10,1.066e+10,1.11e+09,2.1074e+10,3.9167e+10,8.072e+09,1.571e+09,6.145e+09,3.52e+08,8.925e+09,1.1922e+10,1.686e+09,1.65e+09,1.3608e+10,2.2533e+10,2e+06,1.6038e+10,2.47e+08,1.6287e+10,3.47e+08,1.6634e+10,3.9167e+10,4.497e+09,2.73e+08,-1.3e+07,9.01e+08,5.658e+09,-1.71e+08,-3.381e+09,-3.552e+09,-4.51e+08,-8.16e+08,-3.441e+09,-5.341e+09,-3.235e+09,-3.235e+09,1.7e+07,-3.218e+09,5.889e+09,1.2274e+10,7.633e+09,0.87894,0.68122,0.54488,0.27005,0.11469,1.69924,2.02723,1.35464,0.31338,3.05163,2.91688,5.60054,11.06454,5.18546,5,0.16752,0.24949,0.62201,0.65224
"23","2015_Q4",82.55171875,"Down",8.295e+09,-1.064e+09,7.231e+09,-1.646e+09,-9.03e+08,-7.43e+08,5.585e+09,-1.13e+08,-1.65e+08,5.2e+07,5.472e+09,5.472e+09,-8.8e+08,4.592e+09,4.592e+09,8e+06,4.6e+09,4.6e+09,1.5714e+10,1.3965e+10,1.749e+09,6.105e+09,6.105e+09,1.988e+09,2.103e+09,1.209e+09,2.591e+10,2.143e+09,9.4e+09,1.3184e+10,1.0454e+10,1.267e+09,2.4727e+10,5.0637e+10,8.673e+09,1.239e+09,7.434e+09,3.31e+08,9.36e+09,2.1894e+10,1.439e+09,1.409e+09,2.3333e+10,3.2693e+10,2.86e+08,1.6961e+10,1.67e+08,1.7414e+10,5.3e+08,1.7944e+10,5.0637e+10,4.592e+09,2.78e+08,-7.7e+07,-6.97e+08,4.096e+09,-2.86e+08,-3.9e+09,-4.186e+09,9.789e+09,-2.971e+09,4.53e+08,6.644e+09,6.554e+09,6.554e+09,-6e+06,6.548e+09,5.863e+09,2.2225e+10,5.76e+09,0.87173,0.6733,0.55455,0.25635,0.09084,1.25217,2.76816,1.82195,0.43891,3.14422,3.06055,5.66986,11.90294,3.93712,5,0.12562,0.13843,1.11052,1.1658
"24","2016_Q1",71.8629508196721,"Down",8.506e+09,-1.062e+09,7.444e+09,-1.823e+09,-1.066e+09,-7.57e+08,5.621e+09,-1.84e+08,-2.3e+08,4.6e+07,5.437e+09,5.437e+09,-7.52e+08,4.685e+09,4.685e+09,-2e+06,4.683e+09,4.683e+09,1.4607e+10,1.2851e+10,1.756e+09,5.854e+09,5.854e+09,1.955e+09,2.346e+09,1.518e+09,2.4762e+10,2.276e+09,1.1601e+10,1.3077e+10,1.0247e+10,1.334e+09,2.6954e+10,5.1716e+10,8.468e+09,1.178e+09,7.29e+09,9.82e+08,9.89e+09,2.1073e+10,1.64e+09,1.64e+09,2.2713e+10,3.2603e+10,4.45e+08,1.8001e+10,8.8e+07,1.8534e+10,5.79e+08,1.9113e+10,5.1716e+10,4.685e+09,2.78e+08,8.8e+07,-1.77e+08,4.874e+09,-1.66e+08,-2.272e+09,-2.438e+09,-2.34e+08,-3.013e+09,3.17e+08,-3.544e+09,-1.108e+09,-1.108e+09,-6e+06,-1.114e+09,5.899e+09,2.2055e+10,6.308e+09,0.87515,0.66083,0.55055,0.24502,0.09055,1.347,2.50374,1.7058,0.42646,3.26797,3.18139,5.9358,12.93371,4.40195,5,0.12374,0.14736,1.26259,1.32503
"25","2016_Q2",71.06015625,"Down",7.794e+09,-1.193e+09,6.601e+09,-1.95e+09,-6.85e+08,-1.265e+09,4.651e+09,-1.49e+08,-2.3e+08,8.1e+07,4.502e+09,4.502e+09,-9.35e+08,3.567e+09,3.567e+09,-1e+06,3.566e+09,3.566e+09,8.319e+09,6.315e+09,2.004e+09,6.163e+09,6.163e+09,1.88e+09,2.905e+09,2.075e+09,1.9267e+10,2.431e+09,1.3003e+10,1.3064e+10,9.923e+09,1.677e+09,2.8498e+10,4.7765e+10,8.636e+09,9.45e+08,7.691e+09,1.745e+09,1.091e+10,2.1077e+10,1.759e+09,1.759e+09,2.2836e+10,3.3746e+10,5.17e+08,1.3045e+10,-1.64e+08,1.3398e+10,6.21e+08,1.4019e+10,4.7765e+10,3.567e+09,2.83e+08,2.85e+08,-5e+06,4.13e+09,-1.77e+08,-1.932e+09,-2.109e+09,-1.26e+08,-7.908e+09,8e+06,-8.613e+09,-6.592e+09,-6.592e+09,5.6e+07,-6.536e+09,4.934e+09,2.2822e+10,5.687e+09,0.84693,0.59674,0.45753,0.25437,0.07466,1.59478,1.76599,2.40716,0.4778,2.57845,2.5255,5.63557,9.68764,4.11208,4,0.10759,0.14733,2.9394,3.11825
"26","2016_Q3",65.42,"Down",7.776e+09,-8.64e+08,6.912e+09,-2.374e+09,-8.9e+08,-1.484e+09,4.538e+09,-1.39e+08,-2.27e+08,8.8e+07,4.399e+09,4.399e+09,-9.02e+08,3.497e+09,3.497e+09,-4.65661287307739e-10,3.497e+09,3.497e+09,8.752e+09,6.485e+09,2.267e+09,5.752e+09,5.752e+09,1.862e+09,1.987e+09,1.152e+09,1.8353e+10,2.599e+09,1.5864e+10,1.3164e+10,9.713e+09,1.846e+09,3.1627e+10,4.998e+10,9.399e+09,1.122e+09,8.277e+09,7e+08,1.0444e+10,2.1427e+10,1.994e+09,1.994e+09,2.3421e+10,3.3865e+10,6.33e+08,1.4949e+10,-4.6e+07,1.5536e+10,5.79e+08,1.6115e+10,4.998e+10,3.497e+09,2.84e+08,13999999.9999999,1.19e+09,4.985e+09,-2.04e+08,-3.08e+09,-3.284e+09,-7.71e+08,-9.73e+08,8.09e+08,-1.561e+09,139999999.999999,139999999.999999,3e+07,169999999.999999,4.822e+09,2.2127e+10,6.71e+09,0.88889,0.58359,0.44972,0.217,0.06997,1.91879,1.75728,2.10146,0.44272,2.61948,2.58081,5.82472,11.63745,5.02622,5,0.10247,0.16677,2.77375,2.94733
"27","2016_Q4",60.2257142857143,"Down",7.5e+09,-1.129e+09,6.371e+09,-1.972e+09,-8.31e+08,-1.141e+09,4.399e+09,-1.23e+08,-2.42e+08,1.19e+08,4.276e+09,4.276e+09,-9.51e+08,3.325e+09,3.325e+09,5e+06,3.33e+09,3.33e+09,1.2266e+10,9.809e+09,2.457e+09,5.075e+09,5.075e+09,1.9e+09,2.184e+09,1.422e+09,2.1425e+10,2.714e+09,1.9345e+10,1.3125e+10,9.386e+09,2.086e+09,3.5184e+10,5.6609e+10,1.0012e+10,1.052e+09,8.96e+09,7e+08,1.1073e+10,2.6371e+10,1.805e+09,1.805e+09,2.8176e+10,3.9249e+10,3.22e+08,1.6654e+10,-1.08e+08,1.6868e+10,4.92e+08,1.736e+10,5.6609e+10,3.325e+09,2.99e+08,2.57e+08,5.12e+08,4.393e+09,-1.98e+08,-3.719e+09,-3.917e+09,4.939e+09,-9.4e+08,-5.79e+08,2.797e+09,3.273e+09,3.273e+09,5.1e+07,3.324e+09,4.698e+09,2.7071e+10,5.963e+09,0.84947,0.58653,0.444,0.19182,0.05882,1.79069,1.93489,2.26089,0.47821,2.51891,2.48693,5.67322,12.75946,4.51059,4,0.0855,0.12897,3.15134,3.36554
"28","2017_Q1",57.3562903225806,"Down",7.32e+09,-1.075e+09,6.245e+09,-2.2e+09,-9.92e+08,-1.208e+09,4.045e+09,-1.25e+08,-2.65e+08,1.4e+08,3.92e+09,3.92e+09,-8.21e+08,3.099e+09,3.099e+09,9e+06,3.108e+09,3.108e+09,1.1895e+10,8.229e+09,3.666e+09,4.514e+09,4.514e+09,1.587e+09,1.592e+09,1.592e+09,1.9588e+10,2.865e+09,2.0485e+10,1.4039e+10,8.971e+09,2.637e+09,3.7389e+10,5.6977e+10,9.218e+09,1.206e+09,8.012e+09,0,9.218e+09,2.6346e+10,2.05e+09,2.05e+09,2.8396e+10,3.7614e+10,4.55e+08,1.8154e+10,2.78e+08,1.8887e+10,4.76e+08,1.9363e+10,5.6977e+10,3.099e+09,2.92e+08,1.05e+08,-3.35e+08,3.161e+09,-1.69e+08,-2.506e+09,-2.675e+09,-729999999.999999,-9.72e+08,3.51e+08,-1.97e+09,-1.484e+09,-1.484e+09,-9.6e+07,-1.58e+09,4.337e+09,2.6346e+10,4.654e+09,0.85314,0.5526,0.42459,0.16051,0.05455,1.49743,2.12497,1.94257,0.4624,2.3617,2.34389,5.56231,14.35182,3.53647,4,0.07804,0.09745,3.33203,3.57256
"29","2017_Q2",54.6957142857143,"Down",6.505e+09,-9.57e+08,5.548e+09,-1.781e+09,-8.5e+08,-9.31e+08,3.767e+09,-1.5e+08,-2.61e+08,1.11e+08,3.617e+09,3.617e+09,-9.18e+08,2.699e+09,2.699e+09,3e+06,2.702e+09,2.702e+09,1.4115e+10,1.0285e+10,3.83e+09,4.034e+09,4.034e+09,1.474e+09,1.801e+09,1.801e+09,2.1424e+10,2.922e+09,1.9902e+10,1.3453e+10,8.761e+09,2.312e+09,3.6277e+10,5.7701e+10,8.282e+09,9.44e+08,7.338e+09,-142396387.27202,8.282e+09,2.6321e+10,2.181e+09,2.181e+09,2.8502e+10,3.6784e+10,6.17e+08,1.9564e+10,2.6e+08,2.0441e+10,4.76e+08,2.0917e+10,5.7701e+10,2.699e+09,2.94e+08,1.86e+08,-2.54e+08,2.925e+09,-1.18e+08,4.25e+08,3.07e+08,-3e+07,-4.69e+08,-5.8e+07,-1.244e+09,1.988e+09,1.988e+09,6.8e+07,2.056e+09,4.061e+09,2.6321e+10,4.607e+09,0.85288,0.57909,0.41537,0.12918,0.04683,1.70503,2.58681,1.75857,0.45616,2.06575,2.04697,4.97324,15.62768,3.52217,6,0.06858,0.09322,3.00566,3.24024
"30","2017_Q3",63.3296825396825,"Up",7.141e+09,-1.126e+09,6.015e+09,-1.761e+09,-8.97e+08,-8.64e+08,4.254e+09,-1.39e+08,-2.69e+08,1.3e+08,4.115e+09,4.115e+09,-1.046e+09,3.069e+09,3.069e+09,4e+06,3.073e+09,3.073e+09,2.1096e+10,8.712e+09,1.2384e+10,4.478e+09,4.478e+09,1.408e+09,1.61e+09,1.61e+09,2.8592e+10,3.012e+09,1.548e+10,1.3179e+10,8.551e+09,2.319e+09,3.1671e+10,6.0263e+10,8.492e+09,8.19e+08,7.673e+09,546582693.922121,8.492e+09,2.6296e+10,2.384e+09,2.384e+09,2.868e+10,3.7172e+10,7.34e+08,2.1823e+10,1.2e+08,2.2677e+10,4.14e+08,2.3091e+10,6.0263e+10,3.069e+09,2.98e+08,3.32e+08,-1.73e+08,3.526e+09,-1.23e+08,-4.123e+09,-4.246e+09,-29999999.9999995,-1.07e+08,-62999999.9999999,-8.8e+08,-1.6e+09,-1.6e+09,2.7e+07,-1.573e+09,4.552e+09,2.6296e+10,5.302e+09,0.84232,0.59571,0.43033,0.13308,0.05099,1.72535,3.36693,1.6098,0.43635,2.35119,2.33333,5.46366,17.35042,4.05662,5,0.07249,0.10241,1.14236,1.22238
"31","2017_Q4",63.2838095238095,"Down",6.512e+09,-1.032e+09,5.48e+09,-1.668e+09,-8.79e+08,-7.89e+08,3.812e+09,-1.41e+08,-2.91e+08,1.5e+08,3.671e+09,3.671e+09,-9.59e+08,2.712e+09,2.712e+09,6e+06,2.718e+09,2.718e+09,2.8387e+10,1.1508e+10,1.6879e+10,4.122e+09,4.122e+09,1.144e+09,1.664e+09,1.664e+09,3.5317e+10,3.1e+09,1.2973e+10,1.3272e+10,8.342e+09,2.611e+09,2.9345e+10,6.4662e+10,7.85e+09,6.96e+08,7.154e+09,1.747e+09,9.597e+09,2.7515e+10,2.296e+09,2.296e+09,2.9811e+10,3.9408e+10,9.07e+08,2.3689e+10,2.49e+08,2.4845e+10,4.09e+08,2.5254e+10,6.4662e+10,2.712e+09,2.97e+08,1.4e+08,-4.55e+08,2.694e+09,-1.29e+08,-1.985e+09,-2.114e+09,2.961e+09,-8.9e+07,-2e+07,2.17e+09,2.75e+09,2.75e+09,4.6e+07,2.796e+09,4.109e+09,2.9262e+10,4.484e+09,0.84152,0.58538,0.41738,0.10763,0.04203,1.64974,3.68,1.56047,0.45254,2.08116,2.06065,4.98622,19.02374,3.43338,5,0.05985,0.07893,0.21295,0.22954
"32","2018_Q1",66.7113114754098,"Up",5.949e+09,-1.256e+09,4.693e+09,-2.402e+09,-1.252e+09,-1.15e+09,2.291e+09,-1.65e+08,-2.97e+08,1.32e+08,2.126e+09,2.126e+09,-5.962e+09,-3.836e+09,-3.836e+09,-2.9e+07,-3.865e+09,-3.865e+09,2.551e+10,7.588e+09,1.7922e+10,3.851e+09,3.851e+09,8.01e+08,1.661e+09,1.661e+09,3.1823e+10,3.295e+09,1.1184e+10,2.3981e+10,1.71e+10,2.722e+09,3.846e+10,7.0283e+10,8.888e+09,8.14e+08,8.074e+09,2.747e+09,1.1635e+10,3.0795e+10,7.352e+09,7.352e+09,3.8147e+10,4.9782e+10,1.265e+09,1.9012e+10,1.65e+08,2.0442e+10,5.9e+07,2.0501e+10,7.0283e+10,-3.836e+09,3.97e+08,2.02e+08,5.99e+09,2.753e+09,-2.2e+08,6.3e+08,-1.0016e+10,4.273e+09,-5.5e+07,-1.89e+08,3.347e+09,-3.916e+09,-3.916e+09,-4000000.00000001,-3.92e+09,2.688e+09,3.3542e+10,1.442e+10,0.78887,0.38511,-0.64969,-0.18853,-0.05499,-3.73092,2.73511,2.42827,0.47724,-2.95715,-2.92803,4.55164,15.6404,11.0329,5,-0.05184,0.23487,2.9881,3.50589
"33","2018_Q2",59.7028125,"Down",5.088e+09,-1.001e+09,4.087e+09,-1.934e+09,-9.97e+08,-9.37e+08,2.153e+09,-1.2e+08,-2.9e+08,1.7e+08,2.033e+09,2.033e+09,-4.94e+08,1.539e+09,1.539e+09,-1e+06,1.538e+09,1.538e+09,2.3998e+10,7.643e+09,1.6355e+10,3.775e+09,3.775e+09,8.85e+08,1.6e+09,1.6e+09,3.0258e+10,3.415e+09,8.104e+09,2.3604e+10,1.6803e+10,2.642e+09,3.5123e+10,6.5381e+10,8.173e+09,7.11e+08,7.462e+09,2.497e+09,1.067e+10,2.6557e+10,7.503e+09,7.503e+09,3.406e+10,4.473e+10,1.565e+09,1.9196e+10,-1.7e+08,2.0591e+10,6e+07,2.0651e+10,6.5381e+10,1.539e+09,3.57e+08,3.04e+08,7e+07,2.27e+09,-2.12e+08,4.566e+09,4.354e+09,-4.5e+09,-9.28e+08,-4.14e+08,-6.595e+09,2.9e+07,2.9e+07,2.6e+07,5.5e+07,2.51e+09,2.9054e+10,2.862e+09,0.80326,0.42315,0.30228,0.07448,0.02352,1.86086,2.8358,2.166,0.44438,1.17674,1.16515,3.89288,15.7544,2.18975,5,0.04005,0.05003,2.01434,2.34835
"34","2018_Q3",64.36,"Up",5.648e+09,-1.196e+09,4.452e+09,-2.172e+09,-9.8e+08,-1.192e+09,2.28e+09,-1.94e+08,-2.66e+08,7.2e+07,2.086e+09,2.086e+09,-267000000.000001,1.819e+09,1.819e+09,-2e+06,1.817e+09,1.817e+09,2.5917e+10,1.3234e+10,1.2683e+10,3.541e+09,3.541e+09,8.59e+08,2.411e+09,2.411e+09,3.2728e+10,3.659e+09,5.739e+09,2.3229e+10,1.6496e+10,2.609e+09,3.2627e+10,6.5355e+10,7.914e+09,6.23e+08,7.291e+09,2.998e+09,1.0912e+10,2.6062e+10,6.647e+09,6.647e+09,3.2709e+10,4.3621e+10,1.845e+09,1.9825e+10,2e+06,2.1672e+10,6.2e+07,2.1734e+10,6.5355e+10,1.819e+09,3.56e+08,3.15e+08,-9.17e+08,1.573e+09,-2.97e+08,5.538e+09,5.241e+09,9.5367431640625e-07,-4.02e+08,-10000000.0000001,-1.152e+09,5.662e+09,5.662e+09,-7.1e+07,5.591e+09,2.636e+09,2.906e+10,1.689e+09,0.78824,0.40368,0.32171,0.0836,0.0278,0.92954999999999,2.99927,2.00704,0.44465,1.39985,1.38914,4.35131,16.69646,1.30123,4,0.04452,0.0294,1.19234,1.37851
"35","2018_Q4",60.0222222222222,"Down",5.596e+09,-1.086e+09,4.51e+09,-1.887e+09,-9.48e+08,-9.39e+08,2.623e+09,4.1e+07,-2.64e+08,3.05e+08,2.664e+09,2.664e+09,-5.65e+08,2.099e+09,2.099e+09,-2e+06,2.097e+09,2.097e+09,2.8466e+10,1.4569e+10,1.3897e+10,3.465e+09,3.465e+09,8.16e+08,2.171e+09,2.171e+09,3.4918e+10,3.791e+09,2.378e+09,2.3218e+10,1.6314e+10,2.787e+09,2.9387e+10,6.4305e+10,7.369e+09,5.8e+08,6.789e+09,2.747e+09,1.0116e+10,2.457e+10,6.612e+09,6.612e+09,3.1182e+10,4.1298e+10,2.119e+09,2.0706e+10,3.6e+07,2.2861e+10,1.46e+08,2.3007e+10,6.4305e+10,2.099e+09,3.58e+08,7.5e+07,-3.2e+08,2.212e+09,-1.67e+08,2.192e+09,2.025e+09,-1.75e+09,-3.69e+08,-4e+07,-2.901e+09,1.336e+09,1.336e+09,-1e+06,1.335e+09,2.981e+09,2.7317e+10,3.059e+09,0.80593,0.46873,0.37473,0.09115,0.03261,1.45875,3.45176,1.79502,0.4248,1.61806,1.60444,4.3179,17.63966,2.36034,5,0.04986,0.05373,-0.38544,-0.43805
"36","2019_Q1",57.5819672131148,"Down",5.795e+09,-1.57e+09,4.225e+09,-1.983e+09,-1.131e+09,-8.52e+08,2.242e+09,-1.28e+08,-2.57e+08,1.29e+08,2.114e+09,1.016e+09,-1.013e+09,3000000.00000024,3000000.00000024,4.65661287307739e-10,2999999.99999952,2999999.99999952,3.0089e+10,1.794e+10,1.2149e+10,3.327e+09,3.327e+09,8.14e+08,1.606e+09,1.606e+09,3.5836e+10,4.006e+09,1.423e+09,2.241e+10,1.5738e+10,2.555e+09,2.7839e+10,6.3675e+10,7.857e+09,7.9e+08,7.067e+09,2.748e+09,1.0605e+10,2.4574e+10,6.962e+09,6.962e+09,3.1536e+10,4.2141e+10,2.283e+09,1.9024e+10,8e+07,2.1387e+10,1.47e+08,2.1534e+10,6.3675e+10,3000000.00000024,3.58e+08,1.756e+09,2.28e+08,2.345e+09,-2.48e+08,3.173e+09,2.735e+09,0,-9.12e+08,-2.2e+07,-1.67e+09,3.41e+09,3.41e+09,-3.9e+07,3.371e+09,2.6e+09,2.7322e+10,3.593e+09,0.72908,0.38689,0.00052000000000002,0.000139999999999987,4.99999999999945e-05,1197.66667,3.37916,1.95695,0.42909,0.00231999999999966,0.00231000000000003,4.48877,16.56623,2.78311,7,0.01324,0.06437,-1.06423,-1.23417
"37","2019_Q2",57.5463492063492,"Down",5.281e+09,-9.57e+08,4.324e+09,-2.087e+09,-1.03e+09,-1.057e+09,2.237e+09,1.13e+08,-2.54e+08,3.67e+08,2.35e+09,2.35e+09,-3.82e+08,1.968e+09,1.968e+09,7e+06,1.975e+09,1.975e+09,2.7904e+10,1.6927e+10,1.0977e+10,3.283e+09,3.283e+09,8.98e+08,1.939e+09,1.939e+09,3.4024e+10,4.116e+09,2.221e+09,2.2476e+10,1.5438e+10,2.921e+09,2.8813e+10,6.2837e+10,6.899e+09,5.77e+08,6.322e+09,2.498e+09,9.397e+09,2.408e+10,7.269e+09,7.269e+09,3.1349e+10,4.0746e+10,2.495e+09,1.9326e+10,1.3e+08,2.1951e+10,1.4e+08,2.2091e+10,6.2837e+10,1.968e+09,3.59e+08,1e+07,-8.93e+08,1.444e+09,-2.37e+08,1.26e+08,-1.11e+08,-7.5e+08,-7.31e+08,-6.8e+07,-2.366e+09,-1.033e+09,-1.033e+09,2e+07,-1.013e+09,2.596e+09,2.6578e+10,1.848e+09,0.81878,0.42359,0.37398,0.0894,0.03143,0.9357,3.62073,1.84446,0.42297,1.54781,1.53936,4.13871,17.20298,1.44828,7,0.04991,0.03304,-0.51079,-0.59276
"38","2019_Q3",57.724375,"Up",5.685e+09,-1e+09,4.685e+09,-2.255e+09,-1.095e+09,-1.16e+09,2.43e+09,-19999999.9999999,-2.48e+08,2.28e+08,2.41e+09,2.41e+09,-5.35e+08,1.875e+09,1.875e+09,5e+06,1.88e+09,1.88e+09,2.7183e+10,1.124e+10,1.5943e+10,3.396e+09,3.396e+09,8.84e+08,2.264e+09,2.264e+09,3.3727e+10,4.249e+09,3.051e+09,2.2183e+10,1.5152e+10,2.914e+09,2.9483e+10,6.321e+10,6.962e+09,6.17e+08,6.345e+09,1.999e+09,8.961e+09,2.4084e+10,7.414e+09,7.414e+09,3.1498e+10,4.0459e+10,2.685e+09,1.9829e+10,1.02e+08,2.2616e+10,1.35e+08,2.2751e+10,6.321e+10,1.875e+09,3.48e+08,1.47e+08,-1.49e+08,2.221e+09,-1.85e+08,-5.857e+09,-6.042e+09,-5e+08,-5.5e+08,-6999999.99999999,-1.857e+09,-5.678e+09,-5.678e+09,-9e+06,-5.687e+09,2.778e+09,2.6083e+10,2.979e+09,0.8241,0.42744,0.33069,0.08263,0.02974,1.58456999999999,3.76375,1.77834,0.41264,1.48031,1.4722,4.47638,17.80787,2.34567,8,0.04765,0.05296,-0.39597,-0.45267
"39","2019_Q4",58.051875,"Up",5.604e+09,-1.035e+09,4.569e+09,-1.791e+09,-1.052e+09,-7.39e+08,2.778e+09,-2.8e+07,-2.5e+08,2.22e+08,2.75e+09,-1.501e+09,3.33e+08,-1.168e+09,-1.168e+09,3e+06,-1.165e+09,-1.165e+09,2.2856e+10,9.474e+09,1.3382e+10,3.315e+09,3.315e+09,8.82e+08,1.308e+09,1.308e+09,2.8361e+10,4.377e+09,2.195e+09,2.4213e+10,1.4864e+10,5.232e+09,3.0785e+10,5.9146e+10,7.069e+09,6.32e+08,6.437e+09,2.498e+09,9.567e+09,2.209e+10,6.753e+09,6.753e+09,2.8843e+10,3.841e+10,2.871e+09,1.7616e+10,1.17e+08,2.0604e+10,1.32e+08,2.0736e+10,5.9146e+10,-1.168e+09,3.47e+08,3.664e+09,5.6e+07,2.899e+09,-2e+08,2.584e+09,-2.095e+09,-1.5e+09,-1.81e+08,-3e+07,-2.515e+09,-1.711e+09,-1.711e+09,-5.5e+07,-1.766e+09,3.125e+09,2.4588e+10,2.648e+09,0.81531,0.49572,-0.20789,-0.05618,-0.0197,-2.27296,2.96446,1.85233,0.41572,-0.91949,-0.91444,4.42305,16.26204,2.08998,6,-0.00693,0.05085,0.55424,0.62347
"40","2020_Q1",62.1985483870968,"Up",5.879e+09,-1.683e+09,4.196e+09,-2.303e+09,-1.204e+09,-1.099e+09,1.893e+09,8.08e+08,-2.43e+08,1.051e+09,2.701e+09,1.901e+09,7.88e+08,2.689e+09,2.689e+09,7e+06,2.696e+09,2.696e+09,2.4352e+10,1.1631e+10,1.2721e+10,3.582e+09,3.582e+09,9.22e+08,1.44e+09,1.44e+09,3.0296e+10,4.502e+09,1.488e+09,2.5341e+10,1.3786e+10,7.438e+09,3.1331e+10,6.1627e+10,7.26e+09,7.13e+08,6.547e+09,2.499e+09,9.759e+09,2.2094e+10,7.124e+09,7.124e+09,2.9218e+10,3.8977e+10,3.052e+09,1.9388e+10,8.5e+07,2.2525e+10,1.25e+08,2.265e+10,6.1627e+10,2.689e+09,3.5e+08,-6.47e+08,1.88e+08,2.58e+09,-2.03e+08,8.4e+08,431000000.000001,2.38418579101562e-07,-7.8e+07,-1.7e+07,-8.96e+08,2.115e+09,2.115e+09,4.2e+07,2.157e+09,2.243e+09,2.4593e+10,1.44e+09,0.71373,0.32199,0.45858,0.11903,0.04375,0.534119999999999,3.10442,1.72084,0.39906,2.12786,2.11617,4.64009,17.77822,1.13654,6,0.06432,0.02649,0.10745,0.12731
"41","2020_Q2",69.6453968253968,"Up",5.548e+09,-9.69e+08,4.579e+09,-2.08e+09,-1.076e+09,-1.004e+09,2.499e+09,-3.99e+08,-2.41e+08,-1.58e+08,2.1e+09,2.003e+09,-4.65e+08,1.538e+09,1.538e+09,1.3e+07,1.551e+09,1.551e+09,2.0785e+10,1.0051e+10,1.0734e+10,3.907e+09,3.907e+09,9.86e+08,1.272e+09,1.272e+09,2.695e+10,4.564e+09,3.529e+09,2.4698e+10,1.3502e+10,7.079e+09,3.2791e+10,5.9741e+10,6.88e+09,5.9e+08,6.29e+09,1.999e+09,8.879e+09,2.2098e+10,6.585e+09,6.585e+09,2.8683e+10,3.7562e+10,3.312e+09,1.8709e+10,4.6e+07,2.2067e+10,1.12e+08,2.2179e+10,5.9741e+10,1.538e+09,3.49e+08,6.5e+08,-1.101e+09,1.436e+09,-1.71e+08,-6.1e+07,-3.44e+08,-5e+08,-1.151e+09,-8.6e+07,-2.611e+09,-1.519e+09,-1.519e+09,-6.1e+07,-1.58e+09,2.848e+09,2.4097e+10,2.041e+09,0.82534,0.45043,0.27956,0.06993,0.02596,1.31593,3.03525,1.69358,0.40336,1.229,1.22126,4.3962,17.48574,1.61727,6,0.04588,0.03861,1.16292,1.32533
