"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2010_Q2",18.832380952381,"Up",41181000,-34383000,6798000,-6199000,-6199000,599000,451000,-33000,-56000,96000,388000,1050000,1270000,-341000,929000,929000,14000,943000,943000,-107672867.602234,6976915.31372636,41003077.6786641,-807582703.386669,-867275577.996512,2038912.33158883,-174783499.025032,3049717.9919533,-717688.501541265,-717688.501541265,346383492.648772,-695675584.372772,-695675584.372772,-1395152.40476211,-697070736.777534,-66442024.6124304,0,-879381432.986508,0.16508,0.01455,0.0229,-6507.74000201134,0.28829,0.2875,12.58973,-267.633657824852
"2","2010_Q3",17.76265625,"Down",52540000,-44887000,7653000,-7455000,-7455000,198000,266000,-40000,-59000,383000,-77000.0000000001,464000,1567000,-721000,846000,846000,-2000,844000,844000,-54776920.5613404,4496749.18823582,20976246.6071984,-431574222.032001,-460878146.797907,-297052.6010467,-95238499.415019,979830.795171982,-366613.100924759,-366613.100924759,185527495.589263,-370589150.623663,-370589150.623663,-541691.442857264,-371130842.066521,-31779614.7674582,0,-466381859.791905,0.14566,0.00377,0.01606,-3385.1317272068,0.25803,0.25732,16.06237,-141.942484694911
"3","2010_Q4",27.78890625,"Up",52883000,-44022000,8861000,-7620000,-7620000,1241000,136000,-40000,-56000,160000,16000,1377000,1377000,-328000,1049000,1049000,-268000,781000,781000,-21933460.2806702,2904874.59411791,8564123.30359922,-192277111.016001,-202741573.398954,-1455526.30052335,-43751249.7075095,-135084.602414009,-147806.550462379,-147806.550462379,82213747.7946314,-164279075.311832,-164279075.311832,-100845.721428632,-164379921.03326,-10682807.3837291,0,-204593429.895952,0.16756,0.02347,0.01477,-1434.2989386034,0.23876,0.23811,16.16723,-62.2697223474555
"4","2011_Q1",28.7909677419355,"Up",61360000,-51630000,9730000,-8665000,-8665000,1065000,328000,-26000,-54000,369000,-15000,1393000,1393000,-276000,1117000,1117000,-264000,853000,853000,-4596486.7602234,2014291.53137264,2059707.76786641,-60100370.3386669,-60622857.7996512,-1820508.76684112,-14533749.9025032,-545028.20080467,-31268.8501541265,-31268.8501541265,24267249.2648771,-50889358.4372772,-50889358.4372772,46384.7595237894,-50842973.6777534,51397.5387569629,-8.88178419700125e-16,-61054143.2986507,0.15857,0.01736,0.0139,-393.745686201134,0.26078,0.26006,18.75879,-18.5840807824852
"5","2011_Q2",22.9396825396825,"Down",59849000,-49696000,10153000,-8165000,-8165000,1988000,593000,-28000,-51000,422000,199000,2581000,2581000,-801000,1780000,1780000,-362000,1418000,1418000,1780000,1638000,-244000,-5453000,-2279000,-1776000,-1798000,-5e+05,13000,13000,-487000,-4564000,-4564000,19000,-4545000,3626000,0,-2802000,0.16964,0.03322,0.02369,-1.97602,0.43232,0.42983,18.24665,-0.85427
"6","2011_Q3",21.1303125,"Down",61212000,-51239000,9973000,-8318000,-8318000,1655000,418000,-20000,-45000,381000,57000,2073000,2073000,-331000,1742000,1742000,-495000,1247000,1247000,1742000,1589000,-54000,1256000,4533000,-1706000,244000,-250000,15000,15000,-4224000,552999.999999996,552999.999999996,-64000,489000,3244000,1.4210854715202e-14,3125000,0.16293,0.02704,0.02037,2.50601000000001,0.37949,0.37459,18.62812,0.950999999999999
"7","2011_Q4",19.4034920634921,"Down",65650000,-56531000,9119000,-7953000,-7953000,1166000,-162000,-2000,-38000,197000,-357000,1004000,1004000,-262000,742000,742000,-687000,55000,55000,742000,1677000,472000,-5453000,-2562000,-2224000,-2374000,-1e+05,16000,16000,-84000,-5020000,-5020000,-111000,-5131000,2843000,0,-4572000,0.1389,0.01776,0.00084,-83.12727,0.01674,0.01647,19.9787,-1.39136
"8","2012_Q1",19.4074193548387,"Up",74222000,-61304000,12918000,-9007000,-9007000,3911000,561000,-6000,-41000,246000,321000,4472000,4472000,-1146000,3326000,3326000,-628000,2698000,2698000,3326000,1715000,-373000,4011000,8679000,-3714000,-3864000,-3e+05,46000,46000,-242000,4573000,4573000,-3000,4570000,5626000,2.27373675443232e-13,7069000,0.17405,0.05269,0.03635,2.62009000000003,0.82056,0.81143,22.5736,2.14994
"9","2012_Q2",18.7463492063492,"Down",66377000,-54873000,11504000,-8208000,-8208000,3296000,-1002000,-14000,-31000,-120000,-868000,2294000,2294000,-321000,1973000,1973000,-691000,1282000,1282000,1973000,1652000,916000,-4749000,-208000,-3492000,-3492000,-4e+05,16000,16000,-719000,-4419000,-4419000,357000,-4062000,4948000,0,-2972000,0.17331,0.04966,0.01931,-2.31825,0.38919,0.38545,20.15088,-0.90225
"10","2012_Q3",19.7301587301587,"Up",65886000,-54646000,11240000,-7979000,-7979000,3261000,303000,-8000,-23000,-192000,503000,3564000,3564000,-1260000,2304000,2304000,-756000,1548000,1548000,2304000,1679000,-106000,1541000,5418000,-2797000,-2997000,-450000,48000,48000,-737000,1684000,1684000,-109000,1575000,4940000,0,4944000,0.1706,0.04949,0.0235,3.1938,0.46881,0.46486,19.95336,1.49727
"11","2012_Q4",20.5859677419355,"Up",70608000,-57556000,13052000,-8720000,-8720000,4332000,518000,-4000,-19000,-140000,662000,4850000,4850000,-1136000,3714000,3714000,-986000,2728000,2728000,3714000,1752000,-95000,-728000,4643000,-3287000,-3287000,0,10000,10000,-326000,1030000,1030000,-129000,901000,6084000,0,3205000,0.18485,0.06135,0.03864,1.17485,0.82592,0.81848,21.37693,0.97033
"12","2013_Q1",26.1671666666667,"Up",76363000,-61896000,14467000,-9013000,-9013000,5454000,-320000,14000,-8000,-619000,285000,5134000,5134000,-872000,4262000,4262000,-1027000,3235000,3235000,4262000,1726000,652000,748000,7388000,-3963000,-3963000,-1e+06,8000,8000,-1723000,1702000,1702000,121000,1823000,7180000,2.91038304567337e-11,4837000,0.18945,0.07142,0.04236,1.49521,0.98001,0.97118,23.13329,1.46531
"13","2013_Q2",33.00375,"Up",70807000,-57094000,13713000,-9120000,-9120000,4593000,-32000,-2000,-5000,-12000,-18000,4561000,4561000,-1246000,3315000,3315000,-645000,2670000,2670000,3315000,1758000,202000,-3572000,1703000,-2681000,-2881000,1500000,19000,19000,52000,-1126000,-1126000,-87000,-1213000,6351000,1500000,1344000,0.19367,0.06487,0.03771,0.50337,0.80689,0.7994,21.39831,0.40617
"14","2013_Q3",35.24515625,"Up",72243000,-59936000,12307000,-8481000,-8481000,3826000,88000,1.81898940354586e-12,-10000,-99000,187000,3914000,3914000,-1074000,2840000,2840000,-446000,2394000,2394000,2840000,1773000,282000,-622000,4273000,-2446000,-2446000,750000,52000,52000,450000,2277000,2277000,18000,2295000,5599000,2250000,3605000,0.17036,0.05296,0.03314,1.50585,0.72174,0.71399,21.77962,1.08683
"15","2013_Q4",38.74296875,"Up",74658000,-61437000,13221000,-8025000,-8025000,5196000,-1057000,-7000,-10000,-291000,-759000,4139000,1995000,-557000,1438000,1438000,-344000,1094000,1094000,1438000,1843000,3766000,-5094000,1953000,-2592000,-2592000,-750000,259000,259000,-1355000,-1994000,-1994000,-320000,-2314000,7039000,1500000,-90000,0.17709,0.0696,0.01465,-0.08227,0.32882,0.32281,22.44004,-0.02705
"16","2014_Q1",54.4544262295082,"Up",80471000,-65846000,14625000,-9308000,-9308000,5317000,1092000,-4000,-9000,177000,919000,6409000,6409000,-2489000,3920000,3920000,-703000,3217000,3217000,3920000,2116000,3155000,-1455000,7736000,-4705000,-5470000,750000,493000,493000,1513000,3779000,3779000,273000,4052000,7433000,2250000,3762000,0.18174,0.06607,0.03998,1.16941,0.95887,0.93681,23.98539,1.12131
"17","2014_Q2",61.7985714285714,"Up",79595000,-65080000,14515000,-9470000,-9470000,5045000,565000,-8000,-14000,294000,279000,5610000,5610000,-1756000,3854000,3854000,-643000,3211000,3211000,3854000,2112000,-66000,-10040000,-4140000,-2868000,-2868000,750000,98000,98000,-516000,-7524000,-7524000,23000,-7501000,7157000,3e+06,-3995000,0.18236,0.06338,0.04034,-1.24416,0.94944,0.92803,23.53489,-1.18125
"18","2014_Q3",66.91171875,"Up",81484000,-65541000,15943000,-9250000,-9250000,6693000,249000,6000,-15000,297000,-54000,6942000,6942000,-2261000,4681000,4681000,-808000,3873000,3873000,4681000,2055000,141000,4030000,10907000,-3561000,-3561000,0,691000,691000,307000,7653000,7653000,-71000,7582000,8748000,3e+06,11478000,0.19566,0.08214,0.04753,2.96359,1.13478,1.1107,23.8746,3.36302
"19","2014_Q4",85.6878125,"Up",85278000,-70386000,14892000,-9757000,-9757000,5135000,367000,29000,-8000,267000,71000,5502000,5502000,-1285000,4217000,4217000,-616000,3601000,3601000,4217000,2046000,-13000,-3705000,2545000,-2906000,-3191000,-5e+05,1639000,1639000,751000,105000,105000,1000,106000,7181000,2500000,1855000,0.17463,0.06021,0.04223,0.51513,1.04589,1.01896,24.76852,0.53877
"20","2015_Q1",65.2560655737705,"Down",102062000,-81614000,20448000,-10797000,-10797000,9651000,109000,34000,-8000,99000,-24000,9760000,9760000,-3372000,6388000,6388000,-649000,5739000,5739000,6388000,2054000,1878000,-8113000,2207000,-3406000,-3406000,0,314000,314000,419000,-780000.000000002,-780000.000000002,42000,-738000.000000002,11705000,2500000,3558000,0.20035,0.09456,0.05623,0.61997,1.65199,1.60711,29.37881,1.02418
"21","2015_Q2",67.2019047619048,"Up",122242000,-94185000,28057000,-13187000,-13187000,14870000,989000,11000,-11000,190000,788000,15859000,15859000,-5519000,10340000,10340000,-1040000,9300000,9300000,10340000,2112000,-462000,-2755000,9235000,-6963000,-7178000,1500000,440000,440000,631000,2688000,2688000,101000,2789000,16982000,4e+06,12783000,0.22952,0.12164,0.07608,1.37452,2.65942,2.58837,34.95625,3.65542
