"","YQ","p","d","revenue","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",26.4388524590164,"Down",8995000,-14309000,-4521000,-5314000,2141000,2141000,-3173000,8541000,5368000,-1469000,3899000,3899000,290000,4189000,4189000,205750000,205750000,63967000,63967000,274613000,557351000,4784000,1530000,562135000,836748000,68709000,5669000,63040000,9623000,9623000,78332000,-171668000,999025000,-44000,2072000,999196000,9220000,1008416000,836748000,3899000,3899000,4000,-7435000,-108901000,-112433000,-241000,-30000,-271000,-44000,-44000,-28557000,-44601000,-157305000,-157305000,-157305000,-5310000,-2.5e+08,-0.59077,0.4657,0.00415,0.00501,3.50576,-0.17024,-0.29878,0.17165,0.16981,0.36859,40.94394,0.00552,85.82863,85.76402
"2","2016_Q2",28.48234375,"Up",4517000,-8758000,-2446000,-4241000,3014000,3014000,-1227000,3435000,2208000,-661000,1547000,1547000,46000,1593000,1593000,203239000,203239000,26785000,26785000,231487000,576689000,4524000,1270000,581213000,812700000,35246000,13357000,21889000,8014000,8014000,43260000,-206740000,999669000,-2464000,1131000,1011269000,8171000,1019440000,812700000,1547000,1547000,3000,-1537000,62000,75000,-219000,263000,44000,-2420000,-2420000,-208000.000000004,-2628000,-2509000.00000006,-2509000.00000003,-2509000.00000003,-4238000,-2.5e+08,-0.9389,0.35267,0.00156,0.00196,5.35106,-0.2028,-0.30762,0.06407,0.06327,0.18168,40.67365,0.00207,106.94644,106.87079
"3","2016_Q3",30.38578125,"Up",4964000,-8165000,-2724000,-3201000,3427000,3427000,226000,1344000,1570000,-305000,1265000,1265000,-246000,1019000,1019000,194726000,194726000,27333000,27333000,223621000,574520000,4786000,1364000,579306000,802927000,37444000,6091000,31353000,6570000,6570000,44014000,-205986000,1005175000,-4044000,2150000,1004984000,3929000,1008913000,802927000,1265000,1265000,6000,-497000,-8487000,-7713000,540000,276000,816000,-1580000,-1580000,-36000,-1616000,-8513000,-8513000,-8513000,-3195000,-2.5e+08,-0.64484,0.20528,0.00101,0.00127,5.08068,-0.20417,-0.31136,0.041,0.04045,0.19973,40.4355,0.00134,139.19437,138.93346
"4","2016_Q4",32.7219047619048,"Up",5451000,-9307000,-2892000,-3856000,2767000,2767000,-1089000,6925000,5836000,-1807000,4029000,4029000,-70000,3959000,3959000,402403000,402403000,27724000,27724000,432059000,485962000,6790000,3368000,492752000,924811000,18528000,2014000,16514000,4215000,4215000,22743000,-77257000,1006527000,-6927000,6102000,998069000,3999000,1002068000,924811000,4029000,4029000,4000,-3204000,65649000,66478000,-3629000,215000,-3414000,-2883000,-2883000,0,144613000,207677000,207677000,207677000,-3852000,-1e+08,-0.70739,0.72629,0.00395,0.00428,18.99745,-0.0771,-0.10813,0.15888,0.15698,0.21876,40.05414,0.00716,130.42653,130.29123
"5","2017_Q1",35.0861290322581,"Up",16295000,-15636000,-2836000,659000,2871000,2871000,3530000,1201000,4731000,-1103000,3628000,3628000,19000,3647000,3647000,314093000,314093000,14111000,14111000,337988000,603840000,10775000,7353000,614615000,952603000,64367000,6978000,57389000,9984000,9984000,74351000,-25649000,1007052000,-41674000,7327000,974022000,4230000,978252000,952603000,3628000,3628000,4000,-3832000,-52052000,-52252000,-996000,-565000,-1561000,-34747000,-34747000,250000,-34497000,-88310000,-88310000,-88310000,663000,-1e+08,0.04044,0.22381,0.00373,0.00383,4.54584,-0.02622,-0.10498,0.14679,0.14521,0.65587,39.20394,0.00415,-624.57466,-628.36571
"6","2017_Q2",32.7820634920635,"Down",4987000,-9319000,-2536000,-4332000,2187000,2187000,-2145000,-19296000,-21441000,8424000,-13017000,-13017000,-61000,-13078000,-13078000,307651000,307651000,13545000,13545000,322545000,589452000,5636000,2214000,595088000,917633000,24233000,4506000,19727000,7519000,7519000,31752000,-58248000,1007496000,-41800000,-5751000,971831000,4050000,975881000,917633000,-13017000,-13017000,4000,19445000,-20850000,-14418000,-2080000,423000,-1657000,-126000,-126000,-241000,9633000,-6442000.00000003,-6442000,-6442000,-4328000,-9e+07,-0.86866,-2.62242,-0.0134,-0.01425,10.15826,-0.05969,-0.09808,-0.54883,-0.54883,0.20928,40.78354,-0.01476,91.8787,91.79386
"7","2017_Q3",32.8279365079365,"Up",5095000,-11548000,-5127000,-6453000,2620000,2620000,-3833000,8149000,4316000,310000,4626000,4626000,-30000,4596000,4596000,319528000,319528000,15046000,15046000,336010000,575675000,15152000,11730000,590827000,926837000,26731000,3499000,23232000,9101000,9101000,35832000,-44168000,1008015000,-53772000,-1155000,966920000,4085000,971005000,926837000,4626000,4626000,4000,945000,11005000,16580000,-751000,408000,-343000,-11972000,-11972000,5000,-4360000,11877000,11877000,11877000,-6449000,-8e+07,-1.26654,0.90206,0.00473,0.00496,9.37737,-0.04549,-0.08632,0.19304,0.19117,0.214,40.61324,0.00784,61.95193,61.91353
"8","2017_Q4",34.3157142857143,"Up",5248000,-11360000,358000,-6112000,2278000,2278000,-3834000,5234000,1400000,-67000,1333000,1333000,186000,1519000,1519000,242302000,242302000,18927000,18927000,262662000,708768000,8089000,4667000,716857000,979519000,30133000,4346000,25787000,9059000,9059000,39192000,-30808000,1009877000,-57551000,364000,968208000,42119000,1010327000,979519000,1333000,1333000,4000,102000,-123121000,-121682000,-481000,506000,25000.0000000009,-3779000,-3779000,38220000,44431000,-77226000,-77226000,-77226000,-6108000,-7e+07,-1.16463,0.28944,0.00149999999999999,0.00155,6.70193,-0.03049,-0.07146,0.0637100000000001,0.06434,0.22012,40.61105,0.00163,51.12999,51.09653
"9","2018_Q1",34.426393442623,"Up",11585000,-14361000,-2760000,-2776000,3189000,3189000,413000,21576000,21989000,-6247000,15742000,15742000,58000,15800000,15800000,293112000,293112000,50747000,50747000,349598000,644142000,13175000,9753000,657317000,1006915000,36807000,5484000,31323000,5731000,5731000,42538000,-7462000,1010530000,-62895000,13800000,968147000,46230000,1014377000,1006915000,15742000,15742000,4000,-18182000,54336000,51900000,-1317000,-15442000,-16759000,-5344000,-5344000,3378000,15669000,50810000,50810000,50810000,-2772000,-5e+07,-0.23962,1.36383,0.01558,0.01569,8.21849,-0.00736,-0.04966,0.66695,0.68463,0.48902,40.86733,0.01884,123.77778,123.59942
"10","2018_Q2",36.5678125,"Up",4703000,-8953000,-2557000,-4250000,2674000,2674000,-1576000,-27530000,-29106000,6734000,-22372000,-22372000,143000,-22229000,-22229000,283972000,283972000,19770000,19770000,305227000,641778000,8338000,4916000,650116000,955343000,11734000,0,11734000,5211000,5211000,16945000,-23055000,1010602000,-81091000,-1717000,927794000,50604000,978398000,955343000,-22372000,-22372000,4000,2698000,-9718000,-29388000,0,1.5e+07,1.5e+07,-459000.000000001,-459000.000000001,-1971000,5201000,-9187000,-9186999.99999999,-9186999.99999999,-4246000,-4e+07,-0.90368,-4.72656,-0.02272,-0.02327,18.01281,-0.02356,-0.04187,-0.94559,-0.94559,0.20006,39.46716,-0.02116,76.30052,76.22871
