"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2015_Q3",16.53640625,"Up",181979000,-104123000,-6669000,-8239000,-89215000,77856000,-24100000,-24100000,53756000,-44194000,9562000,-1997000,7565000,7565000,-7091000,474000,474000,504664000,4536720000,7565000,8186000,73997000,10920000,100668000,-9506000,-1956000,-11462000,-364000,-357433000,-30431000,58775000,58775000,1632000,60407000,86042000,679991000,89453000,0.42783,0.0026,188.71941,0.01382,0.01373,5.30473,2.60758
"2","2015_Q4",16.7346875,"Up",215802000,-53932000,-4857000,-8229000,-40846000,100056000,-20032000,-20032000,80024000,-1107000,78917000,-9378000,69539000,69539000,-57233000,12306000,12306000,528828000,3641946000,69539000,8176000,162378000,-181021000,59072000,-847000,-212892000,-213739000,25628000,437156000,185631000,30964000,30964000,3596000,34560000,108232000,707177000,-64258000,0.46365,0.05702,-5.22167999999999,0.35872,0.352950000000001,6.29068,-1.87314
"3","2016_Q1",16.3185245901639,"Down",176904000,-227868000,-5974000,-7656000,-214238000,71988000,-20377000,-20377000,51611000,-4333000,47278000,-4336000,42942000,42942000,-112279000,-69337000,-69337000,557870000,3391930000,42942000,7604000,68095000,-100354000,18287000,-1853000,209071000,207218000,16822000,-220284000,-218958000,6547000,6547000,-4850000,1697000,79592000,756988000,-18279000,0.40693,-0.39195,0.26363,-1.87691,-1.85225,4.78868,-0.4948
"4","2016_Q2",14.2409375,"Down",192638000,-52978000,-4919000,-7780000,-40279000,79935000,-20638000,-20638000,59297000,-595000,58702000,-7346000,51356000,51356000,-41008000,10348000,10348000,564585000,3935369000,51356000,7727000,-193899000,186284000,51468000,-1287000,-2003000,-3290000,-14275000,-41740000,-65392999.9999999,-17215000,-17215000,2494000,-14721000,87662000,524782000,280005000,0.41495,0.05372,27.05885,0.27082,0.26885,5.04153,7.32802
"5","2016_Q3",12.73703125,"Down",174181000,-52351000,-5736000,-7853000,-38762000,66257000,-21172000,-21172000,45085000,-671000,44414000,-5128000,39286000,39286000,-30908000,8378000,8378000,546573000,4705275000,39286000,7800000,207034000,-220131000,33989000,-4353000,-2150000,-6503000,34725000,-50779000,-25415000,2071000,2071000,-1230000,841000,74057000,559917000,-145299000,0.38039,0.0481,-17.34292,0.21914,0.22076,4.55607,-3.8006
"6","2016_Q4",10.9636507936508,"Down",164806000,-103591000,-5543000,-7211000,-90837000,61215000,-23008000,-23008000,38207000,-333000,37874000,-4851000,33023000,33023000,-25997000,7026000,7026000,543077000,3513421000,33023000,7158000,6365999.99999994,55138000,101685000,-3293000,-125758000,-167805000,-20097000,92426000,62245000,-3875000,-3875000,518999.999999999,-3356000.00000001,68373000,769725000,125069000,0.37144,0.04263,17.80088,0.1832,0.1832,4.29724,3.26111
"7","2017_Q1",13.5003225806452,"Up",170647000,-221862000,-7160000,-7070000,-207632000,64083000,-20066000,-20066000,44017000,-5416000,38601000,-3926000,34675000,34675000,-27447000,7228000,7228000,534412000,3692390000,34675000,7018000,271788000,-261024000,52457000,-2926000,-41462000,-44388000,51575000,-22384000,30295000,38364000,38364000,-2948000,35416000,71101000,589957000,-188923000,0.37553,0.04236,-26.13766,0.18362,0.18362,4.33511,-4.79939
"8","2017_Q2",12.8815873015873,"Down",147287000,-103980000,-4846000,-6810000,-92324000,43307000,-19108000,-19108000,24199000,-317000.000000001,23882000,-2808000,21074000,21074000,-16494000,4580000,4580000,529995000,4107353000,21074000,6757000,-130449000,134705000,32087000,-3843000,-23027000,-26870000,-4350000,-7545000.00000001,-22449999.9999999,-17233000.0000001,-17233000.0000001,785000,-16448000.0000001,50064000,816698000,183734000,0.29403,0.0311,40.11659,0.11337,0.11337,3.64586,4.54805
"9","2017_Q3",13.5334920634921,"Up",144888000,-102870000,-6770000,-6851000,-89249000,42018000,-23654000,-23654000,18364000,-13172000,5192000,-779000,4413000,4413000,-3512000,901000,901000,517481000,4373845000,4413000,6798000,79557000,-40462000,50306000,-3154000,-17222000,-26080000,1100913000,-941000,1090249000,1114475000,1114475000,4852000,1119327000,48816000,1872962000,5979000,0.29,0.00622,6.63596,0.02207,0.02207,3.54968,0.14648
"10","2017_Q4",13.1834920634921,"Down",271286000,-241219000,-24183000,-22042000,-194994000,30067000,-55835000,-55835000,-25768000,-20727000,-46495000,6505000,-39990000,-39990000,26472000,-13518000,-13518000,1165527000,7739345000,-39990000,15602000,191078000,-33312000,133378000,-6935000,32320000,-773508000,-678987000,-122752000,-87648000,-727778000,-727778000,-5637000,-733415000,45669000,1449629000,-1083000,0.11083,-0.04983,0.0801199999999964,-0.17037,-0.17037,3.41905,-0.0136499999999988
"11","2018_Q1",21.3226229508197,"Up",464521000,-270476000,-26324000,-27071000,-217081000,194045000,-57503000,-57503000,136542000,-5957000,130585000,-97184000,33401000,33401000,-22425000,10976000,10976000,1151578000,7320006000,33401000,18170000,107314000,-84082000,74803000,-5e+06,-106935000,-112264000,-3.3e+07,67688000,10352000,-27109000,-27109000,9117000,-17992000,212215000,1416431000,220317000,0.41773,0.02363,20.07261,0.12229,0.12229,5.1754,2.45463
"12","2018_Q2",26.7775,"Up",815053000,-260345000,-19919000,-22190000,-218236000,554708000,-52671000,-52671000,502037000,-33501000,468536000,-58514000,410022000,410022000,-235271000,174751000,174751000,1458475000,7757931000,410022000,15339000,-52491000,-253863000,119007000,395687000,-106054000,289633000,-283500000,152807755.73513,-306748000,101892000,101892000,2529000,104421000,570047000,1289448000,770385000,0.68058,0.2144,4.40847,1.92671,1.89112,8.98632,8.49383
"13","2018_Q3",19.0709523809524,"Down",328126000,-218819000,-16610000,-23032000,-179177000,109307000,-53789000,-53789000,55518000,-5896000,49622000,-3e+06,46622000,46622000,-21413000,25209000,25209000,1441626000,7171163000,46623000,16207000,44341000,84119000,191290000,-9088000,-72449000,-81537000,-86346000,-1178999.99999994,-81418000,28335000,28335000,-5576000,22759000,125514000,1271377000,203545000,0.33313,0.07683,8.0743,0.25323,0.24738,3.29609,2.04465
