"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",14.245873015873,"Down",1290000,-1916000,-1755000,-161000,-626000,35000,35000,-591000,-591000,-591000,-591000,-591000,0,-591000,33351000,33351000,33351000,29888000,30075000,-187000,-46007452.8746285,268000,268000,30156000,63507000,344000,344000,1635053.37997087,49315145.4101451,49315145.4101451,344000,2545000,0,0,2545000,2889000,0,65601000,60618000,60618000,63507000,-591000,161000,770000,284000,624000,-110119720.167593,0,0,0,-276000,-276000,0,-276000,348000,348000,348000,-465000,2545000,-0.48527,-0.45814,-0.00975,-0.00931,96.95058,0.04766,0.04007,-0.17642,-0.17642,0.38507,18.09493,0,-0.00936,0,66.24946,49.21086
"2","2017_Q3",14.1087301587302,"Down",1289000,-1754000,-1466000,-175000,-465000,43000,43000,-422000,-422000,-422000,-422000,-422000,0,-422000,25756000,25756000,25756000,37903000,38266000,-363000,-69137726.4373143,253000,253000,38156000,63912000,1088000,563000,525000,21264848.4700484,21264848.4700484,1088000,2846000,0,0,2846000,3934000,9.31322574615479e-10,65383000,59978000,59978000,63912000,-422000,175000,605000,517000,875000,-8166000,-6000,-8172000,-1.16415321826935e-10,0,0,-298000,-298000,-7595000,-7595000,-7595000,-290000,2846000,-0.36074,-0.32739,-0.00704,-0.0066,23.67279,0.06559,0.04453,-0.12541,-0.12541,0.38306,17.82391,2.77555756156289e-17,-0.00672,0,79,49.26882
"3","2017_Q4",16.808253968254,"Up",1495000,-1200000,-983000,-217000,295000,39000,39000,334000,334000,334000,334000,334000,0,334000,22204000,22204000,22204000,46592000,47171000,-579000,-46566575.4791048,1347000,1347000,47939000,70143000,1133000,608000,525000,5900000,5900000,7033000,2960000,190000,190000,3150000,10183000,0,65031000,59960000,59960000,70143000,334000,217000,173000,-727000,-3000,-3019000,-5000,-3024000,-525000,0,0,0,-525000,-3552000,-3552000,-3552000,512000,2960000,0.19732,0.22341,0.00557,0.00476,3.15712,0.16983,0.0422,0.09844,0.09844,0.44063,17.67223,0.15474,0.01361,1.57186,-37.58594,-65.2339
"4","2018_Q1",22.9483606557377,"Up",2228000,-1655000,-1293000,-362000,573000,34000,34000,607000,607000,607000,607000,607000,-323000,284000,11758000,11758000,11758000,67788000,68730000,-942000,0,482000,482000,68270000,80028000,2260000,1062000,1198000,20000.0000000009,20000.0000000009,2280000,4158000,41000,41000,4199000,6479000,14009000,64004000,73549000,73549000,80028000,607000,362000,171000,2379000,3519000,-21549000,-5900000,-27449000,-525000,276000.000000004,276000.000000004,14009000,13484000,-10446000,-10446000,-10446000,935000,4158000,0.25718,0.12747,0.00386,0.00355,5.15702,0.08809,0.05196,0.0837,0.0837,0.65661,17.5468,0.15472,0.01041,1.84859,-8.12834,-13.26353
"5","2018_Q2",28.8246875,"Up",2677000,-1953000,-1477000,-476000,724000,221000,221000,945000,945000,945000,945000,945000,-338000,607000,42076000,42076000,42076000,67312000,68730000,-1418000,48856000,654000,654000,116822000,158898000,2585000,551000,2034000,315282.143370951,315282.143370951,2585000,4599000,0,0,4599000,7184000,14009000,141224000,151714000,151714000,158898000,945000,476000,237000,-303000,1355000,0,-48763000,-48763000,-1198000,79314000,79314000,-390000,77726000,30318000,30318000,30318000,1200000,4599000,0.27045,0.22675,0.004,0.00382,16.27698,0.04735,0.02894,0.10317,0.10075,0.45499,23.40485,0.20362,0.01155,1.97364,-31.23083,-51.76381
"6","2018_Q3",32.3209523809524,"Up",3246000,-2010000,-1474000,-536000,1236000,306000,306000,1542000,1542000,1542000,1542000,1542000,-338000,1204000,21185000,21185000,21185000,81649000,83603000,-1954000,57419000,1446000,1446000,140514000,161699000,4942000,2908000,2034000,3040414.79672578,3040414.79672578,4942000,5141000,31000,31000,5172000,10114000,14009000,139553000,151585000,151585000,161699000,1542000,536000,207000,54000.0000000005,2339000,-8908000,-12288000,-21196000,-2034000,0,0,0,-2034000,-20891000,-20891000,-20891000,1772000,5141000,0.38078,0.37092,0.00794,0.00745,4.28673,0.06672,0.03179,0.18133,0.17738,0.48887,20.71988,0.30633,0.02066,1.68937,-9.05418000000001,-12.98058
"7","2018_Q4",39.0506349206349,"Up",3716000,-2145000,-1442000,-703000,1571000,261000,261000,1832000,1832000,1832000,1832000,1832000,-338000,1494000,53019000,53019000,53019000,108711000,111368000,-2657000,3983000,499000,499000,113193000,166212000,3892000,1179000,2713000,4341000,4341000,8233000,6868000,21000,21000,6889000,15122000,14009000,137226000,151090000,151090000,166212000,1832000,703000,303000,3019000,5857000,-18269000,46280000,28011000,-2034000,0,0,0,-2034000,31834000,31834000,31834000,2274000,6868000,0.42277,0.40205,0.00989,0.00899,6.43982,0.10009,0.04132,0.22497,0.22003,0.55957,20.64237,0.30629,0.02233,1.36145,-20.29507,-29.37683
"8","2019_Q1",57.5903278688525,"Up",5148000,-3341000,-1982000,-914000,1807000,859000,859000,2666000,2666000,2666000,2666000,2666000,-338000,2328000,13050000,13050000,13050000,147359000,150930000,-3571000,120443000,614000,614000,268416000,281466000,5727000,1968000,3759000,2433000,2433000,8160000,9014000,0,0,9014000,17174000,14009000,260550000,264292000,264292000,281466000,2666000,914000,-237000,2799000,6142000,-30297000,-127010000,-157307000,-2713000,113909000,113909000,0,111196000,-39969000,-39969000,-39969000,2721000,9014000,0.35101,0.45221,0.00881,0.00827,1.59926,0.06498,0.03203,0.24788,0.24402,0.54815,26.64957,0.28887,0.01844,1.16538,-1.48328,-2.23353999999999
"9","2019_Q2",78.5057142857143,"Up",6576000,-3136000,-1918000,-1218000,3440000,201000,201000,3641000,3641000,3641000,3641000,3641000,-338000,3303000,59224000,59224000,59224000,161151000,165940000,-4789000,197729000,2304000,2304000,361184000,420408000,5974000,1224000,4750000,3201000,3201000,9175000,142857000,0,0,142857000,152032000,14009000,265743000,268376000,268376000,420408000,3641000,1218000,1485000,-186000,6158000,-7410000,-86433000,-93843000,-3759000,0,0,-939000,133859000,46174000,46174000,46174000,4658000,142857000,0.52311,0.50228,0.01231,0.00786,6.45493,0.56649,0.33981,0.34176,0.33712,0.68041,26.31898,0.38894,0.01717,1.13806,17.9547,24.31192
"10","2019_Q3",90.67140625,"Up",8280000,-4208000,-2593000,-1615000,4072000,-660000,-660000,3412000,3412000,3412000,3412000,3412000,-338000,3074000,47432000,47432000,47432000,232957000,239361000,-6404000,138731000,11601000,11601000,383289000,430721000,9806000,3583000,6223000,8823000,8823000,18629000,145904000,-1.45519152283669e-11,-1.45519152283669e-11,145904000,164533000,14009000,266366000,266188000,266188000,430721000,3412000,1615000,-1450000,4882000,8459000,-54753000,49360000,-5392999.99999999,-4750000,-73999.9999999851,-73999.9999999851,1.16415321826935e-10,-4836000,-1770000,-1770000,-1770000,5687000,145904000,0.49179,0.37126,0.01155,0.00714,2.54614,0.61811,0.33874,0.31799,0.31343,0.85651,26.08634,0.49136,0.01899,1.54522,17.31528,24.18271
