"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.6155555555556,"Down",67432000,-38997000,28435000,-22089000,-19032000,-3057000,6346000,-16000,-27000,-35000,8000,11000,6330000,6330000,-1822000,4508000,4508000,4508000,4508000,5992000,5992000,34770000,34770000,46818000,6565000,2238000,267000,773000,94145000,116212000,180824000,-64612000,66779000,27294000,33002000,6483000,182991000,277136000,26461000,11958000,1742000,12761000,33724000,268424769.782198,19599000,3441000,11098000,5060000,19599000,53323000,64214000,159712000,-113000,223813000,223813000,277136000,4508000,3290000,234000,-2962000,5070000,-4533000,-250000,-4783000,-5e+05,220000,220000,3280045.70637228,-280000,7000,7000,-148000,-141000,9636000,6500000,3963000,0.42168,0.09411,0.06685,0.02014,0.01627,0.8791,2.79163,0.23825,0.02345,0.12875,0.12607,1.92586,6.3921,0.11318,4,0.01804,0.01586,0.05272,0.08005
"2","2010_Q3",13.145625,"Up",74948000,-42490000,32458000,-23681000,-19939000,-3742000,8777000,62000,-3000,-15000,12000,65000,8839000,8839000,-3124000,5715000,5715000,5715000,5715000,4254000,4254000,37010000,37010000,47219000,7105000,3047000,177000,592000,95588000,118072000,185391000,-67319000,66552000,1568723.190066,33002000,6592000,184624000,280212000,30011000,13456000,2246000,14309000,30656000,138262256.594066,19510000,3417000,11068000,5025000,19510000,50166000,64724000,165427000,-105000,230046000,230046000,280212000,5715000,3383000,337999.999999999,355000,9791000,-4766000,-250000.00000003,-5016000,-6500000,159000,159000,49000,-6292000.00000003,-1517000,-1517000,-221000,-1738000,12160000,2.98023223876953e-08,10873000,0.43307,0.11711,0.07625,0.02484,0.0204,1.90254,3.11808,0.21807,-2.77555756156289e-17,0.16222,0.15908,2.12739,6.52983,0.30863,5,0.0229,0.04357,-0.349839999999999,-0.484680000000001
"3","2010_Q4",12.53484375,"Down",73172000,-41925000,31247000,-26345000,-22480000,-3865000,4902000,-70000,-88000,-95000,7000,18000,4832000,-3512000,1539000,-1973000,-1973000,-1973000,-1973000,5298000,5298000,38644000,38644000,58356000,10153000,2946000,428000,1774000,112451000,122474000,192617000,-70143000,129117000,9527523.190066,54738000,7265000,251591000,364042000,35076000,14146000,2539000,18391000,35498000,87989000,10709000,3501000,1545000,5663000,98698000,134196000,66104000,163454000,288000,229846000,229846000,364042000,-1973000,3892000,5701000,-1860000,5760000,-6995000,-95726000,-93048000,87989000,972000,972000,-458000,88503000,1215000,1215000,-171000,1044000,8794000,87989000,-1600000,0.42703,0.06699,-0.02696,-0.00858,-0.00542,0.81095,3.16781,0.58385,0.2417,-0.05591,-0.05479,2.07362,6.51362,-0.04534,3,-0.00601,-0.00487,9.40312,16.86883
"4","2011_Q1",13.2262903225806,"Up",81203000,-44845000,36358000,-30835000,-26164000,-4671000,5523000,-392000,-444000,-451000,7000,52000,5131000,5131000,-921000,4210000,4210000,4210000,4210000,3735000,3735000,37362000,37362000,60597000,10607000,2089000,2519000,1352000,112301000,128055000,199908000,-71853000,129124000,34273000,58675000,32036000,257179000,369480000,39869000,20092000,887000,18890000,40176000,81538000,12151000,4258000,1267000,6626000,93689000,133865000,67091000,167664000,860000,235615000,235615000,369480000,4210000,4291000,1942000,3696000,14139000,-8420000,-1559000,-9979000,-6451000,356999.999999999,356999.999999999,286000,-5808000.00000003,-1648000,-1648000,85000,-1563000,9814000,81538000,6011000,0.44774,0.06801,0.05185,0.01787,0.01139,1.42779,2.79523,0.56815,0.22068,0.11888,0.11681,2.29303,6.65335,0.16974,5,0.01278,0.01825,7.92776,14.08709
"5","2011_Q2",18.2034920634921,"Up",86631000,-46846000,39785000,-29575000,-24591000,-4984000,10210000,-412000,-423000,-425000,2000,11000,9798000,9798000,-3159000,6639000,6639000,6639000,6639000,3465000,3465000,41031000,41031000,60353000,10539000,3988000,472000,1428000,115388000,135582000,210508000,-74926000,129447000,56828000,58659000,9664000,265029000,380417000,38088000,18229000,945000,18914000,38417000,82564000,12622000,4477000,1507000,6638000,95186000,133603000,71138000,174303000,1373000,246814000,246814000,380417000,6639000,4794000,-910000,-3761000,6762000,-11588000,28639536.2559801,-11588000,1026000,2810000,2810000,901000,4737000,-89000,-89000,-181000,-270000,15004000,82564000,2814000,0.45925,0.11786,0.07664,0.0269,0.01745,0.42386,3.00357,0.54131,0.21704,0.18653,0.18312,2.43393,6.93434,0.07906,7,0.01941,0.00823,5.27186,7.74721
"6","2011_Q3",15.01859375,"Down",91249000,-48765000,42484000,-31637000,-26175000,-5462000,10847000,-229000,-297000,-311000,14000,68000,10618000,10618000,-3746000,6872000,6872000,6872000,6872000,63009000,63009000,41889000,41889000,62724000,10945000,4429000,302000,1561000,178567000,146753000,224929000,-78176000,132893000,61335000,58659000,8603000,279646000,458213000,39781000,19120000,1019000,19642000,39964000,5.5e+07,16937000,4668000,1530000,10739000,71937000,111901000,164443000,181175000,694000,346312000,346312000,458213000,6872000,4678000,-1225000,-1571000,8754000,-13314000,-1500000,-14814000,-27563000,91988000,91988000,1134000,65559000,59499000,59499000,45000.0000000001,59544000,15525000,5.5e+07,4386000,0.46558,0.11887,0.07531,0.01984,0.015,0.63824,4.4682,0.32312,0.12003,0.18671,0.18239,2.47926,9.40937,0.11917,5,0.01643,0.01049,-0.515879999999999,-0.738359999999999
"7","2011_Q4",13.2707936507937,"Down",90477000,-49423000,41054000,-31109000,-25708000,-5401000,9945000,176000,17000,-19000,36000,159000,10121000,6683000,-2120000,4563000,4563000,4563000,4563000,5819000,5819000,40579000,40579000,66557000,11001000,4302000,467000,1641000,123956000,162523000,243935000,-81412000,132354000,58544000,61144000,8053000,294877000,418833000,47500000,23129000,2967000,21404000,48298000,5619000,14200000,4382000,1449000,8369000,19819000,68117000,165011000,185738000,-33000,350716000,350716000,418833000,4563000,4778000,4242000,1310000,14893000,-15648000,-6750000,-22398000,-49382000,2000,2000,3000,-49377000,-56882000,-56882000,-308000,-57190000,14723000,5619000,2505000,0.45375,0.10992,0.05043,0.01301,0.01089,0.54898,2.56648,0.19422,0.01342,0.10872,0.1072,2.1557,8.35615,0.05968,6,0.01231,0.00676,-0.01358,-0.02011
"8","2012_Q1",13.0803225806452,"Down",91092000,-48947000,42145000,-34119000,-28028000,-6091000,8026000,150000,43000,-34000,77000,107000,8176000,5776000,-806000,4970000,4970000,4970000,4970000,10128000,10128000,40550000,40550000,69911000,13063000,3775000,3680000,1904000,133652000,179140000,262574000,-83434000,131427000,35415000,61144000,29502000,313365000,447017000,43570000,22727000,646000,20197000,43795000,30737000,15396000,4585000,2112000,8699000,46133000,89928000,166231000,190708000,150000,357089000,357089000,447017000,4970000,4944000,3958000,-10266000,3606000,-20717000,-2e+06,-25220000,25118000,654000,654000,4000,25776000,4161999.99999999,4161999.99999999,147000,4309000.00000003,12970000,30737000,-17207000,0.46266,0.08811,0.05456,0.01392,0.01112,-3.46217,3.05176,0.25184,0.06876,0.1184,0.11712,2.17015,8.50718,-0.40993,5,0.01233,-0.04267,1.58897,2.56778
"9","2012_Q2",12.8296825396825,"Down",95618000,-51448000,44170000,-35988000,-29547000,-6441000,8182000,-90000,-64000,-112000,48000,-26000,8092000,7917000,-2169000,5748000,5748000,5748000,5748000,9661000,9661000,45599000,45599000,70455000,13316000,4436000,2201000,2972000,139031000,192708000,278846000,-86138000,154600000,50755000,65574000,32906000,350372000,489403000,52071000,22880000,733000,28458000,52715000,52524000,20373000,5066000,2166000,13141000,72897000,125612000,166908000,196456000,427000,363791000,363791000,489403000,5748000,4770000,715000,-3748000,7485000,-18132000,-11770000,-29902000,21787000,118000,118000,4000,21909000,-508000,-508000,41000,-467000,12952000,52524000,-6759000,0.46194,0.08557,0.06011,0.0158,0.01174,-1.17589,2.63741,0.34529,0.10732,0.13686,0.13545,2.27667,8.6619,-0.16093,5,0.01316,-0.01548,3.30937,5.23869
"10","2012_Q3",14.1942857142857,"Up",100532000,-53508000,47024000,-36802000,-30211000,-6591000,10222000,592000,-41000,-112000,71000,633000,10814000,8814000,-2719000,6095000,6095000,6095000,6095000,9918000,9918000,47808000,47808000,71002000,12385000,4077000,1818000,2790000,141113000,205322000,294952000,-89630000,152801000,49614000,65574000,32248000,359043000,500156000,52355000,24042000,769000,27544000,52603000,56620000,20381000,5017000,2108000,13256000,77001000,129604000,167877000,202551000,124000,370552000,370552000,500156000,6095000,5553000,2041000,387999.999999999,14077000,-17418000,-3e+06,-18313000,4095000,418000,418000,70000,4583000,347000,347000,-90000,257000,15775000,56620000,1464000,0.46775,0.10168,0.06063,0.01645,0.01219,0.2402,2.6826,0.34976,0.1132,0.14492,0.14349,2.39037,8.81071,0.03481,5,0.01362,0.00327,2.96051,4.56877
