"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",30495.4375,"Down",375146,-103025,272121,-3325685,-2325986,-905767,-1420219,-999699,-3053564,-1625847,-1632974,7127,-4679411,-5358584,-5358584,-5358584,-5358584,-5431351,10215809,10215809,214043,214043,347463,490201,490201,11267516,483147,46380,46380,529527,11797043,2402402,1115859,1286543,353087,118579,2757989,210758,210758,2968747,113447153,-104726050,107193,8828296,8828296,11797043,-5358584,101094,2507987,-114966,-2864469,-15639,-15639,68934,12142573,12142573,12464222,9584114,9584114,9584114,-2952470,213258,0.72537,-8.13967,-14.47797,-0.61522,-0.4604,4.08541,0.33628,0.01808,-8379.12189,-8379.12189,578.74994,13619.69946,-0.60071,3.38786,3.2757
"2","2015_Q4",19540.90625,"Down",980787,-673103,307684,-4436039,-2647291,-1032759,-1614532,-1788748,-4128355,-14969,-17482.0000000002,2513,-4143324,-4668920,-4670582,-4670582,-4670582,-4670582,11187129,11187129,553938,553938,1155488,538312,538312,13434867,1021971,2540651,293135,3562622,16997489,3347622,1274657,2072965,385909,227049,3734781,1317854,1317854,5052635,121216140,-109396634,125348,11944854,11944854,16997489,-4670582,185177,335665,-2340178,-6489918,-63561,1303650,933575,5224206,5224206,6157781,971513,971513,971320,-3943178,1319104,0.31371,-4.20923,-4.76208,-0.39101,-0.27478,3.59723,0.423,0.07761,-3779.50632,-3779.50632,793.66783,9665.95836,-0.35213,2.50256,2.3903
"3","2016_Q1",16207.5245901639,"Down",1329587,-560626,768961,-5589280,-3483388,-1342889,-2140499,-2105892,-4820319,-37485,-54467,16982,-4857804,-4858491,-4727734,-4727734,-4727734,-4726988,7814220,7814220,678646,678646,826012,566239,566239,9885117,1074710,2796669,270327,3871379,13756496,4287348,2285792,2001556,302725,251800,4590073,1322392,1675377,6265450,121490994,-114124366,124418,7491046,7491046,13756496,-4727734,232249,166110,1122909,-3206466,-96062,-96062,-64367,2079,2079,-62288,-3364816,-3364816,-3372909,-4588070,1322392,0.57835,-3.62543,-3.55523,-0.63102,-0.34362,2.15359,0.83639,0.09613,-3754.30084,-3754.30084,1055.99371,5949.58994,-0.51569,1.41494,1.34676
"4","2016_Q2",13750.734375,"Down",1076639,-661676,414963,-4890910,-2937481,-1399435,-1538046,-1953429,-4475947,-30233,-41734,173,-4506180,-4506180,-4506180,-4506180,-4506180,-4506180,3967957,3967957,641575,641575,924345,456008,456008,5989885,996564,2693177,270503,3689741,9679626,4397318,2205538,2191780,294253,242459,4691571,1271982,1733534,6425105,121761475,-118630546,123592,3254521,3254521,9679626,-4506180,168440,268607,273316,-3795817,-1644.00000000001,-1643.99999999988,-63327.0000000001,9271,9271,-54056,-3851517,-3851517,-3846263,-4307507,1271982,0.38542,-4.15733,-4.18541,-1.38459,-0.46553,1.27673,1.97421,0.13141,-3585.17078,-3585.17078,856.58688,2589.33589,-0.90339,0.62588,0.60233
"5","2016_Q3",18602,"Up",1182820,-498242,684578,-5699191,-3365607,-1588553,-1777054,-2333584,-5014613,-38287,-26649,-3872,-5052900,-5052900,-5052900,-5052900,-5052900,-5385450,8025023,8025023,871564,871564,844272,561693,561693,10302552,922157,2626132,270412,3548289,13850841,3640536,1900844,1739692,338591,232824,4158694,1220111,1747639,5906333,131412003,-123683448,192859,7944508,7944508,13850841,-5052900,161529,267680,-865633,-5489324,-48173,-48173,121724,9474990,9474990,9596714,4059217,4059217,4057066,-4853084,1399678,0.57877,-4.23954,-4.55306,-0.67788,-0.38882,2.47735,0.74345,0.10105,-3708.45202,-3708.45202,814.49669,5454.7315,-0.54554,1.36518,1.32121
"6","2016_Q4",12382.1746031746,"Down",759663,-638805,120858,-4926452,-2934636,-1294640,-1639996,-1991816,-4805594,-42071,-41423,621,-4847665,-4847665,-4847665,-4847665,-4847665,-4847665,4260905,4260905,446686,446686,830205,478683,478683,6016479,862643,2696408,407642,3559051,9575530,4321831,1936012,2385819,272244,207820,5694049,184391,606304,6300353,131590858,-128532586,216905,3275177,3275177,9575530,-4847665,164859,289162,812213,-3581431,-37716,-37716,-143529,385.000000001863,385.000000001863,-143144,-3762291,-3762291,-3764118,-4640735,1284365,0.15909,-6.32596,-6.38134,-1.48012,-0.50626,1.05663,1.92367,0.13413,-2309.1703,-2309.1703,361.86313,1560.12048,-0.97314,0.64139,0.61939
"7","2017_Q1",11239.3387096774,"Down",1006563,-491181,515382,-5228565,-2894158,-1246646,-1647512,-2334407,-4713183,-46825,-33541,-2889,-4760008,-4760008,-4760008,-4760008,-4760008,-4760008,4117324,4117324,542420,542420,692368,329646,329646,5681758,800723,2501564,279752,3302287,8984045,4026326,2232563,1793763,221796,184399,5271937,146543,544627,5816564,136442302,-133291119,16298,3167481,3167481,8984045,-4760008,161219,244313,-29589,-4384065,-35981,-35981,-140671,4405847,4405847,4265176,-154870,-154870,-143581,-4551964,1170358,0.51202,-4.68245,-4.72897,-1.50277,-0.52983,1.07774,1.83634,0.13027,-2107.49826,-2107.49826,445.65677,1402.40535,-1.00509,0.64741,0.62526
"8","2017_Q2",8387.90984126984,"Down",771771,-525183,246588,-5197317,-3074802,-1105586,-1969216,-2122515,-4950729,-27203,-29844,21,-4977932,-4977932,-4977932,-4977932,-4977932,-4977932,1670311,1670311,379246,379246,642961,267971,267971,2960489,743521,2452939,298081,3196460,6156949,3920269,2017202,1903067,201530,170297,5120757,107940,482134,5602891,138546915,-138269051,276194,554058,554058,6156949,-4977932,159863,247492,110085,-4460492,-27022,-27022,-78604,2122861,2122861,2044257,-2443257,-2443257,-2447013,-4790866,1106898,0.31951,-6.41476,-6.45001,-8.9845,-0.80851,0.57814,10.11246,0.17978,-1908.75651,-1908.75651,295.9307,212.45003,-2.44598,0.1176,0.1138
"9","2017_Q3",3207.44968253968,"Down",703210,-471554,231656,-4421654,-2659420,-909402,-1750018,-1762234,-4189998,-44793,-53813,22,-4234791,-4208047,-4208047,-4208047,-4208047,-4208047,211683,211683,411762,411762,578903,423477,423477,1625825,784333,2580882,492978,3365215,4991040,4677891,2907190,1770701,206591,168831,5514184,1177683,1614622,7128806,140047090,-142477098,292242,-2137766,-2137766,4991040,-4208047,164549,199974,642582,-3200942,-147091,-147091,581923,1310749,1310749,1892672,-1455361,-1455361,-1458628,-4025449,1807385,0.32943,-5.95839,-5.98405,1.96843,-0.84312,0.29484,-3.3347,0.36213,-1613.54898,-1613.54898,269.64142,-819.71284,-39.49067,-0.3964,-0.38084
"10","2017_Q4",2663.08095238095,"Down",745114,-497526,247588,-3444039,-1930882,-330305,-1600577,-1513157,-3196451,-169612,-90317,-87313,-3366063,-3268668,-3268668,-3268668,-3268668,-3268668,4854031,4854031,469954,469954,461129,340923,340923,6126037,750090,2342542,321592,3092632,9218669,3699091,1939175,1759916,191724,160485,4990827,119764,467415,5458242,148994194,-145745766,511999,3760427,3760427,9218669,-3268668,175239,302142,-748945,-3540232,31426,31426,-637545,8795501,8795501,8157956,4649150,4649150,4642348,-3021212,1219776,0.33228,-4.28988,-4.3868,-0.86923,-0.35457,1.22746,1.4515,0.13232,-962.60451,-962.60451,219.43192,1107.42479,-0.613509999999998,1.20291,1.13697
