"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",4.5946875,"Up",73126000,-19669000,53457000,-40591000,-23986000,-16605000,12866000,-14309000,-14309000,-1443000,-1518000,-1477000,-2995000,-2995000,-2995000,-2995000,24099339.2153363,24099339.2153363,57434617.3996283,57434617.3996283,89644590.346918,6895375.00098466,171178546.961883,162012240.216322,429017704.441444,106385117.001881,211726637.09586,591029944.657766,762208491.619649,55614380.7651296,12654986.3081921,9953294.45223805,-9023232.85439927,100592856.992547,95882727.47142,147184004.903278,718914450.039387,77819788.8931291,40475550.8185584,796734238.932516,943918243.835794,411707764.04101,-593417513.218562,-181709749.227584,-181709752.21609,762208491.619704,-2995000,11184000,3477000,11747000,23413000,-3160000,-3160000,-9641000,0,0,-622000,-10263000,9990000,9990000,9990000,24050000,0,34114000,0.73103,0.17594,-0.04096,-0.25417480332149,0.0159856051338938,-11.39032,0.50033395887292,-6.07747452962687,0.876999873192506,-0.10533,-0.10533,2.57178,-6.10789882229851,1.19976,0.0163254134485015,0.107743164984185,36.3288416657945,156.519833080644
"2","2011_Q1",5.16193548387097,"Up",97056000,-20090000,76966000,-45758000,-28901000,-16857000,31208000,-14113000,-14113000,17095000,16315000,-2041000,14274000,14274000,14274000,14274000,23658000,23658000,63501000,63501000,20057000,2001000,107216000,137036000,358284000,109059000,146731000,495320000,602536000,28558000,10372000,8916000,1e+06,24036000,21233000,53594000,652984000,71123000,34004000,724107000,777701000,403290000,-578455000,-175165000,-175165000,602536000,14274000,11104000,5778000,-19032000,12124000,-1458000,-1917000,-4082000,84000,84000,-314000,-4312000,5895000,5895000,5895000,42312000,653984000,23863000,0.79301,0.32155,0.14707,-0.08149,0.02369,1.67178,2.00052,-4.43982,1.08539,0.502,0.502,3.41338,-6.16041,0.83924,0.02596,0.04339,14.8971,20.19758
"3","2011_Q2",6.1984126984127,"Up",69945000,-19103000,50842000,-41668000,-25012000,-16656000,9174000,-13705000,-13705000,-4531000,-4886000,-1426000,-6312000,-6312000,-6312000,-6312000,18830386.9282212,18830386.9282212,62443460.8667906,62443460.8667906,2679303.21769399,421458.333005113,83953151.0127058,130014336.594559,334921265.186185,109487960.999373,129830037.634713,464935601.780745,548888752.79345,23503539.7449568,9359254.56393596,9209318.51592065,3195577.61813309,5504631.00248422,3317090.84286,32203748.3655741,624399766.653538,69700903.7022903,31948899.7271472,694100670.355828,726304418.721402,401699745.319663,-579115412.260479,-177415666.924139,-177415665.92797,548888752.793432,-6312000,11069000,2971000,10134000,17862000,-4150000,-4150000,-16398000,0,0,-156000,-16554000,-2842000,-2842000,-2842000,20243000,0,27653000,0.72689,0.13116,-0.09024,0.0208657677738299,0.0125422982887021,-4.38102,2.18784451370903,-3.81268099012438,1.1420958756025,-0.22186,-0.22186,2.45852,-6.29957539256716,0.97199,0.0139923621838328,0.0265522783386051,14.4338861114018,3.94904397311872
"4","2011_Q3",5.906875,"Down",75505000,-19705000,55800000,-42781000,-24955000,-17826000,13019000,-13308000,-13308000,-289000.000000002,-1191000,-1393000,-2584000,-2584000,-2584000,-2584000,12533000,12533000,59064000,59064000,13194000,810000,84791000,133904000,339293000,109059000,140369000,473197000,557988000,30251000,9150000,10258000,1500000,17595000,15275000,49346000,620777000,71286000,32434000,692063000,741409000,403930000,-587351000,-183421000,-183421000,557988000,-2584000,12564000,302000,-5670000,4612000,-2772000,-3772000,-8559000,67000,67000,-631000,-9123000,-8283000,-8283000,-8283000,25583000,622277000,18534000,0.73902,0.17243,-0.03422,0.01409,-0.00463,-7.1726,1.7183,-4.04212,1.11522,-0.09082,-0.0908200000000001,2.65377,-6.44668,0.65141,-0.00507,0.03633,23.83395,46.83493
"5","2011_Q4",6.7447619047619,"Up",74839000,-20826000,54013000,-45827000,-26346000,-19481000,8186000,-13069000,-13069000,-4883000,-4801000,-1458000,-6259000,-6259000,-6259000,-6259000,7814000,7814000,60689000,60689000,22234000,1681000,90737000,141800000,350136000,109684000,155111000,491936000,582673000,36844000,9240000,11976000,1500000,26189000,23704000,64533000,631966000,73141000,33342000,705107000,769640000,406643000,-593610000,-186967000,-186967000,582673000,-6259000,12831000,2428000,3746000,12746000,-3826000,-23890000,6425000,0,0,0,6425000,-4719000,-4719000,-4719000,21017000,633466000,22395000,0.72172,0.10938,-0.08363,0.03348,-0.01074,-3.57805,1.40606,-4.11645,1.08717,-0.21733,-0.21733,2.59867,-6.49214,0.77763,-0.01204,0.0431,29.76885,76.42951
"6","2012_Q1",6.94451612903226,"Up",86202000,-22023000,64179000,-46104000,-28854000,-17250000,18075000,-12922000,-12922000,5153000,4712000,-1448000,3264000,3264000,3264000,3264000,7546000,7546000,71279000,71279000,7165000,1734000,85990000,146613000,348356000,112575000,154262000,494969000,580959000,33668000,9175000,13625000,6582000,6121000,3925000,46371000,644837000,73155000,32877000,717992000,764363000,406942000,-590346000,-183404000,-183404000,580959000,3264000,11360000,3530000,-12780000,5374000,-2479000,-22767000,17125000,0,0,0,17125000,-268000,-268000,-268000,29435000,651419000,15624000,0.74452,0.20968,0.03786,-0.0178,0.00562,4.78676,1.85439,-4.16765,1.12128,0.11332,0.11332,2.99281,-6.36753,0.54244,0.00603,0.02887,21.8744,35.6223
"7","2012_Q2",5.78142857142857,"Down",83642000,-22128000,61514000,-44028000,-27128000,-16900000,17486000,-12909000,-12909000,4577000,4596000,-1580000,3016000,3016000,3016000,3016000,11849000,11849000,64317000,64317000,14040000,1644000,90206000,143662000,344336000,112575000,155846000,487998000,578204000,35293000,9284000,10567000,1500000,18922000,16060000,55715000,627964000,74417000,32687000,702381000,758096000,407438000,-587330000,-179892000,-179892000,578204000,3016000,11352000,2547000,9127000,26042000,-4043000,-4043000,-17975000,279000,279000,0,-17696000,4303000,4303000,4303000,28838000,629464000,35502000,0.73544,0.20906,0.03606,-0.01677,0.00522,11.77122,1.61906,-4.21417,1.08865,0.1047,0.09844,2.90353,-6.24473,1.23241,0.00576,0.06775,21.41671,35.32054
"8","2012_Q3",6.7068253968254,"Up",88864000,-21852000,67012000,-43530000,-27112000,-16418000,23482000,-12574000,-12574000,10908000,10392000,-1574000,8818000,8818000,8818000,8818000,12478000,12478000,66496000,66496000,9922000,1167000,88896000,140890000,336563000,112575000,153584000,477453000,566349000,31895000,9317000,12747000,9410000,7375000,4655000,48680000,613005000,75247000,32369000,688252000,736932000,407929000,-578512000,-170583000,-170583000,566349000,8818000,11226000,1641000,-5330000.00000001,16355000,-3121000,-3121000,-12885000,280000,280000,-2.3283064365387e-10,-12605000,629000,629000,629000,34708000,622415000,27831000,0.7541,0.26425,0.09923,-0.0516899999999996,0.01557,3.15616,1.82613,-4.32007999999999,1.099,0.30539,0.29063,3.07754,-5.90764,0.96384,0.01673,0.0528,17.57338,25.97466
"9","2012_Q4",9.00048387096774,"Up",89952000,-21950000,68002000,-44445000,-27506000,-16939000,23557000,-12438000,-12438000,11119000,11119000,-1558000,9561000,9561000,9561000,9561000,12236000,12236000,67446000,67446000,21581000,2412000,101263000,139742000,370354000,112575000,192855000,510096000,611359000,37737000,8948000,13807000,17838000,10583000,7044000,66158000,626732000,78746000,34944000,705478000,771636000,408674000,-568951000,-160277000,-160277000,611359000,9561000,11376000,2745000,2650000,26332000,-3821000,-32375000,5604000,448000,448000,-251000,5801000,-242000,-242000,-242000,34933000,644570000,35320000,0.75598,0.26188,0.10629,-0.05965,0.01564,3.69417,1.53062,-4.81439,1.05432,0.33015,0.3114,3.10608,-5.53443,1.21961,0.01698,0.06273,18.10134,26.84272
"10","2013_Q1",12.2005,"Up",116174000,-25834000,90340000,-54492000,-35789000,-18703000,35848000,-13638000,-13638000,22210000,18967000,136991000,155958000,161097000,161097000,161097000,68999000,68999000,74553000,74553000,19774000,2436000,163326000,180162000,602327000,148409000,259337000,782489000,945815000,40132000,13307000,18122000,11269000,6602000,6602000,58003000,855467000,30106000,30106000,885573000,943576000,410808000,-408569000,2239000,2239000,945815000,161097000,12595000,-152404000,-9785000,11503000,-6039000,-199078000,256172000,761000,761000,-12595000,244338000,56763000,56763000,56763000,48443000,866736000,-104372000,0.77763,0.30857,1.38669,71.95042,0.17033,-0.64788,2.81582,421.42742,0.91639,5.53256,5.15593,3.98977,0.0768900000000006,-3.58445,0.17918,-0.11609,16.46754,22.25332
