"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","short_term_debt","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","change_in_insurance_reserves","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",49.7275806451613,"Up",7.323e+09,6.602e+09,2.83e+08,4.38e+08,2.6e+07,1.1e+07,4.01e+08,-2.773e+09,6.65e+08,6.65e+08,7.18e+08,-2.52e+08,4.66e+08,4.66e+08,0,4.66e+08,4.66e+08,2.3873e+10,2.867e+09,2.236e+09,1.714e+09,1.136e+09,1.022e+09,2.355e+10,5.3531e+10,2.26e+08,6.373e+09,4.986e+09,8.362e+09,4.4001e+10,3.374e+09,9.2e+07,3.282e+09,-5.253e+09,1.1962e+10,-5.53e+08,9.53e+09,92158713.0517339,9.53e+09,5.3531e+10,4.66e+08,4.66e+08,1.36e+08,-6.5e+07,-8.57e+08,-3.2e+08,5.7e+07,-3.77e+08,-4.41e+08,1.1e+07,-7.9e+07,6e+06,-8.5e+07,1e+07,-5.8e+07,-8.19e+08,-8.19e+08,1e+07,-8.09e+08,8.01e+08,5.212e+09,0.09081,0.06364,0.0489,0.00871,4.6171,0.09736,1.60759,1.60759,25.26261,32.87624,0.00988,3.71536,4.47519
"12","2013_Q1",56.9678333333333,"Up",7.62e+09,3.657e+09,2.9e+08,3.673e+09,3.215e+09,2.4e+07,4.34e+08,-2.971e+09,6.52e+08,6.52e+08,6.19e+08,-2.12e+08,4.07e+08,4.07e+08,-1e+06,4.06e+08,4.06e+08,2.366e+10,2.91e+09,2.978e+09,1.777e+09,1.12e+09,1.198e+09,2.3001e+10,5.3734e+10,2.01e+08,6.667e+09,4.986e+09,7.757e+09,4.3851e+10,3.387e+09,9.2e+07,3.295e+09,-5.277e+09,1.233e+10,-6.71e+08,9.769e+09,1.14e+08,9.883e+09,5.3734e+10,4.07e+08,4.07e+08,1.54e+08,85999999.9999999,1.46e+08,7.93e+08,2.49e+08,-1.63e+08,7e+06,-4.4e+07,-6e+07,6.3e+07,-1.23e+08,999999.999999998,-7.8e+07,721999999.999999,721999999.999999,2e+07,7.42e+08,8.06e+08,5.187e+09,0.08556,0.05328,0.04108,0.00756,4.43701,0.09653,1.40631,1.40631,26.39427,33.83801,0.00863,2.74069,3.38804
"13","2013_Q2",64.9984375,"Up",8.183e+09,7.314e+09,2.87e+08,5.82e+08,1.8e+07,1.39e+08,4.25e+08,-3.718e+09,7.4e+07,7.4e+07,7.4e+07,-1.5e+07,5.9e+07,5.9e+07,-2e+06,5.7e+07,5.7e+07,2.2499e+10,2.875e+09,3.306e+09,1.943e+09,1.109e+09,1.221e+09,2.4861e+10,5.4939e+10,4e+08,6.976e+09,4.995e+09,7.95e+09,4.5166e+10,3.397e+09,9.2e+07,3.305e+09,-5.309e+09,1.2328e+10,-7.56e+08,9.66e+09,1.13e+08,9.773e+09,5.4939e+10,5.9e+07,5.9e+07,1.5e+08,-1.599e+09,5.85e+08,-8.05e+08,1.101e+09,-5.5e+07,9.62e+08,1.95e+08,-4.1e+07,3.6e+07,-7.7e+07,3.1e+07,1.85e+08,3.42e+08,3.42e+08,-1.4e+07,3.28e+08,2.24e+08,5.395e+09,0.00904,0.00697,0.00583,0.00104,4.62151,0.0982,0.19706,0.19706,28.28962,33.39579,0.00119,9.32589,28.22973
"14","2013_Q3",75.3046875,"Up",7.98e+09,7.172e+09,2.89e+08,5.19e+08,55999999.9999995,2.6e+07,4.37e+08,-2.947e+09,7.67e+08,7.67e+08,7.67e+08,-2.61e+08,5.06e+08,5.06e+08,-1e+06,5.05e+08,5.05e+08,2.1631e+10,3.087e+09,3.209e+09,1.977e+09,1.191e+09,1.262e+09,2.4559e+10,5.3829e+10,1.53e+08,6.217e+09,5.03e+09,7.965e+09,4.3953e+10,3.418e+09,9.2e+07,3.326e+09,-5.435e+09,1.2806e+10,-1.014e+09,9.775e+09,1.01e+08,9.876e+09,5.3829e+10,5.06e+08,5.06e+08,1.49e+08,-7.34e+08,1.61e+08,82000000.0000002,3.17e+08,-7000000.00000001,1.85e+08,-2.14e+08,-1.45e+08,5.5e+07,-2e+08,3.8e+07,-3.39e+08,-7.2e+07,-7.2e+07,-2.5e+07,-96999999.9999999,9.16e+08,5.183e+09,0.09612,0.06328,0.05113,0.00938,4.45049,0.09629,1.75905,1.75905,27.79655,34.04903,0.01084,2.15502,2.57366
"15","2013_Q4",78.9003125,"Up",8.066e+09,7.206e+09,2.97e+08,5.63e+08,6.5e+07,2.7e+07,4.71e+08,-2.964e+09,7.99e+08,7.99e+08,7.99e+08,-2.46e+08,5.53e+08,5.53e+08,0,5.53e+08,5.53e+08,2.1795e+10,3.517e+09,3.055e+09,1.869e+09,1.451e+09,1.339e+09,2.4534e+10,5.4043e+10,2.05e+08,6.065e+09,5.034e+09,8.156e+09,4.4074e+10,3.436e+09,9.2e+07,3.344e+09,-5.93e+09,1.3327e+10,-9.59e+08,9.874e+09,9.5e+07,9.969e+09,5.4043e+10,5.53e+08,5.53e+08,1.46e+08,-8.8e+07,2.19e+08,8.3e+08,-1.54e+08,-4.8e+07,-4.07e+08,-7.9e+07,-5.18e+08,4.1e+07,-5.59e+08,-2e+07,-6.17e+08,-1.94e+08,-1.94e+08,4e+07,-1.54e+08,9.45e+08,5.239e+09,0.09906,0.06856,0.05547,0.01023,4.42111,0.09694,1.95018,1.95018,28.44518,34.82119,0.01153,2.31111,2.73342
"16","2014_Q1",79.4304918032787,"Up",8.151e+09,3.883e+09,2.91e+08,3.977e+09,3.462e+09,2.1e+07,4.94e+08,-2.964e+09,7.71e+08,5.36e+08,5.36e+08,-1.76e+08,3.6e+08,3.6e+08,1e+06,3.61e+08,3.61e+08,2.2365e+10,3.486e+09,2.795e+09,1.991e+09,1.464e+09,1.395e+09,2.4326e+10,5.4336e+10,2.33e+08,5.456e+09,5.014e+09,8.252e+09,4.3659e+10,3.448e+09,9.2e+07,3.356e+09,-6.037e+09,1.3676e+10,-5.2e+08,1.0567e+10,1.1e+08,1.0677e+10,5.4336e+10,3.6e+08,3.6e+08,1.52e+08,-1e+08,2e+08,6.12e+08,-5.46e+08,-6.6e+07,-7.25e+08,-1.8e+07,-1.49e+08,1.8e+07,-1.67e+08,-8e+06,-1.59e+08,-2.72e+08,-2.72e+08,1.2e+07,-2.6e+08,9.23e+08,5.247e+09,0.09459,0.04429,0.03381,0.00664,4.08907,0.09657,1.29468,1.29468,29.23255,37.89724,0.00716,2.65655,3.18029
"17","2014_Q2",82.757619047619,"Up",8.496e+09,6.676e+09,2.77e+08,1.543e+09,1.006e+09,4.2e+07,4.95e+08,-3.146e+09,9.05e+08,8.53e+08,8.53e+08,-3.24e+08,5.29e+08,5.29e+08,-1e+06,5.28e+08,5.28e+08,2.3105e+10,3.146e+09,2.276e+09,2.432e+09,1.45e+09,1.438e+09,2.4472e+10,5.5173e+10,2.1e+08,5.791e+09,5.022e+09,8.388e+09,4.4508e+10,3.484e+09,9.2e+07,3.392e+09,-6.631e+09,1.4136e+10,-4.33e+08,1.0556e+10,1.09e+08,1.0665e+10,5.5173e+10,5.29e+08,5.29e+08,1.5e+08,-1.42e+08,-4.7e+07,4.9e+08,-4.21e+08,1.2e+07,-5.06e+08,-6e+06,-5.72e+08,4.3e+07,-6.15e+08,6e+07,-4.99e+08,-5.15e+08,-5.15e+08,-4e+06,-5.19e+08,1.055e+09,5.232e+09,0.10652,0.06215,0.04951,0.00957,4.17328,0.09483,1.92373,1.92373,30.95454,38.46,0.01069,2.8019,3.2663
"18","2014_Q3",90.2359375,"Up",8.733e+09,6.8e+09,2.94e+08,1.639e+09,1.027e+09,6.5e+07,5.47e+08,-3.096e+09,9.49e+08,9.01e+08,9.01e+08,-3.29e+08,5.72e+08,5.72e+08,1e+06,5.73e+08,5.73e+08,2.3752e+10,3.021e+09,1.967e+09,2.657e+09,1.498e+09,1.51e+09,2.4545e+10,5.5929e+10,1.21e+08,5.76e+09,5.022e+09,8.643e+09,4.4878e+10,3.497e+09,9.2e+07,3.405e+09,-6.964e+09,1.4677e+10,-2.73e+08,1.0937e+10,1.14e+08,1.1051e+10,5.5929e+10,5.72e+08,5.72e+08,1.39e+08,-9.2e+07,-1.07e+08,5.12e+08,-4000000.00000006,-1.83e+08,-3.26e+08,-9e+07,-3.77e+08,3.7e+07,-4.14e+08,-2.8e+07,-5.08e+08,-3.22e+08,-3.22e+08,1.3e+07,-3.09e+08,1.088e+09,5.143e+09,0.10867,0.06561,0.05185,0.01025,4.06099,0.09196,2.12284,2.12284,32.35391,40.51926,0.01142,2.91912,3.34668
"19","2014_Q4",95.08921875,"Up",8.757e+09,6.832e+09,2.92e+08,1.633e+09,1.027e+09,2.3e+07,5.83e+08,-3.241e+09,8.64e+08,8.18e+08,8.18e+08,-2.87e+08,5.31e+08,5.31e+08,3e+06,5.34e+08,5.34e+08,2.4061e+10,2.954e+09,1.621e+09,2.574e+09,1.494e+09,1.501e+09,2.4402e+10,5.5653e+10,1.21e+08,5.415e+09,5.024e+09,8.582e+09,4.4385e+10,3.501e+09,9.2e+07,3.409e+09,-7.121e+09,1.5196e+10,-4.19e+08,1.1157e+10,1.11e+08,1.1268e+10,5.5653e+10,5.31e+08,5.31e+08,1.46e+08,-9.7e+07,-1.1e+08,4.7e+08,-4.2e+08,-3.9e+07,-5.73e+08,-8e+06,-2.14e+08,1.3e+07,-2.27e+08,-7e+06,-2.17e+08,-3.2e+08,-3.2e+08,-2.6e+07,-3.46e+08,1.01e+09,5.145e+09,0.09866,0.06098,0.04739,0.0096,3.93903,0.09245,2.00834,2.00834,32.93455,41.9608,0.01063,3.48911,4.0787
"20","2015_Q1",112.128196721311,"Up",8.928e+09,6.906e+09,3.03e+08,1.719e+09,1.081e+09,2.4e+07,6.14e+08,-3.331e+09,7.81e+08,7.32e+08,7.32e+08,-2.7e+08,4.62e+08,4.62e+08,5e+06,4.67e+08,4.67e+08,2.4342e+10,3.089e+09,1.42e+09,2.757e+09,1.502e+09,1.502e+09,2.4347e+10,5.587e+10,1.47e+08,6.264e+09,4.979e+09,8.328e+09,4.4991e+10,2.843e+09,7.4e+07,2.769e+09,-1.422e+09,1.0289e+10,-9.36e+08,1.0774e+10,1.05e+08,1.0879e+10,5.587e+10,4.62e+08,4.62e+08,1.53e+08,6e+07,1.1e+07,6.86e+08,-2.37e+08,-1.01e+08,-4.61e+08,-7999999.99999994,-3.39e+08,1.7e+07,-3.56e+08,1e+06,-4.11e+08,-1.86e+08,-1.86e+08,-1.5e+07,-2.01e+08,9.34e+08,5.126e+09,0.08748,0.05231,0.04293,0.00836,4.13558,0.09175,1.76805,1.76805,33.80115,40.79006,0.00941,3.96788,4.7452
