"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",9.14714285714286,"Up",363370000,-167947000,195423000,-32147000,-8660000,-19650000,163276000,-642000,-642000,162634000,162634000,-32769000,129865000,129865000,129865000,129865000,173293000,155792000,17501000,92551000,92551000,75286000,21384000,16684000,362514000,629669000,18178000,18178000,647847000,1010361000,75612000,13821000,61791000,2906000,4622000,4622000,83140000,2257000,127844000,125900000,130101000,213241000,611293000,185827000,797120000,797120000,1010361000,129865000,19650000,2253000,9636000,3629000,-4339000,10346000,161404000,-16885000,-16885000,-2673000,-766000,123647673.001499,-3439000,141080000,141080000,141080000,182926000,5163000,208446000,0.53781,0.44934,0.35739,0.16292,0.12853,4.36028,0.26751,0.00511,2.46414,2.46414,6.8948,15.12504,3.95518,0.05072,0.14249,0.02058,-0.91911,-1.02973
"2","2017_Q4",12.0696825396825,"Up",311955000,-196549000,115406000,-32636000,-9243000,-23393000,82770000,-640000,-640000,82130000,82130000,37587000,119717000,119717000,119717000,119717000,251554000,234053000,17501000,128541000,128541000,33902000,38839000,18958000,452836000,646395000,21394000,21394000,667789000,1120625000,70761000,16593000,54168000,2936000,4538000,4538000,78235000,1512000.00000006,126485000,126485000,127997000,206232000,611526000,302867000,914393000,914393000,1120625000,119717000,23393000,-3773000,-23228000,-35990000,37003000,-24241000,116109000,-34408000,-34408000,-2677000.00000012,-763000,35202557.6671663,-3440000,78261000,78261000,78261000,106163000,4448000,10940000,0.36994,0.26533,0.38376,0.13093,0.10683,5.78815,0.22554,0.00396999999999997,2.26737,2.26711,5.90824,17.31805,0.2072,0.0507000000000008,0.11709,0.0223599999999983,-2.32761,-2.98545
"3","2018_Q1",17.8947540983607,"Up",239803000,-142133000,97670000,-18295000,-13380000,-17788000,79375000,-5057000,-5057000,74318000,61445000,35711000,97156000,97156000,97156000,97156000,52971000,35470000,17501000,117746000,117746000,54294000,43858000,29376000,268869000,666749000,57697000,57697000,724446000,993315000,94780000,28076000,66704000,2965000,10475000,10475000,108220000,342948000,129124000,128866000,472072000,580292000,330527000,82496000,413023000,413023000,993315000,97156000,17788000,6281000,-29779000,10795000,-17804000,-22770000,91446000,-29954000,-29954000,-601552000,343479000,-2562000,-260635000,-199143000,-199143000,-199143000,97163000,345913000,1719000,0.40729,0.331,0.40515,0.23523,0.09781,2.48447,1.40499,0.34824,1.84008,1.83987,4.54172,7.82241,0.03256,11.39303,0.78678,6.19161,3.01495,3.69061
"4","2018_Q2",20.3496875,"Up",421788000,-198460000,223328000,-36074000,-8234000,-24552000,187254000,-8560000,-8560000,178694000,178694000,127447290.810469,178694000,178694000,178694000,178694000,339525000,322024000,17501000,152325000,152325000,51282000,31965000,19023000,575097000,667405000,59108000,59108000,726513000,1301610000,100328000,30996000,69332000,2995000,16712000,16712000,120035000,465545000,131120000,131120000,596665000,716700000,326405000,258505000,584910000,584910000,1301610000,178694000,24552000,1991000,-11499000,-34579000,1784000,21296000,193738000,-22542000,-22542000,-2685000,126110000,-8033000,115392000,286588000,286588000,286588000,211806000,468540000,-48039994.9333981,0.52948,0.44395,0.42366,0.30551,0.13729,4.79108,1.22532,0.35997,3.36213,3.36194,7.93595,11.0051,-0.92625567192389,0.0505199999999988,0.15312,0.0150300000000003,0.60912,0.688979999999999
"5","2018_Q3",20.3963492063492,"Up",322555000,-185881000,136674000,-35578000,-13465000,-21127000,101096000,-9784000,-9784000,91312000,91312000,264055278.743132,91312000,91312000,91312000,91312000,72588000,55087000,17501000,129946000,129946000,59446000,31024000,20750000,293004000,676205000,60574000,60574000,736779000,1029783000,106599000,40124000,66475000,2257000,6837000,6837000,115693000,465860000,133360000,133360000,599220000,714913000,238696000,88274000,314870000,314870000,1029783000,91312000,21127000,6394000,13686000,22379000,-7174000,-1519000,132519000,-32877000,-32877000,-352665000,-748000,-1068000,-366581000,-266939000,-266939000,-266939000,122223000,468117000,-129779103.090937,0.42372,0.31342,0.28309,0.29,0.08867,2.5326,2.2705,0.45458,1.7293,1.72737,6.10865,5.96311,-2.49571081796517,6.67888,0.48451,3.8622,3.23613,3.91241
"6","2018_Q4",20.43,"Up",273304000,-173892000,99412000,-36693000,-7357000,-26071000,62719000,-10128000,-10128000,52591000,52591000,334016877.304228,52591000,52591000,52591000,52591000,147656000,130155000,17501000,113750000,113750000,66771000,39374000,28020000,367551000,672471000,60096000,60096000,732567000,1100118000,124200000,37077000,87123000,1512000,9039000,9039000,134751000,466079000,133594000,133594000,599673000,734424000,239561000,138233000,365694000,365694000,1100118000,52591000,26071000,2735000,20945000,16196000,-5677000,10426000,102342000,-23805000,-23805000,-2631999.99999988,-782000,-54000,-3468000,75068999.9999999,75068999.9999999,75068999.9999999,88790000,467591000,-165493909.703007,0.36374,0.22948,0.19243,0.14381,0.0478,2.72763,2.0083,0.42504,0.99612,0.99565,5.1766,6.92655,-3.17669555502386,0.0498500000000002,0.0571099999999999,0.0500500000000001,3.60328,5.10109
"7","2019_Q1",21.9127868852459,"Up",360360000,-168584000,191776000,-25490000,-7570000,-25459000,166286000,-8842000,-8842000,157444000,148376000,225814000,374190000,374190000,374190000,374190000,223078000,205577000,17501000,138399000,138399000,56719000,50973000,27932000,469169000,660742000,265129000,42349000,925871000,1395040000,115930000,33588000,82342000,760000,7742000,7742000,124432000,468231000,89765000,89765000,557996000,682428000,240360000,510282000,712612000,712612000,1395040000,374190000,25459000,-245209000,-23643000,-24649000,9255000,-8249000,130797000,-19468000,-28405000,-2653000,1110000,504000,-26969000,75423000,75423000,75423000,191745000,468991000,-77180000.0000001,0.53218,0.46144,1.03838,0.5251,0.26823,3.77049,0.95764,0.33618,7.12743,7.08197,6.864,13.57356,-1.4701,0.05053,0.29641,0.00709,1.2825,1.47886
"8","2019_Q2",24.9919047619048,"Up",378290000,-190373000,187917000,-31138000,-8905000,-22233000,156779000,-8592000,-8592000,148187000,138431000,-27984000,110447000,110447000,110447000,110447000,172413000,154912000,17501000,182728000,182728000,70356000,40509000,19199000,466006000,696214000,237781000,42985000,933995000,1400001000,111678000,42222000,69456000,4391550.15743678,9822000,9822000,121500000,338699000,120738000,120738000,459437000,580937000,240941000,618123000,819064000,819064000,1400001000,110447000,22233000,40127000,-46399000,-44329000,-10823000,8753000,126408000,-24161000,-29739000,-2606000.00000001,-142229000,-527000,-147332000,-50663000,-50663000,-50663000,179012000,338699000,136436000,0.49675,0.41444,0.29196,0.13485,0.07889,3.83544,0.70927,0.24193,2.14414,2.1392,7.34387,15.90076,2.64868,0.05059,0.0884300000000001,0.0236000000000002,0.92891,1.06064
"9","2019_Q3",20.77,"Down",397613000,-213207000,184406000,-36461000,-10783000,-25678000,147945000,10592000,-6951000,158537000,158537000,-33056000,125481000,125481000,125481000,125481000,133568000,119318000,14250000,160834000,160834000,69234000,37140000,26485000,400776000,697511000,192191000,30365000,889702000,1290478000,107209000,36467000,70742000,8659000,5389000,5389000,121257000,370020000,86543000,86543000,456563000,577820000,241553000,511105000,712658000,712658000,1290478000,125481000,25678000,35552000,44719000,21894000,190000,22635000,231430000,-24876000,-28116000,-232604000,-5697000,-610000,-238911000,-35597000,-35597000,-35597000,173623000,378679000,226522000,0.46378,0.37208,0.31559,0.17607,0.09724,3.30518,0.8108,0.29344,2.43402,2.42935,7.7127,13.82379,4.39396,4.51194,0.30401,1.8537,1.41174,1.65677
"10","2019_Q4",19.00875,"Down",287505000,-197804000,89701000,-35103000,-9362000,-25741000,54598000,-1978000,-7250000,52620000,52620000,-7599000,45021000,45021000,45021000,45021000,232844000,208673000,24171000,109245000,109245000,81918000,38851000,27915000,462858000,702599000,184125000,29898000,886724000,1349582000,135238000,50821000,84417000,9614000,5327000,5327000,150179000,366387000,87079000,87079000,453466000,603645000,242991000,553522000,745937000,745937000,1349582000,45021000,25741000,10308000,69357000,51589000,-9655000,27423000,150427000,-26205000,-42455000,-2603999.99999997,-5432000.00000001,-2000,-18614000,89358000,89358000,89358000,80339000,376001000,131090000,0.312,0.1899,0.15659,0.06035,0.03336,3.08204,0.80924,0.27861,0.87687,0.87394,5.59969,14.5285,2.55322,0.0507200000000019,0.0393899999999999,0.0578400000000001,1.78191,2.62202
