"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.7930158730159,"Up",6.79e+08,-5.43e+08,1.36e+08,-8.5e+07,-6.7e+07,-1.8e+07,5.1e+07,-9e+06,-9e+06,-9e+06,6122308.79458096,-21841498.9515916,4.2e+07,4.2e+07,-1.1e+07,3e+06,3.4e+07,3.4e+07,-5e+06,2.9e+07,2.9e+07,391923754.07322,394108799.496996,244453221.701612,182526855.971275,590423954.401372,110385315.41761,1409327786.14748,1072741848.37989,710158522.511457,4483351.80041607,53082985.4806836,292346895.71526,72420635.8791493,301543315.197373,1780715325.46757,3190043111.61505,552611545.31173,91897615.7166349,460713929.595096,5011372.53155744,631465357.988816,608663993.930344,536508714.332679,-11150773.4664086,547659487.799088,1145172708.26302,1776638066.25184,116304271.099572,-1866213.05681864,959802026.836436,208815275.699986,1283055358.94028,130349686.422935,1413405045.36321,3190043111.61505,3.4e+07,3.3e+07,5e+06,-1.04e+08,-3.2e+07,-1e+07,-1.3e+07,-1.3e+07,-5e+06,-1.5e+07,-1.2e+07,0,-1e+06,-118948753.9118,-1e+06,-1.2e+07,-5.9e+07,-5.9e+07,-3e+06,-6.2e+07,8.4e+07,0,-1.9e+07,0.20029,0.07511,0.04271,-0.0404922030571324,-0.0226012107255485,-0.65517,2.11686557332437,1.2677730955121,0.186788018986547,0.46032,0.45312,10.77778,19.0394500634099,-0.30159,0.19048,-0.0231386240979754,-0.0406364741496212,0.41379,16.9785421616094,64.9860606647891
"2","2010_Q3",21.7109375,"Down",7.12e+08,-5.72e+08,1.4e+08,-8e+07,-6.1e+07,-1.9e+07,6e+07,-1.5e+07,-1.1e+07,-1.1e+07,2374102.93152699,-4e+06,4.5e+07,4.5e+07,1e+06,1e+06,4.7e+07,4.7e+07,-4e+06,4.3e+07,4.3e+07,2.49e+08,2.48e+08,5.48e+08,3.74e+08,9.7e+07,6.5e+07,1.268e+09,9.56e+08,4.61e+08,2e+06,3.6e+07,2.4e+08,5.8e+07,1.25e+08,1.418e+09,2.686e+09,4e+08,2.3e+07,3.77e+08,5.9e+07,4.64e+08,6.02e+08,3.19e+08,1.1e+07,3.08e+08,9.21e+08,1.385e+09,9.7e+07,-2e+06,1.067e+09,3.3e+07,1.195e+09,1.06e+08,1.301e+09,2.686e+09,4.7e+07,3.4e+07,1.1e+07,-4.8e+07,4.4e+07,-1.8e+07,-1.8e+07,-1.8e+07,-1e+06,-1.9e+07,-1.1e+07,3e+06,-1e+06,-33982917.9706001,-1e+06,-1.5e+07,1e+07,1e+07,-4e+06,6e+06,9.4e+07,6.61e+08,2.7e+07,0.19663,0.08427,0.06039,0.03305,0.01601,0.62791,2.73276,1.06457,0.24609,0.66154,0.67188,10.95385,18.38462,0.41538,0.16923,0.02367,0.01184,0.25581,4.38298,6.86667
"3","2010_Q4",26.73859375,"Up",7.53e+08,-5.99e+08,1.54e+08,-7.7e+07,-6.1e+07,-1.6e+07,7.7e+07,-7e+06,-9e+06,-1e+07,1e+06,2e+06,7e+07,7e+07,-2e+07,1e+06,5.1e+07,5.1e+07,-4e+06,4.7e+07,4.7e+07,2.96e+08,2.95e+08,5.87e+08,3.57e+08,9.1e+07,6e+07,1.331e+09,9.21e+08,4.51e+08,2e+06,3.5e+07,2.31e+08,5.8e+07,1.25e+08,1.373e+09,2.704e+09,4.16e+08,1.9e+07,3.97e+08,6.3e+07,4.85e+08,6.01e+08,2.77e+08,1.2e+07,2.65e+08,8.78e+08,1.363e+09,1e+08,-2e+06,1.102e+09,3.5e+07,1.235e+09,1.06e+08,1.341e+09,2.704e+09,5.1e+07,4e+07,1.6e+07,-2e+07,8.7e+07,-2.3e+07,-2.6e+07,-2.6e+07,0,-2.3e+07,-1.2e+07,2e+06,-1e+06,2e+06,-3e+06,-1.2e+07,5.2e+07,5.2e+07,-5e+06,4.7e+07,1.17e+08,6.64e+08,9.4e+07,0.20452,0.10226,0.06242,0.03505,0.01738,2,2.74433,1.01641,0.24556,0.73438,0.72755,11.76562,19.29688,1.46875,0.1875,0.02585,0.04119,0.25532,3.1453,4.77922
"4","2011_Q1",32.7459677419355,"Up",5.72e+08,-4.92e+08,8e+07,-6.4e+07,-5.2e+07,-1.2e+07,1.6e+07,-7e+06,-9e+06,-1e+07,1e+06,2e+06,9e+06,9000000.00000001,-3.72529029846191e-09,2e+06,1.1e+07,3.7e+07,-2e+06,3.5e+07,3.5e+07,3.87e+08,3.87e+08,5.4e+08,3.07e+08,2.04e+08,7.1e+07,1.438e+09,9.37e+08,5.11e+08,3302094.87526004,3.9e+07,2.45e+08,6.1e+07,1.66e+08,1.448e+09,2.886e+09,4.65e+08,3.4e+07,4.31e+08,5.2e+07,5.39e+08,6e+08,3.1e+08,6e+06,3.04e+08,9.1e+08,1.449e+09,1.11e+08,-2e+06,1.125e+09,8.8e+07,1.322e+09,1.15e+08,1.437e+09,2.886e+09,3.7e+07,3.6e+07,-1.1e+07,8.8e+07,1.5e+08,-5.1e+07,-5.1e+07,-5.1e+07,1e+06,-5.5e+07,-1.2e+07,-1.3e+07,7e+06,7e+06,0,-1.8e+07,7.7e+07,7.7e+07,1.5e+07,9.2e+07,5.2e+07,6.52e+08,8.9e+07,0.13986,0.02797,0.06119,0.02436,0.01213,2.54286,2.6679,1.00835,0.22592,0.54688,0.5418,8.9375,20.65625,1.39062,0.1875,0.01959,0.0371,0.34286,5.09615,16.5625
"5","2011_Q2",32.0957142857143,"Down",6.94e+08,-5.63e+08,1.31e+08,-7.8e+07,-6.3e+07,-1.5e+07,5.3e+07,-7e+06,-9e+06,-1e+07,1e+06,2e+06,4.6e+07,4.6e+07,1.5e+07,3e+06,6.4e+07,8e+07,-5e+06,7.5e+07,7.5e+07,3.88e+08,3.88e+08,5.71e+08,3.8e+08,1.11e+08,7.6e+07,1.45e+09,9.72e+08,4.89e+08,4e+06,3.8e+07,2.61e+08,5.7e+07,1.29e+08,1.461e+09,2.911e+09,4.29e+08,2.7e+07,4.02e+08,5.9e+07,4.93e+08,5.94e+08,3.24e+08,6e+06,3.18e+08,9.18e+08,1.411e+09,1.17e+08,-2e+06,1.188e+09,7.8e+07,1.381e+09,1.19e+08,1.5e+09,2.911e+09,8e+07,3.5e+07,-2e+07,-5.5e+07,4e+07,-3.1e+07,-3.1e+07,-3.1e+07,1e+06,-3e+07,-1.2e+07,1e+06,1e+06,1e+06,10629908.8094147,-1e+07,0,0,1e+06,1e+06,8.8e+07,6.53e+08,-1.3e+07,0.18876,0.07637,0.10807,0.05,0.02576,-0.17333,2.94118,0.94067,0.22432,1.1646,1.15031,10.7764,21.4441,-0.20186,0.18634,0.03512,-0.00525,0.16,3.01136,5
"6","2011_Q3",26.426875,"Down",7.39e+08,-6.05e+08,1.34e+08,-8e+07,-6.2e+07,-1.8e+07,5.4e+07,-6e+06,-1e+07,-1e+07,-1.16415321826935e-10,4e+06,4.8e+07,4.8e+07,-9e+06,1e+06,4e+07,5.6e+07,-5e+06,5.1e+07,5.1e+07,3.66e+08,3.66e+08,6.21e+08,4.27e+08,1.16e+08,8.3e+07,1.53e+09,9.94e+08,4.9e+08,4e+06,3.9e+07,2.58e+08,5.7e+07,1.32e+08,1.484e+09,3.014e+09,4.4e+08,2.7e+07,4.13e+08,7.4e+07,5.2e+08,5.88e+08,3.39e+08,6e+06,3.33e+08,9.27e+08,1.447e+09,1.26e+08,-1e+06,1.227e+09,9.1e+07,1.443e+09,1.24e+08,1.567e+09,3.014e+09,5.6e+07,3.5e+07,1.5e+07,-8.8e+07,1.8e+07,-4.1e+07,-4.1e+07,-4.1e+07,-2e+06,-4.3e+07,-1.2e+07,9e+06,2e+06,2e+06,14037504.1794497,-4e+06,-2.9e+07,-2.9e+07,7e+06,-2.2e+07,8.9e+07,6.62e+08,-3.1e+07,0.18133,0.07307,0.06901,0.03255,0.01692,-0.60784,2.94231,0.92342,0.21964,0.78947,0.77982,11.43963,22.33746,-0.47988,0.18576,0.02453,-0.01207,0.23529,3.32584,5.48148
"7","2011_Q4",23.3192063492064,"Down",8.36e+08,-6.84e+08,1.52e+08,-7.7e+07,-6.1e+07,-1.6e+07,7.5e+07,-1.3e+07,-8e+06,-9e+06,1e+06,-5e+06,6.2e+07,6.2e+07,-1e+07,2e+06,5.4e+07,6.7e+07,-7e+06,6e+07,6e+07,3.44e+08,3.44e+08,6.97e+08,4.34e+08,1.05e+08,7.3e+07,1.58e+09,1.03e+09,4.92e+08,4e+06,4.1e+07,2.55e+08,5.8e+07,1.34e+08,1.522e+09,3.102e+09,4.49e+08,2e+07,4.29e+08,8.7e+07,5.42e+08,5.78e+08,3.47e+08,6e+06,3.41e+08,9.25e+08,1.467e+09,1.25e+08,-1e+06,1.276e+09,1.1e+08,1.51e+09,1.25e+08,1.635e+09,3.102e+09,6.7e+07,3.5e+07,2e+06,-4.5e+07,5.9e+07,-5.7e+07,-5.7e+07,-5.7e+07,-6e+06,-6.5e+07,-1.1e+07,1e+06,-8e+06,1e+06,-9e+06,-2.1e+07,-2.7e+07,-2.7e+07,5e+06,-2.2e+07,1.1e+08,6.65e+08,1.8e+07,0.18182,0.08971,0.07177,0.0367,0.01934,0.3,2.91513,0.89725,0.21438,0.92593,0.91463,12.90123,23.30247,0.27778,0.16975,0.02682,0.0068,0.18333,2.91818,4.28
"8","2012_Q1",30.236935483871,"Up",8.33e+08,-6.92e+08,1.41e+08,-8e+07,-6.3e+07,-1.7e+07,6.1e+07,-1.4e+07,-1e+07,-1e+07,2.3283064365387e-10,-4e+06,4.7e+07,4.7e+07,-2e+06,2e+06,4.7e+07,5.5e+07,-5e+06,5e+07,5e+07,2.86e+08,2.86e+08,6.59e+08,3.93e+08,2.17e+08,7.6e+07,1.555e+09,1.036e+09,5.5e+08,3e+06,4e+07,2.61e+08,6e+07,1.86e+08,1.586e+09,3.141e+09,4.95e+08,3.4e+07,4.61e+08,1.43e+08,6.56e+08,5.56e+08,2.99e+08,8e+06,2.91e+08,8.55e+08,1.511e+09,8.2e+07,-1e+06,1.314e+09,1.06e+08,1.501e+09,1.29e+08,1.63e+09,3.141e+09,5.5e+07,3.7e+07,-1e+07,-4000000.00000001,7.8e+07,-9.5e+07,-1.01e+08,-1.01e+08,1e+06,-9.4e+07,-1.2e+07,2.4e+07,-4.3e+07,7e+06,-5e+07,-3.7e+07,-5.3e+07,-5.3e+07,-5e+06,-5.8e+07,9.8e+07,6.99e+08,1e+06,0.16927,0.07323,0.06002,0.03067,0.01592,0.02,2.37043,0.92699,0.22254,0.77399,0.76453,12.89474,23.23529,0.0154800000000001,0.18576,0.02359,0.00038,0.24,4.21429,6.77049
"9","2012_Q2",31.0207936507936,"Up",7.62e+08,-6.19e+08,1.43e+08,-8.2e+07,-6.5e+07,-1.7e+07,6.1e+07,-6e+06,-9e+06,-1e+07,1e+06,3e+06,5.5e+07,5.5e+07,-1.6e+07,1e+06,4e+07,5.1e+07,-5e+06,4.6e+07,4.6e+07,1.88e+08,1.88e+08,6.63e+08,4.13e+08,2.22e+08,6.8e+07,1.486e+09,1.051e+09,5.49e+08,65657137.7009308,3.9e+07,2.57e+08,6e+07,1.93e+08,1.6e+09,3.086e+09,4.51e+08,3e+07,4.21e+08,1.35e+08,6.04e+08,5.51e+08,2.97e+08,9e+06,2.88e+08,8.48e+08,1.452e+09,6.7e+07,-9e+06,1.348e+09,9.2e+07,1.498e+09,1.36e+08,1.634e+09,3.086e+09,5.1e+07,3.6e+07,1.1e+07,-7.8e+07,2e+07,-6.1e+07,-6.1e+07,-6.1e+07,-4e+06,-6.5e+07,-1.2e+07,-1.2e+07,-2.9e+07,1e+06,-3e+07,-4.8e+07,-9.3e+07,-9.3e+07,-5e+06,-9.8e+07,9.7e+07,6.86e+08,-2.6e+07,0.18766,0.08005,0.06037,0.02815,0.01491,-0.56522,2.46026,0.88862,0.22229,0.72441,0.71651,12,23.59055,-0.40945,0.18898,0.02216,-0.00994,0.26087,5.13402,8.16393
"10","2012_Q3",29.4055555555556,"Down",8.44e+08,-6.71e+08,1.73e+08,-8.6e+07,-6.6e+07,-2e+07,8.7e+07,-1.1e+07,-8e+06,-9e+06,1e+06,-3e+06,7.6e+07,7.6e+07,-2.3e+07,3e+06,5.6e+07,2.45e+08,-5e+06,2.4e+08,2.4e+08,3.66e+08,3.66e+08,7.59e+08,4.23e+08,1e+08,7.3e+07,1.648e+09,1.079e+09,7.02e+08,172346755.486591,4e+07,1.85e+08,6.2e+07,4.15e+08,1.781e+09,3.429e+09,5.51e+08,5.5e+07,4.96e+08,1.27e+08,6.84e+08,5.6e+08,2.96e+08,9e+06,2.87e+08,8.56e+08,1.54e+09,8.1e+07,-8e+06,1.576e+09,1.08e+08,1.757e+09,1.32e+08,1.889e+09,3.429e+09,2.45e+08,3.8e+07,-1.76e+08,-3.4e+07,7.3e+07,-5.6e+07,-5.6e+07,-5.6e+07,-2e+06,1.17e+08,-1.2e+07,-4e+06,8000000.00000001,8e+06,0,-1.4e+07,1.76e+08,1.76e+08,2e+06,1.78e+08,1.25e+08,6.87e+08,5.8e+07,0.20498,0.10308,0.28436,0.12705,0.06999,0.24167,2.40936,0.81525,0.20035,3.79147,3.75,13.33333,27.75671,0.91627,0.18957,0.08774,0.02019,0.05,2.568,3.68966
