"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",8.34328125,"Up",160103000,-60114000,99989000,-82992000,-82538000,-454000,16997000,-50000,16947000,16730000,-6242000,10488000,10488000,10488000,10488000,185913319.341676,216425035.167832,7166336.06882161,7166336.06882161,13173592.070063,5856991.43461127,3238614.25051477,-1300396.4414052,212110238.915172,29368189.5426123,22065003.7495117,2308032.3832022,37734150.1650566,249844389.080229,58661184.1429851,58674563.0924102,120499470.976244,120499470.976244,179160655.11882,15740390.9374649,15740390.9363875,15740390.9374649,194901046.056285,37530150.9546539,17162545.9146518,54943343.0239435,54943343.0239435,249844389.080229,10488000,3174000,694000,27654000,42010000,-1770000,-1770000,726000,739000,-13000,1077000,1803000,42043000,42043000,42043000,20171000,0,52297000,0.62453,0.10616,0.06551,0.296824836073912,0.0966991914148646,4.98637,1.05156907244299,3.22248161890299,-8.98665777465365e-13,0.19376,0.18991,2.9578,1.01131105253488,0.96615,0.246546246130831,1.8749299476815,-4.56077945767672,-5.52113216125557
"2","2011_Q1",11.0038709677419,"Up",148668000,-54943000,93725000,-82205000,-81779000,-426000,11520000,-67000,11453000,11410000,-4292000,7118000,7118000,7118000,7118000,76016000,76016000,9909000,9909000,19647000,11337000,6388000,652000,116909000,32953000,20095000,4130000,53048000,169957000,42025000,42025000,54831000,54831000,96856000,15124000,15124000,15124000,111980000,37354000,20623000,57977000,57977000,169957000,7118000,3313000,5288000,-14911000,808000,-3828000,-3828000,137000,155000,-18000.0000000001,-125000,12000,-3008000,-3008000,-3008000,14833000,0,386000,0.63043,0.07749,0.04788,0.12277,0.04188,0.0542299999999996,1.20704,1.93146,0,0.13093,0.12835,2.73463,1.06644,0.00710000000000044,0.09737,0.00528,-5.12479,-6.59861
"3","2011_Q2",15.4088888888889,"Up",193068000,-69967000,123101000,-96625000,-95894000,-731000,26476000,-30000,26446000,26368000,-9785000,16583000,16583000,16583000,16583000,50943310.2194413,35782404.9440561,9011304.64372613,9011304.64372613,21247802.6433123,14827669.5217962,7726295.24982841,2802132.14713507,96030087.028276,34806520.1524626,18299248.7501628,4668989.20559927,65212949.9449811,161243036.973257,37288938.619005,37284478.9691966,38195009.6745854,38195009.6745854,75483948.2937266,15152036.3541784,15152036.3545375,15152036.3541784,90635984.647905,38589366.3484487,32083651.3617827,70607052.3253522,70607052.3253522,161243036.973257,16583000,3162000,2358000,10120000,32223000,-2744000,-5394000,-140000,143000,-283000,-823000,-963000,25866000,25866000,25866000,29638000,0,46799000,0.6376,0.13713,0.08589,0.087736721308696,0.0371652695283785,2.82211,1.291166142519,1.338355293699,2.99555259155122e-13,0.30302,0.29625,3.5279,1.2921263158217,0.85515,0.0703312512897231,-0.369142482560501,-4.57339434744109,-5.80031344624814
"4","2011_Q3",15.7596875,"Up",161462000,-58958000,102504000,-84860000,-83637000,-1223000,17644000,-30000,17614000,17596000,-6307000,11289000,11289000,11289000,11289000,77625000,57645000,7134000,7134000,20579000,16617000,7740000,4728000,121955000,36232000,17081000,4518000,73325000,195280000,40171000,40171000,50037000,50037000,90208000,15385000,15385000,15385000,105593000,41219000,48495000,89687000,89687000,195280000,11289000,3224000,1674000,-14725000,1462000,-6834000,-46855000,701000,727000,-26000,455000,1156000,-44237000,-44237000,-44237000,20868000,-1.35525271560688e-20,5616000.00000001,0.63485,0.10928,0.06992,0.12587,0.05781,0.49748,1.35193,1.17735,0,0.20541,0.20038,2.93792,1.63192,0.10219,0.10744,0.0534499999999998,-3.71981,-4.39951
"5","2011_Q4",19.2722222222222,"Up",199600000,-73838000,125762000,-99296000,-98267000,-1029000,26466000,23000,26489000,26482000,-9246000,17236000,17236000,17236000,17236000,116355000,96367000,7973000,7973000,20996000,16986000,6930000,5927000,162310000,38847000,16686000,4303000,75613000,237923000,45819000,45819000,66792000,66792000,112611000,15199000,15199000,15199000,127810000,44353000,65731000,110113000,110113000,237923000,17236000,3400000,613000,19591000,40840000,-4903000,-4903000,1254000,1295000,-41000,1531000,2785000,38722000,38722000,38722000,29866000,0,53800000,0.63007,0.1326,0.08635,0.15653,0.07244,3.12137,1.44133,1.16072,0,0.31217,0.3045,3.61503,1.99429,0.97439,0.13754,0.42933,-3.8959,-4.3964
"6","2012_Q1",27.9909677419355,"Up",189073000,-70095000,118978000,-99002000,-97810000,-1192000,19976000,3999.99999999999,19980000,19974000,-4604000,15370000,15370000,15370000,15370000,136275000,116255000,13844000,13844000,24851000,16225000,5778000,6004000,191195000,43850000,17570000,4606000,71462000,262657000,50141000,50141000,68909000,68909000,119050000,14216000,14216000,14216000,133266000,48265000,81101000,129391000,129391000,262657000,15370000,3757000,1073000,-3679000,16521000,-9035000,964999.999999996,2170000,2191000,-21000.0000000001,232000,2402000,19888000,19888000,19888000,23733000,-2.16840434497101e-19,15623000,0.62927,0.10565,0.08129,0.11879,0.05852,1.01646,1.60601,1.02995,0,0.27731,0.27055,3.41127,2.33448,0.28187,0.10703,0.10879,-5.742,-6.82194
"7","2012_Q2",27.1271428571429,"Down",262383000,-98084000,164299000,-124404000,-123114000,-1290000,39895000,7000,39902000,34303000,-11886000,22417000,22417000,22417000,22417000,170954000,150943000,12454000,12454000,24884000,15595000,5079000,6042000,223887000,49456000,20509000,4958000,79994000,303881000,53873000,53873000,74141000,74141000,128014000,14422000,14422000,14422000,142436000,57914000,103518000,161445000,161445000,303881000,22417000,4245000,1986000,15870000,44518000,-9272000,-9272000,441000,1655000,-1214000,-999000,-558000,34688000,34688000,34688000,44140000,0,62624000,0.62618,0.15205,0.08544,0.13885,0.07377,2.79359,1.74893,0.88226,0,0.40289,0.39027,4.71573,2.9016,1.12552,0.12747,0.35609,-3.873,-4.2851
"8","2012_Q3",27.8887301587302,"Up",205219000,-73648000,131571000,-105716000,-104460000,-1256000,25855000,48000,25903000,25900000,-8927000,16973000,16973000,16973000,16973000,123096000,90324000,10908000,10908000,27301000,18402000,6905000,7008000,179707000,60311000,19956000,4583000,112634000,292341000,49644000,49644000,59018000,59018000,108662000,14671000,14671000,14671000,123333000,48530000,120491000,169008000,169008000,292341000,16973000,4804000,-179000,-22883000,-1284999.99999999,-3179000,-48530000,-12527000,282000,-12809000,1723000,-10804000,-60619000,-60619000,-60619000,30659000,3.46944695195361e-18,13524000,0.64112,0.12599,0.08271,0.10043,0.05806,0.79679,1.65382,0.72975,-3.23117426778526e-27,0.30461,0.29624,3.68304,3.03317,0.24271,0.09241,0.07363,-4.015,-4.76101
"9","2012_Q4",27.6345161290323,"Down",246817000,-86088000,160729000,-120396000,-118654000,-1742000,40333000,73000,40406000,40298000,-14089000,26209000,26209000,26209000,26209000,157640000,110408000,15215000,15215000,28997000,21693000,8098000,9141000,223545000,68301000,18688000,4994000,122507000,346052000,64816000,64816000,76642000,76642000,141458000,16030000,16030000,16030000,157488000,41845000,146700000,188564000,188564000,346052000,26209000,5362000,2165000,20667000,54403000,-24323000,-32109000,-8706000,1342000,-10048000,6496000,-2210000,20084000,20084000,20084000,45695000,0,56128000,0.65121,0.16341,0.10619,0.13899,0.07574,2.14155,1.58029,0.8352,0,0.47272,0.46084,4.45173,3.40104,1.01236,0.1281,0.27434,-3.44983,-3.90846
"10","2013_Q1",22.2508333333333,"Down",220559000,-80612000,139947000,-120648000,-118742000,-1906000,19299000,90000,19389000,19504000,-7009000,12495000,12495000,12495000,12495000,139179000,87915000,16613000,16613000,35564000,19222000,4299000,9522000,210578000,79356000,13445000,2053000,131443000,342021000,73033000,67703000,60028000,60028000,133061000,15263000,15263000,15263000,148324000,34482000,159195000,193697000,193697000,342021000,12495000,5990000,3502000,-18997000,2990000.00000001,-14774000,-22191000,-8962000,1859000,-10821000,5670000,-3292000,-22493000,-22493000,-22493000,25289000,-2.77555756156289e-17,-1473000.00000001,0.63451,0.0875,0.05665,0.06451,0.03653,-0.11789,1.58257,0.76575,-5.16987882845642e-26,0.22611,0.22038,3.99122,3.50513,-0.0266600000000001,0.0598,-0.00705000000000006,-5.50354,-7.21172
