"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",8.75,"Up",95576000,-36371000,59205000,-43604000,-21686000,-21918000,15601000,-4683000,-11723000,7040000,10918000,10918000,1049000,11967000,11967000,-130000,11837000,11837000,58280615.5326987,58280615.5326987,44090869.9052483,44090869.9052483,6414811.3406711,1491044.16519408,4921541.76226983,126441969.202389,353843272.732302,353843272.732302,96975625.1446719,623949189.753623,521449454.523649,63521716.1929169,4569130.3692059,1074768087.6306,1201210056.83299,40683088.8272613,20244006.5591633,8950630.92389029,-2288132.09523392,33739726.1660659,34412710.3417364,72134682.8980933,876939576.761208,154816025.069417,37715495.8847928,87578656.4885904,29521872.696034,1031755601.83063,1103890284.72872,100295383.59627,-7784897.47190657,92510486.1246727,4809285.97959472,97319772.1042674,1201210056.83299,24673000,-10733000,25000,25000,-10758000,-10758000,-10733000,0,-11553000,2387000,2387000,2387000,0,0.61945,0.16323,0.12385,0.0161703493454211,0.00534670129293611,1.79868673786137,5.80054540770562,0.729210876510924,0.40139,0.40139,3.24096,3.13748602869919,0.0158066645228481,59.5045237207897
"2","2011_Q1",8.68758064516129,"Down",93751000,-34342000,59409000,-44368000,-22146000,-22222000,15041000,-6105000,-13065000,6960000,8936000,8936000,-1976000,6960000,6960000,-172000,6788000,6788000,67654000,67654000,42012000,42012000,18612000,6450000,6490000,136250000,356057000,356057000,99105000,618134000,520562000,79950000,5275000,1073296000,1209546000,44151000,9972000,22649000,132000,31309000,24935000,75592000,883993000,178086000,80621000,73628000,23837000,1062079000,1137671000,98424000,-31471000,66953000,4922000,71875000,1209546000,36397000,-10271000,68000,68000,-10339000,-10339000,-10271000,-55000.0000000001,-14433000,11693000,11693000,11693000,884125000,0.63369,0.16044,0.0724,0.09444,0.00561,1.80244,15.82847,0.73096,0.23018,0.23018,3.17908,2.27036,0.01615,54.28303
"3","2011_Q2",9.12047619047619,"Up",95441000,-35684000,59757000,-42857000,-20699000,-22158000,16900000,-4795000,-11939000,7144000,12105000,12105000,-4608000,7497000,7497000,-132000,7365000,7365000,75107794.8224338,75107794.8224338,39458043.3649172,39458043.3649172,21687729.5531096,7899735.27826864,5456986.07924339,142569176.932537,351134659.089233,351134659.089233,99573124.951776,612545770.082126,520266181.82545,78649761.2690277,5550039.87693137,1063253554.12313,1205822731.05567,43390053.7242462,8261081.14694558,23566873.0253699,2416710.69841131,28889507.9446447,23028346.5527545,74696272.3673023,885026974.41293,181228158.310194,87110251.3717357,71714697.8371365,22403209.101322,1066255132.72312,1140951405.09043,94217788.8012435,-34408700.8426978,59809087.9584424,5062238.00680176,64871325.9652442,1205822731.05567,31079000,-9928000,115000,115000,-10043000,-10043000,-9928000,-34000,-11564000,9587000,9587000,9587000,0,0.62611,0.17707,0.07717,0.10319571688486,0.0051585995690213,1.89513442071288,18.1786498640981,0.735686374496359,0.24975,0.24975,3.23639,2.02615382376694,0.015712778492384,49.4977295930701
"4","2011_Q3",9.23921875,"Up",92623000,-34267000,58356000,-41134000,-19147000,-21987000,17222000,-6090000,-12397000,6307000,11132000,8592000,-3079000,5513000,5513000,-162000,5351000,5351000,82007000,82007000,37058000,37058000,17115000,7453000,3926000,144437000,344181000,344181000,99085000,607378000,520562000,68880000,5589000,1050644000,1195081000,41728000,10799000,19338000,4570000,27060000,24820000,73358000,880219000,175026000,76625000,76126000,22275000,1055245000,1128603000,89040000,-27778000,61262000,5216000,66478000,1195081000,30124000,-10380000,281000,281000,-10661000,-10661000,-10324000,-37000.0000000002,-15034000,4766000,4766000,4766000,884789000,0.63004,0.18594,0.05777,0.08049,0.00448,1.96893,16.97709,0.74036,0.18082,0.18082,3.1299,2.07015,0.01505,46.61375
"5","2011_Q4",9.37174603174603,"Up",92548000,-33913000,58635000,-43309000,-21148000,-22161000,15326000,-6528000,-13447000,6919000,8798000,8689000,-2723000,5966000,5966000,-148000,5818000,5818000,92005000,92005000,35537000,35537000,17556000,6580000,4452000,152509000,337986000,337986000,98349000,601529000,520562000,63346000,5274000,1037864000,1190373000,43761000,11503000,20670000,6781000,25056000,25056000,75598000,877971000,173085000,72828000,79745000,20512000,1051056000,1126654000,83852000,-25497000,58355000,5364000,63719000,1190373000,32106000,-10511000,31000,31000,-10542000,-10542000,-10408000,-37000,-11700000,9998000,9998000,9998000,884752000,0.63356,0.1656,0.06286,0.09131,0.00489,2.01737,17.6816,0.74326,0.1966,0.1966,3.12736,1.97192,0.01552,51.72563
"6","2012_Q1",9.93177419354839,"Up",68391000,-17847000,50544000,-38514000,-16730000,-21784000,12030000,-3987000,-11608000,7621000,8043000,8043000,-2731000,5312000,8006000,-130000,7876000,7876000,105704000,105704000,35492000,35492000,20754000,6941000,8988000,161950000,338426000,338426000,98069000,595624000,520562000,70158000,4904000,1032119000,1194069000,52394000,6651000,34172000,8992000,23904000,20324000,85290000,875719000,185248000,93754000,77327000,14167000,1060967000,1146257000,80151000,-37833000,42318000,5494000,47812000,1194069000,36195000,-10135000,413000,413000,-10548000,-10548000,-10141000,-41000.0000000037,-12355000,13699000,13699000,13699000,884711000,0.73904,0.1759,0.11516,0.16473,0.0066,1.89882,23.97425,0.74092,0.26589,0.26589,2.30887,1.42865,0.01741,64.75536
"7","2012_Q2",8.89301587301587,"Down",93364000,-35864000,57500000,-41665000,-19528000,-22137000,15835000,-8120000,-14600000,6480000,7715000,2893000,-1009000,1884000,1884000,-125000,1759000,1759000,98493000,98493000,34169000,34169000,26118000,9563000,11730000,165730000,326550000,326550000,98559000,593904000,520562000,52276000,8719000,1019013000,1184743000,51745000,13932000,26211000,9004000,35299000,24150000,96048000,873462000,175186000,92012000,78184000,4990000,1048648000,1144696000,70809000,-36381000,34428000,5619000,40047000,1184743000,21619000,-10023000,20000,20000,-10043000,-10043000,-9931000,-2245000,-18899000,-7211000,-7211000,-7211000,882466000,0.61587,0.1696,0.01884,0.04392,0.00148,1.72549,28.58381,0.74486,0.05925,0.05925,3.14473,1.15962,0.01214,49.50887
"8","2012_Q3",8.9052380952381,"Up",79644000,-27209000,52435000,-39821000,-18276000,-21545000,12614000,-9946000,-16893000,6947000,2668000,2106000,-492000,1614000,2906000,-120000,2786000,2786000,84984000,84984000,35165000,35165000,338952000,7769000,11276000,466334000,321047000,321047000,99423000,592632000,520562000,46742000,12981000,1013102000,1479436000,61371000,15128000,34640000,9016000,31893000,23553000,102280000,1169258000,175244000,89587000,78794000,6863000,1344502000,1446782000,62267000,-35352000,26915000,5739000,32654000,1479436000,28521000,-10692000,-20000,-20000,-10672000,-10672000,-309202000,295808000,267172000,-13509000,-13509000,-13509000,1178274000,0.65837,0.15838,0.03498,0.08532,0.00188,4.55939,44.30642,0.79643,0.09384,0.09384,2.68261,0.90656,0.01038,86.67274
"9","2012_Q4",8.56483870967742,"Down",151025000,-55442000,95583000,-72873000,-34733000,-38140000,22710000,-12163000,-20624000,8461000,10547000,-3978000,2667000,-1311000,-844000,-121000,-965000,-965000,24775000,24775000,60661000,60661000,31011000,9335000,11474000,116447000,876115000,876115000,102860000,707308000,629967000,63574000,13767000,1686283000,1802730000,111345000,19732000,76150000,9029000,35869000,29068000,156243000,1202059000,280661000,133246000,136033000,11382000,1482720000,1638963000,191622000,-33715000,157907000,5860000,163767000,1802730000,21760000,-29608000,697276.354608984,697276.354608984,-29608000,-29608000,-108207000,32732000,26238000,-60209000,-60209000,-60209000,1211088000,0.6329,0.15037,-0.00639,-0.00589,-0.00054,0.74529,10.0079,0.67181,-0.02447,-0.02447,3.82933,4.00383,0.00876,52.23747
"10","2013_Q1",9.699,"Up",153844000,-57414000,96430000,-74136000,-35626000,-38510000,22294000,-11107000,-20487000,9380000,11187000,4605000,-1827000,2778000,2225000,-165000,2060000,2060000,17854000,17854000,57957000,57957000,33478000,11269000,12020000,109289000,907672000,907672000,109750000,666776000,603446000,49530000,13800000,1684198000,1793487000,99554000,14954000,69137000,9596000,35027000,31863000,144177000,1208248000,304957000,156710000,137501000,10746000,1513205000,1657382000,177714000,-45784000,131930000,4175000,136105000,1793487000,51315000,-25751000,924000,924000,-26675000,-26675000,-41219000,6323999.99999997,-17017000,-6921000,-6921000,-6921000,1217844000,0.6268,0.14491,0.01339,0.01514,0.00115,0.75802,12.17723,0.67904,0.05177,0.05177,3.8663,3.31557,0.01056,53.82569
