"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",50.7396721311475,"Down",17533000,-16899000,-9846000,-2460000,-1183000,-31551000,-1138000,-31605000,-3000,-32734000,-33773000,-66507000,19703000,-46804000,-46804000,-46804000,-46804000,53810000,44809000,14721000,69148000,2569971000,2498804000,264000,2934323000,3003471000,15953000,15953000,83643000,5947000,99596000,37567000,409106000,508702000,2836231000,-349380000,7918000,2494769000,2494769000,3003471000,-46804000,2460000,53368000,-28784000,-19760000,-281000,-55343000,-231480000,72501000,-2602000,-2602000,-2602000,1277000,371539000,-47491000,-0.06747,-2.66948,-0.01876,-0.01558,1.01468,0.69428,0.20391,0.1237,-0.53464,-0.51968,0.20028,28.49764,-0.54249,-0.01612,-0.01635,248.80893,-268.57904
"2","2015_Q2",53.2530158730159,"Up",13316000,-20861000,-11916000,-3244000,-10034000,-43799000,-1761000,-43050000,-24000,-53833000,58766000,4932999.99999999,385000,5318000.00000001,5318000.00000001,5318000.00000001,5318000.00000001,772131000,763127000,22469000,885055000,2528700000,2455859000,676000,2885156000,3770211000,36931000,36931000,119002000,34575000,155933000,42162000,414162000,570095000,3536185000,-344062000,7993000,3200116000,3200116000,3770211000,5318000.00000001,3244000,20836000,-14476000,14922000,-75000,-78000,703474000,703474000,718318000,718318000,718318000,-6790000,3.72e+08,-21726000,-0.75353,0.39937,0.00166,0.00141,-4.08537,5.67587,0.17815,0.09867,0.0529899999999999,0.05268,0.13268,31.88669,-0.21648,0.00147,-0.00601,58.92946,39.8775200000001
"3","2015_Q3",54.0596875,"Up",12645000,-15191000,-10660000,-856000,-3414000,-20339000,-1919000,-18698000,48000,-23753000,11502000,-12251000,4442000,-7809000,-7809000,-7809000,-7809000,775267000,766259000,37237000,814243000,2493010000,2436823000,627000,2916124000,3730367000,9696000,9696000,35235000,27555000,44931000,78881000,490881000,535812000,3538225000,-351871000,8201000,3194555000,3194555000,3730367000,-7809000,856000,9103000,46058000,48208000,-156000,-160000,-115074000,-44916000,3132000,3132000,3132000,-2558000,4.12e+08,38902000,-0.26999,-0.61756,-0.00244,-0.00209,-4.98169,18.12208,0.16773,0.11044,-0.0758,-0.07533,0.12274,31.00938,0.37762,-0.00212,0.01056,142.01212,106.4051
"4","2015_Q4",53.18140625,"Down",15225000,-13847000,-9515000,-820000,287999.999999998,-5200000,-1816000,-3999000,10000,-4912000,-23967000,-28879000,9584000,-19295000,-19295000,-19295000,-19295000,652395000,643384000,12152000,665466000,2520060000,2432487000,570000,2946051000,3611517000,10912000,10912000,15412000,13431000,26324000,38381000,410381000,436705000,3537564000,-371166000,8414000,3174812000,3174812000,3611517000,-19295000,820000,25823000,-18852000,-11504000,-2385000,-2265999.99999999,-69104999.9999999,-109105000,-122875000,-122875000,-122875000,1108000,3.72e+08,-29713000,0.01892,-1.26732,-0.00608,-0.00534,1.53993,25.27982,0.13755,0.103,-0.18725,-0.18606,0.14776,30.81085,-0.28836,-0.00538,-0.00829,-253.06408,-973.59375
"5","2016_Q1",50.4259016393443,"Down",49996000,-16013000,-10701000,-1168000,32334000,-55093000,-1928000,-55215000,124000,-22759000,-11099000,-33858000,5457000,-28401000,-28401000,-28401000,-28401000,664093000,655079000,11660000,678215000,2446718000,2372699000,267000,2887526000,3565741000,10493000,10493000,4883000,2629000,15376000,2443000,402146000,417522000,3538881000,-399567000,8905000,3148219000,3148219000,3565741000,-28401000,1168000,69156000,-58260000,-16337000,1885000,25000,30170000,28007000,11695000,11695000,11695000,33502000,399703000,-28330000,0.64673,-0.56807,-0.00902,-0.00796,0.9975,44.10868,0.13262,0.1121,-0.27415,-0.27392,0.48261,30.38939,-0.27347,-0.008,-0.00798,-7.89177,-8.17684
"6","2016_Q2",58.26609375,"Up",3831000,-12503000,-8806000,-986000,-9340000,-70459000,-2441000,-70278000,71000,-79799000,43281000,-36517999.9999999,14277000,-22241000,-22241000,-22241000,-22241000,862825000,785140000,3482000,867180000,2388487000,2301210000,1730000,2873708000,3740888000,7189000,7189000,4496000,2090000,11685000,3358000,601087000,612772000,3540889000,-421808000,9035000,3128116000,3128116000,3740888000,-22241000,986000,15946000,4491000.00000001,-818000,-19999.9999999995,-68438000,-683000,199317000,130061000,130061000,130061000,-8354000,597729000,-18160000,-2.43801,-5.80552999999998,-0.00711,-0.00595,0.81651,74.21309,0.19589,0.15978,-0.21535,-0.21454,0.03709,30.28802,-0.17583,-0.00596,-0.00487,31.73282,28.38287
"7","2016_Q3",65.88828125,"Up",2966000,-13054000,-9131000,-978000,-10737000,619748000,-4016000,621410000,36000,609011000,826114000,1435125000,-544971000,890154000,890154000,890154000,890154000,256310000,256310000,3150000,260466000,9248483000,9230084000,1726000,9249470000,9509936000,7671000,7671000,6793000,4906000,14464000,478590000,1076622000,1091086000,7943095000,468346000,7409000,8418850000,8418850000,9509936000,890154000,978000,-901606000,3590000,-6884000,-15000,-4922142000,196000,4400196000,-528830000,-528830000,-528830000,-9759000,598032000,538787000,-3.62003,300.11935,0.10573,0.0936,0.60527,18.00788,0.1296,0.06288,6.30532,6.27842,0.02101,59.63414,3.81645,0.09375,0.05674,-35.01609,-31.82658
"8","2016_Q4",68.571746031746,"Up",20616000,-13210000,-9855000,-971000,6624000,15151000,-4090000,19045999.9999999,4999.99999999999,21775000.0000001,-16331000,5444000,-1655000,3789000,3789000,3789000,3789000,259041000,259041000,3318000,263825000,9250707000,9233197000,1577000,9251575000,9515400000,6635000,6635000,6191000,3902000,12826000,479818000,1077996000,1090822000,7944787000,472135000,7656000,8424578000,8424578000,9515400000,3789000,971000,738000,-2829000,2669000,-119000,-107000,168999.999999996,169000,2730999.99999988,2730999.99999988,2730999.99999988,7595000,598178000,6302000,0.3213,0.183790000000045,0.000450000000000006,0.000399999999999998,1.66324,20.56955,0.12948,0.06286,0.0208100000000009,0.0207000000000006,0.11324,46.27465,0.0346199999999999,0.000399999999999998,0.000660000000000001,44.65267,51.19822
"9","2017_Q1",82.0296774193548,"Up",3173000,-10181000,-6911000,-1070000,-7707000,67504000,-4409000,71366000,224000,59797000,11824000,71621000,-26020000,45601000,45601000,45601000,45601000,205728000,205728000,52691000,258419000,9332541000,9315253000,1485000,9332541000,9590960000,7931000,7931000,4185000,4185000,412116000,507240000,705752000,1117868000,7947700000,517736000,7656000,8473092000,8473092000,9590960000,45601000,1070000,-54577000,1041000,-6865000,-113000,-113000,-46335000,-46335000,-53313000,-53313000,-53313000,-6637000,598512000,20311000,-2.42893,14.37157,0.00538,0.00475,0.44541,0.62705,0.13193,0.0624,0.25069,0.24932,0.01744,46.58053,0.11166,0.00476,0.00212,-59.18096,-50.96458
"10","2017_Q2",86.3073015873016,"Up",3140000,-8887000,-5544000,-953000,-6362000,14704000,-4555000,18922000,-999.999999999971,8342000.00000003,-31157000,-22815000,8369999.99999997,-14445000,-14445000,-14445000,-14445000,247872000,247872000,2545000,251572000,9345941000,9330239000,1453000,9346542000,9598114000,7218000,7218000,3298000,1422000,609358000,511068000,511068000,1120426000,7949257000,520651000,7780000,8477688000,8477688000,9598114000,-14445000,953000,5390000,-1499000,-9601000,-37340.8230486772,-409863171.210382,51745000,51744999.9999999,42144000,42144000,42144000,-5409000,598842000,99027287.1347418,-2.02611,-4.60032,-0.00169999999999999,-0.00150000000000001,-0.333918670152599,0.41285,0.13216,0.06239,-0.0794699999999998,-0.0789199999999999,0.01727,46.63939,0.617314523674409,-0.00151,0.00969002969917785,-64.8863,-55.16661
