"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",23.8074603174603,"Up",959720000,-555904000,403816000,-220799000,-194993000,-25806000,183017000,-4265000,6054000,-10319000,178752000,178752000,-27252000,151500000,151500000,151500000,151500000,1433881000,1080942000,352939000,706122000,706122000,329230000,268423000,2469233000,478363000,424704000,76745000,193898000,86584000,67477000,1040514000,3509747000,524571000,85630000,438941000,53576000,53576000,578147000,45231000,3729478.9752124,45231000,45231000,623378000,0,725458000,722464000,2116868000,44043000,2886369000,2886369000,3509747000,151500000,27381000,14014000,13945000,23326000,-23257000,-190567000,-92220000,36088000,-134435000,2328000,-24219000,-24219000,-24219000,-32922000,-46798000,0,0,-57141000,27788000,30103000,-2315000,43541000,-11272000,-11272000,-8716000,-19988000,210398000,0,22864000,0.42076,0.1907,0.15786,0.05249,0.04317,0.15092,4.27094,0.21597,0,0.25429,0.24701,1.61089,4.84477,0.03838,57.2249924587206,0.05168,0.0078,-6.81509,-7.83469
"2","2010_Q3",27.1503125,"Up",1105154000,-641019000,464135000,-258220000,-234547000,-23673000,205915000,2093000,6547000,-4454000,208008000,208008000,-35833000,172175000,172175000,172175000,172175000,1651999000,1039686000,612313000,814239000,814239000,338686000,279524000,2804924000,504769000,454461000,92972000,214814000,87286000,59389000,959230000,3764154000,588777000,80986000,507791000,56821000,56821000,645598000,77669000,6071000,71598000,77669000,723267000,0,772924000,769916000,2289043000,-21080000,3040887000,3040887000,3764154000,172175000,25248000,29086000,13990000,15534000,-437999.999999985,-91215000,-100089000,-15470000,24344000,135294000,-41946000,-41946000,-41946000,-129863000,-367120000,-29035000,-29035000,-200844000,17246000,19832000,-2586000,29904000,-35646000,-35646000,-5610000,-41256000,231163000,0,133835000,0.41997,0.18632,0.15579,0.05662,0.04574,0.77732,4.34469,0.23785,0,0.28706,0.27906,1.84261,5.07002,0.22314,30.386662644651,0.05521,0.04292,-7.14647,-8.02272
"3","2010_Q4",31.1278125,"Up",1216913000,-699623000,517290000,-288991000,-262632000,-26359000,228299000,14977000,7053000,7924000,243276000,243276000,-39577000,203699000,203699000,203699000,203699000,1928816000,1317077000,611739000,919563000,919563000,386301000,317142000,3234680000,521497000,490102000,89517000,222844000,105322000,72419000,1011599000,4246279000,746217000,93945000,652272000,57952000,57952000,804169000,74926000,6076000,68850000,74926000,879095000,0,848733000,845699000,2492742000,25709000,3367184000,3367184000,4246279000,203699000,27929000,-22268000,14109000,861000,-37238000,25378000,-99508000,15949000,108937000,234738000,-44796000,-44796000,-44796000,12866000,-252031000,-2670000,-2670000,-34600000,29940000,37135000,-7195000,61026000,261164000,261164000,16227000,277391000,256228000,0,276387000,0.42508,0.18761,0.16739,0.0605,0.04797,1.35684,4.02239,0.26108,0,0.33757,0.32895,2.01665,5.58006,0.45803,14.1449984917441,0.05918,0.0803,-7.52773,-8.44864
"4","2011_Q1",35.128064516129,"Up",1310602000,-758023000,552579000,-307958000,-279921000,-28037000,244621000,3923000,6139000,-2216000,248544000,248544000,-42378000,206166000,206166000,206166000,206166000,2226388000,1540969000,685419000,901308000,901308000,390538000,294374000,3518234000,570448000,494392000,85136000,223963000,109808000,75485000,1064840000,4583074000,846136000,75373000,770763000,84590000,84590000,930726000,67917000,4946000,62971000,67917000,998643000,2.46519032881566e-32,849925000,846886000,2698908000,35598000,3584431000,3584431000,4583074000,206166000,29614000,-89324000,14940000,-91630000,-12634000,245838000,13399000,-17970000,250409000,392294000,-74551000,-74551000,-74551000,-77596000,-268236000,-2158000,-2158000,-154305000,-26890000,20014000,-46904000,-14468000,223521000,223521000,371000,223892000,274235000,0,487900000,0.42162,0.18665,0.15731,0.05752,0.04498,2.36654,3.7801,0.27861,0,0.3395,0.33063,2.15819,5.90255,0.80343,6,0.05645,0.13359,-8.11854,-9.10138
"5","2011_Q2",35.2546031746032,"Up",1371253000,-782176000,589077000,-323712000,-296330000,-27382000,265365000,15135000,8937000,6198000,280500000,280500000,-72173000,208327000,208327000,208327000,208327000,2168115000,1293499000,874616000,994948000,994948000,372737000,304617000,3535800000,601699000,500374000,81790000,224009000,112306000,82269000,1102073000,4637873000,719692000,117595000,602097000,82021000,82021000,801713000,71971000,3870000,68101000,71971000,873684000,0,817004000,813962000,2907235000,39950000,3764189000,3764189000,4637873000,208327000,28964000,19595000,16065000,19901000,-16371000,-211257000,-89029000,41079000,-163307000,45629000,-55815000,-55815000,-55815000,-188947000,-317783000,-7895000,-7895000,-252657000,-64836000,23430000,-88266000,-49044000,-256072000,-256072000,8602000,-247470000,294329000,0,99430000,0.42959,0.19352,0.15192,0.05534,0.04492,0.47728,4.41031,0.2321,0,0.3426,0.33407,2.25505,6.19027,0.16351,3.45166716941862,0.05431,0.02592,-7.3663,-8.17031
"6","2011_Q3",30.7928125,"Down",1485242000,-860871000,624371000,-354413000,-326718000,-27695000,269958000,7647000,9474000,-1827000,277605000,277605000,-69560000,208045000,208045000,208045000,208045000,2269411000,1193040000,1076371000,1075193000,1075193000,413293000,332537000,3757897000,614494000,544311000,87850000,224136000,112846000,119479000,1158805000,4916702000,802722000,89057000,713665000,84629000,84629000,887351000,77502000,3558000,73944000,77502000,964853000,0,759932000,756896000,3115280000,76637000,3951849000,3951849000,4916702000,208045000,29273000,-1030000,23679000,-21720000,-2989000,-21175000.0000001,-81390000,-33435000,93649999.9999999,215113000,-33735000,-33735000,-33735000,-198585000,-453235000,-11426000,-11426000,-243746000,-87012000,16852000,-103864000,-80763000,-109396000,-109396000,8937000,-100459000,299231000,-3.5527136788005e-15,313881000,0.42038,0.18176,0.14007,0.05264,0.04231,1.50872,4.23496,0.24415,2.06795153138257e-25,0.34219,0.33397,2.44292,6.49999,0.51627,4,0.05163,0.0779,-7.58414,-8.40653
"7","2011_Q4",31.424126984127,"Up",1600954000,-924886000,676068000,-383066000,-353161000,-29905000,293002000,-5038000,9970000,-15008000,287964000,287964000,-60845000,227119000,227119000,227119000,227119000,2291276000,1181219000,1110057000,1104703000,1104703000,416218000,308143000,3812197000,664609000,627309000,102567000,289056000,135570000,100116000,1291918000,5104115000,952837000,78183000,874654000,87893000,87893000,1040730000,123863000,3605000,120258000,123863000,1164593000,0,647804000,644783000,3342399000,-50681000,3939522000,3939522000,5104115000,227119000,31639000,16061000,24500000,-24385000,15946000,54525000,-36823000,-10298000,101646000,329344000,-74110000,-74110000,-74110000,-50817000,-410442000,-55719000,-55719000,-180646000,-155849000,16995000,-172844000,-146924000,1774000,1774000,-13595000,-11821000,324641000,0,365901000,0.42229,0.18302,0.14186,0.05765,0.0445,1.61105,3.663,0.29562,0,0.37513,0.36715,2.64426,6.50683,0.60435,5,0.05589,0.09005,-7.05788,-7.82
"8","2012_Q1",33.3446774193548,"Up",1663707000,-970689000,693018000,-384875000,-352456000,-32419000,308143000,14937000,10868000,4069000,323080000,323080000,-82953000,240127000,240127000,240127000,240127000,2432264000,1310906000,1121358000,1179043000,1179043000,474199000,365157000,4085506000,758034000,664393000,97616000,288772000,164192000,113813000,1422427000,5507933000,1103992000,72205000,1031787000,105713000,105713000,1209705000,345342000,3339000,342003000,345342000,1555047000,0,695754000,692723000,3582526000,-325394000,3952886000,3952886000,5507933000,240127000,34299000,58484000,25988000,17605000,14891000,-47844000,-76925000,-5939000,35020000,285066000,-124561000,-124561000,-124561000,-40911000,-157204000,-7760000.00000001,-7760000.00000001,-173232000,13101000,22274000,-9173000,21276000,133110000,133110000,-3423000,129687000,342442000,2.8421709430404e-14,252990000,0.41655,0.18521,0.14433,0.06075,0.0436,1.05357,3.37727,0.3934,0,0.39709,0.38877,2.75124,6.53681,0.41836,4,0.05587,0.05886,-7.1027,-7.8933
"9","2012_Q2",30.0542857142857,"Down",1711349000,-984520000,726829000,-408930000,-374178000,-34752000,317899000,4378000,11072000,-6694000,322277000,322277000,-78626000,243651000,243651000,243651000,243651000,2491195000,1328535000,1162660000,1234177000,1234177000,471370000,376729000,4196742000,784975000,686408000,93421000,289904000,164074000,139009000,1471383000,5668125000,913428000,109983000,803445000,107817000,107817000,1021245000,279631000,2978000,276653000,279631000,1300876000,0,734403000,731359000,3826177000,-193331000,4367249000,4367249000,5668125000,243651000,36625000,-1825000,31379000,-8182000,-25022000,-176688000,-49864000,38581000,-165405000,101763000,-60451000,-60451000,-60451000,-27162000,-434832000,-7874000,-7874000,-95487000,-5629000,43353000,-48982000,7117000,13393000,13393000,4236000,17629000,354524000,0,196011000,0.42471,0.18576,0.14237,0.05579,0.04299,0.80447,4.10944,0.29787,0,0.4015,0.39399,2.82002,7.19652,0.32299,3,0.05243,0.04218,-7.02687,-7.83644
"10","2012_Q3",29.137619047619,"Down",1795220000,-1030889000,764331000,-432373000,-396771000,-35602000,331958000,3134000,9984000,-6850000,335092000,335092000,-83160000,251932000,251932000,251932000,251932000,2346142000,1050245000,1295897000,1296175000,1296175000,510035000,405884000,4152352000,837683000,664184000,86530000,289211000,167462000,120981000,1501867000,5654219000,1044470000,104411000,940059000,106625000,106625000,1151095000,410791000,3073000,407718000,410791000,1561886000,1.0097419586829e-28,410965000,407972000,4078109000,-396741000,4092333000,4092333000,5654219000,251932000,37433000,61660000,26271000,25311000,10078000,-26925000,-70085000,-11396000,54556000,324100000,-78321000,-78321000,-78321000,-151992000,-382597000,-17003000,-17003000,-247316000,-351627000,18174000,-369801000,-348520000,-271736000,-271736000,-6554000,-278290000,369391000,0,347305000,0.42576,0.18491,0.14033,0.06156,0.04456,1.37857,3.60731,0.38166,2.64697796016969e-23,0.41679,0.40988,2.97,6.77032,0.57458,6,0.05595,0.07713,-6.35138,-7.06759
