"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2012_Q2",9.98714285714286,"Up",4572702,-2734583,1838119,-1285901,-1285901,552218,35899,35899,588117,588117,-180000,408117,408117,408117,408117,408117,128553,26502,575653,1138825,-410681,-1347,-412028,-47208,2559,-48580,678217,678217,678217,680771,0,1025743,0.40198,0.12076,0.08925,2.51336,0.12665,0.12665,1.41901,0.31831
"2","2012_Q3",8.69698412698413,"Down",6781754,-5129566,1652188,-1037625,-1037625,614563,3178,3178,617741,617741,-204000,413741,413741,413741,413741,413741,134154,0,-1577932,-1030037,-50815.9999999999,-1598,-52414.0000000001,140526,140526,139155,-943296,-943296,-943296,748717,-2.27373675443232e-13,-676031,0.24362,0.09062,0.06101,-1.63395,0.12797,0.12797,2.09763,-0.2091
"3","2012_Q4",8.23387096774194,"Down",8008836,-5700759,2308077,-1553704,-1553704,754373,14840,14840,769213,769213,-255000,514213,514213,514213,514213,514213,120970,0,-1528239,-893056,-478894,-1286,-480180,87581,87581,86210,-1287026,-1287026,-1287026,875343,0,-876790,0.28819,0.09419,0.06421,-1.70511,0.15855,0.15855,2.46936,-0.27034
"4","2013_Q1",8.7785,"Up",9643520,-6575474,3068046,-2102119,-2102119,965927,7933,-20502,973860,973860,-111000,862860,862860,862860,862860,862860,98475,144260,-1435047,-329452,-610268,-1349,-611617,116963,116963,373592,-567477,-567477,-567477,1064402,3657,-869913,0.31815,0.10016,0.08948,-1.00817,0.25542,0.25542,2.85462,-0.25751
"5","2013_Q2",8.105625,"Down",7316667,-4698057,2618610,-1722673,-1722673,895937,6880,6880,902817,902817,-295000,607817,607817,607817,607817,607817,127384,35599,-3518708,-2747908,-528188,-1346,-529534,2963,2963,3481306,203864,203864,203864,1023321,0,-2728575,0.3579,0.12245,0.08307,-4.48914,0.18364,0.18364,2.21064,-0.8244
"6","2013_Q3",8.65375,"Up",6508172,-4025199,2482973,-1311096,-1311096,1171877,-15516,-15516,1156361,1156361,-387000,769361,769361,769361,769361,769361,143775,1.45519152283669e-11,2228438,3141574,-1099812,-1581,-1101393,2811,2810.99999999999,-2285189,-245008,-245008,-245008,1315652,0,2831278,0.38152,0.18006,0.11821,3.68004,0.23245,0.23245,1.96631,0.85541
"7","2013_Q4",8.1765625,"Down",5752940,-3690216,2062724,-1130179,-1130179,932545,-2030,-2030,930515,930515,-308000,622515,622515,622515,622515,622515,144830,0,1541468,2308813,-535982,-1263,-537245,2923,2923,-1449077,322491,322491,322491,1077375,0,2390861,0.35855,0.1621,0.10821,3.84065,0.18807,0.18807,1.73802,0.7223
"8","2014_Q1",8.37573770491803,"Up",5151806,-3551783,1600023,-1133720,-1133720,466303,3798,49258,470101,470101,77999.9999999999,548101,548101,548101,548101,548101,148273,255987,1818021,2770382,-1129489,-1338,-1130827,3020,3019.99999999999,3020,1642575,1642575,1642575,614576,-2.8421709430404e-14,1225108,0.31058,0.09051,0.10639,2.23519,0.16547,0.16547,1.5553,0.36985
"9","2014_Q2",8.9152380952381,"Up",5296666,-4017565,1279101,-1025186,-1025186,253915,8348,8348,262263,262263,-61000,201263,201263,201263,201263,201263,178110,43301,-1837980,-1415306,-667389,-1350,-668739,160558,160558,160558,-1923487,-1923487,-1923487,432025,0,-2012344,0.24149,0.04794,0.038,-9.99858,0.06065,0.06065,1.59605,-0.60638
"10","2014_Q3",8.83625,"Down",4600452,-3292407,1308045,-883678,-883678,424367,2056,2056,426423,426423,-120000,306423,306423,306423,306423,306423,178233,0,1172434,1657090,-406236,-1350,-407586,2673.99999999997,2673.99999999997,2674,1252178,1252178,1252178,602600,-1.77635683940025e-15,1488798,0.28433,0.09224,0.06661,4.85864,0.09191,0.09191,1.37991,0.44657
"11","2014_Q4",9.78734375,"Up",4810355,-3495159,1315196,-973542,-973542,341654,8582,8582,350236,350236,-128000,222236,222236,222236,222236,222236,172233,0,-453411,-58942,-226159,-1497,-227656,5328,5328,5328,-281270,-281270,-281270,513887,0,-37683,0.27341,0.07102,0.0462,-0.16956,0.06674,0.06674,1.44451,-0.01132
"12","2015_Q1",11.3904918032787,"Up",5303755,-3740751,1563004,-1037188,-1037188,525816,3474,2614,529290,529290,-128000,401290,401290,401290,401290,401290,170463,341146,888291,1801190,-55821,-1293,-57114,4271.00000000001,4271,4271,1748347,1748347,1748347,696279,2.22044604925031e-16,1656749,0.2947,0.09914,0.07566,4.12856,0.11854,0.11437,1.5667,0.48939
"13","2015_Q2",12.7560317460317,"Up",6551382,-4866275,1685107,-1086679,-1086679,598428,3878,3878,602306,602306,-210000,392306,392306,392306,392306,392306,185628,37112,200636,815682,-110388,-1335,-111723,4221,4221,4221,708180,708180,708180,784056,0,1084304,0.25721,0.09134,0.05988,2.76392,0.11735,0.11735,1.95977,0.32436
"14","2015_Q3",12.84203125,"Up",6705095,-4716882,1988213,-1216975,-1216975,771238,7075,7075,778313,778313,-274000,504313,504313,504313,504313,504313,185628,2.91038304567337e-11,-858632,-168691,-179260,-1554,-180814,8531,8531,8531,-340974,-340974,-340974,956866,1.38777878078145e-17,192974,0.29652,0.11502,0.07521,0.38265,0.15085,0.15085,2.00563,0.05772
"15","2015_Q4",15.30359375,"Up",6566338,-4832139,1734199,-1270818,-1270818,463381,3373,3373,466754,466754,-75000,391754,391754,391754,391754,391754,185628,3000,-1231369,-650987,-164297,-1236,-165533,27787,27787,27787,-788733,-788733,-788733,649009,0,-671657,0.2641,0.07057,0.05966,-1.71449,0.11715,0.11715,1.96358,-0.20085
"16","2016_Q1",14.1895081967213,"Down",10766451,-7429419,3337032,-2108636,-2108636,1228396,-1821,-5809,1226575,1226575,-340000,886575,886575,886575,886575,886575,183960,565957,1143820,2780312,-292682,-1302,-293984,37455,37455,37455,2523783,2523783,2523783,1412356,-8.67361737988404e-19,2603494,0.30995,0.11409,0.08235,2.93658,0.26308,0.24774,3.19479,0.77255
"17","2016_Q2",16.3440625,"Up",9473414,-6098126,3375288,-1826989,-1826989,1548299,3350,3350,1551649,1551649,-542000,1009649,1009649,1009649,1009649,1009649,193625,60719,-1429791,-165798,-298664,-1302,-299966,69125,69125,69125,-396639,-396639,-396639,1741924,0,555469,0.35629,0.16344,0.10658,0.55016,0.29997,0.29997,2.81459,0.16503
"18","2016_Q3",19.3159375,"Up",8819548,-5824754,2994794,-1576225,-1576225,1418569,6089,6089,1424658,1424658,-5e+05,924658,924658,924658,924658,924658,202196,0,-766761,360093,-556465,-1545,-558010,196896,196896,196896,-1020.99999999953,-1020.99999999953,-1020.99999999953,1620765,0,797539,0.33956,0.16084,0.10484,0.86252,0.27336,0.27336,2.60732,0.23578
"19","2016_Q4",15.341746031746,"Down",8326147,-5010028,3316119,-1645236,-1645236,1670883,2721,2721,1673604,1673604,-492000,1181604,1181604,1181604,1181604,1181604,220740,0,1099765,2502109,-216008,-1215,-217223,4642,4642,4642,2289528,2289528,2289528,1891623,0,3267380,0.39828,0.20068,0.14191,2.76521,0.34757,0.34757,2.44915,0.96111
"20","2017_Q1",14.4996774193548,"Down",9061340,-6310543,2750797,-1640141,-1640141,1110656,5658,-5090,1116314,1116314,-24000,1092314,1092314,1092314,1092314,1092314,201824,228465,-430930,1091673,-868241,-1293,-1869534,76175,76175,76175,-701686,-701686,-701686,1312480,0,37308.9999999995,0.30358,0.12257,0.12055,0.0341599999999995,0.31868,0.29069,2.64361,0.0108799999999999
"21","2017_Q2",13.4530158730159,"Down",5755713,-4307589,1448124,-1181974,-1181974,266150,9684,9684,275834,275834,-66000,209834,209834,209834,209834,209834,220069,78789,-1094342,-585650,-673313,-1257,-674570,144634,144634,144634,-1115586,-1115586,-1115586,486219,0,-1215436,0.2516,0.04624,0.03646,-5.79237,0.06148,0.06148,1.68648,-0.35613
"22","2017_Q3",12.0814285714286,"Down",7807465,-5061495,2745970,-1373726,-1373726,1372244,26036,26036,1398280,1398280,-460000,938280,938280,938280,938280,938280,233754,1.45519152283669e-11,-1553482,-381448,-563759,-15767,-579526,6306,6306,6306,-954668,-954668,-954668,1605998,-3.46944695195361e-18,-51243.0000000002,0.35171,0.17576,0.12018,-0.0546099999999985,0.27402,0.27402,2.28011,-0.01497
"23","2017_Q4",12.7773015873016,"Up",5672720,-4028768,1643952,-1178310,-1178310,465642,14561,14561,480203,480203,-142000,338203,338203,338203,338203,338203,233754,0,-3430165,-2858208,-384974,-3278,-388252,5880,5880,5880,-3240580,-3240580,-3240580,699396,0,-2973743,0.2898,0.08208,0.05962,-8.79278,0.09844,0.09844,1.65118,-0.86558
"24","2018_Q1",11.7624590163934,"Down",6301098,-4153311,2147787,-1331091,-1331091,816696,16564,-22278,833260,833260,11000,844260,844260,844260,844260,844260,181032,231904,1512447,2769643,-246775,15073,-254028,34073,34073,34073,2549688,2549688,2549688,997728,0,2252400,0.34086,0.12961,0.13399,2.6679,0.2443,0.22524,1.8233,0.65176
