"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",0.157460317460317,"Up",2909000,-1726000,1183000,-1150000,-1131000,-19000,33000,-18000,-18000,15000,-708000,-708000,-708000,-708000,-708000,99952,99952,1164352,1164352,39700,39700,1304004,166917,174067,48011,340984,1644988,1207784,1176966,10818,20000,62307,1214520,1209409,2484611,0,0,0,2484611,10165323,-11004947,-839623,-839623,1644988,-708000,-708000,19000,728000,-85000,-46000,-79000,-79000,-9000,-9000,-134000,-134000,-134000,52000,62307,0.40667,0.01134,-0.24338,0.84324,-0.4304,0.52483,-2.9592,0.03788,-0.00639,-0.00639,0.02624,-0.00757,0.91083,-0.72394,-1.14076
"2","2012_Q3",0.132857142857143,"Down",3071284,-1773680,1297604,-1208526,-1175774,-32752,89078,-14600,-14600,74478,-334222,-334222,-334222,-334222,-334222,176996,176996,1289275,1289275,65255,65255,1531526,165686,930023,36619,1095709,2627235,1209887,1177019,12868,20000,70844,2102145,1516938,3382876,0,0,0,3382876,10583336,-11338978,-755641,-755641,2627235,-334222,-334222,32752,418530,-129218,-12157.9999999999,-37395,-479359,568791,568791,77274,77274,77274,121830,70844,0.4225,0.029,-0.10882,0.4423,-0.12721,0.45273,-4.47683,0.02697,-0.00286,-0.00286,0.0263,-0.00647,0.48806,-0.87131,-1.19167
"3","2012_Q4",0.104838709677419,"Down",3468354,-2081736,1386618,-1263002,-1200378,-62624,123616,-16404,-16404,107212,102808,102808,102808,102808,102808,101340,101340,1667757,1667757,153873,153873,1922970,175805,979178,37477,1154983,3077953,1674210,1641327,12883,20000,81423,1893120,1484449,3648753,0,0,0,3648753,10665369,-11236170,-570800,-570800,3077953,102808,102808,62624,40663,5526,211621,-96940,-96940,-190337,-190337,-75656,-75656,-75656,186240,81423,0.39979,0.03564,0.02964,-0.18011,0.0334,0.52702,-6.39235,0.02645,0.00088,0.00078,0.02966,-0.00488,-0.21008,-0.10694,-0.16112
"4","2013_Q1",0.0898333333333333,"Down",3730347,-2263469,1466878,-1752746,-1671562,-81184,-285868,-27666,-27666,-313534,-295756,-295756,-295756,-295756,-295756,4483,4483,1509532,1509532,131520,131520,1645535,250233,906509,21996,1156742,2802277,1985604,1953182,12422,20000,88829,1542375,1357800,3616808,3.46944695195361e-18,3.46944695195361e-18,0,3616808,10717394,-11531926,-814531,-814531,2802277,-295756,-295756,81184,114463,339449,239340,109516,-89075,-247122,-247122,-96857,-96857,-96857,-204684,88829,0.39323,-0.07663,-0.07928,0.3631,-0.10554,0.45497,-4.44036,0.0317,-0.00253,-0.00288,0.03189,-0.00696,0.40754,-0.41208,-0.29505
"5","2013_Q2",0.11765625,"Up",4044539,-2409416,1635123,-1503483,-1427704,-75779,131640,-16110,-16110,115530,115530,115530,115530,115530,115530,261000,261000,1191000,1191000,156000,156000,1608000,263000,858000,22000,1121000,2729000,1768000,1735000,13000,20000,93000,1534000,1534000,3395000,0,0,0,3395000,10749000,-11416000,-667000,-667000,2728000,115530,115530,75780,32916,246737,470963,-23065,-23065,-191073,-191073,256825,256825,256825,207420,93000,0.40428,0.03255,0.02856,-0.17321,0.04233,0.47364,-5.08996,0.03408,0.00099,0.00099,0.03458,-0.0057,-0.20162,-0.80995,-1.27621
"6","2013_Q3",0.08984375,"Down",3870598,-2263991,1606607,-1520460,-1450038,-70422,86147,-15154,-15154,70993,62185,62184.9999999999,62185,62185,62185,57573,57573,1238469,1238469,200297,200297,1496339,276421,809748,23064,1086169,2582508,1404944,1372101,12843,20000,108234,1668810,1668810,3181988,-5.55111512312578e-17,-5.55111512312578e-17,0,3181988,10754730,-11354211,-599480,-599480,2582508,62184.9999999999,62184.9999999999,70423,4420,-321111,-184083,-6114.00000000001,-6114,-13538,-13538,-203735,-203735,-203735,156570,108234,0.41508,0.02226,0.01607,-0.10373,0.02408,0.47025,-5.30791,0.04191,0.00053,0.00053,0.03304,-0.00512,-0.12659,0.32357,0.58808
"7","2013_Q4",0.07015625,"Down",4374951,-2743964,1630987,-1667667,-1595264,-72403,-36680,-20135,-20135,-56815,-82219,-82219,-82219,-82219,-82219,938008,938008,1173699,1173699,214443,214443,2326150,255617,759439,22157,1015056,3341206,1813560,1780350,13210,20000,223255,1743199,1743199,3780014,0,0,192487,3972501,10805134,-11436430,-631295,-631295,3341206,-82219,-82219,72402,25404,559536,575123,-2196,-2196,307508,307508,880435,880435,880435,35722,415742,0.3728,-0.00838,-0.01879,0.13024,-0.02461,0.61538,-6.29262,0.12443,-7e-04,-7e-04,0.03733,-0.00539,0.38143,-14.62029,14.23844
"8","2014_Q1",0.0773770491803279,"Up",5109963,-3232539,1877424,-1782311,-1698953,-83358,95113,-4657,-4657,90456,107052,227052,227052,227052,227052,762892,762892,1574996,1574996,199276,69276,2537164,241895,790716,22836,1032611,3569775,1869520,1159719,13291,696510,228726,1718227,1715555,3816473,-8.88178419700125e-16,-8.88178419700125e-16,153141,3969614,10809538,-11209378,-399840,-399840,3569774,227052,227052,83358,-115596,-315821,-121007,1011,1011,-55120,-55119.9999999999,-175116,-175116,-175116,178471,381867,0.3674,0.01861,0.04443,-0.56786,0.0636,0.66479,-9.92801,0.10697,0.05819,0.05819,1.30957,-0.10247,-12.63365,-2.13494,-4.00602
"9","2014_Q2",0.108730158730159,"Up",4924625,-2819581,2105044,-1892118,-1814385,-77733,212926,-9990,-9990,202936,191652,120741,120741,120741,120741,1106909,1106909,1584828,1584828,304279,264279,2996016,213565,717204,22836,930769,3926785,1942654,1909634,13020,20000,233404,1888187,1885365,4064245,0,0,91853,4156098,10859323,-11088637,-229313,-229313,3926785,120741,120741,77732,56369,145785,400627,0,0,-56610,-56610,344017,344017,344017,290658,325257,0.42745,0.04324,0.02452,-0.52653,0.03075,0.73716,-18.12413,0.08283,0.03072,0.03072,1.25292,-0.05834,1.25845,-2.68925,-3.671
"10","2014_Q3",0.1021875,"Down",5254942,-3007105,2247837,-2063323,-1974099,-89224,184514,-14233,-14233,170281,118496,59890,59890,59890,59890,938541,938541,1785932,1785932,635893,595893,3360366,207491,989032,25659,1196523,4556889,1969694,1937154,12540,20000,292870,2081726,2078752,4344290,0,0,330237,4674527,10911108,-11028747,-117638,-117638,4556889,59890,59890,89225,89236,-332487,-94136.0000000002,-10344,-10344,-63888,-63888,-168368,-168368,-168368,273739,623107,0.42776,0.03511,0.0114,-0.5091,0.01314,0.77351,-39.73654,0.13674,0.0152,0.0152,1.334,-0.02986,0.11848,-1.15232,-1.70954
