"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.0944444444444,"Up",82618000,-31723000,-6711000,-23041000,-1971000,50895000,-21395000,-21395000,29500000,29500000,-277000,29223000,30205000,30205000,24142000,-1040548251.6269,-1040548251.6269,13160104.8575743,13160104.8575743,-17377676.4379524,-17377676.4379524,-1044765823.20728,4179202617.51925,4841369019.14129,-662166401.622035,101362347.234951,84152561.7817956,4280564964.75421,3235799141.54692,1810289661.87563,170240587.606149,1640049074.26948,41281246.5167441,41281246.5167441,1959303833.22024,191170.722360186,1959303031.97996,1425624497.30148,-486412207.078588,1276496198.31299,1276496109.56696,3235799141.54692,29994000,23041000,1587000,-18095000,36527000,-28713000,188000,-28525000,-50827000,35300000,0,-1652000,-17179000,-9177000,-9177000,-9177000,73936000,0,27405000,0.61603,0.29221,0.030567901444605,0.0136378458354414,1.13516,-0.634170411046353,1.46305795952664,0.0343827235376109,0.22579,0.22562,0.7727,6.58922484034703,0.25631,0.47537,0.0691410162557081,-1.35150211523927,2.10534,14.4319344494743,20.765945683052
"2","2010_Q3",17.84828125,"Up",82297000,-31540000,-6649000,-23239000,-1652000,50757000,-21576000,-21576000,29181000,29181000,-278000,28903000,31049000,31049000,24985000,872000,872000,10123000,10123000,7750000,7750000,18745000,3048323000,3722302000,-673979000,76087000,58881000,3124410000,3143155000,1655405000,38375000,1617030000,11755000,11755000,1694060000,101957.718592099,1694060000,1630974000,-519669000,1449095000,1449095000,3143155000,30811000,23239000,683000,19256000,73989000,-261930000,5765000,-256165000,-50974000,233260000,-2.98023223876953e-08,-87000,182199000,23000,23000,23000,73996000,26900000,-168400000,0.61675,0.3036,0.01724,0.00795,-6.74004,0.01107,1.16905,0.00856,0.23366,0.23332,0.76965,10.39302,-1.57489,0.47671,0.05146,-0.11409,2.04018,0.35175,0.5128
"3","2010_Q4",19.04015625,"Up",86707000,-31732000,-6166000,-23865000,-1701000,54975000,-25135000,-25135000,29840000,29840000,-335000,29505000,31653000,31653000,25590000,155582000,155582000,10398000,10398000,9639000,9639000,175619000,3030083000,3720594000,-690511000,79832000,62626000,3109915000,3285534000,1644800000,26846000,1617954000,13750000,13750000,1658550000,38234.1444720373,1658550000,1829223000,-540029000,1626984000,1626984000,3285534000,26826000,23865000,4712000,-9158000,46245000,-13972000,3654000,-10318000,-51089000,-27029000,196899000,2000,118783000,154710000,154710000,154710000,78840000,0,56045000,0.63403,0.29513,0.01573,0.00779,2.19011,0.10589,1.0194,0,0.23882,0.23848,0.80919,12.03138,0.52304,0.47679,0.04713,0.03445,1.99644,-1.97339,-2.83005
"4","2011_Q1",19.4804838709677,"Up",81815000,-27762000,-5785000,-21496000,-481000,54053000,-25131000,-25131000,28922000,28073000,-503000,27570000,37877000,37877000,31814000,17607000,17607000,11301000,11301000,3631000,3631000,32539000,3401247000,4112862000,-711615000,101804000,84598000,3503051000,3535590000,1666070000,47019000,1619051000,22555000,22555000,1688625000,0,1688625000,2066287000,-557112000,1846965000,1846965000,3535590000,27570000,21496000,171000,25784000,86607000,-408583000,6233000,-402350000,-53863000,0,235692000,-4061000,177768000,-137975000,-137975000,-137975000,75549000,0,-306747000,0.66067,0.38885,0.01723,0.009,-9.64189,0.01927,0.91427,0,0.27419,0.27441,0.70513,13.00704,-2.64374,0.46423,0.04639,-0.16608,1.69306,-0.23305,-0.32574
"5","2011_Q2",19.6698412698413,"Up",97284000,-36183000,-7870000,-26608000,-1705000,61101000,-25122000,-25122000,35979000,35979000,-368000,35611000,35999000,35999000,29936000,129707000,129707000,10506000,10506000,4064000,4064000,144277000,3492909000,4229679000,-736770000,133370000,116164000,3626279000,3770556000,1644160000,23804000,1620356000,16248000,16248000,1660408000,-12744.7148240124,1660408000,2351962000,-579604000,2110148000,2110148000,3770556000,35611000,26608000,2920000,-23613000,41526000,-150643000,-5049000,-155692000,-57186000,0,285533000,-2081000,226266000,112100000,112100000,112100000,87709000,0,-86179000,0.62807,0.30772,0.01419,0.00794,-2.87877,0.08689,0.78687,0,0.24384,0.24354,0.79242,14.43669,-0.70197,0.46581,0.04129,-0.04084,1.91028,-1.47883,-2.12283
"6","2011_Q3",19.2528125,"Down",101048000,-38059000,-7987000,-28496000,-1576000,62989000,-25647000,-25647000,37342000,37342000,-367000,36975000,39248000,39248000,33184000,155671000,155671000,10899000,10899000,6354000,6354000,172924000,3626709000,4387786000,-761077000,191420000,174214000,3818129000,3991053000,1881970000,51963000,1830007000,18090000,18090000,1900060000,0,1900060000,2354676000,-601473000,2090993000,2090993000,3991053000,36975000,28496000,1344000,26173000,95442000,-153121000,4097000,-149024000,-61072000,1.5e+08,72000,-9454000,79546000,25964000,25964000,25964000,91485000,-1.86264514923096e-09,-35096000,0.62336,0.3284,0.01587,0.00831,-1.05762,0.09101,0.90869,0,0.2552,0.25479,0.77711,13.48293,-0.2699,0.46967,0.04508,-0.01678,1.84041,-1.7016,-2.4714
"7","2011_Q4",19.444126984127,"Up",105154000,-40306000,-7144000,-31502000,-1660000,64848000,-28549000,-28549000,36299000,36299000,-367000,35932000,40780000,40780000,34717000,5543000,5543000,12065000,12065000,4158000,4158000,21766000,4013918000,4800781000,-786863000,239090000,221884000,4253008000,4274774000,1874048000,34538000,1839510000,28584000,28584000,1999232000,0,1999232000,2560612000,-622860000,2275542000,2275542000,4274774000,35932000,31502000,1646000,-9105000,62279000,-462384000,10597000,-451787000,-61208000,96462000,203631000,495000,239380000,-150128000,-150128000,-150128000,96350000,96600000,-374772000,0.6167,0.33015,0.01526,0.00812,-10.79506,0.01089,0.87857,0.0226,0.26619,0.26576,0.80627,14.85776,-2.87357,0.46931,0.04044,-0.15799,1.76306,0.94506,1.40416
"8","2012_Q1",21.7840322580645,"Up",108874000,-48409000,-7953000,-29940000,-10516000,60465000,-28983000,-28983000,31482000,31472000,-368000,31104000,41005000,41005000,34942000,4165000,4165000,15375000,15375000,2153000,2153000,21693000,4157855000,4971981000,-814126000,239841000,222635000,4397696000,4419389000,1897956000,58770000,1839186000,29179000,29179000,2164535000,0,2164535000,2563048000,-645984000,2254854000,2254854000,4419389000,31104000,29940000,7939000,17235000,99705000,-187027000,8667000,-178360000,-64084000,140659000,0,702000.000000007,77277000,-1378000,-1378000,-1378000,90405000,237400000,-79019000,0.55537,0.32094,0.0155,0.00791,-2.26143,0.01002,0.95994,0.05372,0.25413,0.25484,0.79182,13.9425,-0.57469,0.46607,0.03973,-0.03171,1.83401,2.57989,3.85736
"9","2012_Q2",23.3679365079365,"Up",112305000,-45901000,-9168000,-34578000,-2155000,66404000,-28952000,-28952000,37452000,37452000,-405000,37047000,39263000,39263000,26071000,5194000,5194000,17567000,17567000,8580000,8580000,31341000,4129203000,4973208000,-844005000,237889000,220699000,4367092000,4398433000,1864050000,34419000,1829631000,30444000,30444000,1937494000,0,1937494000,2564184000,-678172000,2460939000,2460939000,4398433000,37047000,34578000,2859000,-26509000,50326000,-7854000,-1434000,-9288000,-66408000,-205206000,360941000,-129336000,-40009000,1029000,1029000,1029000,100982000,4.3e+07,67024000,0.59128,0.23214,0.01059,0.00593,2.57083,0.01618,0.7873,0.00978,0.19055,0.19037,0.82083,13.78467,0.48987,0.48537,0.03693,0.02677,2.5472,0.37438,0.56933
"10","2012_Q3",25.2053968253968,"Up",112573000,-45300000,-9272000,-34515000,-1513000,67273000,-28806000,-28806000,38467000,38467000,-405000,38062000,43408000,43408000,32951000,6064000,6064000,17600000,17600000,18965000,18965000,42629000,4285216000,5155381000,-870165000,248714000,231620000,4533930000,4576559000,1889151000,59497000,1829654000,30925000,30925000,2103676000,2.3283064365387e-10,2103676000,2567148000,-703628000,2472883000,2472883000,4576559000,38062000,34515000,2222000,27670000,105607000,-211700000,7334000,-204366000,-68624000,140454000,34436000,-6637000.00000001,99629000,870000,870000,870000,101788000,183600000,-81837000,0.59759,0.29271,0.01332,0.0072,-2.4836,0.02026,0.8507,0.04012,0.24081,0.24038,0.82269,13.61865,-0.59807,0.50151,0.03824,-0.03081,2.08261,1.74417,2.63904
