"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",30.4177777777778,"Down",-11057000,-16694000,-9672000,-7022000,-25066000,-493000,-493000,-25559000,-96572000,-78005000,-71741000,-71741000,-71741000,60679000,10894000,4218000,3818000,4e+05,79429000,6139000,15055000,21194000,100623000,12380000,12380000,2853000,2213000,15233000,-16471000,-19567000,1640000,16873000,149513000,-65746000,83750000,83750000,100623000,-71741000,1195000,56272000,14140000,-134000,46000,-49756000,37248000,55288000,5398000,5398000,5398000,-23871000,18111000,2.26698,6.48829,-0.85661,-0.71297,5.21427,0.20147,0.17999,-49.65292,-49.65292,-7.6527,57.96452,-0.84016,1.78325,1.69824
"2","2017_Q1",29.3074193548387,"Down",2782000,-14569000,-8208000,-6361000,-16867000,-393000,-393000,-17260000,-17260000,-16158000,-14946000,-14946000,-14946000,54525000,9676000,16121000,3540000,2426000,71414000,5910000,14534000,20444000,91858000,14527000,14527000,1089000,278000,15616000,-12707000,-15603000,5676000,21292000,151291000,-80692000,70566000,70566000,91858000,-14946000,450000,1559000,6272000,-6665000,-579000,4340999.99999999,1070000,1106000,-1218000,-1218000,-1218000,-16417000,18383000,-6.0629,-5.37239,-0.2118,-0.16271,4.57313,0.30173,0.20012,-10.33158,-10.33158,1.92309,48.7795,-0.19603,2.2015,2.14276
"3","2017_Q2",28.8288888888889,"Down",2142000,-1.6e+07,-10127000,-5873000,-12131000,-406000,-406000,-12537000,-12537000,-11714000,-9945000,-9945000,-9945000,60891000,14014000,6516000,6116000,4e+05,77396000,6384000,14013000,20397000,97793000,11271000,11271000,3188000,2310000,14459000,3413000,611000,21848000,36307000,152164000,-90637000,61486000,61486000,97793000,-9945000,841000,1827000,-4750000,-12027000,-794000,-2830000,19195000,19195000,4338000,4338000,4338000,-11290000,18435000,-5.6634,-4.64286,-0.16174,-0.10169,5.35279,0.59049,0.18851,-6.71026,-6.71026,1.44529,41.48691,-0.11934,3.7605,3.49979
"4","2017_Q3",25.2888888888889,"Down",3526000,-15207000,-8420000,-6787000,-14649000,-514000,-514000,-15163000,-15163000,-14167000,-11189000,-11189000,-11189000,48227000,22269000,6267000,5867000,4e+05,67193000,6205000,13493000,19698000,86891000,8293000,8293000,3590000,2146000,11883000,4843000,2047000,23588000,35471000,153260000,-101826000,51420000,51420000,86891000,-11189000,875000,1411000,-3606000,-12509000,-176000,20770000,-6000.00000000373,-6000.00000000373,8255000,8255000,8255000,-13774000,18745000,-4.15457,-3.17328,-0.2176,-0.12877,5.65455,0.68983,0.21573,-7.36912,-7.36912,2.32224,33.8654,-0.14917,2.14041,2.01256
"5","2017_Q4",43.2944444444444,"Up",6172000,-14647000,-7472000,-7175000,-10348000,-436000,-436000,-10784000,-10784000,2984000,37867000,37867000,37867000,96776000,75830000,16781000,6381000,10400000,115322000,6163000,9537000,15700000,131022000,11327000,11327000,2665000,2665000,13992000,9236000,9236000,26720000,40712000,154278000,-63958000,90310000,90310000,131022000,37867000,1275000,-44458000,3700000,-1616000,-135000,65359000,-182000,-182000,63561000,63561000,63561000,-9073000,17484000,-1.6766,6.13529,0.4193,0.28901,8.242,0.4508,0.13344,24.79966,24.47137,4.04213,59.14535,0.32357,8.73934,7.66254
"6","2018_Q1",47.7296721311475,"Up",2818000,-17743000,-8557000,-9186000,-16821000,-588000,-588000,-17409000,-17409000,-9695000,-9760000,-9760000,-9760000,80783000,7094999.99999999,11132000,4022000,7110000,95084000,5843000,16080000,21923000,117007000,11976000,11976000,3201000,3201000,18510000,734000,733999.999999998,16462000,34972000,155859000,-73719000,82035000,82035000,117007000,-9760000,136000,-5956999.99999999,160000,-15421000,-297000,-53841000,85000.0000000005,527000.000000001,-68735000,-68735000,-68735000,-16685000,19061000,-5.96913,-3.46345,-0.11897,-0.0834099999999999,5.1369,0.42631,0.1629,-6.23251000000001,-6.31511,1.79951,52.38562,-0.09585,3.69925,3.66934
"7","2018_Q2",66.478125,"Up",4071000,-15791000,-7592000,-8199000,-13501000,-407000,-407000,-13908000,-13908000,-13908000,-13854000,-13854000,-13854000,61654000,11830000,11123000,4093000,7030000,77160000,5936000,17116000,23052000,100212000,9409000,9409000,2531000,2531000,17273000,6e+05,6e+05,14575000,31848000,156020000,-87573000,68364000,68364000,100212000,-13854000,587000,777000,-4488000,-16978000,-473000,23512000,-742000,-556000,5978000,5978000,5978000,-12914000,19308000,-3.31638,-3.4031,-0.20265,-0.13825,4.46709,0.46586,0.19267,-8.80959,-8.80959,2.5887,43.47184,-0.15695,3.27908,3.13651
"8","2018_Q3",70.2155555555556,"Up",6826000,-16737000,-7024000,-9713000,-12445000,-711000,-711000,-13156000,-13156000,-13156000,-13145000,-13145000,-13145000,44731000,7228000,12401000,4863000,7538000,66247000,5638000,18112000,23750000,89997000,12220000,12220000,1715000,1715000,18102000,465000,465000,15865000,33967000,156783000,-100717000,56030000,56030000,89997000,-13145000,6e+05,867000,-4328000,-16006000,-93999.9999999999,12295000,-65000,313000,-3398000,-3398000,-3398000,-11845000,19567000,-1.82318,-1.92573,-0.23461,-0.14606,3.65965,0.60623,0.21742,-8.15039,-8.14926,4.23237,34.74067,-0.17282,2.12444,2.02202
"9","2018_Q4",42.1704761904762,"Down",5824000,-15514000,-6940000,-8574000,-12127000,-474000,-474000,-12601000,-12601000,-12601000,-12562000,-12562000,-12562000,37639000,28447000,12585000,5195000,7390000,60395000,5608000,12931000,18539000,78934000,13683000,13683000,1759000,1759000,15442000,349000,349000,19492000,34934000,157281000,-113279000,4.4e+07,4.4e+07,78934000,-12562000,597000,694000,125000,-11146000,-360000,27949000,-591000,-583000,16220000,16220000,16220000,-11530000,19143000,-2.08225,-2.15694,-0.2855,-0.15915,3.91109,0.79395,0.24252,-7.75991,-7.75991,3.59765,27.18009,-0.19785,1.60416,1.52519
"10","2019_Q1",19.4913114754098,"Down",6346000,-15476000,-6577000,-8899000,-13592000,-432000,-432000,-14024000,-14024000,-14024000,-14128000,-14128000,-14128000,30635000,30635000,11049000,6907000,4142000,48689000,5202000,13603000,18805000,67494000,15569000,15569000,2041000,2041000,17610000,2e+05,2e+05,19478000,37088000,157814000,-127408000,30406000,30406000,67494000,-14128000,606000,790000,5440000,-7292000,-49000.0000000001,9041000.00000001,-11999.9999999999,39000,1788000,1788000,1788000,-12986000,19278000,-2.14182,-2.22628,-0.46465,-0.20932,2.76485,1.21976,0.28563,-8.71146,-8.71265,3.913,18.74863,-0.28322,0.87456,0.83557
