"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",38.7347619047619,"Up",393229000,-173810000,219419000,-168156000,-168156000,51263000,2476000,-58000,2534000,53739000,53739000,-16043000,37696000,37696000,-1789000,35907000,35907000,814410561.254515,809898331.54724,-60715753.0199249,-60715753.0199249,-66017850.095857,165981294.365813,126597187.397892,853658252.504546,158126346.255007,85235471.9446348,46519749.9445052,249879409.630037,1103537662.13458,18744342.8409591,26079222.4585457,-7334879.61758663,7833465.81226052,145737244.463483,145737244.463483,172315053.116703,3492452.55683581,35212014.7422826,12776887.9854911,22435126.7567915,38704467.2991184,211019520.415821,109883634.556304,962163627.448714,-84722657.963732,892788403.840386,-270262.121624527,892518141.718761,1103537662.13458,37696000,10107000,4335000,2652000,54790000,-5667000,-126000,-5868000,-30000,6968000,0,8000,6946000,55868000,55868000,-11141000,44727000,61370000,0,74398000,0.55799,0.13036,0.09131,0.154336988980829,0.113589818376859,2.07196,5.69282251729822,0.246786740809222,0.00919725713406521,0.53561,0.52841,5.86568,13.960019308405,1.10977,0.143892582449982,0.70694769237892,-11.8400535919054,-14.0923823703397
"2","2010_Q3",44.55453125,"Up",412560000,-175675000,236885000,-172539000,-172539000,64346000,178000,-59000,237000,64524000,64524000,-7965000,56559000,56559000,-2074000,54485000,54485000,442989000,434544000,162918000,162918000,297470000,101189000,74897000,1004566000,202093000,98519000,55438000,309068000,1313634000,104485000,88993000,15492000,3776000,107553000,107553000,215814000,4140000,56748000,36815000,19933000,60888000,276702000,97658000,925007000,9024000,1031689000,5243000,1036932000,1313634000,56559000,9929000,16425000,-67055000,15858000,-11959000,-2245000,-14280000,-145000,-8581000,-11157000,-1305000,-10031000,-8453000,-8453000,-6905000,-15358000,74275000,7916000,3226000,0.57418,0.15597,0.13207,0.05254,0.04148,0.0592100000000002,4.65478,0.26685,0.00603,0.80801,0.79809,6.11825,15.29992,0.0478400000000001,0.04946,0.00293,-5.8576,-6.76146
"3","2010_Q4",64.52875,"Up",523825000,-225082000,298743000,-187473000,-187473000,111270000,-13000,-47000,34000,111257000,111257000,-40353000,70904000,70904000,-2748000,68156000,68156000,371552000,362200000,258379000,258379000,388252000,91407000,59239000,1109590000,215515000,100920000,56480000,325317000,1434907000,142267000,118975000,23292000,3996000,146760000,146760000,293023000,4449000,65722000,45047000,20675000,70171000,363194000,104990000,993164000,26825000,1064056000,7657000,1071713000,1434907000,70904000,10153000,10454000,-119631000,-28120000,-14335000,2347000,-12067000,-127000,-59131000,-65975000,2418000,-56840000,-97027000,-97027000,24683000,-72344000,121423000,8445000,27810000,0.57031,0.21242,0.13011,0.0636,0.0475,0.40803,3.7867,0.33889,0.00589,1.0166,1.00291,7.81327,15.87125,0.41481,0.05948,0.02427,-2.99043,-3.2633
"4","2011_Q1",77.4924193548387,"Up",701076000,-300959000,400117000,-250582000,-250582000,149535000,5155000,-955000,6110000,154690000,154690000,-54959000,99731000,99731000,-3074000,96657000,96657000,401658000,392794000,263218000,263218000,371935000,104006000,62170000,1140817000,217424000,100309000,55737000,326756000,1467573000,150295000,122266000,28029000,5314000,183879000,183879000,339488000,4513000,71864000,47893000,23971000,76377000,415865000,117894000,1089820000,19418000,1044118000,7590000,1051708000,1467573000,99731000,10371000,9901000,46646000,166649000,-14129000,-1105000,-15318000,1156000,-115068000,-122090000,3253000,-110659000,40672000,40672000,-10078000,30594000,159906000,9827000,247382000,0.57072,0.21329,0.13787,0.0919,0.06586,2.55938,3.3604,0.39542,0.0067,1.4804,1.452,10.73771,15.99176,3.78891,0.08528,0.21827,-2.45038,-2.62033
"5","2011_Q2",101.38873015873,"Up",536975000,-235163000,301812000,-209256000,-209256000,92556000,-3298000,-225000,-3073000,89258000,89258000,-31192000,58066000,58066000,-2244000,55822000,55822000,355253000,346740000,219710000,219710000,402642000,111770000,69974000,1089375000,224202000,103999000,58741000,337924000,1427299000,148380000,110364000,38016000,5165000,153082000,153082000,306627000,4522000,84423000,54833000,29590000,88945000,395572000,124096000,1145643000,33461000,1025665000,6062000,1031727000,1427299000,58066000,10976000,2461000,-18371000,53132000,-9932000,-2049000,-12063000,-73000,-91019000,-94521000,1019000,-90073000,-49004000,-49004000,2950000,-46054000,103532000,9687000,106421000,0.56206,0.17237,0.10396,0.05411,0.03911,1.90643,3.55277,0.38341,0.00679,0.87095,0.86084,8.37806,16.00276,1.66042,0.04958,0.09453,-3.33777,-3.73359
"6","2011_Q3",105.50140625,"Up",556660000,-244684000,311976000,-225714000,-225714000,86262000,-4574000,-649000,-3925000,81688000,81688000,-27658000,54030000,54030000,-2670000,51360000,51360000,332183000,323454000,226060000,226060000,450698000,141899000,99080000,1150840000,226697000,108416000,62456000,342733000,1493573000,168975000,146854000,22121000,8870000,167584000,167584000,345429000,4814000,98207000,58911000,39296000,103021000,448450000,135545000,1197003000,42207000,1036391000,8732000,1045123000,1493573000,54030000,14084000,4940000,-43019000,30035000,754000,-4416000,-3691000,3479000,-56603000,-60829000,4542000,-48582000,-22238000,-22238000,-1048000,-23286000,100346000,13684000,85739000,0.56044,0.15496,0.09226,0.04914,0.03439,1.66937,3.33163,0.42909,0.00916,0.81018,0.80115,8.7811,16.34867,1.3525,0.04439,0.0741,-3.17401,-3.69223
"7","2011_Q4",89.0030158730159,"Down",642911000,-283382000,359529000,-240720000,-240720000,118809000,-6998000,-447000,-6551000,111811000,111811000,-39306000,72505000,72505000,-2895000,69610000,69610000,239575000,231155000,273272000,273272000,511683000,125394000,84567000,1149924000,264724000,114232000,69806000,386266000,1536190000,186125000,163750000,22375000,10570000,165129000,165129000,361824000,4304000,102904000,63112000,39792000,107208000,469032000,145395000,1266612000,27772000,1055531000,11627000,1067158000,1536190000,72505000,12683000,11929000,-97555000,-438000,-39740000,-14792000,-54532000,2420000,-40757000,-49080000,390000,-37947000,-92917000,-92917000,618000,-92299000,131492000,14874000,33503000,0.55922,0.1848,0.10827,0.06523,0.04531,0.4813,3.17813,0.43952,0.00968,1.10184,1.09091,10.17651,16.70778,0.53031,0.05875,0.02827,-1.70886,-1.89128
"8","2012_Q1",109.791774193548,"Up",830756000,-364887000,465869000,-291505000,-291505000,174364000,-5562000,-1070000,-4492000,168802000,168802000,-46001000,122801000,122801000,-4891000,117910000,117910000,287653000,287498000,302467000,302467000,488983000,156299000,110496000,1235402000,282050000,117950000,73896000,407520000,1642922000,174222000,157883000,16339000,9009000,208047000,208047000,391278000,6236000,128562000,86328000,42234000,134798000,526076000,149927000,1384522000,22180000,1105929000,10917000,1116846000,1642922000,122801000,14182000,20115000,11440000,168538000,-39546000,-8385000,-39787000,-1781000,-66130000,-66452000,-5344000,-73255000,55496000,55496000,847000,56343000,188546000,15245000,206441000,0.56078,0.20989,0.14193,0.10557,0.07177,1.75084,3.15735,0.47104,0.00928,1.88565,1.86871,13.28572,17.68637,3.30147,0.09353,0.16376,-1.44478,-1.56229
"9","2012_Q2",96.6666666666667,"Down",589533000,-260553000,328980000,-246119000,-246119000,82861000,1735000,-814000,2549000,84596000,84596000,-23524000,61072000,61072000,-2932000,58140000,58140000,260684000,260478000,223297000,223297000,512087000,161226000,112532000,1157294000,289359000,117041000,72262000,414066000,1571360000,134209000,118705000,15504000,12854000,149652000,149652000,296715000,7738000,134484000,90361000,44123000,142222000,438937000,130173000,961235000,30952000,1122360000,10063000,1132423000,1571360000,61072000,15227000,-6904000,-33896000,35499000,-10029000,-184000,-10213000,3895000,-63526000,-67878000,6115000,-53516000,-28230000,-28230000,1210000,-27020000,98088000,20592000,77687000,0.55803,0.14055,0.09862,0.05134,0.037,1.33621,3.90036,0.38761,0.0131,0.93988,0.93085,9.53027,18.14384,1.25587,0.04516,0.06034,-2.44772,-2.89753
"10","2012_Q3",80.0452380952381,"Down",636105000,-279744000,356361000,-268264000,-268264000,88097000,-4000,-1429000,1425000,88093000,88093000,-27705000,60388000,60388000,-3050000,57338000,57338000,139021000,138836000,226405000,226405000,524446000,160711000,116162000,1050583000,301469000,349774000,168339000,658925000,1709508000,153120000,131726000,21394000,7236000,163765000,163765000,324121000,105880000,134690000,88323000,46367000,240570000,564691000,134779000,979647000,17507000,1131933000,12884000,1144817000,1709508000,60388000,15052000,187000,25262000,100889000,-20118000,-3914000,-253174000,89647000,-59086000,-59154000,-130999.999999998,30430000,-121855000,-121855000,213000,-121642000,103149000,113116000,135998000,0.56022,0.13849,0.09014,0.05008,0.03354,2.37187,3.24133,0.49326,0.06617,0.93046,0.9242,10.32253,18.36868,2.20694,0.04117,0.09766,-0.25114,-0.29405
