"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.5333333333333,"Up",375390000,-244046000,131344000,-95953000,-76007000,-16181000,-3765000,35391000,-4738000,-4738000,30653000,30653000,-3291000,27362000,26314000,26314000,26314000,53756579.5579758,53756571.3704863,1406873953.17872,1406873953.17872,-15939842.3357208,1080413253.15447,478154417.210454,602258835.944013,2525103943.55544,33978011.6082683,-765632825.707536,188870547.021789,28042490.7821304,-982545863.511456,-731654814.099268,1793449129.45617,661859137.509994,64992263.1387055,596866874.371289,-9298946.11338551,-6608112.23544125,652580953.364994,59163166.1639883,60063274.9209919,229350605.874046,881931559.23904,710227919.527435,250286313.841707,-48994115.9234382,911517570.217134,911517570.217134,1793449129.45617,27362000,3765000,150819000,-137147000,37133000,-2179000,-1919000,87000,35301000,35301000,1404000,36705000,39156000,0,-96879000,0.34989,0.09428,0.0701,1.61936454136625,1.01884916536249,-3.68165,6.62091018880664,1.12566288867336,0.0716106707006818,0.33167,0.28515,4.73147,12.238670651793,-1.22108,1.33521675659722,-0.637332582955736,-1918.93806872977,972.06649686142
"2","2010_Q3",9.498125,"Down",244972000,-136642000,108330000,-95301000,-73222000,-18074000,-4005000,13029000,-1644000,-1644000,11385000,11385000,-3347000,8037999.99999999,3339000.00000001,3339000.00000001,3339000.00000001,244057859.852659,244057857.123495,440829317.72624,440829317.72624,19218052.5547597,464859084.384822,174145472.403485,290713611.981338,1168964314.51848,25658003.8694228,9094391.4308213,207617849.007263,22236830.2607101,-220760287.837152,34752395.300244,1203716709.81872,336934379.169998,49297754.3795685,287636624.79043,6604351.29553817,4111629.25485292,343545651.121665,33770055.3879961,31858091.6403306,160058868.624682,503604519.746347,699885306.509145,19801104.6139022,-19573371.9744794,700112190.072378,700112190.072378,1203716709.81872,8037999.99999999,4005000,42459000,-25987000,28114000,-3495000,-1680000,0,26434000,26434000,-4158000,22276000,17034000,1.49011611938477e-08,-9100999.99999999,0.44221,0.0531899999999999,0.01363,0.54615151378875,0.34411305512083,-2.72567,3.92518339626888,0.730847629557787,0.100296890233561,0.0418500000000001,0.0418499999999999,3.07006,8.999896883931,-0.11406,0.450785585532408,0.0279091390147547,-532.647346243255,253.558425620473
"3","2010_Q4",11.2596875,"Up",334259000,-188650000,145609000,-96927000,-75353000,-18073000,-3501000,48682000,-4013000,-4013000,44669000,44669000,-3849000,40820000,40859000,40859000,40859000,297118000,297118000,83845000,83845000,28592000,208739000,53976000,154763000,618294000,21326000,336979000,219259000,19142000,98578000,358305000,976599000,216350000,48852000,167498000,14211000,10412000,230561000,21643000,18525000,126948000,357509000,699400000,-80469000,159000,619090000,619090000,976599000,40820000,3501000,5901000,40805000,89924000,-2572000,-2572000,17000,87369000,87369000,4930000,92299000,52183000,105305000,94265000,0.43562,0.14564,0.12224,0.066,0.04184,2.30708,2.68169,0.57748,0.10783,0.50604,0.43615,4.13979,7.66741,1.16747,0.05477,0.12635,-3.67578,-3.94012
"4","2011_Q1",14.4937096774194,"Up",182255000,-120043000,62212000,-82172000,-61196000,-17248000,-3728000,-19960000,-3124000,-3124000,-23084000,-23084000,668000,-22416000,-22054000,-22054000,-22054000,280359000,280359000,84217000,84217000,24578000,177449000,45773000,131676000,566603000,19632000,385424000,225170000,17833000,142421000,405056000,971659000,214612000,56153000,158459000,16276000,13434000,230888000,18253000,14998000,125492000,356380000,707343000,-102523000,10459000,615279000,615279000,971659000,-22416000,3728000,24974000,-26201000,-20373000,-1407000,-1407000,630000,-21150000,-21150000,4391000,-16759000,-16232000,107239000,-44508000,0.34135,-0.10952,-0.12101,-0.03584,-0.0227,2.01814,2.45402,0.57922,0.11037,-0.26839,-0.39144,2.21797,7.4877,-0.54164,-0.02977,-0.06008,10.66535,8.67335000000001
"5","2011_Q2",15.6934920634921,"Up",334380000,-211219000,123161000,-125024000,-105260000,-16519000,-3245000,-1863000,-3680000,-3680000,-5543000,-5543000,-3076000,-8619000,-8713000,-8713000,-8713000,248759000,248759000,146694000,146694000,25941000,223254000,72131000,151123000,644648000,19009000,339920000,226868000,17339000,95713000,358929000,1003577000,243414000,72480000,170934000,16705000,15314000,260119000,18955000,16050000,128191000,388310000,715776000,-111236000,10727000,615267000,615267000,1003577000,-8619000,3245000,111041000,-133653000,-28406000,-2400000,-3875000,162000,-32119000,-32119000,519000,-31600000,1382000,109236000,-131595000,0.36833,-0.00557,-0.02606,-0.01416,-0.00868,15.10329,2.47828,0.63112,0.10885,-0.10561,-0.10561,4.05285,7.45733,-1.59499,-0.01172,-0.177,-100.95731,74.89157
"6","2011_Q3",13.17609375,"Down",107034000,-74703000,32331000,-73840000,-54558000,-15998000,-3284000,-41509000,-4333000,-4333000,-45842000,-45842000,-1419000,-47261000,-47371000,-47371000,-47371000,269740000,269740000,19572000,19572000,45077000,211550000,61177000,150373000,545939000,18107000,367870000,225729000,16735000,125406000,385977000,931916000,217262000,90331000,126931000,18253000,17193000,235515000,19220000,16615000,130519000,366034000,723270000,-158607000,1219000,565882000,565882000,931916000,-47261000,3284000,-16348000,79240000,18174000,-2380000,-2380000,33000.0000000149,15827000,15827000,5154000,20981000,-38225000,111299000,40054000,0.30206,-0.38781,-0.44258,-0.08371,-0.05083,-0.845540000000003,2.31806,0.64684,0.11943,-0.57115,-0.57115,1.2905,6.82279,0.48293,-0.06802,0.05752,4.14496,3.81702999999999
"7","2011_Q4",14.1544444444444,"Up",236325000,-126467000,109858000,-89610000,-69933000,-16823000,-2854000,20248000,-6190000,-6190000,14058000,14058000,127000,14185000,14104000,14104000,14104000,453316000,453316000,53274000,53274000,22516000,223314000,42609000,180705000,752420000,18556000,369620000,223934000,16401000,129285000,388176000,1140596000,156257000,29400000,126857000,12821000,11794000,169078000,18127000,15827000,330033000,499111000,787552000,-144503000,-1564000,641485000,641485000,1140596000,14185000,2854000,-3581000,-57412000,-44373000,-3204000,-3204000,243168000,195591000,195591000,-12015000,183576000,23102000,311906000,-37641000,0.46486,0.08568,0.05968,0.02199,0.01237,-2.66882,4.45014,0.77806,0.27346,0.16878,0.16878,2.82804,7.67648,-0.45044,0.01452,-0.03874,-6.12112,-6.9839
"8","2012_Q1",15.4829032258065,"Up",148084000,-116466000,31618000,-92760000,-75198000,-14822000,-2740000,-61142000,-5368000,-5368000,-66510000,-66510000,505000,-66005000,-66836000,-66836000,-66836000,420279000,420279000,45035000,45035000,22477000,255826000,44602000,211224000,743617000,18949000,386861000,228169000,16266000,142426000,405810000,1149427000,203449000,46681000,156768000,15276000,13864000,218725000,18635000,16316000,334975000,553700000,800333000,-211339000,6733000,595727000,595727000,1149427000,-66005000,2740000,72108000,-38775000,-30359000,-602000,-4703000,1000,-35061000,-35061000,2024000,-33037000,-58402000,316340000,-98284000,0.21351,-0.41289,-0.45134,-0.11219,-0.05815,1.47052,3.39978,0.92945,0.27522,-0.79176,-0.79176,1.75426,7.05721,-1.16431,-0.07181,-0.1056,1.77972,1.69996
"9","2012_Q2",12.3614285714286,"Down",226139000,-186731000,39408000,-140290000,-122209000,-15312000,-2769000,-100882000,-8049000,-8049000,-108931000,-108931000,-1841000,-110772000,-110838000,-110838000,-110838000,367056000,367056000,71707000,71707000,27987000,252357000,42695000,209662000,719107000,19354000,334676000,225118000,11931000,97627000,354030000,1073137000,241207000,78224000,162983000,15786000,14348000,256993000,18226000,16277000,339109000,596102000,803918000,-322177000,-4706000,477035000,477035000,1073137000,-110772000,2769000,141822000,-85925000,-52516000,-3290000,-3290000,-114386740.066984,-55806000,-55806000,2583000,-53223000,-98113000,320883000,-185487000,0.17426,-0.44611,-0.49013,-0.23235,-0.10328,1.6735,2.79816,1.2496,0.29901,-1.30382,-1.30382,2.66015,5.61152,-2.18194,-0.13581,-0.22727,0.47061,0.45769
"10","2012_Q3",9.73698412698413,"Down",273084000,-158487000,114597000,-118530000,-96660000,-19320000,-2550000,-3933000,-7419000,-7419000,-11352000,-11352000,-1085000,-12437000,-12491000,-12491000,-12491000,328284000,328284000,154951000,154951000,60568000,254140000,41593000,212547000,797943000,21879000,344923000,228588000,11101000,105234000,366802000,1164745000,297183000,125079000,172104000,39748000,38284000,336931000,17766000,16193000,343305000,680236000,811957000,-334668000,7220000,484509000,484509000,1164745000,-12437000,2550000,126149000,-145660000,-29802000,-4731000,-4731000,3241339.82019317,-34533000,-34533000,-4239000,-38772000,-1383000,325539000,-150689000,0.41964,-0.0144,-0.04574,-0.02578,-0.01072,12.06381,2.36827,1.40397,0.27949,-0.14627,-0.14627,3.19785,5.67367,-1.76459,-0.01509,-0.18203,1.98482,0.69794
