"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.32777777777778,"Up",41201000,-39459000,1742000,-3742000,-3742000,-2e+06,17000,-136000,-148000,153000,-1983000,-1983000,860000,-1123000,-1136000,-1136000,-1136000,24334000,24334000,17770000,17770000,38449000,16489000,34690671.1211239,97042000,62897000,6713000,4833000,69610000,166652000,14728000,8822000,5906000,14941000,5817000,5643000,5817000,20758000,61785000,86629000,-2520000,145894000,145894000,166652000,-1123000,1715000,267000,-10630000,-9800000,-327000,-111000,-438000,-526000,0,-4000,-530000,-10768000,-10768000,-10768000,-285000,0,-12102000,0.04228,-0.04854,-0.02757,-0.00779,-0.00682,10.65317,6.49501,0.14228,0,-0.06536,-0.06536,2.3706,8.39436,-0.69632,0.03026,3,-0.00402,-0.07977,-0.46303,85.38246,12.167
"2","2010_Q3",6.43078125,"Down",52268000,-46049000,6219000,-4182000,-4182000,2037000,-36000,-133000,-147000,97000,2001000,2001000,-357000,1644000,1634000,1634000,1634000,52263000,52263000,23205000,23205000,32160000,2413000,17581691.2645994,110041000,61735000,7223000,5343000,68958000,178999000,25205000,19368000,5837000,25427000,5925000,5760000,5925000,31352000,62431000,87736000,-2520000,147647000,147647000,178999000,1644000,1743000,592000,25272000,29240000,-575000,-299000,-874000,-527000,0,90000,-437000,27929000,27929000,27929000,3780000,0,28834000,0.11898,0.03897,0.03126,0.01107,0.00913,17.64627,4.32772,0.21234,0,0.09402,0.09402,3.00736,8.49522,1.65903,0.03032,7,0.01407,0.18776,0.32252,-13.82619,-25.65685
"3","2010_Q4",7.12234375,"Up",61956000,-54266000,7690000,-4317000,-4317000,3373000,-69000,-71000,-116000,2000,3304000,3304000,-1680000,1624000,1605000,1605000,1605000,44170000,44170000,28450000,28450000,41815000,2604000,7967134.22422478,117039000,60407000,7529000,5649000,67936000,184975000,29427000,21458000,7969000,29641000,6046000,5889000,6046000,35687000,62994000,88814000,-2520000,149288000,149288000,184975000,1624000,1772000,648000,-10832000,-6821000,-347000,-30000,-377000,-527000,0,-368000,-895000,-8093000,-8093000,-8093000,5145000,0,-4354000,0.12412,0.05444,0.02591,0.01075,0.00868,-2.71277,3.94855,0.23905,0,0.09189,0.09138,3.54723,8.54735,-0.24928,0.03017,4,0.01373,-0.02803,0.32835,-8.58503,-13.09517
"4","2011_Q1",8.7358064516129,"Up",56161000,-53821000,2340000,-3783000,-3783000,-1443000,28000,-11000,-42000,39000,-1415000,-2902000,1215000,-1687000,-1630000,-1630000,-1630000,45935000,45935000,24970000,24970000,43919000,3931000,3931000,118755000,58653000,5097000,5097000,63750000,182505000,26618000,20689000,5929000,26828000,7801000,7521000,7801000,34629000,63529000,86656000,-2309000,147876000,147876000,182505000,-1687000,1779000,-209000,462000,260000,-233000,-16000,2109000,-528000,0,-76000,-604000,1765000,1765000,1765000,336000,-4.65661287307739e-10,-650000.000000004,0.04167,-0.02569,-0.02902,-0.01102,-0.00893,0.39877,4.42653,0.23418,1.73472347597681e-18,-0.09332,-0.0928,3.21545,8.46651,-0.0372199999999999,0.03023,5,-0.00708,-0.00418,-0.32393,-136.71131,31.83299
"5","2011_Q2",9.32936507936508,"Up",52306000,-52441000,-135000,-4168000,-4168000,-4303000,-125000,-138000,-151000,13000,-4428000,-11568000,3940000,-7628000,-7628000,-7628000,-7628000,2787000,2787000,22356000,22356000,61062000,4961000,3557288.59192507,91166000,91521000,7583000,7583000,99104000,190270000,30658000,22342000,8316000,31333000,5852000,5852000,18677000,50010000,64068000,78501000,-2309000,140260000,140260000,190270000,-7628000,2054000,-790000,1273000,-5091000,-506000,494671.589949769,-38094000,-571423.461924074,0,37000,37000,-43148000,-43148000,-43148000,-2249000,13500000,-5422000,-0.00258,-0.08227,-0.14583,-0.05438,-0.04009,0.7108,2.90958,0.35655,0.07095,-0.43561,-0.43561,2.98704,8.00982,-0.30963,0.0326301372373476,2,-0.04779,-0.03397,-0.0411261717738539,-4.76345,-2.48966
"6","2011_Q3",7.6734375,"Down",86933000,-75330000,11603000,-4523000,-4523000,7080000,-191000,-247000,-253000,56000,6889000,4408000,-1789000,2619000,2619000,2619000,2619000,3893000,3893000,37418000,37418000,61717000,4930000,4930000,107958000,93169000,5770000,5770000,98939000,206897000,44425000,35870000,8555000,45100000,5970000,5970000,18795000,63895000,64719000,80592000,-2309000,143002000,143002000,206897000,2619000,2499000,2467000,-2452000,5133000,-4378000,638000,-3460000,-527000,1.45519152283669e-11,-40000,-567000,1106000,1106000,1106000,9579000,13500000,4538000,0.13347,0.08144,0.03013,0.01831,0.01266,1.73272,2.39375,0.44681,0.06525,0.14922,0.14922,4.95317,8.1478,0.25856,0.03003,6,0.01936,0.02793,0.20122,1.00292,1.35691999999999
"7","2011_Q4",7.35206349206349,"Down",98579000,-86050000,12529000,-4947000,-4947000,7582000,-215000,-242000,-260000,27000,7367000,5397000,-1747000,3650000,3650000,3650000,3650000,2009000,2009000,43691000,43691000,70454000,5699000,5699000,121853000,90018000,6077000,6077000,96095000,217948000,50219000,41952000,8267000,50894000,7381000,7381000,20206000,71100000,65443000,83714000,-2309000,146848000,146848000,217948000,3650000,2509000,3138000,-9434000,-137000,-1244000,-16000,-1260000,-528000,0,41000,-487000,-1884000,-1884000,-1884000,10091000,13500000,1160000,0.1271,0.07691,0.03703,0.02486,0.01675,0.31781,2.39425,0.48417,0.06194,0.2082,0.2082,5.62312,8.37648,0.06617,0.03012,5,0.02491,0.00692,0.14466,1.13874,1.51556
"8","2012_Q1",8.94370967741935,"Up",99091000,-91345000,7746000,-5970000,-5970000,1776000,-167000,-293000,-294000,126000,1609000,1864000,-892000,972000,972000,972000,972000,10000,10000,41971000,41971000,76374000,4093000,4093000,122448000,89484000,4598000,4598000,94082000,216530000,45984000,38607000,7377000,46659000,7916000,7916000,21397000,68056000,66332000,84157000,-2015000,148474000,148474000,216530000,972000,2511000,234000,-6529000,-2812000,1112000,313000,1425000,-1057000,656000,-211000,-612000,-1999000,-1999000,-1999000,4287000,14156000,-238000,0.07817,0.01792,0.00981,0.00655,0.00449,-0.24486,2.62432,0.45837,0.06538,0.05535,0.05535,5.64235,8.45428,-0.01355,0.06019,5,0.0119,-0.0014,1.08745,3.29974,7.96509
"9","2012_Q2",7.67126984126984,"Down",84811000,-80152000,4659000,-4592000,-4592000,67000,-183000,-253000,-253000,70000,-116000,-290000,110000,-180000,-180000,-180000,-180000,10000,10000,36129000,36129000,73402000,4602000,4602000,114143000,88420000,5274000,5274000,93694000,207837000,34512000,27874000,6638000,34512000,8802000,8802000,25185000,59697000,66707000,83448000,-2015000,148140000,148140000,207837000,-180000,2406000,-458000,-2497000,-729000,-993000,-411000,-1404000,-529000,2652000,10000,2133000,0,0,0,2473000,16383000,-1127000,0.05493,0.00079,-0.00212,-0.00122,-0.00087,6.26111,3.30734,0.40298,0.07883,-0.01022,-0.01022,4.81607,8.41227,-0.064,0.03004,4,0.00201,-0.0065,-2.93889,6.6207,244.37313
"10","2012_Q3",7.51809523809524,"Down",87029000,-81535000,5494000,-4906000,-4906000,588000,27000,-117000,-119000,144000,615000,412000,-150000,262000,262000,262000,262000,233000,233000,36524000,36524000,69225000,4908000,4908000,110890000,88740000,5810000,5810000,94550000,205440000,39061000,33754000,5307000,39061000,9886000,9886000,17886000,56947000,67328000,83180000,-2015000,148493000,148493000,205440000,262000,2429000,290000,9332000,12313000,-2916000,1.16415321826935e-10,-2916000,-530000,-8383000,-261000,-9174000,223000,223000,223000,3017000,8e+06,9583000,0.06313,0.00676,0.00301,0.00176,0.00128,36.57634,2.83889,0.3835,0.03894,0.01484,0.01427,4.93082,8.4132,0.54295,0.03003,5,0.00476,0.0576,2.0229,2.57441,13.20918
