"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"16","2019_Q3",6.64390625,"Down",264414000,-169169000,-26428000,-102578000,-40163000,95245000,-69610000,-97729000,25635000,21755000,47390000,-7843000,39547000,39547000,38717000,-471000,38246000,299394000,299394000,77303000,77303000,376697000,3201436000,1212224000,371407000,692833000,147984000,4413660000,4790357000,245185000,206350000,9394000.00000001,29441000,869903000,811782000,1115088000,5058536000,106022000,106022000,5164558000,6279646000,855443000,-2432286000,-1576843000,-1489289000,4790357000,39547000,102578000,-36809000,-43854000,61462000,-101020000,26504000,-9813000,94824000,17155000,102167000,190133000,194907000,194710000,197823000,5058536000,60792000,0.36021,0.14464,-0.02568,0.00798,1.5895,0.33782,-4.21654,1.05598,0.20902,0.18903,1.44508,-8.61781,0.33224,0.0536300000000001,0.01308,0.01654,0.25658,24.05758,49.96737
"17","2019_Q4",5.83109375,"Down",263629000,-166381000,-25267000,-101166000,-39948000,97248000,-103796000,-104655000,-6548000,-14974000,-21522000,1745000,-19777000,-19777000,-19420000,-50000,-19470000,197317000,197317000,86939000,86939000,284256000,3371151000,1375818000,536654000,690672000,148492000,4746969000,5031225000,291945000,208477000,9830000,73638000,1099167000,1040288000,1391112000,5065512000,11440000,11440000,5076952000,6468064000,948401000,-2469830000,-1521429000,-1436839000,5031225000,-19776999.9999999,101166000,13919999.9999999,216123000,311432000,-84384000,-394070000,-8914000,-6553000,-4371999.99999999,-19439000,-102077000,-102077000,-102077000,198414000,5065512000,328408000,0.36888,-0.07385,0.01355,-0.00387,-16.86739,0.20434,-4.50159,1.00681,-0.10138,-0.11275,1.37275,-7.92229,1.71007,0.04642,-0.0029,0.09022,-0.45783,24.53554,50.05959
"18","2020_Q1",6.49354838709677,"Up",4326326000,-1322879000,-680779000,-760629000,118529000,-415453000,-84949000,-45058000,-500402000,-3009812000,-3510214000,330152000,-3180062000,-3180062000,-3179539000,1950000,-3177589000,142813000,142813000,77623000,77623000,220436000,3409945000,1386619000,531979000,690672000,163968000,4796564000,5.017e+09,299203000,227121000,43282000,28800000,1118781000,1070671000,1417984000,5070673000,11507000,11507000,5082180000,6500164000,951314000,-2518182000,-1566868000,-1483164000,5.017e+09,-3180062000,760629000,2561933000,-170496000,-27996000,-613638000,-427266000,129075000,42305000,-14364000,134528000,-320734000,-320734000,-320691000,345176000,5070673000,-769110000,-0.0960300000000002,-0.73448,2.14244,-0.63336,0.24204,0.15546,-4.38263,1.0107,-16.53324,-16.53324,22.5102,-8.15253,-4.00174,-0.67159,-0.91877,-0.2137,0.0406200000000018,14.27637,-11.86141
"19","2020_Q2",6.37206349206349,"Down",266162000,-153564000,-27133000,-86121000,-40310000,112598000,-181468000,-178393000,-68870000,-15972000,-84842000,4576000,-80266000,-80266000,-78853000,-203000,-79056000,109329000,109329000,74763000,74763000,184092000,3254600000,1575388000,523718000,690672000,360998000,4829988000,5014080000,298613000,171149000,29648000,97816000,1192819000,1102118000,1491432000,5112183000,6041000,6041000,5118224000,6609656000,954242000,-2631494000,-1677252000,-1595576000,5014080000,-80266000,86120999.9999999,86563000,39853999.9999999,132272000,-75093000,-75093000,-42519000,8572000,-57022000,-90663000,-33484000,-33484000,-33484000.0000001,198719000,5112183000,158904000,0.42304,-0.29702,0.04955,-0.01577,-2.01002,0.12343,-4.14249,1.01957,-0.41124,-0.41124,1.38456,-8.72496,0.826609999999998,0.22118,-0.01037,0.04511,-0.53783,25.17552,44.43111
"20","2020_Q3",8.3759375,"Up",266820000,-803030000,-27894000,-84969000,-690167000,-536210000,-113256000,-107243000,-649466000,45262000,-604204000,5875000,-598329000,-598329000,-587744000,-425000,-588169000,88269000,88269000,72353000,72353000,160622000,3098191000,1557382000,346052000,690672000,494654000,4655573000,4816195000,945811000,168288000,29634000,747889000,1206870000,987318000,2152681000,4870090000,10687000,10687000,4880777000,7033458000,957675000,-3245560000,-2287885000,-2217263000,4816195000,-598329000,84969000,-52294000,659663000,94009000,-58942000,166207000,-29126000,-2.5e+08,-2150000,-281276000,-21060000,-21060000,-21060000,-451241000,4870090000,143605000,-2.00963,-2.20437,0.26527,-0.12212,-0.24416,0.07461,-3.17214,1.01119,-3.05574,-3.05574,1.38622,-11.88635,0.74608,0.15132,-0.20989,0.05392,-0.0495200000000002,-10.59704,-8.91780999999998
"21","2020_Q4",9.15421875,"Up",258765000,-144370000,-26659000,-79880000,-37831000,114395000,-106231000,-102791000,8164000,2092000,10256000,-2801000,7455000,7455000,7265000,-231000,7034000,195570000,195570000,61320000,61320000,256890000,3287300000,1293775000,405833000,690672000,130668000,4581075000,4837965000,732554000,161330000,36253000,534971000,1216875000,999122000,1949429000,4879783000,4005000,4005000,4883788000,6833217000,1205654000,-3271244000,-2065590000,-1995252000,4837965000,7455000,79880000,-5426000.00000006,-195375000,-113466000,-80115000,13620000,-29114000,-1209000,237470000,207147000,107301000,107301000,107301000,194275000,4879783000,-78414000,0.44208,0.02718,-0.00353,0.00145,-11.14785,0.13178,-3.42474,1.00864,0.0355,0.0355,1.30612,-10.42606,-0.39579,0.14695,0.01251,-0.02715,4.13904,24.11125,40.94771
"22","2021_Q1",10.7113114754098,"Up",469653000,735064000,-101114000,67870000,768308000,389717000,388755000,331327000,778472000,-34082000,744390000,-26050000,718340000,718340000,706532000,859000,707391000,141900000,141900000,441300000,441300000,795600000,3577900000,5047600000,592300000,646272115.184661,4455300000,8625500000,9421100000,231200000,191800000,33398576.6649411,39400000.0000001,473600000,998244400.474484,1035200000,6187800000,686600000,360900000,6874400000,7909600000,1800000,1462500000,1511500000,1511500000,9421100000,718340000,-67870000,-42243000,-440742000,167485000,-76650000,-317534000,100759000,233637000,-202798000,131292000,-18757000,-18757000,-18757000,321847000,6518200000,-169495000,0.8298,1.5062,0.46801,0.07509,-0.23961,0.76855,5.23295,0.69187,3.05481,3.05481,2.02816,6.5273,-0.73195,-0.43512,0.0696,-0.01945,-0.14244,19.81159,16.3613599999999
"23","2021_Q2",9.78126984126984,"Down",272586000,-134871000,-25823000,-70964000,-38084000,-2866000,-56000,467998645.692809,-2922000,-4137000,-7059000,2557000,-4502000,-4502000,-4438000,-251000,-4689000,122466000,122466000,51485000,51485000,173951000,3329239000,1278569000,387013000,601878000,215515000,4607808000,4781759000,650194000,145568000,36894000,467732000,1281509000,1021627000,1931703000,5003746000,125000,125000,5003871000,6935574000,1150573000,-3373003000,-2222430000,-2153815000,4781759000,-4502000,70964000,41216000,18986000,126664000,-84377000,-84377000,-34961000,108819000,-71501000,2645000,44932000,44932000,44932000,68098000,5003746000,150000,-0.01051,-0.0172,0.00218,-0.00098,-0.0319899999999979,0.09005,-3.22013,1.04642,-0.02026,-0.02026,1.17764,-9.60142,0.00065000000000015,0.15104,0.01062,5.00000000000014e-05,-7.45596,71.68023,-1703.16818
"24","2021_Q3",11.15703125,"Up",268180000,-127756000,-24900000,-69671000,-33185000,34036000.0000001,-7474000,249653392.713606,26562000,28161000,54722999.9999999,-5083999.99999999,49639000,49639000,48907000,-335000,48572000,108536000,108536000,42985999.9999999,42985999.9999999,151522000,3400755000,1193097000,379524000,601878000,142008000,4593852000,4745374000,657543000,136577000,36326000,484640000,1322364000,1122445000,1979907000,4898907000,124999.999999881,124999.99999994,4899032000,6878939000,1153730000,-3356163000,-2202433000,-2133565000,4745374000,49639000,69671000,-14486000,86989000,191813000,-93158000,-30011000,-35425000,-103819000,-36519000,-175732000,-13930000,-13930000,-13930000,103707000,4898907000,102622000,0.12691,0.18112,-0.02277,0.01024,2.11278,0.07653,-3.22415,1.03235,0.209840000000001,0.20984,1.1586,-9.51502,0.44335,0.15304,0.03037,0.03711,0.72933,46.19139,140.74424
"25","2021_Q4",12.32890625,"Up",266747000,-129774000,-25077000,-70530000,-34167000,136973000,-94472000,-94792999.9999996,42501000,-1063000,41438000,2244000,43682000,43682000,43366000,-286000,43080000,69751000,69751000,39014000,39014000,108765000,3472642000,1202877000,372076000,601878000,156740000,4675519000,4784284000,218118000,156428000,964000,60726000,1695695000,1143301000,1913813000,4988712000,125000,125000,4988837000,6902650000,1208634000,-3345670000,-2137036000,-2118366000,4784284000,43682000,70530000,1488000.00000001,-80824000,34876000,-97332000,-97332000,-35555000,8.5e+07,-26127000,23671000,-38785000,-38785000,-38785000,207503000,4988712000,27103000,0.51349,0.1615,-0.02034,0.009,0.629129999999999,0.05683,-3.25848,1.04273,0.18449,0.16292,1.14232,-9.15168,0.11607,0.15226,0.02739,0.00944,0.82532,23.70549,35.9119
"26","2022_Q1",11.835,"Down",293009000,-146586000,-25376000,-79777000,-41433000,393392000,-360745000,-351503000,32647000,-1920000,30727000,5199000,35926000,35926000,35825000,-215000,35610000,58903000,58903000,38455000,38455000,97358000,3508939000,1202946000,364630000,601878000,160494000,4711885000,4809243000,197958000,86868000,111090000,-52876146.0162359,1619174000,1134236000,1817132000,5105885000,10958507.126858,18763769.7510503,5105885000,6923017000,1214853000,-3342645000,-2127667000,-2113774000,4809243000,35926000,79777000,-11205000,41306000,145804000,-109501000,-109501000,-35430000,117981000,-129702000,-47151000,-10848000,-10848000,-10848000,473169000,5105885000,399775000,1.34259,0.12153,-0.01685,0.0074,11.22648,0.05358,-3.27519,1.06168,0.1525,0.13467,1.25479,-9.11209,1.712,0.15173,0.02374,0.13361,0.99495,10.66634,12.8294
"27","2022_Q2",10.9443548387097,"Down",278034000,-130303000,-23870000,-71457000,-34976000,51559000,942000,-366951980.796793,52501000,-1714000,50787000,2071000,52858000,52858000,52730000,-336000,52394000,51129000,51129000,41269000,41269000,92398000,3546501000,1251010000,357183000,601878000,212231000,4797511000,4889909000,227600000,122157000,37145000,68298000,1559227000,1134585000,1786827000,5135425000,59679000,59679000,5195104000,6981931000,1230850000,-3323122000,-2092022000,-2092022000,4889909000,52858000,71457000,-3517000,-57577000,63221000,-94349000,-94349000,-105000,2.5e+07,-1805000,23354000,-7774000,-7774000,-7774000,123016000,5135425000,-30981000,0.18544,0.18844,-0.02504,0.01071,-0.59131,0.05171,-3.33741,1.05021,0.22322,0.19691,1.18454,-8.91394,-0.13199,0.00045,0.01692,-0.00998000000000002,0.002,41.33036,98.61122
"28","2022_Q3",8.94609375,"Down",283975000,-134305000,-25085000,-72303000,-36917000,53293000,8410000,-2693542.39037895,61703000,-2985000,58718000,-4944000,53774000,53774000,53697000,-345000,53352000,61405000,61405000,45679000,45679000,107084000,3615532000,1232590000,349737000,601878000,222759000,4848122000,4955206000,262898000,131073000,745000,131080000,1591681000,1170004000,1854579000,5114996000,60829000,60829000,5175825000,7030404000,1226523000,-3301971000,-2075198000,-2075198000,4955206000,53774000,72303000,-11460000,56770000,171387000,-56732000,-56407000,-71666000,-2.5e+07,-8038000,-104704000,10276000,10276000,10276000,125596000,5114996000,130578000,0.18767,0.18788,-0.02571,0.01077,2.44748,0.05774,-3.38782,1.03225,0.2264,0.19955,1.20504,-8.80711,0.5541,0.30411,0.04032,0.04211,1.34327,40.23688,94.82654
