"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",22.7612698412698,"Up",248268000,-38608000,209660000,-70178000,-15805000,-1786000,-52587000,139482000,-7654000,-8360000,706000,131828000,-14953000,116875000,-44410000,72465000,72465000,72465000,72465000,-1436641483.75537,-1436641483.75537,340708490.242133,340708490.242133,69836416.1220093,48421444.6564827,5632023.58196506,42789421.0745176,-977675132.734746,2189288321.90677,26104261.2722854,-2417389.76189367,2215392583.17906,1237717450.44431,412937764.934003,427856772.002054,-14919007.0680509,56841462.9862258,469773131.996884,-130607987.471843,565914874.129774,485060345.910112,61420615.8697781,435306886.657931,905080018.654815,-357503496.393481,690140928.182409,332637431.789495,332637431.789495,1237717450.44431,72465000,52179000,37158000,28886000,190688000,-161910000,-161910000,-2.8e+07,-110000,-113000,-232000,-28342000,436000,436000,436000,191661000,0,103047000,0.84449,0.56182,0.29188,0.0975452911501362,0.0588588861569634,1.42202,-1.27096937004651,1.93165011243806,0.0720982017946635,0.21495,0.21372,0.73644,1.03121348173448,0.30567,0.0698535787072612,-0.0293860730911226,172.385311933501,-117.348538468852
"2","2010_Q3",21.4071875,"Down",279968000,-40579000,239389000,-76676000,-15585000,-2269000,-58822000,162713000,-11825000,-11903000,78000,150888000,13610000,164498000,-62757000,101741000,101741000,101741000,101741000,15232000,15232000,305923000,305923000,39218000,52916000,5644000,47272000,413289000,2442252000,36078000,20725000,2478330000,2891619000,445334000,291126000,154208000,6039000,451373000,609844000,620929000,566124000,54805000,1230773000,1682146000,436971000,772502000,1209473000,1209473000,2891619000,101741000,59238000,4096000,34462000,199537000,-300654000,-300654000,110210000,-872000,-872000,-7644000,101691000,574000,574000,574000,221951000,609844000,18516000,0.85506,0.58118,0.3634,0.08412,0.03518,0.181990000000003,0.91563,1.39081,0.2109,0.30124,0.29945,0.82894,3.58103,0.05482,0.04169,0.00759,2.67902,3.65436
"3","2010_Q4",25.37375,"Up",219450000,-44374000,175076000,-83531000,-17083000,-3530000,-62918000,91545000,-12375000,-12612000,237000,79170000,-15189000,63981000,-24904000,39077000,39077000,39077000,39077000,149477000,149477000,376328000,376328000,31056000,41159000,6310000,34849000,598020000,2703867000,32738000,28076000,2736605000,3334625000,521741000,313348000,208393000,5565000,527306000,895917000,662651000,593161000,56052000,1558568000,2085874000,437172000,811579000,1248751000,1248751000,3334625000,39077000,61904000,77451000,-73317000,105115000,-246389000,-246389000,2.79e+08,-2425000,-2673000,-1056000,275519000,134245000,134245000,134245000,153449000,895917000,-141353000,0.79779,0.41716,0.17807,0.03129,0.01172,-3.61729,1.1341,1.67037,0.26867,0.11567,0.11496,0.64956,3.69621,-0.41839,0.01392,-0.05035,4.86441999999999,8.1538
"4","2011_Q1",31.2232258064516,"Up",91379000,-46301000,45078000,-93134000,-18682000,-5178000,-69274000,-48056000,-2e+07,-20272000,272000,-68056000,-18831000,-86887000,41859000,-45028000,-45028000,-45028000,-45028000,7916000,7916000,482838000,482838000,38362000,53210000,31845000,21365000,582326000,2981991000,27468000,27468000,3009459000,3591785000,618772000,390892000,227880000,83450000,702222000,925991000,755417000,582841000,59636000,1681408000,2383630000,441604000,766551000,1208155000,1208155000,3591785000,-45028000,69427000,174125000,-40697000,157827000,-330463000,-330463000,3e+07,-3896999.99999997,-3903000,4971000,31075000.0000001,-141561000,-141561000,-141561000,21371000,925991000,-391648000,0.49331,-0.5259,-0.49276,-0.03727,-0.01254,8.69788,0.82926,1.97295,0.25781,-0.133,-0.1329,0.26992,3.56866,-1.15685,-0.01558,-0.13554,42.95892,-19.10427
"5","2011_Q2",31.105873015873,"Down",-36210000,-56832000,-93042000,-104260000,-21798000,-6812000,-75650000,-197302000,-18462000,-18971000,509000,-215764000,-5591000,-221355000,84154000,-137201000,-137201000,-137201000,-137201000,477440000,477440000,560469000,560469000,52248000,111088000,93728000,17360000,1201245000,3285824000,26391000,26342000,3312215000,4513460000,706789000,425812000,280977000,239417000,946206000,896065000,937496000,559929000,60609000,1833561000,2779767000,1104343000,629350000,1733693000,1733693000,4513460000,-137201000,76762000,291599000,-35525000,195635000,-355323000,-355323000,-3e+07,659532000,-207000,-320000,629212000,469524000,469524000,469524000,-120540000,896065000,-595542000,2.56951,5.44883,3.78904,-0.07914,-0.0304,4.34065,1.26954,1.60338,0.19853,-0.39947,-0.39947,-0.10543,5.04776,-1.73396,-0.03846,-0.16695,-3.47291,-2.12175
"6","2011_Q3",28.4090625,"Down",602892000,-65852000,537040000,-113808000,-25273000,-5034000,-83501000,423232000,-17763000,-18785000,1022000,405469000,-18924000,386545000,-147351000,239194000,239194000,239194000,239194000,261408000,261408000,612539000,612539000,50840000,66714000,53014000,13700000,991501000,3635046000,25824000,25535000,3660870000,4652371000,730187000,441305000,288882000,128369000,858556000,896141000,921986000,664518000,61650000,1818127000,2676683000,1107144000,868544000,1975688000,1975688000,4652371000,239194000,84422000,-59425000,-30860000,233331000,-448293000,-448293000,0,-985000,-991000,-84999.9999999995,-1070000,-216032000,-216032000,-216032000,507654000,896141000,175852000,0.890769999999999,0.702,0.39674,0.12107,0.05141,0.73519,1.15485,1.35481,0.19262,0.6664,0.6605,1.67967,5.50432,0.48993,0.06305,0.04635,1.25033,1.49973
"7","2011_Q4",30.5455555555556,"Up",968989000,-75721000,893268000,-139237000,-24338000,-9814000,-105085000,754031000,-17987000,-18981000,994000,736044000,-26413000,709631000,-270488000,439143000,439143000,439143000,439143000,42275000,42275000,660465000,660465000,61690000,143394000,29071000,114323000,907824000,4046235000,145518000,24716000,4191753000,5099577000,869978000,526252000,343726000,10749000,880727000,896220000,904012000,843332000,60680000,1800232000,2680959000,1110931000,1307687000,2418618000,2418618000,5099577000,439143000,105097000,-242063000,-61329000,240848000,-459523000,-459523000,0,-458000,-458000,0,-458000,-219133000,-219133000,-219133000,859128000,896220000,608764000,0.92186,0.77816,0.4532,0.18157,0.08611,1.38625,1.03077,1.10847,0.17574,1.22323,1.21779,2.69912,6.73706,1.69571,0.10409,0.1443,0.993969999999992,1.13251
"8","2012_Q1",40.4324193548387,"Up",114118000,-84641000,29477000,-161066000,-28143000,-6260000,-126663000,-131589000,-19095000,-19985000,890000,-150684000,-36692000,-187376000,75312000,-112064000,-112064000,-112064000,-112064000,53544000,53544000,777540000,777540000,41270000,64019000,57350000,6669000,936373000,4681733000,27980000,24355000,4709713000,5646086000,982590000,642889000,339701000,129211000,1111801000,1254301000,971858000,850282000,63978000,2226159000,3337960000,1112503000,1195623000,2308126000,2308126000,5646086000,-112064000,125563000,366837000,17765000,398101000,-741575000,-741575000,3.58e+08,-3258000,-3262000,999.999999999767,354743000,11269000,11269000,11269000,-6025999.99999988,1254301000,-805148000,0.2583,-1.1531,-0.982,-0.04855,-0.01985,7.18472,0.84221,1.44618,0.22215,-0.31187,-0.31161,0.31759,6.42349,-2.24072,-0.02471,-0.17757,-199.26269,-9.12506
"9","2012_Q2",37.0525396825397,"Down",395100000,-90815000,304285000,-188414000,-34808000,-4151000,-149455000,115871000,-23497000,-24278000,781000,92374000,19720000,112094000,-4.3e+07,69094000,69094000,69094000,69094000,42683000,42683000,797462000,797462000,43162000,102068000,87942000,14126000,985375000,5501142000,43680000,40328000,5544822000,6530197000,957312000,604771000,352541000,216167000,1176051000,1891651000,1083126000,923215000,54587000,2974777000,4150828000,1114652000,1264717000,2379369000,2379369000,6530197000,69094000,150273000,156693000,-11116000,364944000,-995115000,-995115000,626841000,-3688000,-3748000,-3843000,619310000,-10861000,-10861000,-10861000,266144000,1894223000,-697087000,0.77015,0.29327,0.17488,0.02904,0.01058,-10.08897,0.83787,1.74451,0.29007,0.19224,0.19163,1.09929,6.62013,-1.93951,0.0129,-0.13013,6.95690999999999,15.97932
"10","2012_Q3",35.2373015873016,"Down",1004719000,-92983000,911736000,-206788000,-37068000,-8702000,-161018000,704948000,-30902000,-31691000,789000,674046000,-18474000,655572000,-249888000,405684000,405684000,405684000,405684000,29137000,29137000,760165000,760165000,51276000,89998000,10414000,79584000,930576000,6178663000,145073000,39294000,6323736000,7254312000,1069043000,665793000,403250000,11028000,1081990000,2252918000,1127907000,1071536000,56371000,3380825000,4462815000,1121096000,1670401000,2791497000,2791497000,7254312000,405684000,164094000,-201175000,37283000,405886000,-778377000,-778377000,360531000,-1346000,-1346000,-240000,358945000,-13546000,-13546000,-13546000,869042000,2254837000,377836000,0.90745,0.70164,0.40378,0.14533,0.05592,0.93136,0.86006,1.59872,0.31083,1.12827,1.12481,2.79429,7.7636,1.05082,0.06571,0.0612,2.5611,3.15725
