"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.59571428571429,"Down",1020358000,-859093000,161265000,-186417000,-161306000,-25111000,-25152000,10644000,8441000,-14508000,-14508000,2020000,-12488000,-12488000,-12488000,-12488000,-302713958.853005,-302713958.853005,4431415665.69041,244542818.716692,486831171.98373,4391989813.73126,-30300793.4824878,3808291301.19708,185272999.999885,718262852.229918,3816741151.26079,8208730964.99205,476798981.608509,118326400.382439,358472581.22607,2218033837.60542,169682750.730801,169682750.730801,169682750.730801,2387716588.33622,5821014376.65583,8208730964.99205,-12488000,12886000,17488000,659681000,677567000,-2849000,-1217000,3405000,-661000,40250000,6392000,-130000,46512000,723418000,723418000,723418000,-12266000,0,642546000,0.15805,-0.02465,-0.01224,2.48166010913059,0.626330116946844,-51.45307,1.50115520857171,-1.94010706919911,0.232523743544342,-0.03306,-0.03306,2.70117,1.701,0.822533385209244,-0.135991857307579,832.060252191201,-1958.1655848472
"2","2010_Q3",7.413125,"Down",1305898000,-1107019000,198879000,-202187000,-157415000,-44772000,-3308000,-2418000,-9234000,-5726000.00000024,-5726000.00000024,82029000,76302999.9999998,76302999.9999998,76302999.9999998,76302999.9999998,2746626000,2746626000,4937215000,359193000,272562000,8066572000,87135000,1698047000,181998000,620585000,1848924000,9915496000,1975110000,275974000,1699136000,6335278000,298432000,298432000,298432000,6633710000,3281786000,9915496000,76302999.9999998,11470000,36759000,47968000.0000001,172500000,-4781000,-18402000,-242999.999999998,-23426000,16758000,476000.000000001,-1333999.99999988,15900000,164974000,164974000,164974000,8162000,4360168000,-30680000,0.15229,-0.00252999999999997,0.05843,0.02325,0.0077,-0.402079999999998,1.27328,2.02137,0.43973,0.20153,0.200579999999999,3.44912,-0.0810299999999999,0.00961,-0.00386,197.68954,-487.76965
"3","2010_Q4",6.56140625,"Down",1057764000,-957637000,100127000,-449093000,-425643000,-23450000,-348966000,-674871000,-672979000,-1023837000,-1023837000,28721000,-995116000,-995116000,-995116000,-995116000,2623282000,2623282000,4975911000,323569000,186724000,7932605000,85219000,1012437000,178723000,593173000,1160031000,9092636000,2191518000,280135000,1911383000,6477901000,318312000,318312000,318312000,6796213000,2296423000,9092636000,-995116000,10574000,728940000,204121000,-51481000,-2777000,-3047000,10629000,4805000,-75402000,-1315000,49000,-76668000,-123344000,-123344000,-123344000,-338392000,4286383000,-165769000,0.09466,-0.32991,-0.94077,-0.43333,-0.10944,0.16658,1.22456,2.95948,0.47141,-2.62673,-2.62673,2.7921,-0.43757,-0.1442,-0.02402,-4.91472000000002,-4.76580000000007
"4","2011_Q1",6.68112903225806,"Up",1185270000,-1136191000,49079000,-173527000,-150738000,-22789000,-124448000,-66026999.9999999,-68613000,-190475000,-190475000,25047000,-165428000,-165428000,-165428000,-165428000,1483390000,1483390000,4852868000,282072000,200765000,6618330000,46313000,983952000,175448000,567963000,1081046000,7699376000,1878133000,226466000,1651667000,5269801000,294408000,294408000,294408000,5564209000,2135167000,7699376000,-165428000,10730000,180471000,-232235000,-206462000,-2992000,-224000.000000002,3043000,-173000,0,-908000,-934502000,-935410000,-1142045000,-1142045000,-1142045000,-113718000,3391668000,-373992000,0.04141,-0.105,-0.13957,-0.07748,-0.02149,2.26075,1.2559,2.60598,0.44051,-0.436329999999999,-0.43841,3.12626,-0.98644,-0.02842,-0.06425,-16.78079,-15.33394
"5","2011_Q2",6.7284126984127,"Up",805202000,-685960000,119242000,-162919000,-142446000,-20473000,-43677000,-1715000,-3910000,-45392000,-45392000,5866000,-39526000,-39526000,-39526000,-39526000,1292949000,1292949000,4863906000,356699000,277250000,6526027000,45470000,901861000,172173000,489147000,990602000,7516629000,1745904000,206067000,1539837000,5126884000,289605000,289605000,289605000,5416489000,2100140000,7516629000,-39526000,8970000,7183000,-26268000,-49641000,-3687000,-1968000,-108391000,-114046000,42901965.4396399,-969000,-13312000,-14281000,-177968000,-177968000,-177968000,-34707000,3380980000,-70528000,0.14809,-0.05424,-0.04909,-0.01882,-0.00526,1.78434,1.2729,2.57911,0.4498,-0.10414,-0.10414,2.1215,-0.18582,-0.00685000000000002,-0.01222,-60.16167,-47.80619
"6","2011_Q3",4.7428125,"Down",927212000,-793465000,133747000,-177433000,-138380000,-39053000,-43686000,-9647000,-11668000,-53333000,-53333000,-2052000,-55385000,-55385000,-55385000,-55385000,1075223000,1075223000,5033282000,355647000,276783000,6477786000,41011000,876771000,168898000,467332000,947819000,7425605000,1751613000,218853000,1532760000,5083876000,292002000,292002000,292002000,5375878000,2049727000,7425605000,-55385000,8003000,14846000,-137150000,-169686000,2017000,-1216000,8826000.00000001,9627000.00000001,26246965.2735889,-987000,-55518999.9999999,-56506000,-216565000,-216565000,-216565000,-35683000,3332263000,-168764000,0.14425,-0.04712,-0.05973,-0.02702,-0.00746,3.04711,1.27418,2.62273,0.44875,-0.14583,-0.14583,2.44144,-0.44437,-0.00976,-0.02974,-63.25253,-51.66506
"7","2011_Q4",4.72349206349206,"Down",1141931000,-944882000,197049000,-140859000,-121553000,-19306000,56190000,-258690000,-259187000,-202500000,-202500000,73202000,-129298000,-129298000,-129298000,-129298000,1142513000,1142513000,5024231000,366630000,287252000,6549903000,37184000,616145000,165623000,450522000,678751000,7228654000,1748696000,224956000,1523740000,5084059000,221128000,221128000,221128000,5305187000,1923467000,7228654000,-129298000,7656000,254386000,-73383000,59361000,-4043000,-565000,15017000,10409000,0,-65000,480000,415000,70185000,70185000,70185000,63846000,3335363000,-86782000,0.17256,0.04921,-0.11323,-0.06722,-0.01789,0.67118,1.28832,2.75814,0.46141,-0.34024,-0.34024,3.00488,-0.22836,-0.02359,-0.01584,34.34593,39.02563
"8","2012_Q1",7.37064516129032,"Up",1262345000,-1079370000,182975000,-176038000,-117204000,-58834000,6937000,-16012000,-18337000,-9074999.99999997,-9074999.99999997,22896000,13821000,13821000,13821000,13821000,1083071000,1083071000,4771775000,359935000,359935000,6214781000,35988000,609946000,162348000,447598000,670839000,6885620000,1655348000,196447000,1458901000,4743692000,203313000,203313000,203313000,4947005000,1938615000,6885620000,13821000,7469000,44435000,111520000,177245000,-4970000,-854000,6205000,381000,0,-815000,-252782000,-253597000,-75971000,-75971000,-75971000,14406000,3088344000,98060000,0.14495,0.00550000000000001,0.01095,0.00713,0.00201,7.095,1.31011,2.55182,0.44852,0.03636,0.03636,3.32058,0.25795,0.00264,0.01875,139.19707,289.06919
"9","2012_Q2",7.98904761904762,"Up",881036000,-745563000,135473000,-145323000,-123314000,-22009000,-9850000,-3641000,-6619000,-13491000,-13491000,1825000,-11666000,-11666000,-11666000,-11666000,1211735000,1211735000,4720648000,303706000,274033000,6236089000,34146000,563087000,159073000,404014000,623354000,6859443000,1624519000,170609000,1453910000,4715465000,215150000,215150000,215150000,4930615000,1928828000,6859443000,-11666000,7393000,11611000,107352000,114690000,717000,-49000,12231000,12899000,0,-845000,1920000,1075000,128664000,128664000,128664000,-2457000,3090946000,103787000,0.15377,-0.01118,-0.01324,-0.00605,-0.0017,-8.89654,1.32248,2.55628,0.45061,-0.03066,-0.03066,2.31546,0.27276,-0.00223,0.01983,-764.83964,-190.78284
"10","2012_Q3",11.427619047619,"Up",1069405000,-876990000,192415000,-144513000,-124186000,-20327000,47902000,-7976000.00000001,-10498000,39926000,39926000,2510000,42436000,42436000,42436000,42436000,1310478000,1310478000,4691239000,350026000,321129000,6351743000,31576000,559024000,155798000,403226000,601082000,6952825000,1671753000,214254000,1457499000,4765301000,212477000,212477000,212477000,4977778000,1975047000,6952825000,42436000,7435000,8358000,38621000,96850000,-3087000,-809000,7372000,3476000,0,-63000.0000000009,-1519999.99999997,-1582999.99999997,98743000,98743000,98743000,55337000,3093548000,88361000,0.17993,0.04479,0.03968,0.02149,0.0061,2.08222,1.33292,2.52033,0.44493,0.11148,0.11103,2.80938,0.23213,0.00804,0.01673,32.22202,37.22329
