"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",28.5101587301587,"Up",837900000,-315400000,522500000,-491300000,-3.61e+08,-130300000,31200000,-11600000,-1e+06,19600000,39600000,59200000,-7500000,51700000,51700000,51700000,51700000,8540364805.08589,6739849156.52254,1800515648.56335,3488708491.43032,3488708491.43032,255737498.500197,1038080665.31519,1038080665.31519,13322891460.3316,767898165.761462,86705521.1110725,-412576533.601328,-440406554.772721,939688609.485121,865116239.642731,14188007699.9743,7703272106.67189,1505971870.68962,6197300235.98227,-11076116915.4157,22634393100.0317,-81771957.8217894,-81771957.8217894,22552621142.21,11476504226.7943,1899429117.50189,178266601.740526,2711512703.94803,2711512703.94803,14188016930.7423,51700000,4.3e+07,82300000,-138800000,38200000,-24700000,233600000,-4e+05,208500000,33300000,33300000,21964133.2826981,109658362.787111,33300000,2.8e+08,2.8e+08,10200000,290200000,74200000,0,-81800000,0.62358,0.03724,0.0617,0.205292773517943,0.0572225945452242,-1.58221,17.5915527512421,4.65320617577934,3.34218836911965,0.15456,0.15255,2.50493,7.62246208173339,-0.24454,-0.00447073295774999,2.38250290968988,105.025211554672,136.442433143529
"2","2010_Q3",33.92328125,"Up",910100000,-303400000,606700000,-490100000,-357700000,-132400000,116600000,-9500000,1400000,107100000,-1200000,105900000,-10300000,95600000,95600000,95600000,95600000,5683532402.54294,4006024578.26127,1677507824.28167,1877304245.71516,1877304245.71516,196968749.250099,594540332.657597,594540332.657597,8352345730.1658,773749082.880731,589352760.555536,162211733.199336,-193203277.386361,620344304.742561,1406158119.82137,9758503849.98716,3834386053.33595,783635935.344811,3050750117.99114,-4390658457.70785,11736896550.0159,40564021.0891053,40564021.0891053,11777460571.105,7386802113.39713,1864364558.75095,75333300.8702628,2371706351.97401,2371706351.97401,9758508465.37115,95600000,42200000,37300000,92200000.0000001,267300000,-22800000,-3.36e+08,4e+06,-354800000,26800000,26800000,10982066.641349,1400000,28200000,-59300000,-59300000,3700000,-55600000,158800000,0,238500000,0.66663,0.12812,0.10504,0.123826386758972,0.0366312972726121,2.49477,9.54610637562107,3.09633308788967,1.85009918455983,0.28393,0.27338,2.703,6.8721910408667,0.70835,0.007824633521125,1.10705645484494,48.022115777336,62.1976865717646
"3","2010_Q4",41.52875,"Up",1011600000,-370100000,641500000,-512200000,-382900000,-129300000,129300000,-11200000,-4e+05,118100000,0,118100000,-1e+07,108100000,108100000,108100000,108100000,4194810800.84765,2415374859.42042,1779435941.42722,922334748.571719,922334748.571719,148889583.083366,340746777.552532,340746777.552532,5606781910.05527,786549694.293577,906017586.851846,508070577.733112,-45867759.1287869,443814768.24752,1756186039.94046,7362967949.99572,1591728684.44532,369511978.44827,1222216705.99705,-270219485.902615,5169365516.67196,122588007.029702,122588007.029702,5291953523.70166,5021734037.79904,1903154852.91698,21577766.9567543,2341235450.658,2341235450.658,7362969488.45705,107900000,40800000,30800000,15400000,194900000,-49700000,1.1e+07,5e+05,-38200000,96600000,96600000,3660688.88044968,-4e+05,96200000,252900000,252900000,-5900000,2.47e+08,170100000,0,145800000,0.63414,0.12782,0.10686,0.0777221289196572,0.025990432424204,1.34875,4.73939545854036,2.11099769596322,0.937133061519942,0.31673,0.30061,2.96396,6.84033034695557,0.42719,0.0178382111737083,0.38772215161498,13.8085619257787,17.8594088572549
"4","2011_Q1",42.3717741935484,"Up",1171800000,-423300000,748500000,-574600000,-430900000,-143700000,173900000,-9100000,1500000,164800000,-1e+06,163800000,-18800000,1.45e+08,1.45e+08,1.45e+08,1.45e+08,3.724e+09,1.705e+09,2.019e+09,471500000,471500000,112900000,228700000,228700000,4537100000,804400000,1080100000,6.81e+08,25100000,3.74e+08,1957300000,6494400000,563700000,184600000,379100000,1.911e+09,1.881e+09,171900000,171900000,2052900000,3963900000,2000900000,2800000,2530500000,2530500000,6494400000,145200000,4e+07,49100000,240300000,474600000,-38400000,-768900000,4100000,-803200000,40400000,40400000,0,21800000,62200000,-266400000,-266400000,-4400000,-270800000,213900000,3016100000,434600000,0.63876,0.1484,0.12374,0.0573,0.02233,2.99724,2.3742,1.56645,0.46442,0.4192,0.3977,3.38768,7.3157,1.25643,0.02536,0.076,-3.30949,-4.07073
"5","2011_Q2",40.1374603174603,"Down",1153700000,-415900000,737800000,-559900000,-410400000,-149500000,177900000,-6600000,2200000,171300000,-3e+05,1.71e+08,-20300000,150700000,150700000,150700000,150700000,3920900000,1.612e+09,2308900000,372500000,372500000,90400000,210400000,210400000,4594200000,825400000,1.155e+09,7.37e+08,43200000,374800000,2051600000,6645800000,338700000,149900000,188800000,2778800000,8.21e+08,196100000,196100000,1017100000,3795900000,2142700000,4800000,2849900000,2849900000,6645800000,150700000,40700000,67800000,-81900000,177300000,-40200000,-293900000,1e+05,-408900000,139900000,139900000,0,-3.72529029846191e-09,139900000,-91700000,-91700000,-1300000,-9.3e+07,218600000,1947800000,116800000,0.63951,0.1542,0.13062,0.05288,0.02268,0.77505,1.6533,1.33194,0.29309,0.42764,0.40262,3.27384,8.08712,0.33144,0.03018,0.02339,-9.02608,-11.09106
"6","2011_Q3",33.3090625,"Down",1.251e+09,-434500000,816500000,-603600000,-4.47e+08,-156600000,212900000,-10500000,-1400000,202400000,-1e+05,202300000,-26900000,175400000,175400000,175400000,175400000,4381500000,1771100000,2610400000,446600000,446600000,84700000,218300000,218300000,5131100000,845300000,1191600000,7.37e+08,38800000,415800000,2106700000,7237800000,453500000,175900000,277600000,2959900000,866400000,204100000,204100000,1070500000,4030400000,2307300000,1.1e+07,3207400000,3207400000,7237800000,175400000,41600000,28900000,109900000,355800000,-43300000,-300900000,-1e+05,-344300000,96200000,96200000,0,39600000,135800000,147300000,147300000,11800000,159100000,254500000,2.002e+09,3.48e+08,0.65268,0.17018,0.14021,0.05469,0.02423,1.98404,1.73354,1.25659,0.2766,0.48831,0.44779,3.48274,8.92929,0.96882,0.0324,0.06428,-9.34971,-11.17661
"7","2011_Q4",29.9514285714286,"Down",1289600000,-443400000,846200000,-625300000,-459300000,-1.66e+08,220900000,-8300000,4e+05,212600000,1e+05,212700000,-26300000,186400000,186400000,186400000,186400000,4755600000,1919400000,2836200000,541500000,541500000,97200000,204400000,204400000,5598700000,862200000,1233300000,7.37e+08,35400000,460900000,2164700000,7763400000,496500000,183600000,312900000,3080100000,966400000,203500000,203500000,1169900000,4.25e+09,2479800000,7200000,3513400000,3513400000,7763400000,186400000,4.1e+07,54900000,72100000,354400000,-66300000,-240700000,8e+05,-306200000,75900000,75900000,9.31322574615479e-10,24100000,1e+08,148200000,148200000,1e+05,148300000,261900000,2143300000,2.94e+08,0.65617,0.17129,0.14454,0.05305,0.02401,1.57725,1.8177,1.20965,0.27608,0.51096,0.459,3.53509,9.63103,0.80592,0.03181,0.05017,-9.97442,-11.82571
"8","2012_Q1",31.9109677419355,"Up",1428300000,-500100000,928200000,-708100000,-531600000,-176500000,220100000,-4800000,4600000,215300000,-7200000,208100000,-47500000,160600000,160600000,160600000,160600000,5174700000,2757300000,2417400000,742600000,742600000,108500000,339400000,339400000,6365200000,911600000,1.222e+09,760300000,5.3e+07,408700000,2133600000,8498800000,6.7e+08,232800000,437200000,3372800000,1202900000,192900000,192900000,1395800000,4768600000,2.674e+09,12800000,3730200000,3730200000,8498800000,160600000,42300000,6.6e+07,189900000,458800000,-72900000,4.17e+08,-3e+05,282200000,12200000,12200000,0,6.3e+07,75200000,816200000,816200000,21700000,837900000,262400000,2429500000,426900000,0.64986,0.1541,0.11244,0.04305,0.0189,2.65816,1.88722,1.27838,0.28586,0.43736,0.39881,3.88971,10.1585,1.16258,0.02528,0.0672,-10.46189,-12.47251
"9","2012_Q2",27.7604761904762,"Down",1458200000,-561300000,896900000,-718500000,-519900000,-198600000,178400000,-8800000,2525458.88457452,169600000,-2200000,167400000,-27600000,139800000,139800000,139800000,139800000,4714100000,2543200000,2170900000,5.97e+08,5.97e+08,138200000,388300000,388300000,5837600000,993300000,1554800000,9.04e+08,300800000,3.5e+08,2608200000,8445800000,468400000,250800000,217600000,3171200000,1243600000,206100000,206100000,1449700000,4620900000,2652400000,15200000,3824900000,3824900000,8445800000,139500000,68500000,37800000,-5200000,240600000,-98300000,245800000,1700000,-330800000,-153400000,46600000,-2e+08,32400000,-1.21e+08,-211200000,-211200000,-2900000,-214100000,246900000,2484400000,1.71e+08,0.61507,0.12234,0.09587,0.03655,0.01655,1.22318,1.84082,1.20811,0.29416,0.37753,0.34476,3.93789,10.32919,0.46179,0.02146,0.02625,-9.03078,-12.49832
"10","2012_Q3",25.8430158730159,"Down",1.507e+09,-5.94e+08,9.13e+08,-718900000,-519200000,-199700000,194100000,-8800000,-7e+05,185300000,-1700000,183600000,-18300000,165300000,165300000,165300000,165300000,4641600000,2.269e+09,2372600000,625200000,625200000,163300000,399900000,399900000,5.83e+09,1046100000,1.628e+09,9.04e+08,279100000,444900000,2674100000,8504100000,544500000,273200000,271300000,3298300000,1191900000,211100000,211100000,1.403e+09,4701300000,2.512e+09,7e+06,3.803e+09,3.803e+09,8504300000,165600000,68400000,28500000,107700000,370200000,-93300000,-205400000,3e+05,-298400000,-394700000,5300000,-4e+08,53900000,-340800000,-2.69e+08,-2.69e+08,-5200000,-274200000,262500000,2438600000,295200000,0.60584,0.1288,0.10969,0.04347,0.01944,1.78584,1.76758,1.23621,0.28676,0.45726,0.43951,4.16874,10.52006,0.8166,0.02562,0.04575,-8.39238,-11.34982
