"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",3.81765625,"Up",318000,-7755000,-5315000,-2440000,-7437000,376000,376000,-7061000,-7186000,-7186000,-7186000,-7186000,-7186000,89780000,7912000,81868000,1349000,512000,837000,91129000,86000,14384000,105513000,2544000,502000,2042000,1841000,1841000,4385000,0,0,0,4385000,1093092000,-991633000,-331000,101128000,101128000,105513000,-7186000,16000,1844000,-2042000,-7368000,-2608000,-2608000,1553000,1553000,1553000,-8423000,-8423000,-8423000,-7421000,0,-23.38679,-22.59748,-0.07106,-0.06811,20.78198,0.04336,0,-0.04477,-0.04477,0.00198,0.62998,-0.07106,12.0981,12.07207
"32","2018_Q3",4.35968253968254,"Up",208000,-7450000,-4246000,-3204000,-7242000,658000,658000,-6584000,-6934000,-6934000,-6934000,-6934000,-6934000,160927000,19127000,141800000,1343000,301000,1042000,162270000,71000,20997000,183267000,2713000,458000,2255000,2192000,2192000,4905000,0,0,-2.8421709430404e-14,4905000,1177006000,-998567000,-77000,178362000,178362000,183267000,-6934000,15000,1847000,577000,-4495000,-66609000,-66609000,82320000,82320000,82320000,11216000,11216000,11216000,-7227000,2.8421709430404e-14,-34.81731,-33.33654,-0.03888,-0.03784,33.08257,0.0275,1.05879118406788e-22,-0.03974,-0.03974,0.00119,1.02228,-0.03888,22.26747,22.22135
"33","2018_Q4",1.5184126984127,"Down",165000,-6970000,-4263000,-2707000,-6805000,1003000,1003000,-5802000,-5597000,-5597000,-5597000,-5597000,-5597000,166351000,12729000,153622000,2523000,1476000,1047000,168874000,66000,19060000,187934000,2907000,190000,2717000,1560000,1560000,4467000,0,0,0,4467000,1187743000,-1004164000,-112000,183467000,183467000,187934000,-5597000,14000,1065000,-1618000,-6136000,-9340000,-9349000,9087000,9087000,9087000,-6398000,-6398000,-6398000,-6791000,0,-41.24242,-33.92121,-0.03051,-0.02978,37.80479,0.02435,0,-0.03037,-0.03037,9e-04,0.99547,-0.03051,24.4958,24.44541
"34","2019_Q1",1.36672131147541,"Down",375000,-9964000,-4883000,-5081000,-9589000,1100000,-2151000,-8489000,-7300000,-7300000,-7300000,-7300000,-7300000,163289000,10575000,152714000,2769000,1332000,1437000,166058000,59000,19226000,185284000,4941000,982000,3959000,2610000,2610000,7551000,-9.09494701772928e-13,-9.09494701772928e-13,-4.54747350886464e-13,7551000,1189380000,-1011464000,-183000,177733000,177733000,185284000,-7300000,14000,1438000,2838000,-3010000,855000.000000007,848000.000000007,8000,8000,8000,-2154000,-2154000,-2154000,-9575000,2.27373675443232e-13,-25.57067,-19.46667,-0.04107,-0.0394,21.99152,0.04249,-1.6940658945086e-21,-0.0391,-0.0391,0.00201,0.95189,-0.04107,17.05368,17.02878
"35","2019_Q2",1.65142857142857,"Up",57000,-11358000,-5452000,-5906000,-11301000,1144000,1144000,-10157000,-10059000,-10059000,-10059000,-10059000,-10059000,151980000,6800000,145180000,3969000,2723000,1246000,155949000,89000,19717000,175666000,3611000,913000,2698000,2642000,2642000,6253000,0,0,0,6253000,1190837000,-1021523000,99000,169413000,169413000,175666000,-10059000,15000,872000,-3566000,-12738000,9009000,8964000,3110094.9583593,3110094.9583593,3070647.94090323,-3774000,-3774000,-3774000,-11286000,0,-198.26316,-176.47368,-0.05938,-0.05726,24.93987,0.03691,0,-0.05397,-0.05397,0.00031,0.9089,-0.05938,13.46624,13.44837
"36","2019_Q3",1.33953125,"Down",101000,-15325000,-5191000,-10134000,-15224000,1083000,1083000,-14141000,-14239000,-14239000,-14239000,-14239000,-14239000,152488000,17710000,134778000,2274000,1166000,1108000,154762000,1e+05,11463000,166225000,7203000,1210000,5993000,1978000,1978000,9181000,1.45519152283669e-11,1.45519152283669e-11,-1.45519152283669e-11,9181000,1192525000,-1035762000,281000,157044000,157044000,166225000,-14239000,11000,1075000,4408000,-8745000,19434000,19412000,243000,243000,243000,10910000,10910000,10910000,-15213000,-3.63797880709171e-12,-150.73267,-140.9802,-0.09067,-0.08566,16.85677,0.05846,0,-0.07633,-0.07633,0.00054,0.8418,-0.09067,10.02353,10.01629
"37","2019_Q4",1.445,"Up",131000,-16103000,-4994000,-11109000,-15972000,987000,987000,-14985000,-15180000,-15180000,-15180000,-15180000,-15180000,138611000,20751000,117860000,3510000,2445000,1065000,142121000,348000,22133000,164254000,10305000,2031000,8274000,1557000,1557000,11862000,0,0,0,11862000,1203095000,-1050942000,239000,152392000,152392000,164254000,-15180000,9000,1974000,1217000,-11980000,6294000,6037000,8984000,8984000,8984000,3041000,3041000,3041000,-15963000,0,-121.92366,-115.87786,-0.09961,-0.09242,11.9812,0.07784,0,-0.08025,-0.08025,0.00069,0.80566,-0.09961,8.68327,8.67837
"38","2020_Q1",1.22435483870968,"Down",171000,-30179000,-5256000,-24923000,-30008000,938000,-3283000,-29070000,-29070000,-29070000,-29070000,-29070000,-29070000,139325000,13644000,125681000,2283000,1211000,1072000,141608000,408000,23909000,165517000,13539000,1181000,12358000,14623000,14623000,28162000,2200000,2200000,2200000,30362000,1215035000,-1080012000,132000,135155000,135155000,165517000,-29070000,29000,1609000,17066000,-10366000,-6923999.99999999,-7013000,10272000,10272000,10272000,-7107000,-7107000,-7107000,-29979000,-5.82076609134674e-11,-175.48538,-170,-0.21509,-0.17563,5.02834,0.22465,-2.16840434497101e-19,-0.14642,-0.14642,0.00086,0.68075,-0.21164,4.64742,4.64293
"39","2020_Q2",1.49492063492063,"Up",52000,-16922000,-6120000,-10802000,-16870000,710000,-44000,-16160000,-16355000,-16355000,-16355000,-16355000,-16355000,132116000,20294000,111822000,2039000,1068000,971000,134155000,749000,8734000,142889000,16087000,3376000,12711000,829000,829000,16916000,5159000,5159000,5159000,22075000,1217305000,-1096367000,-124000,120814000,120814000,142889000,-16355000,27000,1924000,-11790000,-26194000,32349000,32158000,686000,686000,686000,6650000,6650000,6650000,-16843000,0,-324.42308,-314.51923,-0.13537,-0.11446,7.93066,0.18272,0,-0.08168,-0.08168,0.00026,0.6034,-0.12983,7.84397,7.83142
"40","2020_Q3",1.8496875,"Up",43000,-16805000,-5960000,-10845000,-16762000,516000,41000.0000000005,-16246000,-15824000,-15824000,-15824000,-15824000,-15824000,218746000,22865000,195881000,1997000,812000,1185000,220743000,734000,54071000,274814000,18286000,3797000,14489000,856000,856000,19142000,4991000,4991000,4991000,24133000,1362683000,-1112191000,189000,250681000,250681000,274814000,-15824000,33000,1631000,1765000,-12395000,-129011000,-129206000,144265000,144265000,144265000,2664000,2664000,2664000,-16729000,-9.31322574615479e-10,-389.81395,-368,-0.06312,-0.05758,11.53187,0.09627,3.46944695195361e-18,-0.06407,-0.06407,0.00017,1.01504,-0.06189,13.07586,13.05011
"41","2020_Q4",1.8215625,"Down",108000,-20123000,-6510000,-13613000,-20015000,482000,166000,-19533000,-19651000,-19651000,-19651000,-19651000,-19651000,227623000,44956000,182667000,4238000,2886000,1352000,231861000,689000,53932000,285793000,23282000,3739000,19543000,872000,872000,24154000,4922000,4922000,28807000,52961000,1364504000,-1131842000,170000,232832000,232832000,285793000,-19651000,49000,2222000,1931000,-15449000,13568000,13564000,-579000,-579000,23976000,22091000,22091000,22091000,-19966000,23885000,-185.32407,-181.9537,-0.0844,-0.06876,9.59928,0.22746,0.08357,-0.06151,-0.06151,0.00034,0.72875,-0.07511,10.20425,10.17927
"42","2021_Q1",1.78590163934426,"Down",50000,-23316000,-7088000,-16228000,-23266000,-472000,5000,-23738000,-23787000,-23787000,-23787000,-23787000,-23787000,196275000,9925000,186350000,3582000,2497000,1085000,199857000,658000,70871000,270728000,30062000,6919000,23143000,878000,878000,30940000,4799000,4799000,28841000,59781000,1366498000,-1155629000,78000,210947000,210947000,270728000,-23787000,49000,2647000,8477000,-12614000,-21825000,-21836000,111000,111000,-580999.999999985,-35031000,-35031000,-35031000,-23217000,24042000,-465.32,-475.74,-0.11276,-0.08786,6.4595,0.28339,0.0888,-0.07453,-0.07453,0.00016,0.66095,-0.0992,7.4184,7.40278
"43","2021_Q2",1.45444444444444,"Down",137000,-28591000,-7478000,-21113000,-28454000,630000,1200000,-27824000,-27824000,-27824000,-27824000,-27824000,-27824000,211027000,31537000,179490000,4237000,3115000,1122000,215264000,620000,43344000,258608000,27669000,4459000,23210000,883000,883000,28552000,4672000,4672000,28894000,57446000,1384580000,-1183453000,35000,201162000,201162000,258608000,-27824000,48000,1314000,-6272000,-32734000,38093000,38083000,16263000,16263000,16263000,21612000,21612000,21612000,-28406000,24222000,-207.69343,-203.09489,-0.13832,-0.10759,7.53937,0.28557,0.09366,-0.08597,-0.08597,0.00042,0.62156,-0.12094,6.57625,6.56516
"44","2021_Q3",1.3346875,"Down",107000,-28996000,-7059000,-21937000,-28889000,-685000,-17000,-29574000,-29574000,-29574000,-29574000,-29574000,-29574000,198241000,57282000,140959000,3521000,2444000,1077000,201762000,590000,50413000,252175000,36124000,3758000,32366000,889000,889000,37013000,4540000,4540000,38956000,75969000,1389230000,-1213027000,3000,176206000,176206000,252175000,-29574000,53000,2686000,9021000,-17814000,30905000,30905000,2654000,2654000,12654000,25745000,25745000,25745000,-28836000,34416000,-269.99065,-276.39252,-0.16784,-0.11728,5.45111,0.43114,0.13648,-0.09043,-0.09043,0.00033,0.53878,-0.13745,5.68127,5.67084
"45","2021_Q4",1.4325,"Up",92324.0373575321,-25674000,-7256000,-18527000,-25674000,-1023000,-77000,-26697000,-26697000,-26697000,-26697000,-26697000,-26697000,176120000,29036000,147084000,3235000,2262000,973000,179355000,608000,49742000,229097000,37575000,4714000,32861000,895000,895000,38470000,4405000,4405000,39074000,77544000,1391261000,-1239724000,16000,151553000,151553000,229097000,-26697000,53000,2780000,1024000,-22840000,-5312000,-5406000,0,0,0,-28246000,-28246000,-28246000,-25621000,34669000,-307.380839918794,-324.036911298336,-0.17616,-0.11653,4.6622,0.51166,0.15133,-0.08115,-0.08115,0.000290674342704633,0.46068,-0.14005,5.5209,5.5095
"46","2022_Q1",1.11483870967742,"Down",114169.841954793,-32131000,-7872000,-24150000,-30982000,-1035000,-6000,-32017000,-32017000,-32017000,-32017000,-32017000,-32017000,183722000,34871000,148851000,3484000,1357000,2127000,187206000,650000,38828000,226034000,44620000,6687000,37933000,901000,901000,45521000,4267000,4267000,54097000,99618000,1398330000,-1271741000,-173000,126416000,126416000,226034000,-32017000,61000,3043000,6745000,-22168000,8468000,8365000,4744000,4744000,19639000,5836000,5836000,5836000,-30921000,49830000,-249.658517221051,-266.981064826214,-0.25327,-0.14165,4.11252,0.78802,0.22045,-0.09527,-0.09527,0.000357338218084767,0.37615,-0.17737,4.33013,4.32161
"47","2022_Q2",1.41290322580645,"Up",123000,-28798000,-6699000,-22099000,-28675000,-1423000,-56000,-30098000,-30098000,-30098000,-30098000,-30098000,-30098000,166670000,31325000,135345000,9254000,3651000,5603000,175924000,643000,22497000,198421000,45723000,6245000,39478000,907000,907000,46630000,4125000,4125000,54304000,100934000,1400037000,-1301839000,-711000,97487000,97487000,198421000,-30098000,57000,2393000,-6326000,-33974000,30477000,30427000,25030062.1508297,25030062.1508297,51481110.2216792,-3547000,-3547000,-3546000,-28618000,50179000,-233.13008,-244.69919,-0.30874,-0.15169,3.77276,1.03536,0.25289,-0.09098,-0.09098,0.00037,0.29467,-0.19829,4.07055,4.06246
"48","2022_Q3",2.2390625,"Up",73000,-28049000,-7443000,-20606000,-27976000,-141000,1110000,-28117000,-28117000,-28117000,-28117000,-28117000,-28117000,219287000,76057000,143230000,8088000,3470000,4618000,227375000,641000,10786000,238161000,40804000,4521000,36283000,913000,913000,41717000,3977000,3977000,54397000,96114000,1472785000,-1329956000,-782000,142047000,142047000,238161000,-28117000,72000,2678000,-3275000,-28642000,2880000.00000001,2696000,70677000,70677000,70677000,44731000,44731000,44732000,-27904000,50420000,-383.23288,-385.16438,-0.19794,-0.11806,5.45042,0.67664,0.21171,-0.06962,-0.06962,0.00018,0.35172,-0.14313,6.05171,6.03614
