"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",1.1475,"Down",765000,-12750000,-4751000,-7999000,-11985000,63000,63000,-11922000,-11897000,-11897000,-11897000,-11897000,-11897000,79039000,15505000,63534000,2537000,822000,1715000,81576000,866000,1276000,82852000,5924000,1669000,4255000,869000,869000,6793000,0,0,0,6793000,942322000,-866281000,18000,76059000,76059000,82852000,-11897000,142000,1674000,-6146000,-16227000,9588000,9658000,11000,11000,11000,-6558000,-6558000,-6558000,-11843000,0,-15.66667,-15.55163,-0.15642,-0.14359,12.00883,0.08931,0,-0.09296,-0.09296,0.00598,0.59429,-0.15642,6.6739,6.59483
"12","2013_Q3",1.7325,"Up",112000,-8161000,-3432000,-4729000,-8049000,42000,42000,-8007000,-8947000,-8947000,-8947000,-8947000,-8947000,70800000,8834000,61966000,1631000,356000,1275000,72431000,566000,980000,73411000,4580000,1176000,3404000,424000,424000,5004000,0,0,4.54747350886464e-13,5004000,943648000,-875228000,-13000,68407000,68407000,73411000,-8947000,122000,1808000,-910000,-7927000,1218000,1207000,49000,49000,49000.0000000002,-6671000,-6671000,-6671000,-7927000,0,-71.86607,-79.88393,-0.13079,-0.12188,14.47462,0.07315,-3.3881317890172e-21,-0.06981,-0.06981,0.00087,0.53375,-0.13079,8.9315,8.79612
"13","2013_Q4",4.5375,"Up",181000,-8798000,-3460000,-5338000,-8617000,687000,687000,-7930000,-8254000,-8254000,-8254000,-8254000,-8254000,66208000,9591000,56617000,2194000,844000,1350000,68402000,116000,311000,68713000,6418000,1547000,4871000,419000,419000,6837000,0,0,0,6837000,945370000,-883482000,-12000,61876000,61876000,68713000,-8254000,93000,1155000,1281000,-5725000,5049000,6049000,433000,433000,433000,757000,757000,757000,-8524000,0,-47.60773,-45.60221,-0.1334,-0.12012,10.00468,0.1105,0,-0.06434,-0.06434,0.00141,0.4823,-0.1334,7.76725,7.68342
"14","2014_Q1",4.2172131147541,"Down",225000,-9070000,-3981000,-5089000,-8845000,103000,103000,-8742000,-9281000,-9281000,-9281000,-9281000,-9281000,65224000,12990000,52234000,1833000,474000,1359000,67057000,92000,287000,67344000,7126000,1397000,5729000,461000,461000,7587000,0,0,0,7587000,952534000,-892763000,-14000,59757000,59757000,67344000,-9281000,-37000,1515000,1002000,-6801000,4007000,4140000,6060000,6060000,6060000,3399000,3399000,3399000,-8882000,-2.8421709430404e-14,-39.31111,-41.24889,-0.15531,-0.13781,8.83841,0.12696,0,-0.0719,-0.0719,0.00174,0.46293,-0.15531,7.34339,7.37411
"15","2014_Q2",2.20968253968254,"Down",474000,-9205000,-3994000,-5211000,-8731000,67000,67000,-8664000,-8440000,-8440000,-8440000,-8440000,-8440000,145193000,11324000,133869000,2483000,249000,2234000,147676000,77000,7732000,155408000,4362000,1520000,2842000,154000,154000,4516000,0,0,0,4516000,1052185000,-901203000,-90000,150892000,150892000,155408000,-8440000,15000,2100000,-3180000,-9505000,-89781000,-89781000,97620000,97620000,97620000,-1666000,-1666000,-1666000,-8716000,0,-18.41983,-17.80591,-0.05593,-0.05431,32.70062,0.02993,0,-0.05883,-0.05883,0.0033,1.05176,-0.05593,16.65821,16.6296
"16","2014_Q3",2.4990625,"Up",341000,-9004000,-3853000,-5151000,-8663000,76000,76000,-8587000,-8734000,-8734000,-8734000,-8734000,-8734000,140336000,9520000,130816000,2256000,205000,2051000,142592000,60000,6747000,149339000,4466000,1223000,3243000,290000,290000,4756000,5.29395592033938e-23,5.29395592033938e-23,0,4756000,1054540000,-909937000,-20000,144583000,144583000,149339000,-8734000,14000,3250000,319999.999999999,-5150000,3241000,3241000,104999.999999985,104999.999999985,105000.000000015,-1804000,-1804000,-1804000,-8649000,-3.5527136788005e-15,-25.40469,-25.6129,-0.06041,-0.05848,29.9815,0.03289,-1.32348898008484e-23,-0.05573,-0.05573,0.00218,0.92264,-0.06041,16.22569,16.19947
"17","2014_Q4",2.7671875,"Up",160000,-10067000,-4073000,-5994000,-9907000,69000,69000,-9838000,-9549000,-9549000,-9549000,-9549000,-9549000,126401000,7600000,118801000,1791000,739000,1052000,128192000,63000,16055000,144247000,7068000,2365000,4703000,1000,1000,7069000,0,0,0,7069000,1056700000,-919486000,-36000,137178000,137178000,144247000,-9549000,9000,2531000,2537000,-4472000,1929000,2447000,105000,105000,105000,-1920000,-1920000,-1920000,-9898000,0,-61.91875,-59.68125,-0.06961,-0.0662,18.13439,0.05153,0,-0.06088,-0.06088,0.00102,0.87461,-0.06961,12.77036,12.75876
"18","2015_Q1",3.3944262295082,"Up",178000,-9189000,-4838000,-4351000,-9011000,79000,79000,-8932000,-8947000,-8947000,-8947000,-8947000,-8947000,151441000,42796000,108645000,1965000,736000,1229000,153406000,173000,19105000,172511000,6783000,1033000,5750000,35016000,16000,41799000,-4.2351647362715e-22,-4.2351647362715e-22,-2.22044604925031e-16,41799000,1059229000,-928433000,-84000,130712000,130712000,172511000,-8947000,9000,2682000,34733000,28477000,6309000,6188999.99999999,530000.000000004,530000.000000004,530000,35196000,35196000,35196000,-9002000,-2.22044604925031e-16,-50.6236,-50.26404,-0.06845,-0.05186,3.67009,0.31978,0,-0.05693,-0.05693,0.00113,0.83179,-0.06845,16.82304,16.80624
"19","2015_Q2",3.96333333333333,"Up",537000,-9587000,-4600000,-4987000,-9050000,125000,125000,-8925000,-9315000,-9315000,-9315000,-9315000,-9315000,145837000,10182000,135655000,2060000,604000,1456000,147897000,171000,17910000,165807000,4690000,1180000,3510000,35942000,942000,40632000,0,0,0,40632000,1062940000,-937748000,-17000,125175000,125175000,165807000,-9315000,9000,2847000,-1246000,-7705000,-26379000,-26386000,1477000,1477000,1477000,-32614000,-32614000,-32614000,-9041000,0,-16.85289,-17.34637,-0.07442,-0.05618,3.63991,0.3246,0,-0.05913,-0.05913,0.00341,0.79452,-0.07442,16.13063,16.11459
"20","2015_Q3",3.62375,"Down",251000.000000002,-8789000,-3977000,-4812000,-8538000,123000,123000,-8415000,-9356000,-9356000,-9356000,-9356000,-9356000,138012000,15798000,122214000,2186000,415000,1771000,140198000,151000,18885000,159083000,3621000,957000,2664000,37106000,2106000,40727000,-1.35525271560688e-20,-1.35525271560688e-20,1.38777878078145e-17,40727000,1065510000,-947104000,-50000,118356000,118356000,159083000,-9356000,13000,3039000,-30999.9999999925,-6335000,11866000,11873000,78000,78000,78000.0000000005,5616000,5616000,5616000,-8525000,-1.38777878078145e-17,-34.01594,-37.2749,-0.07905,-0.05881,3.44238,0.34411,1.03397576569128e-25,-0.05919,-0.05919,0.00159,0.74877,-0.07905,16.18909,16.16444
