"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",274.236451612903,"Up",19701000,-23305000,-3604000,-8497000,-4262000,-4235000,-12101000,-1396000,-9000,-1233000,-13497000,-12540000,24000,-12516000,-12516000,-12123000,-8e+05,-12923000,45486000,20467000,18066000,18066000,33404000,5253000,5253000,102209000,26679000,2733000,2733000,48320000,150529000,26988000,10267000,16721000,976000,26074000,25499000,575000,54038000,12098000,8042000,4056000,12098000,66136000,76706000,663962000,-53000,-655623000,64000,85056000,84393000,150529000,-12516000,1857000,2704000,-3937000,-11892000,-469000,18003000,17534000,-78000,-27000,-27000,-798000,-903000,4739000,4739000,0,4739000,-10244000,976000,-14674000,-0.18293,-0.61423,-0.65596,-0.15313,-0.08585,1.13549,1.89143,0.78367,0.00648,-19.82842,-19.82842,30.22825,12.81183,-22.51507,-0.13259,4.34498,3.67821
"2","2011_Q2",234.548571428571,"Down",28080000,-30396000,-2316000,-8296000,-4050000,-4246000,-10612000,-211000,-54000.0000000002,41000,-10823000,-10989000,-18000,-11007000,-11007000,-10938000,-8e+05,-11738000,12026142.7498321,-12616383.7084478,9354087.87197184,9354087.87197184,38511300.0709437,5018873.93842144,5018873.93842144,64910404.6311691,23458127.9777921,1953050.99253485,1939516.7445179,38611448.4948195,103521853.125989,35157188.5340062,18174057.0573034,16983131.4767028,538020.213948709,-1767795.74831195,-9653153.89954868,7885358.15123672,33927412.999643,11883249.1567502,7739049.59729544,4144199.55945473,20733315.5862018,54660728.5858447,66554532.7751586,655415602.104772,-53493.5941019864,-672398006.435666,64075.2294403914,49582710.0796033,48861124.5401439,103521853.125989,-11007000,1634000,1534000,5686000,-2153000,-251000,-9996000,-10247000,-64000,17880000,17880000,2e+05,18016000,5616000,5616000,2000,5618000,-8978000,9.31322574615479e-10,-3525000.00000001,-0.08248,-0.37792,-0.41802,-0.221557417814784,-0.0818150953137903,0.30031,1.57155986018303,1.60245237600625,0.0909280404030811,-18.01022,-18.01022,43.08458,-15.6916324844498,-5.40859,-0.142507945240395,1.87140506580414,1.11917694471534
"3","2011_Q3",173.6884375,"Down",28607000,-39477000,-10870000,-8952000,-4454000,-4498000,-19822000,-624000,-928000,161000,-20446000,-29004000,9000,-28995000,-28995000,-28943000,-8e+05,-29743000,21789442.7498321,-454983.708447844,10130887.8719718,10130887.8719718,39279800.0709437,5882573.93842144,5882573.93842144,77082704.6311691,22731127.9777921,5634850.99253485,5621316.7445179,39111848.4948195,116194553.125989,39410488.5340062,18597257.0573034,20813231.4767028,1756220.21394871,12530804.251688,3118146.10045132,9412658.15123672,53697512.999643,11641349.1567502,7476449.59729544,4164899.55945473,24418615.5862018,78116128.5858448,61499832.7751586,662275402.104772,-53493.5941019864,-684923306.435666,65675.2294403914,38864110.0796033,38078424.5401439,116194553.125989,-20008000,1551000,923000,853000,-16681000,-449000,25977000,25528000,-1000,3653000,3653000,-1606000,2046000,10893000,10893000,2000,10895000,-18271000,0,-17876000,-0.37998,-0.69291,-1.03971,-0.229213417814784,-0.0695390953137903,0.60102,1.36233986018303,2.25777937600625,0.117046040403081,-33.77167,-33.77167,32.4818,-23.6372914844498,-20.29729,-0.136096945240395,3.00218206580414,2.02336194471534
"4","2011_Q4",137.700476190476,"Down",31160000,-31023000,137000.000000002,-7496000,-3578000,-3918000,-7359000,-970000,-847000,-29000,-8329000,-7830000,-3.63797880709171e-12,-7830000,-7830000,-7754000,-8e+05,-8554000,49520000,31480000,16692000,16692000,38732000,7047000,7047000,111991000,23320000,11287000,11287000,44894000,156885000,40873000,15493000,25380000,3638000,44990000,37607000,7383000,89501000,11390000,7250000,4140000,24918000,114419000,59857000,677725000,-53000,-694271000,68000,43326000,42466000,156885000,-7830000,1628000,2164000,4861000,823000,-475000,-600000.000000007,-1075000.00000001,-167000,906999.999999998,906999.999999998,-5988000,-5248000,-5500000,-5500000,-4.54747350886464e-13,-5500000,-5731000,17166000,-1345000,0.00440000000000002,-0.23617,-0.27452,-0.20143,-0.05452,0.15724,1.25128,2.69437,0.10942,-9.71263000000001,-9.71263,35.3806,-18.77011,-1.52718,-0.12044,5.64544,4.39652
"5","2012_Q1",186.609032258065,"Up",34723000,-34284000,439000,-8323000,-4217000,-4106000,-7884000,332000,-749000,874000,-7552000,-7121000,-8000,-7129000,-7129000,-7065000,-8e+05,-7865000,63431000,51415000,21950000,21950000,40101000,7466000,7466000,132948000,23925000,16291000,16291000,50682000,183630000,41037000,14143000,26894000,5056000,68072000,64114000,3958000,114165000,11105000,7e+06,4105000,23983000,138148000,59857000,687870000,-53000,-701336000,68000,46406000,45482000,183630000,-7129000,1618000,1027000,14010000,9526000,-2175000,6e+06,3825000,-74000,10490000,10490000,-3214000,7202000,20553000,20553000,0,20553000,-6266000,17934000,5577000,0.01264,-0.22705,-0.22651,-0.17293,-0.04283,-0.70909,1.16453,3.03742,0.09766,-9.10429,-9.10429,40.19431,-15.57048,6.45577,-0.10554,7.26093,5.7708
"6","2012_Q2",165.763492063492,"Down",31337000,-29233000,2104000,-7547000,-3764000,-3783000,-5443000,-796000,-630000,196000,-6239000,-5815000,-199000,-6014000,-6014000,-5943000,-8e+05,-6743000,41532000,37030000,23892000,23892000,46304000,6467000,6467000,118195000,23429000,18219000,18219000,51723000,169918000,40844000,17841000,23003000,5085000,59576000,58180000,1396000,105505000,10825000,6750000,4075000,23384000,128889000,59857000,689433000,-53000,-707279000,66000,42024000,41029000,169918000,-6014000,1449000,1308000,-14545000,-17802000,-926000,7500000,6574000,-55000,1188000,1188000,-4288000,-3155000,-14383000,-14383000,-2000,-14385000,-3994000,17644000,-19266000,0.06714,-0.17369,-0.21518,-0.16435,-0.03968,2.85719,1.12028,3.14141,0.10384,-6.96331,-5.20986,32.36087,-18.41565,-19.89547,-0.09702,5.98097,4.38876
"7","2012_Q3",143.56380952381,"Down",24153000,-23952000,201000,-7958000,-4002000,-3956000,-7757000,-1139000,-575000,-414000,-8896000,-8484000,121000,-8363000,-8363000,-8292000,-801000,-9093000,60262000,60262000,47036000,47036000,52686000,5646000,5646000,165630000,22788000,17146000,17146000,49838000,215468000,35950000,12207000,23743000,5092000,56032000,54442000,1590000,97074000,10533000,6500000,4033000,23566000,120640000,59857000,751595000,-53000,-715571000,66000,95894000,94828000,215468000,-8363000,1404000,1108000,-6438000,-12289000,-755000,4500000,3745000,-52000,32815000,32815000,-3852000,28911000,20367000,20367000,0,20367000,-6353000,18125000,-13667000,0.00832,-0.32116,-0.37647,-0.09589,-0.0422,1.50302,1.70622,1.2722,0.08412,-8.73551,-8.73551,23.20342,34.6202,-13.12968,-0.07364,6.63261,5.43213
"8","2012_Q4",132.621451612903,"Down",29693000,-32431000,-2738000,-7773000,-4580000,-3193000,-10511000,70000,-544000,656000,-10441000,-10019000,9000,-10010000,-10010000,-9922000,-8e+05,-10722000,73766000,73766000,20240000,20240000,48995000,6084000,6084000,149085000,22450000,15672000,15672000,47948000,197033000,31325000,10871000,20454000,5126000,51775000,50380000,1395000,88226000,10278000,6250000,4028000,23171000,111397000,59857000,751537000,-53000,-725493000,-12000,85836000,85636000,197033000,-10010000,1321000,1e+06,-7467000,-15156000,-965000,0,-965000,-20000,3e+07,3e+07,-283000,29697000,13576000,13576000,-78000,13498000,-9190000,18019000,-17631000,-0.09221,-0.35399,-0.3611,-0.1252,-0.05442,1.64438,1.68981,1.30082,0.09145,-8.31171,-8.31171,23.01806,20.13896,-13.66758,-0.09411,6.06605,5.30368
"9","2013_Q1",153.416666666667,"Up",35420000,-34542000,878000,-9296000,-5874000,-3422000,-8418000,160000,-555000,806000,-8258000,-11519000,0,-11519000,-11519000,-11338000,-8e+05,-12138000,46879000,46879000,25984000,25984000,47701000,20062000,20062000,140626000,23258000,21486000,21486000,50859000,191485000,32519000,12254000,20265000,5161000,47217000,45939000,1278000,84897000,19508000,15533000,3975000,32603000,117500000,59857000,751274000,53000,-736831000,13000,74366000,73985000,191485000,-11519000,1018000,4786000,-7697000,-13412000,-1807000,0,-1807000,-46000,0,0,-450000,-496000,-15715000,-15715000,131000,-15584000,-7400000,18256000,-16904000,0.02479,-0.23766,-0.34269,-0.16406,-0.06339,1.39265,1.65643,1.58816,0.09534,-9.38402,-12.54496,27.38359,11.21707,-13.06867,-0.10862,3.86797,3.40021
"10","2013_Q2",164.851875,"Up",36358000,-38669000,-2311000,-8759000,-5432000,-3327000,-11070000,-802000,-566000,-282000,-11872000,-11872000,-7000,-11879000,-11879000,-11681000,-8e+05,-12481000,86271000,86271000,20101000,20101000,47048000,6945000,6945000,160365000,21553000,27718000,13881000,49271000,209636000,28256000,7413000,20843000,5221000,67662000,66589000,1073000,101139000,29697000,22317000,7380000,42965000,144104000,59857000,754624000,-53000,-748512000,195000,66111000,65532000,209636000,-11879000,1012000,1184000,40580000,30897000,-1397000,357000,-1040000,-63000,0,0,-6113000,-6176000,23681000,23681000,76000,23757000,-10058000,18489000,29132000,-0.0635600000000001,-0.30447,-0.34328,-0.19046,-0.05954,-2.33411,1.58559,2.19899,0.0882,-9.59035,-9.59035,27.93735,4.80555,22.38492,-0.10975,6.73911,6.12304
