"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",10.94578125,"Up",781000,-25034000,-4948000,-18941000,-24253000,-3286000,-586000,-2700000,-27539000,-27539000,-27513000,-27513000,-27513000,-27513000,-28653886.6155026,-155074523.687498,126420637.071995,1262690.28445497,1262690.28445497,4191485.87612001,4191481.05142994,-23199710.4549275,58846264.9087889,99500764.0419312,44543000,1400764.03109785,158347028.95072,135147318.495793,226073.097987846,8183338.90712108,-7957265.80913323,1598439.017008,83477197.2597779,50552476.0306221,114888881.585572,116487320.60258,647499439.667898,-104275.325380941,-628518920.869275,-216245.580029681,18659997.8932122,18659997.8932122,135147318.495793,-27513000,1337000,5190000,2354000,-18632000,-301000,5052000,-810000,-16268000,0,0,-16268000,-35710000,-35710000,-35710000,-22916000,0,-31.05378,-35.22791,-0.155561890013506,-0.0620405534619178,15.1772235895385,1.17352715153161,0.137000995128377,-0.63575,-0.63575,0.01805,2.08063072839763,-0.0654136813892158,5.02303300320023,4.43777450150027
"2","2011_Q1",12.8470967741935,"Up",1253000,-23678000,-3861000,-18252000,-22425000,-574000,-575000,1000,-22999000,-22999000,-22999000,-22999000,-22999000,-22999000,211111000,47208000,163903000,744000,744000,2883000,2883000,214738000,53427000,98719000,44543000,619000,152146000,366884000,9423000,3159000,6264000,10775000,81740000,48783000,109085000,119860000,920662000,-237000,-673406000,5000,247024000,247024000,366884000,-22999000,1312000,3984000,-1710000,-19413000,-234000,-144867000,-145101000,-270999.999999998,5000,0,-266000,-164780000,-164780000,-164780000,-21113000,28483000,-17.89705,-18.35515,-0.0931,-0.06269,19.92928,0.48522,0.07763,-0.53144,-0.53144,0.02895,5.70805,-0.06438,8.65003,8.14395
"3","2011_Q2",11.3709523809524,"Down",596000,-29732000,-4753000,-23921000,-29136000,-493000,-520000,27000,-29629000,-29629000,-29629000,-29629000,-29629000,-29629000,236466212.205168,73215591.2291659,163250620.976002,539436.571848342,539436.571848342,3034754.70796,3034756.31619002,240040403.484976,50160578.363737,98397578.6526896,44543000,297578.656300716,148558157.016427,388598560.501402,12043892.3006707,2256137.03095964,9787755.26971108,13458936.9943307,82376517.580074,49408757.9897926,107519622.804809,120978559.79914,972695270.110701,-308241.558206353,-704850109.710242,83081.8600098937,267620000.702263,267620000.702263,388598560.501402,-29629000,1307000,3299000,3483000,-21540000,-464000,-4854000,-5318000,-284000,52000,-108000,-232000,-27090000,-27090000,-27090000,-27829000,0,-48.88591,-49.71309,-0.100386036662165,-0.0725723155126941,17.7668071368205,0.410890116156129,0.067582168290541,-0.61429,-0.61429,0.01236,5.67427809053412,-0.0745904395369281,7.99663816559992,7.60851933283324
"4","2011_Q3",9.869375,"Down",555000,-26481000,-4532000,-20145000,-25926000,-712000,-742000,30000,-26638000,-26638000,-26638000,-26638000,-26638000,-26638000,164814000,20328000,144486000,505000,505000,3874000,3874000,169193000,48370000,98353000,44543000,253000,146723000,315916000,11708000,3671000,8037000,13226000,84314000,51357000,108502000,121728000,924135000,-345000,-729673000,71000,194188000,194188000,315916000,-26638000,1264000,3270000,-1585000,-23689000,2165000,24337000,26502000,-2631000,27999.9999999981,-2.91038304567337e-11,-2603000,210000,210000,210000,-24662000,25568000,-46.71351,-47.9964,-0.13718,-0.08432,12.79245,0.62686,0.08093,-0.55205,-0.55205,0.0115,4.02439,-0.0876,5.64618,5.3709
"5","2011_Q4",7.79206349206349,"Down",355000,-26046000,-4055000,-19655000,-25691000,-412000,-5e+05,88000,-26103000,-26103000,-26103000,-26103000,-26103000,-26103000,144155000,30521000,113634000,489000,489000,4337000,4337000,148981000,47344000,98381000,44543000,281000,145725000,294706000,13229000,5526000,7703000,14806000,86593000,53636000,110419000,125225000,925568000,-345000,-755776000,34000,169481000,169481000,294706000,-26103000,1181000,3689000,1015000,-20218000,-76000,30815000,30739000,-329000,1000,0,-328000,10193000,10193000,10193000,-24510000,25239000,-72.36901,-73.52958,-0.15402,-0.08857,10.0622,0.73887,0.08564,-0.54095,-0.54095,0.00736,3.51225,-0.09279,4.85173,4.6287
"6","2012_Q1",11.4377419354839,"Up",343000,-33685000,-4010000,-28107000,-33342000,-503000,-511000,8000,-33845000,-33845000,-33845000,-33845000,-33845000,-33845000,281692000,186309000,95383000,350000,350000,3748000,3748000,285790000,46417000,98305000,44543000,205000,144722000,430512000,19828000,6042000,13786000,21390000,88103000,55146000,111554000,132944000,1087513000,-345000,-789621000,21000,297568000,297568000,430512000,-33845000,1135000,2919000,7300000,-22491000,-206000,18238000,18032000,-345000,160592000,0,160247000,155788000,155788000,155788000,-32207000,24894000,-97.207,-98.67347,-0.11374,-0.07862,13.36092,0.44677,0.05782,-0.67637,-0.67637,0.00685,5.94667,-0.08244,7.97336,7.70194
"7","2012_Q2",11.9165079365079,"Up",3e+05,-29683000,-4565000,-23037000,-29383000,-485000,-481000,-4000,-29868000,-29868000,-29868000,-29868000,-29868000,-29868000,253656000,29010000,224646000,186000,186000,5143000,5143000,258985000,45526000,98281000,44543000,181000,143807000,402792000,19034000,5324000,13710000,20933000,89825000,57170000,112888000,133821000,1089147000,-630000,-819489000,-57000,268971000,268971000,402792000,-29868000,1125000,3799000,-2058000,-27002000,-234000,-129341000,-129575000,-353000,-233000,-285000,-722000,-157299000,-157299000,-157299000,-28258000,24541000,-97.94333,-99.56,-0.11105,-0.07415,12.37209,0.49753,0.06093,-0.43515,-0.43515,0.00437,3.91867,-0.07792,8.10797,7.79754
"8","2012_Q3",17.1139682539683,"Up",199000,-25679000,-4162000,-19355000,-25480000,-451000,-472000,21000,-25931000,-25931000,-25931000,-25931000,-25931000,-25931000,231513000,33779000,197734000,182000,182000,6582000,6582000,238277000,44526000,98257000,44543000,157000,142783000,381060000,19624000,4579000,15045000,21555000,91931000,59276000,114609000,136164000,1090966000,-630000,-845420000,-20000,244896000,244896000,381060000,-25931000,1094000,3757000,-877000,-21957000,-94000,26949000,26855000,-353000,223999.999999985,0,-129000,4768999.99999994,4768999.99999994,4768999.99999994,-24386000,24188000,-128.0402,-130.30653,-0.10589,-0.06805,11.05437,0.55601,0.06348,-0.37755,-0.37755,0.0029,3.56562,-0.07183,8.5018,8.13677
"9","2012_Q4",13.9638709677419,"Down",372000,-29432000,-4396000,-19192000,-29060000,-479000,-483000,4000,-29539000,-29539000,-29539000,-29539000,-29539000,-29539000,206848000,20759000,186089000,233000,233000,9004000,9004000,216085000,43515000,98235000,44543000,135000,141750000,357835000,17088000,4306000,12782000,19051000,63741000,31086000,86025000,105076000,1128327000,-630000,-874959000,21000,252759000,252759000,357835000,-29539000,1055000,7436000,-4021000,-25069000,-44000,11686000,11642000,-362000,779000,0,407000,-13020000,-13020000,-13020000,-28005000,23826000,-78.11828,-79.40591,-0.11687,-0.08255,11.34245,0.41572,0.06658,-0.42182,-0.42182,0.00531,3.6094,-0.0868,6.53533,6.29807
"10","2013_Q1",15.0498333333333,"Up",218000,-24710000,-3920000,-20990000,-24492000,-381000,-678000,297000,-24873000,-24873000,-24873000,-24873000,-24873000,-24873000,223208000,30423000,192785000,1378000,1378000,6349000,6349000,230935000,42634000,98209000,44543000,109000,140843000,371778000,16583000,7661000,8922000,18285000,64938000,32283000,86815000,105100000,1167117000,-630000,-899832000,23000,266678000,266678000,371778000,-24873000,916000,1390000,2135000,-20432000,-35000,-6694000.00000001,-6729000,-375000,37054000,0,36825000,9664000,9664000,9664000,-23576000,23451000,-112.34862,-114.09633,-0.09327,-0.0669,12.62975,0.39411,0.06308,-0.34276,-0.34276,0.003,3.67489,-0.07005,8.4729,8.15601
