"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",17.4571875,"Up",5302000,-25147000,-6610000,-19845000,-1377000,-1512000,-21222000,-21222000,-21222000,-21222000,-21222000,-21222000,314556758.468115,194599778.187033,5590306.60949364,6461207.69216727,319625102.830185,9268229.87762092,5081536.53460046,5084756.16200603,14159602.7737016,333784705.603887,72460647.4195763,4023707.92665513,68436982.7819796,52488738.5558617,-1066061570.78581,-1199944440.47648,307933737.370906,360422475.926768,1140515732.01322,-1167337629.70914,-26637770.3228811,-26637770.3228811,333784705.603887,-21222000,1560000,4496000,-4020000,-19186000,41509000,11189000,1436000,1436000,1377000,-6620000,-6620000,-6620000,-18285000,0,-3.74293,-4.00264,2.5764795204869,0.0150494458949341,4.62049931122829,-11.9548660310591,4.65369099060142,-0.28765,-0.28765,0.07187,-0.368439057475095,0.0186158088093135,-40.5759543985625,-38.0510757663839
"2","2011_Q1",17.4372580645161,"Down",6942000,-24875000,-7399000,-17933000,-1366000,-1507000,-19299000,-19299000,-19299000,-19299000,-19299000,-19299000,309634000,163333000,6720000,5995000,316354000,10215000,4633000,4633000,14848000,331202000,17926000,2128000,15798000,40054000,140999000,3574000,313568000,353622000,1178163000,-1200616000,-22420000,-22420000,331202000,-19299000,1639000,6559000,-3970000,-15071000,32370000,-18034000,133373000,133373000,133337000,100232000,100232000,100232000,-16294000,172775000,-2.58326,-2.78003,0.86079,-0.05827,7.89819,-15.77261,0.52166,-0.25309,-0.25309,0.09104,-0.29401,-0.06624,8.39935,7.63168
"3","2011_Q2",18.5644444444444,"Up",6331000,-27633000,-7169000,-21302000,-1365000,-1510000,-22667000,-22667000,-22667000,-22667000,-22667000,-22667000,299820663.843962,127597323.937656,6384647.79683545,5273930.76927758,306323549.056605,10465506.7074597,4355987.82179985,4354914.61266466,14884882.4087661,321208431.465371,1566534.19347455,1616014.02444829,-49494.2606598809,35199087.1480461,468891773.595269,333422063.492159,312843087.543031,348042174.691077,1200329339.32893,-1227145456.76362,-26833743.2257063,-26833743.2257063,321208431.465371,-22667000,1650000,-489000,-4385000,-25891000,76250000,-1239000,11733000,11733000,11671000,-15459000,-15459000,-15459000,-19652000,0,-3.36471,-3.58032,0.201206826504365,-0.0906823152983114,8.8113310629239,-14.4541963229803,-0.580101163533807,-0.28034,-0.28034,0.0783,-0.334878647508302,-0.102839436269771,20.9382822995208,19.3731277554613
"4","2011_Q3",15.44234375,"Down",6388000,-30046000,-7248000,-23658000,-1387000,-1505000,-25045000,-25045000,-25045000,-25045000,-25045000,-25045000,283887000,90658000,4738000,4506000,288625000,10334000,4161000,4161000,14495000,303120000,7386999.99999999,2165000,5221999.99999999,35191000,305411000,178018000,305411000,340602000,1210854000,-1248328000,-37482000,-37482000,303120000,-25045000,1757000,11624000,-6095000,-17759000,-124346000,-49230000,9823999.99999997,9824000.00000001,9773000,-57216000,-57216000,-57216000,-21901000,162000,-3.70351,-3.92063,0.66819,-0.08262,8.20167,-9.08708,0.000529999999999697,-0.30552,-0.30552,0.07793,-0.45723,-0.09342,12.95489,11.99277
"5","2011_Q4",16.4722222222222,"Up",6431000,-35633000,-7796000,-29202000,-1423000,-1504000,-30625000,-30625000,-30625000,-30625000,-30625000,-30625000,265169000,62736000,3996000,3848000,269165000,10206000,3954000,3954000,14160000,283325000,16975000,3699000,13276000,39814000,130163000,5728000,302663000,342477000,1219785000,-1278953000,-59152000,-59152000,283325000,-30625000,2052000,7587000,1654000,-19332000,221247000,-9897000,1360000,1360000,1307000,-27922000,-27922000,-27922000,-27150000,172609000,-4.54082,-4.76209,0.51773,-0.10809,6.76056,-5.78978,0.60923,-0.37121,-0.37121,0.07795,-0.71699,-0.12571,3.40921,3.16965
"6","2012_Q1",13.7932258064516,"Down",5362000,-40937000,-8468000,-35575000,-1432000,-1503000,-37007000,-37007000,-37007000,-37007000,-37007000,-37007000,240915000,44778000,3625000,3525000,244763000,10372000,3647000,3647000,14019000,258782000,15141000,5813000,9328000,45496000,300338000,178321000,300338000,345834000,1228892000,-1315960000,-87052000,-87052000,258782000,-37007000,2124000,6212000,3315000,-25356000,-225917000,4547000,2891000,2891000,2851000,-17958000,-17958000,-17958000,-33451000,69000,-6.63465,-6.90172,0.42511,-0.143,5.37988,-3.97273,0.000269999999999881,-0.44655,-0.44655,0.0646999999999999,-1.05043,-0.17345,7.19996,6.77009
"7","2012_Q2",15.5380952380952,"Up",127099000,-41059000,-7857000,86040000,-1446000,-1502000,84594000,84594000,84594000,84594000,84594000,84594000,200164000,14310000,4163000,3900000,204327000,10059000,3341000,3341000,13400000,217727000,19791000,5308000,14483000,25575000,13521000,5678000,186021000,211596000,1237506000,-1231366000,6131000,6131000,217727000,84594000,1910000,6235000,-134067000,-41328000,9487000,8384000,2532000,2532000,2476000,-30468000,-30468000,-30468000,87950000,172513000,0.67695,0.66558,13.79775,0.38853,7.98933,34.51248,0.79234,1.01201,0.9187,1.5205,0.07335,0.44022,-0.31439,-0.32137
"8","2012_Q3",20.3888888888889,"Up",1429999.99999999,-37139000,-7590000,-35709000,-1411000,-1500000,-37120000,-37120000,-37120000,-37120000,-37120000,-37120000,295489000,161096000,86800000,3398000,386588000,9660000,3174000,3174000,12834000,399422000,12259000,4989000,7270000,25776000,184390000,177977000,184390000,210166000,1457851000,-1268486000,189256000,189256000,399422000,-37120000,1662000,5977000,-4887000,-34368000,-32502000,-33101000,214268000,214268000,214255000,146786000,146786000,146786000,-34047000,0,-24.97133,-25.95804,-0.196140000000002,-0.09293,14.99798,1.11049,-1.11022302462516e-16,-0.41629,-0.37874,0.0160399999999998,2.12247,-0.09935,8.67886,8.27492
"9","2012_Q4",17.1504838709677,"Down",1431000,-34781000,-7754000,-33350000,-1342000,-1501000,-34692000,-34692000,-34692000,-34692000,-34692000,-34692000,273444000,112235000,92905000,3772000,371497000,9579000,2867000,2867000,12446000,383943000,12596000,4757000,7839000,27090000,183565000,177775000,183565000,210655000,1476350000,-1303178000,173288000,173288000,383943000,-34692000,1890000,5824000,-587000,-27565000,-33245000,-33712000,12416000,12416000,12416000,-48861000,-48861000,-48861000,-31460000,0,-23.30538,-24.24319,-0.2002,-0.09036,13.71344,1.21564,0,-0.36497,-0.4079,0.01505,1.82303,-0.09722,8.6918,8.19922
"10","2013_Q1",16.8575,"Down",-124347000,82220000,595000,-42127000,-1344000,-1500000,-43471000,-43471000,-43471000,-31324000,-31324000,-31324000,248489000,94849000,4066000,4066000,261133000,9154000,3101000,3101000,107449000,368582000,23301000,5377000,17924000,29966000,11088000,5074000,183588000,213554000,1489431000,-1334502000,155028000,155028000,368582000,-31324000,-2211000,10009000,-726000,-24252000,-49322000,146000,7161000,7161000.00000003,6720000,-17386000,-17386000,-17386000,-44338000,172500000,0.33879,0.251909999999999,-0.20205,-0.08499,8.71431,1.37752,0.46801,-0.32689,-0.35396,-1.29767,1.61786,-0.09251,1.71386,1.80381
