"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","other_share_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",27.1069841269841,"Up",4.4821e+10,-3.1521e+10,1.33e+10,-9.709e+09,-4.44e+08,-3.83e+08,-2.318e+09,-6.564e+09,3.591e+09,6.16e+08,-3.01e+08,4.9e+07,4.207e+09,-2.17e+08,3.99e+09,-1.878e+09,2.112e+09,2.112e+09,2.098e+09,2.098e+09,8.55e+08,8.55e+08,1.0968e+10,7.3e+09,4.47e+09,2.808e+09,1.662e+09,2.3593e+10,8.6623e+10,3.6764e+10,7.83e+09,2.56e+09,8.2e+08,1.31217e+11,1.5481e+11,2.0042e+10,1.4392e+10,4.105e+09,1.545e+09,2.763e+09,2.6605e+10,2.6225e+10,3.8563e+10,4.138e+09,1.7891e+10,1.6534e+10,6.4788e+10,9.1393e+10,4.3093e+10,1.7e+07,4.3076e+10,-1.6211e+10,3.2749e+10,3.206e+09,6.2837e+10,6.3417e+10,1.5481e+11,2.112e+09,2.112e+09,2.318e+09,-4.11e+08,-9.79e+08,3.04e+09,-1.939e+09,-2.18e+08,-2.157e+09,-7.44e+08,3.47e+08,9e+06,-1.86e+08,-5.74e+08,3.09e+08,3.09e+08,4e+06,3.13e+08,5.909e+09,2.8988e+10,4.869e+09,0.29674,0.08012,0.04681,0.03308,0.01355,2.32078,0.88679,1.44114,0.18725,1.40536,1.39535,30.02356,42.09166,3.26152,0.49837,-10.6841781346902,0.0217,0.03718,0.35462,4.76104,7.83431
"2","2010_Q3",27.4965625,"Up",4.5686e+10,-3.2088e+10,1.3598e+10,-9.797e+09,-4.38e+08,-2.13e+08,-2.28e+09,-6.866e+09,3.801e+09,8.43e+08,-3.49e+08,1.04e+08,4.644e+09,1.55e+09,6.194e+09,-2.011e+09,4.183e+09,4.183e+09,4.164e+09,4.164e+09,4.12e+09,4.12e+09,1.1074e+10,7.119e+09,4.353e+09,2.23e+09,2.123e+09,2.6666e+10,8.1269e+10,3.5957e+10,7.564e+09,2.394e+09,7.24e+08,1.2479e+11,1.51456e+11,1.9884e+10,1.3683e+10,4.508e+09,1.693e+09,3.082e+09,2.5668e+10,2.3197e+10,3.6646e+10,3.836e+09,1.7012e+10,1.5798e+10,5.9843e+10,8.5511e+10,4.3236e+10,1.7e+07,4.3219e+10,-1.6601e+10,3.6917e+10,1.819e+09,6.5371e+10,6.5945e+10,1.51456e+11,4.183e+09,4.183e+09,2.28e+09,-3.082e+09,93999999.9999998,3.475e+09,3.802e+09,3.8e+07,3.84e+09,-8.16e+08,-2.717e+09,-3.64e+08,-1.69e+08,-4.066e+09,3.249e+09,3.249e+09,1.6e+07,3.265e+09,6.081e+09,2.6279e+10,1.1988e+10,0.29764,0.0832,0.09114,0.06314,0.02749,2.87896,1.03888,1.2967,0.17351,2.79501,2.77324,30.66592,43.87913,8.04673,0.54773,-0.564895005168124,0.03864,0.09302,0.19597,3.64397,5.82978
"3","2010_Q4",31.82328125,"Up",4.7208e+10,-3.4051e+10,1.3157e+10,-9.801e+09,-4.93e+08,-2.52e+08,-2.246e+09,-6.81e+09,3.356e+09,6.79e+08,-2.64e+08,-6.1e+07,4.035e+09,1.239e+09,5.274e+09,-2.205e+09,3.069e+09,3.069e+09,3.055e+09,3.055e+09,1.0852e+10,7.996e+09,1.1723e+10,7.741e+09,5.001e+09,3.246e+09,1.755e+09,3.5317e+10,8.146e+10,3.1182e+10,7.374e+09,2.175e+09,7.56e+08,1.20016e+11,1.55333e+11,2.125e+10,1.4148e+10,5.186e+09,1.916e+09,3.76e+08,2.5421e+10,2.3225e+10,3.677e+10,3.732e+09,1.7286e+10,1.5752e+10,5.9995e+10,8.5416e+10,4.3323e+10,1.7e+07,4.3306e+10,-1.7468e+10,3.9156e+10,4.35e+09,6.9361e+10,6.9917e+10,1.55333e+11,3.069e+09,3.069e+09,2.246e+09,-1.63e+09,6.54e+08,4.339e+09,3.999e+09,1.02e+08,4.101e+09,-8.16e+08,-2.838e+09,-8.44e+08,-1.89e+08,-4.687e+09,3.753e+09,3.753e+09,1.23e+08,3.876e+09,5.602e+09,2.3601e+10,1.246e+10,0.2787,0.07109,0.06471,0.04369,0.01967,4.07856,1.38928,1.22168,0.15194,2.06222,2.04616,31.86685,46.82081,8.41088,0.55083,4.91316437306195,0.02971,0.09563,0.2671,2.27579,3.79887
"4","2011_Q1",37.7937096774194,"Up",-8.15e+10,7.2806e+10,-8.694e+09,1.0354e+10,5.66e+08,-2.77e+08,-1.16e+09,1.1225e+10,1.66e+09,-1.748e+09,-2.53e+08,8.9e+07,-8.8e+07,2.505e+09,2.417e+09,-1.476e+09,9.41e+08,2.053e+09,2.041e+09,2.041e+09,1.151e+10,9.454e+09,1.3787e+10,5.197e+09,4.166e+09,2.141e+09,2.025e+09,3.466e+10,8.2554e+10,3.1581e+10,7.519e+09,2.18e+09,9.05e+08,1.21654e+11,1.56314e+11,2.3273e+10,1.6613e+10,4.874e+09,1.786e+09,9.36e+08,2.7419e+10,2.2656e+10,3.713e+10,3.683e+09,1.7335e+10,1.6112e+10,5.9786e+10,8.7205e+10,4.3516e+10,1.7e+07,4.3499e+10,-2.0077e+10,4.0397e+10,4.726e+09,6.8562e+10,6.9109e+10,1.56314e+11,9.41e+08,2.053e+09,1.16e+09,-1.175e+09,2.233e+09,6.191e+09,1.313e+09,-7.09e+08,-1.119e+09,-7.99e+08,3.2e+07,-2.534e+09,-1.62e+08,-3.492e+09,1.58e+09,1.58e+09,-1.22e+08,1.458e+09,2.82e+09,2.3592e+10,7.842e+09,0.10667,-0.02037,-0.02504,0.02953,0.01306,3.84223,1.26409,1.26185,0.15093,1.40444,1.39207,-56.08127,47.17846,5.39619,0.5498,7,0.02187,0.0604,0.39147,4.2844,7.27831
"5","2011_Q2",38.6985714285714,"Up",5.653e+10,-4.2376e+10,1.4154e+10,-9.737e+09,-4.99e+08,-1.76e+08,-2.07e+09,-6.992e+09,4.417e+09,8.39e+08,-2.62e+08,8.4e+07,5.256e+09,5.4e+08,5.796e+09,-2.754e+09,3.042e+09,3.042e+09,3.028e+09,3.028e+09,8.403e+09,6.172e+09,1.4549e+10,7.944e+09,4.717e+09,2.858e+09,1.859e+09,3.5613e+10,8.3765e+10,3.2791e+10,7.474e+09,2.138e+09,9.09e+08,1.2403e+11,1.59643e+11,2.5648e+10,1.8044e+10,5.445e+09,2.159e+09,6.05e+08,2.9218e+10,2.2604e+10,3.73e+10,3.59e+09,1.753e+10,1.618e+10,5.9904e+10,8.9122e+10,4.3699e+10,1.7e+07,4.3682e+10,-2.1713e+10,4.248e+10,5.506e+09,6.9972e+10,7.0521e+10,1.59643e+11,3.042e+09,3.042e+09,2.07e+09,-1.075e+09,-2.09e+09,1.947e+09,-1.097e+09,-1.114e+09,-2.211e+09,-9.44e+08,-3.73e+08,-1.561e+09,-1.83e+08,-3.061e+09,-3.325e+09,-3.325e+09,4.3e+07,-3.282e+09,6.487e+09,2.3209e+10,6.054e+09,0.25038,0.07814,0.05356,0.04294,0.01897,1.99934,1.21887,1.26377,0.14538,2.1141,2.09481,39.4684,48.85341,4.22681,0.65909,6.94561187564602,0.03031,0.0462,0.31176,2.28241,3.35205
"6","2011_Q3",35.99421875,"Down",-2.3574e+10,2.7737e+10,4.163e+09,-1.04e+08,4.8e+07,-2.64e+08,-1.624e+09,1.736e+09,4.059e+09,-4.71e+08,-2.37e+08,8.2e+07,3.588e+09,-1.29e+08,3.459e+09,-1.884e+09,1.575e+09,3.419e+09,3.402e+09,3.402e+09,8.14e+09,5.505e+09,1.4678e+10,6.986e+09,4.874e+09,2.747e+09,2.127e+09,3.4678e+10,8.4268e+10,3.402e+10,7.102e+09,1.736e+09,9.68e+08,1.2539e+11,1.60068e+11,2.5854e+10,1.8806e+10,4.836e+09,2.212e+09,6.06e+08,2.9344e+10,2.259e+10,3.7556e+10,3.432e+09,1.8062e+10,1.6062e+10,6.0146e+10,8.949e+10,4.3864e+10,1.7e+07,4.3847e+10,-2.4862e+10,4.4964e+10,6.093e+09,7.0059e+10,7.0578e+10,1.60068e+11,1.575e+09,3.419e+09,1.624e+09,3.12e+08,8.95e+08,6.274e+09,-2.43e+09,-4.01e+08,-2.683e+09,-9.17e+08,-5e+06,-3.125e+09,-1.74e+08,-4.235e+09,-643999999.999999,-643999999.999999,-2.3e+07,-666999999.999999,5.683e+09,2.3196e+10,6.032e+09,-0.17659,-0.17218,-0.14431,0.0482,0.02125,1.77307,1.18177,1.26796,0.14491,2.43123,2.40928,-16.8471,50.0675,4.31075,0.65533,6,0.03289,0.04593,0.26955,2.6493,3.70929
"7","2011_Q4",36.9239682539683,"Up",1.6506e+10,-7.976e+09,8.53e+09,-4.727e+09,-1.45e+08,-2.66e+08,-1.645e+09,-2.671e+09,3.803e+09,2.19e+08,-2.3e+08,6e+06,4.022e+09,-4.17e+08,3.605e+09,-2.11e+09,1.495e+09,2.631e+09,2.616e+09,2.616e+09,6.026e+09,3.437e+09,1.444e+10,7.164e+09,4.761e+09,2.785e+09,1.976e+09,3.2391e+10,8.309e+10,3.2152e+10,7.056e+09,1.694e+09,9.92e+08,1.22298e+11,1.54689e+11,2.5408e+10,1.8855e+10,4.573e+09,1.98e+09,6.16e+08,2.8936e+10,2.2534e+10,3.6893e+10,3.078e+09,1.7979e+10,1.5836e+10,5.9427e+10,8.8363e+10,4.4616e+10,1.7e+07,4.4599e+10,-2.8671e+10,4.6681e+10,3.18e+09,6.5806e+10,6.6326e+10,1.54689e+11,1.495e+09,2.631e+09,1.645e+09,7.42e+08,1.161e+09,5.613e+09,-3.266e+09,5e+06,-3.245e+09,-9e+08,-4.1e+07,-3.189e+09,-1.85e+08,-4.322e+09,-1.954e+09,-1.954e+09,-1.14e+08,-2.068e+09,5.448e+09,2.315e+10,5.453e+09,0.51678,0.2304,0.15849,0.03944,0.01691,2.08448,1.1194,1.33225,0.14966,1.92677,1.9101,12.15724,48.46838,4.01632,0.66288,6,0.02782,0.04315,0.34404,3.14317,4.50276
"8","2012_Q1",39.3925806451613,"Up",1.4734e+10,-7.182e+09,7.552e+09,-4.587e+09,-2.69e+08,-3.32e+08,-1.488e+09,-2.498e+09,2.965e+09,-3.8e+07,-2.25e+08,9.2e+07,2.927e+09,-3.91e+08,2.536e+09,-1.46e+09,1.076e+09,3.41e+09,3.39e+09,3.39e+09,6.361e+09,5.78e+09,1.4648e+10,4.631e+09,4.578e+09,2.7e+09,1.878e+09,3.0218e+10,8.418e+10,3.2108e+10,6.724e+09,1.675e+09,9.72e+08,1.23012e+11,1.5323e+11,2.3873e+10,1.7973e+10,4.22e+09,1.68e+09,1.013e+09,2.8068e+10,2.161e+10,3.7803e+10,4.068e+09,1.804e+10,1.5695e+10,5.9413e+10,8.7481e+10,4.4742e+10,1.7e+07,4.4725e+10,-3.1787e+10,4.9049e+10,3.235e+09,6.5239e+10,6.5749e+10,1.5323e+11,1.076e+09,3.41e+09,1.488e+09,6.69e+08,-6.76e+08,5.812e+09,-2.229e+09,2.058e+09,1.124e+09,-8.71e+08,-5.15e+08,-3.152e+09,-1.42e+08,-4.687e+09,2.249e+09,2.249e+09,9.4e+07,2.343e+09,4.453e+09,2.2623e+10,3.008e+09,0.51256,0.20124,0.23008,0.05156,0.02212,0.88732,1.0766,1.33053,0.14764,2.5861,2.56562,11.24,49.76832,2.29469,0.66445,8,0.03377,0.02384,0.25693,3.65192,5.48465
"9","2012_Q2",38.1253968253968,"Down",1.4593e+10,-6.078e+09,8.515e+09,-5.226e+09,-3.26e+08,-6.75e+08,-1.571e+09,-2.654e+09,3.289e+09,3.6e+08,-1.9e+08,6e+07,3.649e+09,6.16e+08,4.265e+09,-2.086e+09,2.179e+09,2.955e+09,2.937e+09,2.937e+09,4.215e+09,3.707e+09,1.5575e+10,6.072e+09,1.1204e+10,3.246e+09,7.958e+09,3.7066e+10,8.5559e+10,3.3574e+10,6.682e+09,1.615e+09,9.95e+08,1.25815e+11,1.62881e+11,2.6301e+10,1.9637e+10,4.751e+09,1.913e+09,7.002e+09,3.643e+10,2.1358e+10,3.805e+10,4.033e+09,1.8709e+10,1.5308e+10,5.9408e+10,9.5838e+10,4.4954e+10,1.8e+07,4.4936e+10,-3.3678e+10,5.1286e+10,3.972e+09,6.6534e+10,6.7043e+10,1.62881e+11,2.179e+09,2.955e+09,1.571e+09,1.24e+08,1.96e+08,4.182e+09,-2.716e+09,1.37e+08,-3.01e+09,-8.43e+08,-4.7e+07,-1.863e+09,-1.99e+08,-3.27e+09,-2.098e+09,-2.098e+09,2.5e+07,-2.073e+09,4.86e+09,2.836e+10,4.426e+09,0.5835,0.22538,0.20126,0.04381,0.01803,1.50698,1.01746,1.4295,0.17411,2.28829,2.27128,11.36975,51.83823,3.4484,0.6568,6,0.02832,0.03317,0.28703,4.96811,7.34114
"10","2012_Q3",40.0196825396825,"Up",1.3664e+10,-5.721e+09,7.943e+09,-4.782e+09,-2.35e+08,-2.65e+08,-1.58e+09,-2.702e+09,3.161e+09,3.98e+08,-1.97e+08,6.6e+07,3.559e+09,3.86e+08,3.945e+09,-2.225e+09,1.72e+09,2.289e+09,2.267e+09,2.267e+09,1.044e+09,1.044e+09,7.55e+09,1.178e+09,7.14e+09,1.971e+09,5.169e+09,1.6912e+10,7.1227e+10,2.3372e+10,2.497e+09,1.597e+09,8.89e+08,9.7096e+10,1.14008e+11,1.1915e+10,8.243e+09,2.819e+09,8.53e+08,4.179e+09,1.836e+10,1.8829e+10,3.0376e+10,2.873e+09,1.3598e+10,1.3905e+10,4.9205e+10,6.7565e+10,4.5034e+10,1.8e+07,4.5016e+10,-3.6696e+10,3.3756e+10,3.877e+09,4.5971e+10,4.6443e+10,1.14008e+11,1.72e+09,2.289e+09,1.58e+09,-4.56e+08,-7.66e+08,2.35e+09,-3.159e+09,5.28e+08,-2.915e+09,-8.18e+08,8.31e+08,-3.041e+09,2.648e+09,-2.081e+09,-2.646e+09,-2.646e+09,-1.7e+07,-2.663e+09,4.741e+09,2.3008e+10,3.041e+09,0.58131,0.23134,0.16591,0.04881,0.01988,1.34142,0.92113,1.45479,0.20181,1.81607,1.8018,10.94609,36.82688,2.43611,0.65529,6,0.0309,0.03046,0.36083,4.63278,6.94843
