"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",24.1463492063492,"Up",135859000,-83267000,52592000,-33617000,-33617000,18975000,402000,370000,32000,19377000,19377000,-7065000,12312000,12312000,12312000,12312000,84431220.0667037,3715279.55838856,80715940.5083151,-3634777.05764295,96614778.4773408,-205024.172820609,9117648.11020091,177206197.313581,86655510.5957224,13397844.4155916,11848331.3079163,-9115092.85055174,107227764.810527,284433962.124108,9579238.78204297,-40837344.4071498,17447551.5365102,13957497.2096087,13957497.2096087,23536736.0073029,27421050.447511,27569491.1014474,27421050.447511,50957786.4548139,85298151.5183586,148820201.694035,-642177.543099912,233476175.669294,233476175.669294,284433962.124108,12312000,4285000,1854000,-7995000,10456000,-3233000,-6445000,-9678000,469000,469000,225000,694000,1472000,1472000,-351813.348037265,1472000,23260000,0,19097000,0.38711,0.13967,0.09062,0.287293391350608,0.205072013946984,1.55109,5.1690904117335,0.188581030826283,3.45355212489543e-11,0.40996,0.38005,4.52381,7.82249685205435,0.63589,0.252782596137768,0.471921553676204,50.0635832450412,153.296629047521
"2","2012_Q1",31.5941935483871,"Up",156192000,-96960000,59232000,-35218000,-35218000,24014000,298000,409000,-111000,24312000,24312000,-9307000,15005000,15005000,15005000,15005000,128801000,11357000,117444000,6129000,56303000,7210000,7210000,198443000,80666000,19756000,13154000,899000,103188000,301631000,28059000,16371000,7580000,17402000,17402000,45461000,29435000,29435000,29435000,74896000,91373000,135379000,-17000,226735000,226735000,301631000,15005000,4521000,907000,13157000,33590000,-5223000,-27292000,-32515000,547000,547000,1421000,1968000,3043000,3043000,-46271.1160124217,3043000,28535000,0,45776000,0.37923,0.15375,0.09607,0.06618,0.04975,3.05072,4.36513,0.33032,0,0.49751,0.48266,5.17878,7.51774,1.51777,0.05857,0.17869,-4.51379,-5.36358
"3","2012_Q2",36.4977777777778,"Up",105851000,-72661000,33190000,-30638000,-30638000,2552000,568000,513000,55000,3120000,3120000,-1234000,1886000,1886000,1886000,1886000,137579676.644432,14264740.1472038,123314936.497228,10310009.0192143,61024407.1742197,9798591.3909402,7006700.62993303,218712684.228806,81554746.4680925,20522051.8614695,13589222.8973612,2734614.28351725,104012495.063158,322725179.291964,45261670.4059857,44333114.8023833,4777316.15449661,17764167.5967971,17764167.5967971,63025837.9975657,31570233.184163,31520752.9661842,31570233.184163,94596071.1817287,94721699.4938805,133224016.101988,183392.514366637,228129108.110235,228129108.110235,322725179.291964,1886000,4705000,1815000,-4765000,3641000,-2540000,-438000,-2978000,173000,173000,1054000,1227000,1890000,1890000,43000,1933000,7257000,0,1186000,0.31355,0.02411,0.01782,-0.00566113045020257,-0.00231483798232803,0.62884,3.64192402942217,0.418120489724572,-1.15118404163181e-11,0.06216,0.06067,3.48848,7.50873438264855,0.03909,-0.00475669871258948,0.037411982107932,-21.0653210816804,-53.3418438491738
"4","2012_Q3",32.8403174603175,"Down",112213000,-75151000,37062000,-33512000,-33512000,3550000,437000,434000,3000,3987000,3987000,-1396000,2591000,2591000,2591000,2591000,131901000,14157000,117744000,10690000,84394000,9563000,7669000,236548000,86041000,17970000,13154000,604999.999999998,106819000,343367000,56731000,50657000,6074000,16749000,16749000,73480000,33400000,33400000,33400000,106880000,96468000,139856000,163000,236487000,236487000,343367000,2591000,4869000,732000,-571000,7621000,-7419000,-776000,-8195000,823000,823000,604000,1427000,853000,853000,14000,867000,8419000,0,1825000,0.33028,0.03164,0.02309,0.01096,0.00754999999999999,0.70436,3.21922,0.45195,0,0.08489,0.08342,3.67658,7.74834,0.0597900000000002,0.00960000000000001,0.00676000000000002,-15.66706,-37.15521
"5","2012_Q4",22.2811290322581,"Down",153951000,-94030000,59921000,-37104000,-37104000,22817000,311000,440000,-129000,23128000,23128000,-8991000,14137000,14137000,14137000,14137000,137058000,13881000,123177000,8717000,93839000,8235000,8235000,247849000,90196000,17062000,13154000,493000,109956000,357805000,55009000,40296000,8489000,16635000,16635000,71644000,34448000,34448000,34448000,106092000,97647000,153993000,73000,251713000,251713000,357805000,14137000,5013000,1905000,-7139000,13916000,-8417000,-6032000,-14449000,273000,273000,19000,292000,-241000,-241000,-35000,-276000,27830000,0,21265000,0.38922,0.14821,0.09183,0.05616,0.03951,1.50421,3.45945,0.42148,0,0.46204,0.45405,5.03157,8.22672,0.695,0.0494,0.07431,-4.92483,-6.00684
"6","2013_Q1",22.3765,"Up",183859000,-112356000,71503000,-40190000,-40190000,31313000,141000,449000,-308000,31454000,31454000,-12717000,18737000,18737000,18737000,18737000,172798000,14779000,158019000,6284000,65037000,7907000,7907000,252026000,90955000,19176000,13154000,6022000,110131000,362157000,36640000,21743000,9062000,18936000,18936000,55576000,34304000,34304000,34304000,89880000,99412000,172730000,135000,272277000,272277000,362157000,18737000,5157000,3074000,15919000,42887000,-7132000,-35320000,-42452000,320000,320000,149000,469000,904000.000000001,904000.000000001,-6000,898000,36470000,3.46944695195361e-18,57974000,0.3889,0.17031,0.10191,0.06882,0.05174,3.09409,4.5348,0.33011,-1.29246970711411e-26,0.61138,0.6006,5.99925,8.8843,1.89167,0.06112,0.1891,-4.73809,-5.51841
"7","2013_Q2",29.07859375,"Up",129899000,-87798000,42101000,-34839000,-34839000,7262000,507000,490000,17000,7769000,7769000,-3242000,4527000,4527000,4527000,4527000,171205000,7962000,163243000,8700000,70435000,11620000,8295000,261960000,98112000,16503000,13154000,541000,116966000,378926000,43600000,36514000,7086000,18802000,18802000,62402000,36105000,36105000,36105000,98507000,102971000,177257000,191000,280419000,280419000,378926000,4527000,5275000,-213000,-3790000,5799000,-8519000,-6058000,-14577000,243000,243000,1710000,1953000,-6825000,-6825000,8000,-6817000,12537000,0,3470000,0.32411,0.0559,0.03485,0.01614,0.01195,0.76651,4.19794,0.35129,0,0.14708,0.14417,4.22038,9.11072,0.11274,0.0143,0.01096,-13.65598,-23.57546
"8","2013_Q3",27.9925,"Down",135066000,-88641000,46425000,-42647000,-42647000,3778000,1038000,427000,611000,4816000,4816000,-2730000,2086000,2086000,2086000,2086000,96822000,12610000,84212000,11255000,99699000,10656000,9909000,218432000,115430000,84283000,59547000,5353000,199713000,418145000,66524000,57630000,7637000,23145000,23145000,89669000,46039000,40783000,46039000,135708000,104862000,179343000,-1768000,282437000,282437000,418145000,2086000,5383000,745000,499999.999999998,8713999.99999999,-13385000,78958000,-4112000,104000,104000,355000,350000,4952000,4952000,-304000,4648000,9161000,5.55111512312578e-17,-994000,0.34372,0.02797,0.01544,0.00739,0.00499,-0.47651,2.43598,0.48049,-1.03397576569128e-25,0.06748,0.06627,4.36895,9.13592,-0.0321500000000002,0.00635,-0.00303,-10.56893,-25.62785
"9","2013_Q4",27.8409375,"Down",180023000,-112948000,67075000,-45674000,-45674000,21401000,50000,235000,-185000,21451000,21451000,-8784000,12667000,12667000,12667000,12667000,98331000,10580000,87751000,11864000,109786000,9560000,9560000,229541000,121428000,87167000,61926000,5413000,208595000,438136000,64681000,47331000,9996000,23726000,23726000,88407000,49370000,43963000,49370000,137777000,106509000,192010000,1840000,300359000,300359000,438136000,12667000,6003000,454000,-5451000,13673000,-12124000,-3937000,-16061000,187000,187000,150000,263000,-2125000,-2125000,95000,-2030000,27404000,0,18613000,0.37259,0.11888,0.07036,0.04217,0.02891,1.46941,2.59641,0.45871,0,0.40917,0.40345,5.81507,9.70214,0.60123,0.03622,0.05322,-3.5882,-4.59469
"10","2014_Q1",23.3962295081967,"Down",224405000,-138722000,85683000,-49582000,-49582000,36101000,142000,258000,-116000,36243000,36243000,-13359000,22884000,22884000,22884000,22884000,103172000,17579000,85593000,9467000,77598000,9192000,9192000,199429000,119359000,90310000,64576000,5254000,209669000,409098000,34066000,16052000,11057000,23133000,23133000,57199000,48478000,42934000,48478000,105677000,108360000,189051000,6010000,303421000,303421000,409098000,22884000,6296000,3072000,5787000,38039000,-7042000,1739000.00000001,-6329000,-24889000,324000,-121000,-25085000,6625000,6625000,374000,6999000,42397000,-8.88178419700125e-16,54501000,0.38182,0.16087,0.10198,0.07542,0.05594,2.38162,3.48658,0.34829,-1.65436122510606e-24,0.75485,0.74258,7.4022,10.00861,1.79776,0.06503,0.15488,-2.43347,-2.85787
