"","YQ","p","d","revenue","cost_of_revenue","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",1193.08370967742,"Up",23383000,-19595000,-4969000,-3940000,-1733000,-986000,-1181000,-296000,-296000,-1477000,-61000,-1538000,-1529000,-1529000,-1529000,-1529000,8004000,8004000,725000,725000,12293000,921000,29440000,520000,589000,30029000,11375000,11375000,945000,17877000,18021000,114863000,-102333000,12008000,12008000,30029000,-1529000,2957000,418000,-9489000,-7643000,-91000,-91000,5188000,-2546000,-2546000,-2545000,1776000,5557000,-0.12733,-0.05092,1.64681,1.50075,0.18505,-43.34572,-43.34572,662.88612,340.41554,-0.08634,-1.37782,2.07197
"2","2011_Q2",2364.12571428571,"Up",48466000,-28835000,-11592000,-10317000,-3308000,-1230000,8039000,-710000,-710000,7329000,-416000,6913000,6762000,6762000,6762000,6762000,28747796.1502406,28747796.1502406,2674417.29824606,2674417.29824606,-3472205.62176479,-3413988.36740737,21689992.3107864,1111837.19813741,1280932.39979656,22970924.710583,1758860.00679366,1758860.00679366,-8833251.90009419,-7515948.3035401,-8362449.90059556,116951493.872909,-85073591.6717469,31333374.6111786,31333374.6111785,22970924.710583,6762000,2829000,2606000,-6761000,5436000,-77000,-77000,-5472000,-113000,-113000,-115000.000000002,10868000,0,0.629092538534472,0.330200490748093,4.42769273904508,-0.429766616780139,0.0229458761944888,188.54398,188.0767,1351.37128,867.868360400678,0.589628634961918,-730.132024688191,-46.4958964816561
"3","2011_Q3",1771.47921875,"Down",32142000,-18491000,-6955000,-4925000,-2295000,-1973000,6696000,-245000,-245000,6451000,-4290000,2161000,2075000,2075000,2075000,2075000,28841096.1502406,28841096.1502406,3042617.29824606,3042617.29824606,-10205.6217647865,-2424988.36740736,27250992.3107864,1319237.19813741,1539132.39979656,28790124.710583,4094060.00679365,4094060.00679365,-6750151.90009419,-4145748.30354011,-4285349.90059556,118184693.872909,-84569191.6717469,33075474.6111786,33075474.6111785,28790124.710583,2075000,493000,5777000,885000,9230000,-248000,-248000,1606000,10588000,10588000,10589000,7189000,0,0.534205538534472,0.281094490748094,4.41464673904508,-0.415082616780139,-0.0207491238055112,57.23001,53.86743,886.49972,907.819192400678,0.494256634961918,-565.647851688191,-44.4981374816561
"4","2011_Q4",2097.41349206349,"Up",19546000,-11592000,-6867000,-4799000,-2486000,-1947000,1087000,-122000,-122000,965000,1109000,2074000,1890000,1890000,1890000,1890000,19674000,19674000,2788000,2788000,12288000,896000.000000001,39357000,1289000,1521000,40878000,12351000,12351000,621999.999999996,12973000,14160000,118852000,-91607000,26718000,26718000,40878000,1890000,368000,270000,-591999.999999999,1936000,-71000,-871000,133000,1198000,1198000,1196000,1455000,2.3283064365387e-10,0.0707399999999993,0.0462399999999997,3.03376,0.529980000000001,-1.11022302462516e-16,51.11727,48.00497,528.64456,722.61973,0.0677300000000008,-13.5216499999998,-18.09936
"5","2012_Q1",1867.67096774194,"Down",25137000,-20898000,-7189000,-5172000,-2417000,-1842000,-2950000,-178000,-178000,-3128000,-762000,-3890000,-3895000,-3895000,-3895000,-3895000,13689000,13689000,3143000,3143000,22547000,3071000,50984000,1184000,1393000,52377000,20313000,20313000,5642000,27193000,29142000,119263000,-95501000,23235000,23235000,52377000,-3895000,2912000,5622000,-11824000,-7185000,-69000,-48000,1244000,-5989000,-5989000,-5985000,-38000,1238000,-0.16764,-0.07436,1.87489,1.25423,0.02364,-103.17923,-99.65508,665.88353,615.49922,-0.14742,327.65789,4.22068
"6","2012_Q2",1539.07793650794,"Down",66180000,-43166000,-14468000,-12003000,-3017000,-2307000,8546000,-463000,-463000,8083000,-164000,7919000,7726000,7726000,7726000,7726000,21750000,21750000,4929000,4929000,20618000,1351000,55495000,1143000,1308000,56803000,22044000,22044000,2272000,24316000,25438000,119697000,-87775000,31365000,31365000,56803000,7726000,9438000,3006000,-10769000,9401000,-117000,-117000,-1237000,8047000,8047000,8061000,17984000,2.3283064365387e-10,0.24633,0.13601,2.28224,0.81103,0,204.04882,195.40092,1747.85797,828.37058,0.23782,-1.20940999999999,-2.54505
"7","2012_Q3",1213.92444444444,"Down",30400000,-18229000,-9185000,-7365000,-2679000,-1671000,2986000,-2e+05,-2e+05,2786000,-63000,2723000,2703000,2703000,2703000,2703000,31734000,31734000,4592000,4592000,10284000,736000,52117000,1056000,1215000,53332000,17560000,17560000,1330000,18890000,18890000,120099000,-85072000,34442000,34442000,53332000,2703000,1559000,1090000,4741000,10093000,-62000,-62000,-1000,10030000,10030000,9984000,4545000,0,0.07848,0.05068,2.75897,0.54846,0,71.24046,68.54036,801.22457,907.75581,0.07848,-6.98218,-10.6276
"8","2012_Q4",735.465,"Down",9145000,-5629000,-7129000,-5076000,-2392000,-1912000,-3613000,-102000,-102000,-3715000,594000,-3121000,-3087000,-3087000,-3087000,-3087000,27292000,27292000,3347000,3347000,9731000,599000,46422000,1029000,1188000,47610000,14591000,14591000,1240000,15831000,15831000,120537000,-88159000,31779000,31779000,47610000,-3087000,554000,76000,-1890000,-4347000,-65000,-65000,-26000.0000000002,-4438000,-4438000,-4442000,-3059000,0,-0.09714,-0.06484,2.93235,0.49816,1.73472347597681e-18,-81.21022,-81.21022,240.57902,836.01537,-0.09714,8.92187,7.55383
"9","2013_Q1",486.947166666667,"Down",26562000,-21748000,-7802000,-5790000,-1989000,-1894000,-2988000,-193000,-193000,-3181000,346000,-2835000,-2729000,-2729000,-2729000,-2729000,18038000,18038000,3936000,3936000,17971000,1724000,47707000,1003000,1591000,49298000,15490000,15490000,4471000,19961000,19961000,120797000,-90888000,29337000,29337000,49298000,-2729000,6378000,2694000,-15398000,-9055000,-94000,-94000,-126000,-9275000,-9275000,-9254000,3390000,0,-0.09302,-0.05536,2.39001,0.6804,0,-70.81447,-70.68774,689.25396,761.26208,-0.09302,-5.32094,6.03681
"10","2013_Q2",440.97453125,"Down",23472000,-16320000,-8173000,-5980000,-2251000,-2082000,-1021000,-183000,-183000,-1204000,-934000,-2138000,-2141000,-2141000,-2141000,-2141000,26763000,26763000,2015000,2015000,9187000,428000,41272000,840000,1409000,42681000,15208000,15208000,44000.0000000009,15252000,15252000,121077000,-93029000,27429000,27429000,42681000,-2141000,2447000,1430000,7057000,8793000,-26000,-26000,0,8767000,8767000,8725000,1426000,-7.27595761418343e-12,-0.07806,-0.05016,2.70601,0.55605,0,-55.5031,-55.5031,608.48613,711.06706,-0.07806,-18.76788,26.21254
