"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",19.5084375,"Up",10414000,-7887000,2527000,-14066000,-13082000,-984000,-11539000,-16833000,13000,-16846000,-28372000,414133000,385761000,-29273000,356488000,356488000,359912000,359912000,219367000,219367000,24039000,24039000,8234000,3179000,4397000,251640000,8463000,779734000,168170000,608903000,2661000,788197000,1039837000,33621000,13530000,20091000,27185000,27091000,60806000,30327000,30327000,0,30327000,91133000,331423000,322787000,654210000,948704000,1039837000,356488000,984000,-361836000,-1444000,-5808000,-1015000,-1015000,-1015000,4e+06,0,13065000,16050000,38000,38000,0,209125000,219367000,219367000,219367000,-10555000,0,16259000,0.24265,-1.10803,34.5604,0.37937,0.34612,0.04517,4.13841,0.09606,0,25.75215,9.82212,0.74513,46.80953,1.16335,0.36762,0.01661,20.78323,19.01092
"2","2015_Q4",14.734375,"Down",40406000,-24762000,15644000,-32890000,-29834000,-3056000,-17246000,54000,54000,0,-17192000,0,-17191999.9999999,104000,-17088000.0000001,-17088000,-11980000.0000001,-11980000.0000001,210180000,208157000,30541000,30541000,5500000,3520000,1322000,246221000,10755000,777157000,165661000,608903000,2593000,809960000,1056181000,34324000,12642000,21682000,55514000,33466000,89838000,30291000,30224000,67000,30291000,120129000,335859000,310807000,646666000,936052000,1056181000,-17088000,3056000,4346999.99999994,3336000,-6349000,-2892000,-2892000,-2892000,-2023000,0,-1.86264514923096e-09,-4915000,54000,54000,0,54000,-11210000,-11210000,-11210000,-14190000,0,-13850000,0.38717,-0.42682,-0.296489999999991,-0.0128,-0.01134,1.15609,2.74072,0.12834,0,-0.288899999999998,-0.288899999999998,0.97439,15.59434,-0.33399,-0.0124,-0.01433,14.81184,12.18717
"3","2016_Q1",10.3296721311475,"Down",46058000,-24749000,21309000,-35496000,-32370000,-3126000,-14187000,226000,226000,0,-13961000,0,-13961000,5694000,-8267000,-8267000,-4119000,-4119000,155171000,145726000,20381000,20381000,8911000,4208000,4703000,184463000,12796000,773637000,163152000,608903000,1582000,831051000,1015514000,44671000,16699000,27972000,14835000,14835000,59506000,21429000,21318000,111000,21429000,80935000,342653000,306688000,649341000,934579000,1015514000,-8267000,3126000,-1436000,266000,-6311000,-2608000,-2608000,-2608000,-52211000,0,0,-54819000,60000,60000,4924000,4984000,-56146000,-56146000,-56146000,-11061000,0,-19097000,0.46266,-0.30802,-0.08943,-0.00441,-0.00406,4.63632,3.09991,0.0866,0,-0.09788,-0.03982,1.09443,15.42964,-0.45378,-0.00431,-0.01998,14.02866,10.93755
"4","2016_Q2",13.73359375,"Up",49449000,-28610000,20839000,-35317000,-31946000,-3371000,-14478000,279000,279000,2.3283064365387e-10,-14199000,-160600000,-174799000,988000.000000001,-173811000,-173811000,-122740000,-122740000,131388000,111292000,25216000,25216000,10962000,4215000,6747000,167566000,15537000,639481000,168072000,459703000,11706000,688897000,856463000,34216000,17042000,17174000,18329000,18329000,52545000,28256000,20329000,7927000,28256000,80801000,357648000,183876000,541524000,775662000,856463000,-173811000,3371000,164057000,-14421000,-20804000,-3353000,-3353000,-3353000,0,-11500000,1198000,-13655000,25000,25000,9.31322574615479e-10,25000,-34434000,-34434000,-34434000,-11107000,-2.3283064365387e-10,-29869000,0.42142,-0.29279,-2.48215,-0.15824,-0.14331,0.24335,3.189,0.10417,0,-2.90957,-2.90957,1.17219,12.83689,-0.70805,-0.15268,-0.03715,11.8293,9.07501
"5","2016_Q3",23.3759375,"Up",56518000,-32780000,23738000,-36368000,-32756000,-3612000,-12630000,258000,272000,-14000,-12372000,2000,-12370000,371000,-11999000,-11999000,-8387000,-8387000,132715000,105138000,30337000,30337000,7505000,5300000,2205000,170557000,18468000,639569000,165442000,459703000,11438000,682244000,852801000,37879000,12375000,25504000,18848000,18848000,56727000,27930000,19958000,7972000,27930000,84657000,362496000,175232000,537728000,768144000,852801000,-11999000,3612000,4518000,2755000,-1114000,-3907000,-3907000,-3907000,2100000,-3e+06,-4000,-4811000,89000,89000,-318000,-229000,-6154000,-6154000,-6154000,-9018000,0,-10541000,0.42001,-0.22347,-0.1484,-0.01092,-0.00983,1.25683,3.00663,0.11021,0,-0.19691,-0.19691,1.3269,12.6245,-0.24748,-0.01054,-0.01324,14.71668,10.50792
"6","2016_Q4",19.7031746031746,"Down",60210000,-33904000,26306000,-42144000,-38399000,-3745000,-15838000,-194000,254000,-448000,-16032000,1999.9999999851,-16030000,255000,-15775000,-15775000,-11208000,-11208000,159470000,109777000,21986000,21986000,9973000,4983000,4990000,191429000,21123000,638728000,162789000,459703000,13698000,659851000,851280000,47612000,14486000,33126000,17717000,17717000,65329000,26094000,18097000,7997000,26094000,91423000,398204000,164024000,562228000,759857000,851280000,-15775000,3745000,5159999.99999999,14783000,7913000,-3856000,-3856000,-3856000,1999000,-2500000,0,-4357000,1130000,1130000,-46999.9999999991,1082999.99999999,4639000,4639000,4639000,-12093000,3.72529029846191e-09,-1421000,0.4369,-0.26305,-0.18615,-0.01475,-0.01317,0.126780000000001,2.93023,0.12032,0,-0.25999,-0.25999,1.39666,13.04171,-0.0329600000000001,-0.01426,-0.00181,13.18697,10.06882
"7","2017_Q1",19.1951612903226,"Down",88011000,-59883000,28128000,-64087000,-57591000,-6496000,-35959000,-461000,-82000,-379000,-36420000,2086000,-34334000,9141000,-25193000,-25193000,-17407000,-17407000,178904000,134563000,40635000,40635000,45427000,11011000,34416000,264966000,31179000,903694000,258923000,626569000,16043000,934873000,1199839000,111460000,43892000,67568000,20481000,20481000,131941000,35501000,20846000,14655000,155784000,287725000,555909000,146617000,702526000,912114000,1199839000,-25193000,6496000,841000,-3649000,-21505000,-4410000,-4410000,-4410000,5280000,-68560000,-6144000,-73834000,15000,15000,28041000,149306000,53967000,53967000,53967000,-29463000,120283000,-46663000,0.3196,-0.40857,-0.19778,-0.01908,-0.01451,2.6807,2.00822,0.31545,0.10025,-0.33324,-0.33324,1.6849,13.44933,-0.89333,-0.0163,-0.0437,1.98965,1.63022
"8","2017_Q2",24.0507936507937,"Up",106238000,-67528000,38710000,-60165000,-53550000,-6615000,-21455000,-1291000,-769000,-522000,-22746000,2000,-22744000,-405000,-23149000,-23149000,-18012000,-18012000,137979000,104295000,44638000,44638000,34921000,11667000,23254000,217538000,35459000,901449000,254166000,627204000,18443000,936908000,1154446000,78926000,39613000,39313000,25513000,25513000,104439000,32561000,18470000,14091000,153267000,257706000,621866000,128605000,750471000,896740000,1154446000,-23149000,6615000,6190000,-24421000,-34765000,-5978000,-5978000,-5978000,10600000,0,9.31322574615479e-10,4622000,542000,542000,-9168000,-8626000,-38769000,-38769000,-38769000,-14840000,120706000,-44834000,0.36437,-0.20195,-0.16954,-0.02009,-0.0156,2.48912,2.08292,0.28738,0.10456,-0.34244,-0.34244,2.01977,14.26778,-0.85237,-0.01715,-0.0427,1.16395,0.805080000000001
"9","2017_Q3",20.6039682539683,"Down",107072000,-67995000,39077000,-57995000,-51091000,-6904000,-18918000,-1284000,-729000,-555000,-20202000,-197000,-20399000,7e+05,-19699000,-19699000,-16906000,-16906000,124002000,99975000,45804000,45804000,22814000,12556000,10258000,192620000,40194000,905538000,254460000,628653000,21344000,945732000,1138352000,73986000,26280000,47706000,27774000,27774000,101760000,21208000,11184000,10024000,142143000,243903000,748070000,111699000,859769000,894449000,1138352000,-19699000,6904000,5066000,4682000,-3047000,-6452000,-6452000,-6452000,9610000,-3241000,-3200000,-3283000,3018000,3018000,-14004000,-10986000,-17316000,-17316000,-17316000,-12014000,120935000,-14484000,0.36496,-0.17668,-0.15789,-0.0189,-0.01485,0.85674,1.89289,0.27269,0.10624,-0.28424,-0.28424,1.8002,14.45524,-0.24352,-0.01631,-0.01397,0.25529,0.16212
"10","2017_Q4",14.0968253968254,"Down",107911000,-68281000,39630000,-53550000,-45833000,-7717000,-13920000,-839000,-470000,-369000,-14759000,-84000.0000000002,-14843000,1714000,-13129000,-13129000,-12588000,-12588000,287143000,287143000,43972000,43972000,21214000,16144000,5070000,352329000,46930000,899771000,249492000,628341000,21226000,946701000,1299030000,79373000,27292000,52081000,26094000,26094000,105467000,16620000,6638000,9982000,137784000,243251000,920736000,99111000,1019847000,1055779000,1299030000,-13129000,7717000,4082000,5149000,3819000,-8919000,-8919000,-8919000,2.4e+07,-453000.000000004,0,14628000,242000,242000,-3655000,163534000,181981000,181981000,181981000,-6203000,121164000,-11687000,0.36725,-0.129,-0.11665,-0.01192,-0.00969,0.92842,3.34066,0.2304,0.09327,-0.17899,-0.17899,1.5344,14.50129,-0.16618,-0.01055,-0.00979,26.75786,11.92378
"11","2018_Q1",14.3139344262295,"Up",113729000,-65548000,48181000,-66328000,-55196000,-11132000,-18147000,-321000,-12000,-309000,-18468000,50000,-18418000,4628000,-13790000,-13790000,-13159000,-13159000,238433000,238433000,48947000,48947000,90802000,8404000,82398000,378182000,50922000,883593000,241261000,628186000,12615000,934515000,1312697000,107892000,42930000,64962000,24807000,24807000,132699000,12298000,2437000,9861000,133692000,266391000,924927000,85952000,1010879000,1046306000,1312697000,-13790000,11132000,473000,8220000,6035000,-6499000,-6499000,-6499000,0,-1128000,-20605000,-28232000,280000,280000,21355000,21635000,-562000,-562000,-562000,-7015000,121394000,-9922000,0.42365,-0.15956,-0.1157,-0.01258,-0.01002,0.75401,2.84992,0.2546,0.09248,-0.17546,-0.17546,1.51641,13.47857,-0.1323,-0.01115,-0.00841,16.68411,6.4495
"12","2018_Q2",18.92734375,"Up",139714000,-71975000,67739000,-65022000,-55526000,-9496000,2717000,88000,219000,-131000,2805000,-16867000,-14062000,-2999.99999999907,-14065000,-14065000,-13626000,-13626000,200316000,200316000,66138000,66138000,70825000,17369000,53456000,337279000,60430000,908601000,242863000,635246000,24971000,969031000,1306310000,76908000,22445000,54463000,40027000,33328000,116935000,12838000,1470000,11368000,134461000,251396000,954101000,89041000,1043142000,1054914000,1306310000,-14065000,9496000,4348000,-24484000,-24705000,-9553000,-9553000,-9553000,0,-15676000,12544000,-12685000,1461000,1461000,-23068000,-21607000,-58997000,-58997000,-59001000,12213000,121623000,-21821000,0.48484,0.01945,-0.09753,-0.01292,-0.01043,1.60142,2.88433,0.23831,0.0931,-0.18078,-0.18078,1.85359,13.83936,-0.2895,-0.01146,-0.01835,-6.44338,-28.96319
"13","2018_Q3",23.8547619047619,"Up",144298000,-69003000,75295000,-67437000,-57403000,-10034000,7858000,-1252000,23000,-1275000,6606000,-16746000,-10140000,109000,-10031000,-10031000,-9916000,-9916000,197983000,197983000,70846000,70846000,84425000,15757000,68668000,353254000,64630000,903736000,236819000,635282000,27389000,968366000,1321620000,96903000,34258000,62645000,39284000,29818000,136187000,12199000,1533000,10666000,134052000,270239000,962256000,79125000,1041233000,1051381000,1321620000,-10031000,10034000,5007000,1691000,6701000,-10690000,-10690000,-10690000,0,0,3999000,-6691000,3231000,3231000,14711000,17942000,17952000,17952000,17963000,17892000,121853000,8784000,0.5218,0.05446,-0.06872,-0.00943,-0.0075,-0.88584,2.59389,0.25703,0.0922,-0.12843,-0.12843,1.86893,13.4859,0.11377,-0.00836,0.00741,-4.25497,-9.68822
"14","2018_Q4",23.134126984127,"Down",149947000,-73967000,75980000,-69918000,-59566000,-10352000,6062000,-1266000,115000,-1381000,4796000,-17216000,-12420000,-135000,-12555000,-12555000,-12429000,-12429000,221837000,221837000,60054000,60054000,66700000,14667000,52033000,348591000,68692000,905393000,230806000,635088000,33827000,974085000,1322676000,106713000,30535000,76178000,32698000,22360000,139411000,12610000,1725000,10885000,134692000,274103000,972133000,66696000,1038565000,1048573000,1322676000,-12555000,10352000,6411000,18113000,22321000,-8874000,-8874000,-8874000,0,-2683000.00000001,6e+06,-5557000,5896000,5896000,-10166000,-4270000,12494000,12494000,12522000,16414000,122082000,25788000,0.50671,0.04043,-0.08289,-0.01185,-0.0094,-2.07483,2.50046,0.26141,0.0923,-0.15935,-0.15935,1.92242,13.31511,0.33062,-0.0105,0.02179,-6.07743,-16.45579
