"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.7777777777778,"Down",735400000,-610100000,125300000,-101500000,-1e+08,-1500000,23800000,-1100000,-2500000,1400000,22700000,22700000,-24300000,-1600000,-3400000,-3400000,-5e+06,-3200000,-8200000,-8200000,269643866.690885,269643866.690885,492198110.065924,492198110.065924,69217538.6970627,-9217128.47152717,831059515.453873,731170071.473943,666593778.871166,190644911.554809,13924238.3936721,349072337.770404,-137307343.420664,1397763850.34511,2228823365.79898,449758449.988447,231436478.280593,218321971.707854,126891837.946257,576650287.934818,388299952.164864,989061709.080514,485424025.800728,485424025.800728,52325012.8022671,451312670.477518,1377361661.24538,1954011949.1802,647572133.060993,523299912.140183,-945043862.003185,225828183.19799,48983233.4207949,274811416.618785,2228823365.79898,-1600000,32300000,25700000,-51200000,5200000,-26900000,3e+05,-6500000,-33700000,-4800000,24100000,4e+05,19900000,-8600000,-8600000,-2500000,-11100000,56100000,0,2300000,0.17038,0.03236,-0.01115,0.0186821050346113,-0.000591368954794542,-0.28049,1.53567943775406,4.62389052983801,0.22957311082879,-0.16803,-0.16803,15.06967,4.19663021161999,0.04713,0.09836,0.000115225345995063,0.0621181641205829,-0.58537,1.71112078866641,0.669231457872713
"2","2010_Q3",17.8503125,"Down",729400000,-603600000,125800000,-94300000,-102600000,8300000,31500000,-1600000,-2300000,7e+05,29900000,29900000,-6300000,23600000,800000.000000002,800000.000000002,24400000,-2900000,21500000,21500000,143300000,143300000,424500000,424500000,158100000,121600000,725900000,535700000,618700000,214600000,51712119.1968361,243600000,160500000,1154400000,1880300000,469200000,105900000,363300000,32200000,501400000,230300000,5.89e+08,175200000,175200000,28200000,385600000,819300000,1320700000,602700000,514400000,-619800000,497300000,62300000,559600000,1880300000,23600000,32900000,1800000,-3500000,43300000,-33200000,4e+05,-7099999.99999999,-43100000,-4800000,26500000,-9500000,1.3e+07,13200000,13200000,-1800000,11400000,64400000,262500000,3.4e+07,0.17247,0.04319,0.02948,0.03842,0.01143,1.5814,1.44775,2.36008,0.13961,0.44057,0.43788,14.94672,10.19057,0.69672,0.09836,0.01864,0.02409,0.22326,1.85093,3.78413
"3","2010_Q4",21.7265625,"Up",776100000,-626500000,149600000,-105500000,-107600000,2100000,44100000,-3600000,-4200000,6e+05,40500000,40500000,-15500000,2.5e+07,2200000,2200000,27200000,-3300000,23900000,23900000,148500000,148500000,458500000,458500000,172800000,137400000,779800000,583500000,648700000,232100000,73704039.7322787,242400000,174200000,1232200000,2.012e+09,5.47e+08,108100000,438900000,3.3e+07,5.8e+08,250900000,574100000,172500000,172500000,25100000,376500000,8.25e+08,1.405e+09,587100000,522400000,-568200000,541300000,65700000,6.07e+08,2.012e+09,2.5e+07,34800000,1300000,31300000,9.4e+07,-39900000,-2300000,-3e+05,-44100000,-4700000,3800000,-15500000,-5e+07,-1e+05,-1e+05,5300000,5200000,78900000,283900000,85800000,0.19276,0.05682,0.0308,0.03937,0.01188,3.58996,1.34448,2.31466,0.1411,0.5,0.49896,16.2364,11.32427,1.79498,0.09833,0.01952,0.05857,0.19665,1.7161,3.07029
"4","2011_Q1",25.7114516129032,"Up",735300000,-5.52e+08,183300000,-106200000,-101500000,-4700000,77100000,-3e+05,-5600000,5300000,76800000,76800000,-26500000,50300000,-24100000,-24100000,26200000,-6300000,19900000,19900000,1.83e+08,1.83e+08,525100000,525100000,169300000,1.21e+08,877400000,698900000,694200000,244300000,83200000,2.76e+08,90700000,1393100000,2270500000,610500000,141500000,4.69e+08,65500000,6.76e+08,323700000,687700000,266800000,266800000,30600000,390300000,1011400000,1687400000,5.89e+08,537500000,-610300000,516200000,66900000,583100000,2270500000,50300000,26600000,-5e+05,24400000,92800000,-3.3e+07,-1e+05,-86800000,-134500000,-4600000,7.9e+07,3500000,77100000,35400000,35400000,-900000.000000001,34500000,103700000,389200000,121600000,0.24929,0.10486,0.02706,0.03413,0.00876,6.11055,1.29793,2.89384,0.17142,0.41983,0.41632,15.51266,10.8903,2.5654,0.09705,0.01476,0.07325,0.23116,1.98843,2.67445
"5","2011_Q2",26.1260317460317,"Up",913300000,-757600000,155700000,-118700000,-121700000,3e+06,3.7e+07,-1400000,-5800000,4400000,35600000,35600000,-11400000,24200000,1100000,1100000,25300000,-5300000,2e+07,2e+07,155300000,155300000,562100000,562100000,197600000,1.47e+08,9.15e+08,724300000,699800000,252900000,83500000,280500000,82900000,1424100000,2339100000,6.04e+08,123800000,480200000,71100000,675100000,331600000,694800000,266400000,266400000,33100000,395300000,1026400000,1701500000,596500000,549300000,-580300000,565500000,72100000,637600000,2339100000,24200000,38800000,-3500000,-66400000,-5700000,-28700000,1.1e+07,-1200000,-18900000,-4700000,-3200000,-1900000,-7200000,-31800000,-31800000,4100000,-27700000,75800000,402700000,-7900000,0.17048,0.04051,0.0219,0.03137,0.00855,-0.395,1.35535,2.6686,0.17216,0.42017,0.4158,19.18697,11.88025,-0.16597,0.09874,0.01424,-0.00454999999999998,0.235,3.26385,6.68649
"6","2011_Q3",22.99578125,"Down",979300000,-808600000,170700000,-150300000,-1.42e+08,-8300000,20400000,-4800000,-5900000,1100000,15600000,15600000,-5600000,1e+07,2600000,2600000,12600000,-4700000,7900000,7900000,155900000,155900000,5.92e+08,5.92e+08,207600000,154100000,955500000,755700000,705200000,258500000,77900000,281800000,8.7e+07,1460900000,2416400000,664800000,153600000,511200000,67500000,732300000,330800000,6.91e+08,263500000,263500000,36700000,390800000,1021800000,1754100000,600100000,552500000,-5.58e+08,594600000,67700000,662300000,2416400000,1e+07,41200000,3900000,19900000,7.5e+07,-41700000,1200000,-2e+05,-42200000,-4600000,-21200000,-10800000,-34700000,-1900000,-1900000,2500000,6e+05,61600000,398300000,45400000,0.17431,0.02083,0.00807,0.01193,0.00327,5.74684,1.30479,2.6485,0.16483,0.16527,0.16424,20.48745,12.43933,0.94979,0.09623,0.00714,0.02592,0.58228,3.93506,11.88235
"7","2011_Q4",22.5838095238095,"Down",995800000,-807700000,188100000,-125600000,-136600000,1.1e+07,62500000,-5200000,-6500000,1300000,57300000,57300000,-20900000,36400000,-7e+05,-7e+05,35700000,-4900000,30800000,30800000,200500000,200500000,550600000,550600000,190900000,134500000,9.42e+08,717800000,683800000,2.38e+08,69700000,292100000,8.4e+07,1401600000,2343600000,6.31e+08,133600000,497400000,42800000,673800000,358600000,686200000,249200000,249200000,39100000,397900000,1044800000,1718600000,604200000,578400000,-623800000,558800000,66200000,6.25e+08,2343600000,36400000,40500000,-14700000,38300000,100700000,-35500000,-1e+05,-1600000,-35600000,-4700000,-13200000,9900000,-7400000,57700000,57700000,-13100000,44600000,1.03e+08,401400000,126700000,0.18889,0.06276,0.03093,0.04928,0.01314,4.11364,1.39804,2.74976,0.17127,0.64167,0.64033,20.74583,11.64167,2.63958,0.09792,0.02073,0.07398,0.1526,1.95049,3.2144
"8","2012_Q1",22.5311290322581,"Down",774500000,-592100000,182400000,-99800000,-112100000,12300000,82600000,-2800000,-4900000,2100000,79800000,79800000,-26100000,53700000,-28800000,-28800000,24900000,-9100000,15800000,15800000,182900000,182900000,550500000,550500000,200500000,134100000,933900000,749200000,723100000,231400000,63800000,350800000,77100000,1472300000,2406200000,6.48e+08,159500000,488500000,54100000,702100000,335300000,886400000,369600000,369600000,2.3e+07,493800000,1221700000,1923800000,606400000,589500000,-787900000,4.08e+08,74400000,482400000,2406200000,53700000,27600000,3700000,-3200000,7.7e+07,-63900000,3e+05,0,-75100000,-4700000,-5900000,2100000,-17900000,-1.6e+07,-1.6e+07,-1600000,-17600000,110200000,389400000,69200000,0.23551,0.10665,0.0204,0.03275,0.00657,4.37975,1.33015,3.98798,0.16183,0.33054,0.32848,16.20293,8.53556,1.4477,0.09833,0.01166,0.03936,0.29747,1.87387,2.5
"9","2012_Q2",20.1719047619048,"Down",940700000,-760400000,180300000,-133600000,-135800000,2200000,46700000,-2400000,-6300000,3900000,44300000,44300000,-16600000,27700000,-3900000,-3900000,23800000,-6800000,1.7e+07,1.7e+07,155500000,155500000,599200000,599200000,221400000,140100000,976100000,770200000,768500000,254400000,64100000,371100000,78900000,1538700000,2514800000,646600000,148700000,497900000,53600000,700200000,378300000,892600000,359800000,359800000,33600000,499200000,1270900000,1971100000,617400000,601700000,-754200000,464900000,78800000,543700000,2514800000,27700000,4.1e+07,-22600000,-55900000,-16400000,-33100000,11500000,-16400000,-38600000,-4700000,32500000,-6400000,22200000,-32800000,-32800000,5400000,-27400000,87700000,431900000,15300000,0.19167,0.04964,0.01807,0.03127,0.00676,0.9,1.39403,3.62534,0.17174,0.35343,0.35197,19.55717,9.66528,0.31809,0.09771,0.01162,0.00819,0.27647,3.15165,5.91863
"10","2012_Q3",20.67,"Up",930400000,-761200000,169200000,-136900000,-135600000,-1300000,32300000,-4500000,-5400000,9e+05,27800000,27800000,9e+06,36800000,-4700000,-4700000,32100000,-1600000,30500000,30500000,126900000,126900000,600400000,600400000,230600000,154800000,957900000,748700000,753600000,2.4e+08,58500000,373900000,81200000,1502300000,2460200000,631300000,147300000,4.84e+08,68300000,699600000,337500000,887700000,361900000,361900000,28700000,497100000,1225200000,1924800000,617700000,627300000,-785100000,459900000,75500000,535400000,2460200000,36800000,40200000,11200000,-38200000,46700000,-37300000,3e+05,3.72529029846191e-09,-39700000,-4700000,-26600000,-1300000,-31500000,-24500000,-24500000,-4100000,-28600000,72500000,405800000,-1.2e+07,0.18186,0.03472,0.03278,0.05697,0.0124,-0.393439999999999,1.36921,3.59507,0.16495,0.62887,0.62757,19.18351,9.48247,-0.24742,0.09691,0.01925,-0.00656,0.1541,3.8469,8.63467
