"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital"
"1","2011_Q1",11.696935483871,"Down",34643000,-21334000,13309000,-11839000,-11839000,1470000,1470000,1470000,295000,1765000,1765000,1765000,1765000,7609000,7609000,16307000,1885000,291000,41487000,7892000,11144000,11144000,19036000,60523000,8896000,3364000,5532000,2755000,2755000,11651000,12672000,12672000,12672000,24323000,19781000,24471000,-8052000,36200000,36200000,60523000,1765000,660000,-6000,-1925000,494000,-901000,-901000,-24000,-431000,-431000,-431000,2130000,0,-991000,0.38418,0.04243,0.05095,0.04876,0.02916,-0.56147,3.56081,0.67191,0,0.18909,0.18917,3.71148,3.87829,-0.10617,0.03611
"2","2011_Q2",9.2015873015873,"Down",28809000,-1.9e+07,9809000,-9040000,-9040000,769000,769000,769000,397000,1166000,1166000,1166000,1166000,7018009.05082464,7018009.05082464,18229782.2458245,4290219.17844852,5158834.9598635,40332351.7207977,8394255.60826817,11597037.8063008,11597037.8130931,19991293.414569,60323645.1353666,13796826.3077907,2087933.7422492,11708892.5650047,3444879.88457703,3444879.88457703,9481431.32808579,964514.745970869,964514.745970869,964514.745970869,10445946.0740567,19849852.8885946,25436176.6990176,4591669.47369779,49877699.06131,49877699.06131,60323645.1353666,1166000,456000,-12000,-3965000,-2355000,-466000,-466000,-996000,-3817000,-3817000,-3817000,1225000,0,-3603000,0.34048,0.02669,0.04047,0.0656659378601745,0.0271051123367805,-3.09005,3.97640132535981,-0.244542825547127,-1.52699098249875e-19,0.12505,0.12505,3.08977,5.37339304285392,-0.38642,0.0355005123636022
"3","2011_Q3",10.10734375,"Up",25178000,-16720000,8458000,-8602000,-8602000,-144000,-144000,-144000,0,-144000,-144000,-144000,-144000,7765509.05082465,7765509.05082465,18633682.2458245,4004519.17844852,5040934.9598635,39211251.7207977,8417755.60826817,11778537.8063008,11778537.8130931,20196293.414569,59407545.1353666,13982826.3077907,2262533.7422492,11720292.5650047,3751306.51276938,3751306.51276938,10009231.3280858,2861414.74597087,2861414.74597087,2861414.74597087,12870646.0740567,19468452.8885946,25079276.6990176,1989169.47369779,46536899.06131,46536899.06131,59407545.1353666,-144000,473000,-23000,-1210000,-904000,-156000,-156000,-165000,-1225000,-1225000,-1225000,329000,0,-1037000,0.33593,-0.00572,-0.00572,0.0334179378601745,0.0106771123367805,7.20139,3.75270232535981,-0.0582498255471262,-1.52699098249875e-19,-0.01546,-0.01546,2.70266,5.01564504285392,-0.11131,0.0146505123636022
"4","2011_Q4",8.9315873015873,"Down",26611000,-18412000,8199000,-8782000,-8782000,-583000,-583000,-583000,106000,-477000,-477000,-477000,-477000,9006000,9006000,18033000,2464000,2463999.99999999,38160000,8158000,11813000,11813000,19971000,58131000,11769000,3207000,8562000,3730579.88457703,3730579.88457703,11769000,11424000,11424000,11424000,23193000,18906000,24084000,-8052000,34938000,34938000,58131000,-477000,357000,-7000,-326000,-453000,-888000,-888000,-646000,-1987000,-1987000,-1987000,-226000,-8.07793566946316e-28,-1546000,0.30811,-0.02191,-0.01792,-0.01365,-0.00821,3.24109,3.24242,0.66383,0,-0.05135,-0.05135,2.86479,3.76122,-0.16643,-0.01029
"5","2012_Q1",9.32822580645161,"Up",37665000,-26604000,11061000,-12215000,-12215000,-1154000,-1154000,-1154000,166000,-988000,-988000,-988000,-988000,9702000,9702000,16888000,1376000,340000,37290000,7903000,11773000,11773000,19676000,56966000,9836000,4246000,5590000,3439000,3439000,13275000,18853000,18853000,18853000,32128000,18469000,23096000,-16727000,24838000,24838000,56966000,-988000,516000,27000,1837000,1392000,-288000,-288000,-437000,667000,667000,667000,-638000,0,745000,0.29367,-0.03064,-0.02623,-0.03978,-0.01734,-0.75405,2.80904,1.2935,0,-0.10649,-0.10636,4.05982,2.67723,0.0803,-0.02261
"6","2012_Q2",8.81333333333333,"Down",29715000,-21152000,8563000,-8841000,-8841000,-278000,-278000,-278000,34669.355229072,-278000,-278000,-278000,-278000,9104000,9104000,15740000,2041000,1003000,36600000,7802000,11809000,11809000,19611000,56211000,10316000,4696000,5620000,2756000,2756000,13072000,18640000,18640000,18640000,31712000,18408000,22818000,-16727000,24499000,24499000,56211000,-278000,364000,-2000,629000,713000,-261000,-261000,-61000,391000,391000,391000,86000.0000000001,0,2943674.13064092,0.28817,-0.00936,-0.00936,-0.01135,-0.00495,-1.95899672295308,2.79988,1.29442,-9.62964972193618e-35,-0.03023,-0.03023,3.23165,2.66438,0.318305974293406,-0.00644
"7","2012_Q3",7.6384126984127,"Down",27313000,-17572000,9741000,-8701000,-8701000,1040000,1040000,1040000,-177856.904822182,1040000,1040000,1040000,1040000,9356000,9356000,15506000,1702000,710000,35830000,7447000,12407000,12407000,19854000,55684000,9819000,4377000,5442000,1844000,1844000,11663000,18540000,18540000,18540000,30203000,18350000,23858000,-16727000,25481000,25481000,55684000,1040000,381000,-4000,-1786000,-369000,-22000,-22000,-58000,-449000,-449000,-449000,1421000,0,3621957.03433323,0.35664,0.03808,0.03808,0.04081,0.01868,-1.69192796519101,3.07211,1.18531,0,0.11319,0.11319,2.97268,2.77329,0.392821371710518,0.02363
"8","2012_Q4",6.76870967741935,"Down",27862000,-17661000,10201000,-9340000,-9340000,861000,861000,861000,-351204.712462346,861000,861000,861000,861000,10024000,10024000,15408000,1624000,636000,37886000,9076000,12230000,12230000,21306000,59192000,10316000,4629000,5687000,3047000,3047000,13363000,19557000,19557000,19557000,32920000,18280000,24719000,-16727000,26272000,26272000,59192000,861000,360000,-2000,572000,1791000,-139000,-139000,-88000,1564000,1564000,1564000,1221000,1.03397576569128e-25,2639261.42085892,0.36613,0.0309,0.0309,0.03277,0.01455,-0.785282724833445,2.83514,1.25305,0,0.09379,0.09379,3.03508,2.86187,0.287046083272371,0.01879
"9","2013_Q1",7.29933333333333,"Up",42465000,-26674000,15791000,-13398000,-13398000,2393000,2393000,2393000,-365000,2028000,2028000,2028000,2028000,11758000,11758000,17355000,1296000,509000,40153000,9076000,12321000,12321000,21397000,61550000,10876000,4414000,6462000,3998000,3998000,14874000,26532000,26532000,26532000,41406000,18148000,26747000,-24751000,20144000,20144000,61550000,2028000,611000,-14000,-2918000,-293000,-596000,-596000,-197000,-1086000,-1086000,-1086000,3004000,0,-145000,0.37186,0.05635,0.04776,0.10068,0.03295,-0.0714999999999991,2.69954,2.0555,0,0.22121,0.22121,4.6319,2.19722,-0.01582,0.04345
"10","2013_Q2",7.62265625,"Up",30771000,-18738000,12033000,-10139000,-10139000,1894000,1894000,1894000,-172000,1722000,1722000,1722000,1722000,11645000,11645000,20708000,1466000,849000,40063000,9293000,12586000,12586000,21879000,61942000,10345000,4170000,6175000,3840000,3840000,14185000,26356000,26356000,26356000,40541000,18141000,28011000,-24751000,21401000,21401000,61942000,1722000,476000,-9000,-4490000,-2301000,-683000,-683000,-516000,-3500000,-3500000,-3500000,2370000,3.30872245021211e-24,-2631000,0.39105,0.06155,0.05596,0.08046,0.0278,-1.52787,2.82432,1.89435,2.46519032881566e-32,0.18803,0.18803,3.36001,2.33686,-0.28729,0.04565
